Date,Open,High,Low,Close,Volume
2021-06-28,550,652,550,609.9,24434056
2021-06-29,614.7,627.3,583,585.7,4039010
2021-06-30,588,593.4,572.2,575.1,1316941
2021-07-01,575.25,587.5,574.6,578.65,549079
2021-07-02,580.75,591.75,574.5,576.15,598686
2021-07-05,580,586,575.35,579.5,430136
2021-07-06,579,579,572,572.6,241285
2021-07-07,568.05,584.4,568.05,579.1,296719
2021-07-08,579.15,581.8,573.25,576.8,152555
2021-07-09,578.1,595.5,573.65,586.45,505011
2021-07-12,594.95,631,594.05,614.1,1261642
2021-07-13,622.8,634.65,619,623.5,725614
2021-07-14,625.8,629.3,611,621.85,364066
2021-07-15,623.9,629.95,603,606,441369
2021-07-16,606,608.95,597.3,601.2,214297
2021-07-19,593,618.95,586.5,598.65,404842
2021-07-20,604,611.85,592,600.75,173944
2021-07-22,605.9,618.5,598.55,602.6,206820
2021-07-23,603,611.35,595,600.6,172788
2021-07-26,600.6,606,585,587.2,230717
2021-07-27,589.9,629,589.25,620.35,717677
2021-07-28,618.9,620.15,603.95,611.3,198021
2021-07-29,615.95,615.95,605.05,609.85,64669
2021-07-30,615,646.35,611.35,617.8,575718
2021-08-02,626,626.55,600,613.85,79329
2021-08-03,615,624.25,610.05,614.2,68530
2021-08-04,614.05,619.75,597.25,601.95,134802
2021-08-05,604.6,609.6,595,603.3,57426
2021-08-06,603.3,618.8,599.3,605.55,88141
2021-08-09,610,618,594,599.6,115335
2021-08-10,595,606.8,585,598.45,95929
2021-08-11,599.8,599.8,575,589.1,97687
2021-08-12,589.5,601,589.1,596.9,47562
2021-08-13,597,607.9,591.5,598.3,71168
2021-08-16,596.6,603.5,593.3,595.55,70298
2021-08-17,594.95,600.85,594.05,596.2,197989
2021-08-18,594.15,597.55,587.1,588.9,42503
2021-08-20,587.5,591.4,570.1,575.85,125482
2021-08-23,582,582,540,543.55,90805
2021-08-24,546,559.05,541.6,549.95,63016
2021-08-25,550.05,560,550,551.45,50096
2021-08-26,557.7,560,548.45,552.15,39001
2021-08-27,550.15,556.3,547,550.25,65071
2021-08-30,559,572,553,562.55,50721
2021-08-31,566,566,551.2,554.3,73162
2021-09-01,555.7,558.55,546.5,548.2,46262
2021-09-02,556,556,543.35,544.7,48539
2021-09-03,550.75,550.75,500,534.3,100774
2021-09-06,536,544.95,531.25,542.3,116354
2021-09-07,544.35,545.45,534,535.25,64911
2021-09-08,532,547.95,532,542.4,81138
2021-09-09,545.6,545.6,538.05,543.85,24093
2021-09-13,536.3,542.95,536.3,538.55,19036
2021-09-14,540,542.35,535,535.9,29269
2021-09-15,538.6,538.6,529,531.25,56456
2021-09-16,535.9,540.5,531.1,532.4,34670
2021-09-17,533.5,638.85,528.5,636.4,1265611
2021-09-20,631.8,668,609,617.75,846202
2021-09-21,613.75,626.95,594,609.3,165070
2021-09-22,610,653,610,628.8,265973
2021-09-23,628,644.85,608,611.05,257706
2021-09-24,614,619.95,595.55,599.3,58705
2021-09-27,600,603,577,593.25,72786
2021-09-28,585,632.8,585,601.55,203554
2021-09-29,592.55,609.55,592.55,598.8,97220
2021-09-30,598.8,610,595.1,601.4,46811
2021-10-01,599.5,602.95,590,593.75,67167
2021-10-04,595,605.8,592.8,593.65,47565
2021-10-05,596.7,605,591,593.15,58322
2021-10-06,595,599.5,586.05,589.15,57882
2021-10-07,593.85,596.5,585.7,587.4,36616
2021-10-08,590,603,586.95,595.95,41321
2021-10-11,597,599.35,589.7,591.05,41127
2021-10-12,592,594.6,587.5,590.4,29942
2021-10-13,590.4,596.95,584,586,43046
2021-10-14,586,596.5,584.35,588.55,71066
2021-10-18,591.95,595,587,588.7,33239
2021-10-19,623,666,596,606.7,442450
2021-10-20,608,635.3,592.25,630.95,249752
2021-10-21,640,640.05,611,616.55,96067
2021-10-22,615.1,625,581.95,596.4,120366
2021-10-25,560.05,619,550.5,611.15,184939
2021-10-26,605.1,610.8,575.1,600.9,73996
2021-10-27,602.85,610,585,593.55,86010
2021-10-28,595.6,602,575.1,582.6,38946
2021-10-29,577,597.9,571.3,589.4,35318
