Date,Open,High,Low,Close,Volume
2024-07-02,155,162.75,147.25,152.3,3144000
2024-07-03,144.7,144.7,144.7,144.7,75000
2024-07-04,137.5,137.5,137.5,137.5,24000
2024-07-05,130.65,141.8,130.65,130.65,840000
2024-07-08,124.15,124.15,124.15,124.15,87000
2024-07-09,117.95,117.95,117.95,117.95,48000
2024-07-10,112.05,123.8,112.05,123.8,1119000
2024-07-11,124,124,117.65,117.65,468000
2024-07-12,112.5,116.8,111.8,114.85,309000
2024-07-15,117,120.5,109.1,112,177000
2024-07-16,112.15,128,108.35,110.7,948000
2024-07-18,113.5,116.4,105,110.4,228000
2024-07-19,112.4,112.65,105.1,105.6,201000
2024-07-22,102.5,107,101.3,103.15,114000
2024-07-23,106.95,108.9,101.8,106,69000
2024-07-24,107,113.45,106,107.75,174000
2024-07-25,105.15,109,105.15,106.45,63000
2024-07-26,108.5,108.5,104.05,104.35,84000
2024-07-29,104,104,96.2,97.4,648000
2024-07-30,96,96.8,90.6,92.1,327000
2024-07-31,93.6,97.75,91.6,94.3,225000
2024-08-01,96,96,89.6,90.05,177000
2024-08-02,89,91.45,87.1,90.5,117000
2024-08-05,85.55,88.25,83,83.9,231000
2024-08-06,85.9,89,83.35,84.05,117000
2024-08-07,85.95,100.85,83.15,91.2,975000
2024-08-08,93.05,96,90,92.35,261000
2024-08-09,93.5,93.95,89,89.6,108000
2024-08-12,89,91.45,89,89.8,57000
2024-08-13,90,90.15,87.75,88,102000
2024-08-14,88.1,89.2,85.8,85.95,78000
2024-08-16,86.5,90.5,86.5,89.1,54000
2024-08-19,89.5,91.45,89.5,90,54000
2024-08-20,89.15,89.9,88.3,89.05,33000
2024-08-21,88.65,89.9,86,88,48000
2024-08-22,89,89.7,86.15,87.6,57000
2024-08-23,88.1,91.5,87.6,88.7,87000
2024-08-26,90,92,88,88.3,90000
2024-08-27,88.5,88.5,86.95,87,78000
2024-08-28,87.1,87.2,83,83.8,117000
2024-08-29,83.1,84.5,81,82.25,162000
2024-08-30,83.45,83.9,81.95,82.45,126000
2024-09-02,82.5,83,82.1,82.25,51000
2024-09-03,82.65,82.65,80,80.45,54000
2024-09-04,80.1,86,80.1,85.2,93000
2024-09-05,87.25,89.85,84.4,87.75,96000
2024-09-06,89.15,89.15,85,86.35,99000
2024-09-09,85,87.5,85,85.15,51000
2024-09-10,85.15,86,84,85.75,27000
2024-09-11,86,87,84.4,85,42000
2024-09-12,82,84.75,82,83.95,24000
2024-09-13,82.05,89.9,82.05,86.05,60000
2024-09-16,87.75,88.8,84.15,86.5,51000
2024-09-17,85,87.5,84.05,84.15,45000
2024-09-18,84.15,85.95,83,83.05,42000
2024-09-19,83.1,84.9,80.4,80.55,57000
2024-09-20,82,85,80.3,80.75,144000
