Date,Open,High,Low,Close,Volume
2022-05-27,456,456,456,456,2000
2022-05-30,465,475,465,474,6000
2022-05-31,472,489,472,489,2000
2022-06-01,468,468,468,468,2000
2022-06-02,455,455,455,455,2000
2022-06-03,444,445,444,445,2000
2022-06-06,435,435.5,435,435.5,2000
2022-06-07,413.75,420,413.75,420,4000
2022-06-08,421,422,421,421.5,2000
2022-06-09,422.5,442,422.5,440.5,3000
2022-06-10,444,444,421.1,421.1,2000
2022-06-14,442,442,442,442,1000
2022-06-15,430,432,430,432,2000
2022-06-16,435,435.95,430,430,4000
2022-06-17,429,429,408.5,408.5,6000
2022-06-20,428.9,428.9,421,421,4000
2022-06-21,441,442,425,432,4000
2022-06-22,443,445,430.1,431.25,6000
2022-06-23,421,421.1,409.7,410.6,6000
2022-06-24,420,420,415,420,5000
2022-06-27,435,435.05,435,435.05,2000
2022-06-28,451,451,451,451,1000
2022-06-29,455,455,455,455,1000
2022-06-30,91.1,95.5,91,95.5,35000
2022-07-01,92.6,93.15,92.55,93.15,30000
2022-07-04,97.8,97.8,97.25,97.3,20000
2022-07-05,97.3,98.05,97.3,98.05,40000
2022-07-06,98.8,102.95,98.75,102.95,35000
2022-07-07,108.05,108.05,108.05,108.05,5000
2022-07-08,113.45,113.45,112,112,10000
2022-07-11,112,112,112,112,5000
2022-07-12,115,117,115,117,10000
2022-07-15,122.85,122.85,122.5,122.5,10000
2022-07-18,128.6,128.6,128.6,128.6,5000
2022-07-19,132.5,133,132.5,133,15000
2022-07-20,139.65,139.65,139,139.5,15000
2022-07-21,146.45,146.45,139,144.55,20000
2022-07-22,151.75,151.75,149,150,15000
2022-07-25,151.1,151.2,151,151,15000
2022-07-26,149.1,149.5,149.1,149.5,10000
2022-07-27,150,150,150,150,10000
2022-07-28,149.95,149.95,149.95,149.95,10000
2022-07-29,149,149,149,149,5000
2022-08-01,156.45,156.45,156,156.25,12500
2022-08-02,164.05,164.05,163.35,163.9,12500
2022-08-03,172.05,172.05,169,171.75,11250
2022-08-04,180.05,180.05,170.5,178,8750
2022-08-05,186.9,186.9,186.9,186.9,1250
2022-08-08,196.2,196.2,196.2,196.2,2500
2022-08-10,206,206,206,206,2500
2022-08-11,211,216.3,211,216.3,3750
2022-08-12,227.1,227.1,227.1,227.1,3750
2022-08-16,238.45,238.45,238.45,238.45,3750
2022-08-17,250.35,250.35,250.35,250.35,2500
2022-08-18,262.85,262.85,262.85,262.85,3750
2022-08-19,275.95,275.95,249.75,249.75,7500
2022-08-22,237.3,237.3,237.3,237.3,3750
2022-08-23,225.45,225.45,225.45,225.45,2500
2022-08-24,214.2,214.2,214.2,214.2,1250
2022-08-25,203.5,210,203.5,203.5,10000
2022-08-26,193.35,193.35,193.35,193.35,1250
2022-08-30,183.7,184.2,183.7,183.7,3750
2022-09-01,182.65,182.7,182.65,182.7,3750
2022-09-02,191.8,191.8,191.8,191.8,20000
2022-09-05,200,201.35,200,201.35,10000
2022-09-07,211.4,211.4,211.4,211.4,1250
2022-09-09,211,211.25,211,211.1,2500
2022-09-12,221.65,221.65,205.05,205.05,3750
2022-09-13,215.3,215.3,215.3,215.3,1250
2022-09-14,226.05,226.05,226.05,226.05,3750
2022-09-15,229,230,229,230,2500
2022-09-19,231,232,231,232,5000
2022-09-21,220.4,220.4,220.4,220.4,1250
2022-09-22,209.4,209.4,209.4,209.4,1250
2022-09-23,198.95,198.95,198.95,198.95,1250
2022-09-26,198.95,203,198,203,8750
2022-09-27,203,203.5,202.9,203.5,10000
2022-09-28,193.35,193.35,193.35,193.35,1250
2022-09-29,198,200,198,200,11250
2022-09-30,201.6,207.5,201.6,207.4,11250
2022-10-03,209,210,207.95,207.95,12500
2022-10-04,210,215.5,210,215.45,12500
2022-10-06,215.45,216.75,215.45,216.6,12500
2022-10-07,216,218,216,218,10000
2022-10-10,218,218,217,217.75,12500
2022-10-11,217.75,218.25,217.75,218.25,11250
2022-10-12,218.35,218.45,218,218.25,12500
2022-10-13,218,218,217.05,217.05,10000
2022-10-14,218,219.5,218,218.9,11250
2022-10-17,217.1,217.35,217,217.3,11250
2022-10-18,217.5,218.2,217.35,218.2,11250
2022-10-19,218,220,218,220,11250
2022-10-20,218,218.95,212,218.65,23750
2022-10-21,218.65,219.2,208.85,209,27500
2022-10-24,218,218,218,218,2500
2022-10-25,218.05,218.9,218.05,218.9,11250
