Date,Open,High,Low,Close,Volume
2015-09-07,178.5344,183.296,164.864,166.0416,41911
2015-09-08,166.4,171.008,149.504,162.1504,134403
2015-09-09,168.8064,176.64,166.4256,170.5472,74156
2015-09-10,167.936,179.0976,157.7472,174.848,70803
2015-09-11,183.296,183.296,174.6432,175.488,53656
2015-09-14,181.76,181.76,174.08,176.3584,27463
2015-09-15,180.1472,180.1472,159.0784,163.84,91587
2015-09-16,168.704,169.984,163.84,164.9408,42577
2015-09-18,168.96,173.9264,165.9648,168.2432,54167
2015-09-21,171.008,185.0624,163.8656,185.0624,104901
2015-09-22,192,203.5456,189.952,203.5456,249823
2015-09-23,204.8,223.8976,204.8,223.8976,97411
2015-09-24,230.3744,235.0848,215.04,227.3536,343102
2015-09-28,227.3536,238.72,227.328,237.9264,128515
2015-09-29,237.568,249.8048,237.312,243.5328,326825
2015-09-30,247.7312,255.2064,245.6832,251.2128,112265
2015-10-01,257.5872,260.9664,242.3552,255.9232,233632
2015-10-05,259.584,260.5312,244.736,257.024,163425
2015-10-06,258.56,258.56,245.8112,249.2672,72428
2015-10-07,246.8096,250.8288,237.056,239.1808,95275
2015-10-08,240.64,251.136,239.616,251.136,128323
2015-10-09,258.048,260.8128,243.2768,246.1952,121761
2015-10-12,248.32,251.5968,236.6464,238.0288,70198
2015-10-13,238.336,247.424,238.336,244.5312,49220
2015-10-14,247.808,247.808,238.7968,239.6672,29208
2015-10-15,243.712,245.6576,238.0288,238.592,32213
2015-10-16,241.152,242.176,230.4512,235.6992,34525
2015-10-19,237.568,241.664,230.4512,232.6272,26605
2015-10-20,235.52,244.2496,231.9616,243.84,127710
2015-10-21,256.0256,256.0256,256.0256,256.0256,109803
2015-10-23,268.8256,268.8256,268.8256,268.8256,59525
2015-10-26,278.016,282.2656,271.616,282.2656,335581
2015-10-27,287.8976,296.3712,276.6336,296.3712,347772
2015-10-28,297.5232,311.168,293.2992,304.1024,386212
2015-10-29,312.32,319.2832,307.9936,319.2832,220995
2015-10-30,327.168,335.232,327.168,335.232,115397
2015-11-02,342.528,351.9744,337.408,351.9744,398348
2015-11-03,363.4688,369.5616,362.4448,369.5616,57525
2015-11-04,385.536,388.0192,379.5456,388.0192,290758
2015-11-05,405.504,407.3984,389.12,406.8864,368625
2015-11-06,404.48,414.72,386.56,386.56,38602
2015-11-09,367.232,367.232,367.232,367.232,3640
2015-11-10,348.8768,385.5872,348.8768,372.2752,880743
2015-11-11,375.6544,383.3344,375.6544,379.0848,55036
2015-11-13,378.368,378.368,360.1408,360.7808,87597
2015-11-16,353.28,360.1408,342.7584,342.9632,102411
2015-11-17,338.0224,355.2768,337.92,342.528,102343
2015-11-18,344.064,354.304,339.4048,342.4768,54526
2015-11-19,343.1168,349.184,334.336,342.0928,68890
2015-11-20,343.2448,347.648,338.7648,341.9136,47265
2015-11-23,342.0672,355.84,342.0672,344.0896,31306
2015-11-24,350.72,350.72,327.2192,329.2672,47546
2015-11-26,328.3968,345.728,313.344,345.728,213910
2015-11-27,350.208,363.008,350.1824,363.008,140942
2015-11-30,372.224,381.1584,372.224,381.1584,83825
2015-12-01,396.7744,400.2048,381.44,400.2048,218841
2015-12-02,406.528,413.696,390.656,402.6624,216351
2015-12-03,404.5312,422.784,404.5312,415.104,362698
2015-12-04,417.024,417.28,394.368,395.136,121722
2015-12-07,403.712,408.064,397.3632,400.4096,60713
2015-12-08,406.016,406.016,380.3904,380.4928,54200
2015-12-09,372.736,372.736,361.472,361.472,37075
2015-12-10,343.3984,370.5856,343.3984,359.2192,132160
2015-12-11,359.7312,371.1488,352.8192,354.2272,61861
2015-12-16,352.896,359.936,343.0912,344.3712,38343
2015-12-17,349.184,361.472,345.9584,352.4352,48782
2015-12-18,356.352,356.352,337.1264,339.9424,50945
2015-12-21,343.552,354.304,339.456,345.6256,73486
2015-12-22,346.6752,354.816,338.432,340.1984,57143
2015-12-23,347.6224,347.6224,335.36,336.9728,41115
2015-12-24,337.92,341.3504,329.216,332.928,36167
2015-12-28,332.8,349.568,332.8,349.568,81852
2015-12-29,363.52,367.0272,362.0352,367.0272,44838
2015-12-30,385.3568,385.3568,385.3568,385.3568,21817
2015-12-31,399.36,404.608,395.264,404.608,253251
2016-01-01,434.176,485.5296,381.44,477.6192,1837115
2016-01-04,476.2112,549.888,474.624,529.1264,1654111
2016-01-05,550.4,575.488,535.6544,556.9536,856258
2016-01-06,576,582.656,538.112,545.9968,507081
2016-01-07,531.456,563.2,503.296,531.6096,729116
2016-01-08,589.824,599.04,546.432,556.8512,1185321
2016-01-11,548.352,548.3776,522.24,527.7696,370903
2016-01-12,527.7696,527.7696,491.8016,498.176,438438
2016-01-13,505.8304,514.0224,451.7376,469.9648,457708
2016-01-14,455.68,503.808,435.2,491.136,492856
2016-01-15,494.592,509.44,463.36,471.9104,253827
2016-01-18,473.2672,478.3872,397.568,412.5696,250682
2016-01-19,415.232,447.9488,386.5856,427.7504,374495
2016-01-20,421.5808,443.136,409.6,426.5728,339571
2016-01-21,435.4048,460.0832,424.9344,431.5392,255562
2016-01-22,441.5488,448,426.5216,435.4304,136108
2016-01-25,440.32,444.7744,428.032,431.0272,79345
2016-01-27,435.2256,447.8464,427.776,435.7376,79128
2016-01-28,435.2,442.368,424.064,427.0592,94298
2016-01-29,431.4624,434.176,419.84,424.576,85205
2016-02-01,428.3904,455.8592,428.0064,431.7952,205105
2016-02-02,434.6112,445.44,430.976,432.6144,106401
2016-02-03,429.568,439.7056,418.816,424.3968,71775
2016-02-04,435.712,437.5808,404.1728,410.0864,99298
2016-02-05,414.1568,418.816,389.76,400.0512,135147
2016-02-08,403.968,403.968,379.8528,382.1056,85986
2016-02-09,376.32,376.32,351.2832,362.752,98146
2016-02-10,354.432,429.056,350.8736,421.76,569793
2016-02-11,425.984,448,371.4048,381.9008,673463
2016-02-12,389.1456,421.2736,364.0576,402.0224,424258
2016-02-15,413.184,437.76,410.8288,420.9664,233685
2016-02-16,423.1168,433.0752,403.6608,406.0672,111387
2016-02-17,400.384,415.744,393.472,408.0896,124222
2016-02-18,415.232,421.376,396.3392,400.2304,115432
2016-02-19,399.36,403.456,391.9872,396.8,54126
2016-02-22,399.3344,421.2224,391.68,405.6832,114432
2016-02-23,408.064,410.24,393.216,400.1024,54566
2016-02-24,399.1552,399.3344,382.976,385.4848,52587
2016-02-25,384,395.264,375.3216,377.5744,57706
2016-02-26,381.9776,389.12,373.76,377.2416,66778
2016-02-29,359.424,383.1808,359.424,371.8912,65511
2016-03-01,373.76,419.84,373.7344,412.7744,249921
2016-03-02,420.7104,432.128,406.5536,410.1376,142637
2016-03-03,414.208,424.448,403.456,409.2416,88411
2016-03-04,405.5296,414.72,396.9536,399.1808,126486
2016-03-08,400.64,437.7088,394.7776,421.3504,317720
2016-03-09,420.1984,423.936,405.0688,418.3296,118347
2016-03-10,425.984,448,424.9344,440.1152,489946
2016-03-11,442.0096,460.8,437.8112,454.5792,270931
2016-03-14,459.3664,485.2736,459.3664,477.2352,422143
2016-03-15,480.3328,482.304,461.824,463.8208,172150
2016-03-16,466.1248,471.5264,451.8656,468.4032,150837
2016-03-17,475.136,481.792,462.1824,464.4352,111173
2016-03-18,469.3504,478.4128,465.92,472.448,113667
2016-03-21,473.088,481.1776,468.224,476.672,95202
2016-03-22,478.72,478.72,454.7072,465.7408,88955
2016-03-23,465.408,470.016,456.2432,459.9296,60838
2016-03-28,461.824,477.9008,457.3952,462.2336,120878
2016-03-29,464.896,468.48,447.1552,453.632,89233
2016-03-30,458.24,477.1328,458.24,470.7584,192098
2016-03-31,473.344,480.256,471.168,475.008,103372
