Date,Open,High,Low,Close,Volume
2015-09-07,57.95,58.45,55.5,55.85,18635
2015-09-08,56.65,56.65,55,56.3,35717
2015-09-09,58,58.9,56.15,56.65,29985
2015-09-10,56.1,57.95,55.5,56.25,43203
2015-09-11,56.35,57.25,56.05,56.4,25107
2015-09-14,56.3,57.25,56.1,56.9,38924
2015-09-15,57.75,57.85,56.7,57.45,11939
2015-09-16,57.55,57.95,57.25,57.3,8637
2015-09-18,57.4,57.9,56.5,56.95,17293
2015-09-21,57.35,58.8,57,58.25,19759
2015-09-22,58.05,58.7,56.25,56.65,28476
2015-09-23,57.05,58.5,56.15,58,25112
2015-09-24,58.6,58.7,57.65,57.9,13741
2015-09-28,58.65,60.6,57.2,58.9,57033
2015-09-29,58.95,59.5,57.55,58.45,35132
2015-09-30,58.55,59.45,57.1,57.9,38728
2015-10-01,58.8,59.45,57.3,57.85,44570
2015-10-05,57.55,59.9,57.55,58.65,22876
2015-10-06,59.15,59.85,58.3,59,36202
2015-10-07,59.35,60.55,59,59.85,42015
2015-10-08,60.35,62.1,59.65,61.05,64821
2015-10-09,61,62.05,60.95,61.6,56791
2015-10-12,61.05,64.6,61,63.4,69305
2015-10-13,64.45,64.45,61.85,62.45,54241
2015-10-14,62.1,62.5,60.45,61.1,77655
2015-10-15,62,62.1,60.7,61,35754
2015-10-16,61.35,62.05,61,61.1,122324
2015-10-19,61.35,61.95,60.9,61.05,30392
2015-10-20,60.8,61.5,60.5,61.1,32223
2015-10-21,61.6,61.7,61,61.05,35206
2015-10-23,61.25,61.45,59.15,59.6,59694
2015-10-26,61.05,63.65,60,60.2,178760
2015-10-27,60.35,62.1,59.25,61.05,201925
2015-10-28,61.35,63,60.7,62.3,449038
2015-10-29,61.85,62.95,61.1,61.35,114790
2015-10-30,61.45,62.45,60.75,61.15,65669
2015-11-02,60.25,62,59.7,61.5,55648
2015-11-03,61.9,63.8,61.7,63.15,269829
2015-11-04,69,75.45,66.65,73.25,2452834
2015-11-05,72,73.9,68.6,69.6,751263
2015-11-06,68.05,77.9,68.05,76.2,972914
2015-11-09,72.8,75.85,71.9,74.3,236167
2015-11-10,74.5,76.95,73,73.45,190668
2015-11-11,74.4,75.8,73.4,75.2,73448
2015-11-13,75,75.35,73.15,73.5,107184
2015-11-16,73.2,73.9,72,72.2,62862
2015-11-17,72.9,78.5,71.55,76.7,394588
2015-11-18,76.45,80.5,76.05,77.55,361309
2015-11-19,78.5,79.9,76.75,78.65,188798
2015-11-20,78.85,82.45,78.15,80.1,377870
2015-11-23,80.85,80.9,78.4,78.85,88170
2015-11-24,78.2,80,78.2,78.65,72930
2015-11-26,79.05,79.8,78,78.25,66279
2015-11-27,78.05,78.9,76,76.7,90800
2015-11-30,77.9,77.9,76,76.2,68142
2015-12-01,77.3,79.25,75.9,78.25,148560
2015-12-02,78.95,78.95,77,77.1,64728
2015-12-03,76.05,81,76.05,77.95,223538
2015-12-04,76.35,79.75,76.35,77.7,63113
2015-12-07,77.85,79.55,77,78.05,49140
2015-12-08,78.05,79.4,77.1,77.95,80875
2015-12-09,77.95,79.15,74.6,75,66616
2015-12-10,75,77,74.1,76.5,57924
2015-12-11,75.2,78.25,74.1,75.1,65895
2015-12-16,80,80,77.7,78.45,68998
2015-12-17,79.45,80,77.75,78.65,89525
2015-12-18,78.15,79.45,77.2,77.6,45025
2015-12-21,76.1,78.15,76.1,77.6,26470
2015-12-22,77.4,78.9,76.85,77,46645
2015-12-23,78.3,78.7,77.35,77.7,27846
2015-12-24,77.35,78.2,77.1,77.2,33273
2015-12-28,77.15,78.35,76.25,77.05,41902
2015-12-29,77.2,78,76.65,77.9,46861
2015-12-30,78.35,78.35,76.9,77,31719
2015-12-31,78.5,82.7,77.25,80.9,248316
2016-01-01,81.65,83.05,80.1,82.7,174610
2016-01-04,83,85.95,82,84.1,233737
2016-01-05,84.5,84.9,81.25,81.8,106564
2016-01-06,82.1,84.7,82.05,82.7,136429
2016-01-07,82,82.9,80.2,81.95,113285
2016-01-08,81.25,83.8,80.35,82.75,76627
2016-01-11,81,84.3,80.65,83.55,77536
2016-01-12,84.7,88.2,83.5,86.7,429061
2016-01-13,87.9,89,81.2,83.55,486180
2016-01-14,82,89,80.5,84.45,328360
2016-01-15,85,88,81.35,82.35,174028
2016-01-18,82.2,86.8,75.35,77.9,83651
2016-01-19,76.05,80.8,76.05,77.85,62444
2016-01-20,77.75,77.75,74,74.4,66146
2016-01-21,75.1,77.55,74.6,75.9,40068
2016-01-22,77.85,79.15,75.3,76.8,56614
2016-01-25,78,81.7,76.6,79.75,84529
2016-01-27,81,82.8,78.5,81.55,138021
2016-01-28,89,89,84.2,86.1,1214929
2016-01-29,84,85.8,81.7,82.5,142715
2016-02-01,83.25,83.4,80.8,81.05,80890
2016-02-02,81.45,83.3,79.35,81.6,127468
2016-02-03,80,80.7,76.1,76.5,126898
2016-02-04,76.2,78.8,73.45,74.2,102859
2016-02-05,74.25,77.6,73.35,77,79168
2016-02-08,76.9,77.75,75.6,76.7,43729
2016-02-09,76.1,76.35,74.1,74.55,48953
2016-02-10,74.55,74.8,73.1,74.1,30923
2016-02-11,74,74.6,65.05,66.4,122238
2016-02-12,66.55,73.5,65.05,70.35,188537
2016-02-15,70.9,74.2,70,73.45,123984
2016-02-16,74.4,74.4,70,70.55,50817
2016-02-17,70.05,73.95,67.05,72.5,78388
2016-02-18,73,74,70.1,72.6,70844
