Date,Open,High,Low,Close,Volume
2015-09-07,67,67.7,64.1,64.8,10461
2015-09-08,65.05,65.9,63.15,64.55,9892
2015-09-09,66,67.4,65,66.05,8063
2015-09-10,65.2,68.4,62.7,65.75,26144
2015-09-11,66.5,67,64.5,65.7,7102
2015-09-14,66.4,67.25,65.4,65.65,7334
2015-09-15,65.65,66.3,65.5,65.75,6640
2015-09-16,65.85,66.75,65,65.8,6666
2015-09-18,66.1,66.95,65.55,66,3202
2015-09-21,65.1,67,63.65,66.7,5940
2015-09-22,67,67.5,65.35,65.45,6768
2015-09-23,64.7,65.7,64,65.15,6549
2015-09-24,65.9,67,65.35,65.7,3698
2015-09-28,65.05,66.25,65.05,65.2,6215
2015-09-29,65.25,67,64.05,65.7,7217
2015-09-30,65.25,69.45,65.25,68.15,34672
2015-10-01,67.55,71,67.55,70.15,23101
2015-10-05,70.15,72.75,70,71.6,29765
2015-10-06,72,72.8,71.3,71.9,8005
2015-10-07,71.65,72.75,70.9,72.25,9879
2015-10-08,72,73.8,71.6,73.15,18289
2015-10-09,73.3,74.3,73,73.7,7149
2015-10-12,74.55,78.9,74.1,77.2,265795
2015-10-13,77.4,79.5,77,78.6,79977
2015-10-14,79,79,71.9,73.4,349056
2015-10-15,71.5,72.7,70.4,70.85,63743
2015-10-16,71.7,71.7,70.05,70.3,14514
2015-10-19,71,71,68.4,70.1,18086
2015-10-20,70.05,72.05,69.3,70.05,25162
2015-10-21,70.15,71,69,69.8,9098
2015-10-23,70.65,70.65,68.2,68.6,9780
2015-10-26,69.25,69.45,66.25,67.45,8858
2015-10-27,68.2,68.65,66.3,67.2,5189
2015-10-28,68.1,68.1,66.75,67.15,6779
2015-10-29,67.05,70.65,67.05,68.35,10196
2015-10-30,68.25,69.1,67,67.3,5232
2015-11-02,68,69.3,65,66.7,11659
2015-11-03,66.6,67.95,66.5,67.15,5381
2015-11-04,67.2,69,67,67.3,2857
2015-11-05,67.3,67.5,65.5,65.9,8297
2015-11-06,66.75,67.55,65.7,65.95,5854
2015-11-09,65,66,64.05,65,9479
2015-11-10,64.55,65.55,64,64.6,4700
2015-11-11,63.3,66.15,63.3,65.55,1644
2015-11-13,65.15,66.5,64.1,64.8,3754
2015-11-16,64.5,66,63.8,65.5,6140
2015-11-17,65.4,66.5,65.4,65.6,5149
2015-11-18,64.95,66.4,64.9,65.3,7767
2015-11-19,67.05,69.05,66,66.85,16071
2015-11-20,67.3,67.35,66,66.15,19953
2015-11-23,66.85,67.5,66.4,67.15,9189
2015-11-24,66.85,67.75,66.25,66.95,9703
2015-11-26,67.7,77.5,67.15,76.55,121421
2015-11-27,76.65,79.6,75.2,79.1,183773
2015-11-30,79.1,79.6,77.3,77.95,298573
2015-12-01,78.4,79.5,76.9,77.1,25827
2015-12-02,77.1,78.7,76,76.55,38463
2015-12-03,76.5,77.05,75.75,76,10679
2015-12-04,78,78,72.55,72.95,27106
2015-12-07,75.45,84,72,80.55,366032
2015-12-08,80.75,80.75,75.35,76.55,121505
2015-12-09,75,76.8,73,73.65,30327
2015-12-10,73.35,74.5,72.15,73.8,27058
2015-12-11,75,75.4,73,73.45,12997
2015-12-16,75,76.15,74.5,74.7,20946
2015-12-17,75.55,75.9,74.25,75.15,15719
2015-12-18,75.75,76.6,75.05,75.75,23033
2015-12-21,74,76.55,74,75.65,10035
2015-12-22,75.55,78.3,75.5,76.8,18729
2015-12-23,77,77.75,76.5,76.95,16041
2015-12-24,75.55,80.4,75.55,79.9,50187
2015-12-28,80.9,82.55,79,81,61820
2015-12-29,81.55,81.8,78.05,78.8,17321
2015-12-30,79.1,81,78.7,79,14494
2015-12-31,78.7,80.3,78.1,78.7,18175
2016-01-01,78.5,83.45,78.5,81.5,91221
2016-01-04,80.8,81.75,77.05,77.8,32479
2016-01-05,79.7,82,78.35,79,30062
2016-01-06,79.05,89.9,79.05,88.45,449646
2016-01-07,85.5,86.7,81.1,81.8,102393
2016-01-08,83.3,90.9,80.25,87.75,1159250
2016-01-11,88.05,88.05,79,85.95,154576
2016-01-12,86.95,87.5,82,83.75,90510
2016-01-13,85,87,76.6,79.45,93385
2016-01-14,78,79.6,76.15,78.3,34133
2016-01-15,81.9,81.9,74.05,74.95,33333
2016-01-18,75.4,75.4,67.5,69.45,52183
2016-01-19,68,73,68,69.5,34718
2016-01-20,69.8,69.8,66.1,67.05,22523
2016-01-21,69.85,70.9,67.15,68.6,19873
2016-01-22,69.1,71.75,69,69.5,13085
2016-01-25,70.15,71.6,69.6,70.05,10816
2016-01-27,69.8,72.75,69,71.6,14365
