Date,Open,High,Low,Close,Volume
2015-09-07,564.45,568.9,555.8,558.95,3468
2015-09-08,570,571,548.1,559.5,9041
2015-09-09,560,580.25,559,561.1,3584
2015-09-10,550.35,565.1,550.35,557.75,4105
2015-09-11,560.9,570,552.05,559.35,9169
2015-09-14,564.05,570,558.25,563.25,4947
2015-09-15,561,564,557.05,562.2,3376
2015-09-16,562.05,581.9,562,576.65,10439
2015-09-18,580,688,579.5,662.25,145297
2015-09-21,650,689.35,637.2,661.8,81181
2015-09-22,625,677.75,625,640.75,30281
2015-09-23,640.05,647,632.85,638.5,6203
2015-09-24,630.05,650,630,642.05,7585
2015-09-28,640,694,635.05,664.45,32387
2015-09-29,647.05,659,631.05,641.25,7823
2015-09-30,646.65,655,632,640.35,8908
2015-10-01,640.15,644.65,630,633.15,4563
2015-10-05,634.95,684.95,634.85,674.6,21430
2015-10-06,670,680,650,653.05,24620
2015-10-07,661.6,670,646.05,651,7200
2015-10-08,651.05,655.5,636.05,642.05,3206
2015-10-09,642.8,667.95,611,625.6,15060
2015-10-12,631.05,655,630,650.15,12140
2015-10-13,652,680.2,641.9,671,43505
2015-10-14,672,701,668.5,681.2,80941
2015-10-15,690,725,680,709.35,124457
2015-10-16,710,851.2,709.6,851.2,375918
2015-10-19,880,1021.4,870,1010.05,1075694
2015-10-20,1004.7,1004.7,914,924.5,477424
2015-10-21,920,980,912.3,968.45,311084
2015-10-23,973.9,1011,960,967.8,345634
2015-10-26,969.9,977.5,935.1,960.55,126892
2015-10-27,950.3,972,947.95,955.85,74386
2015-10-28,950,965,940,942.7,46469
2015-10-29,940.1,949,910,917.1,37351
2015-10-30,923.95,971.95,921,939.75,132844
2015-11-02,950.45,970.2,896.15,920.1,123630
2015-11-03,928.45,960,925,953.05,65764
2015-11-04,961.7,973.95,942,946.8,59454
2015-11-05,948,982,940,951.7,132449
2015-11-06,952,990,928,935.1,103591
2015-11-09,923,963.7,900,956.85,44523
2015-11-10,962,968,925,934.6,25535
2015-11-11,938.45,982,938.15,972.2,38371
2015-11-13,962.5,1000,947.1,989.25,105926
2015-11-16,1010,1187.1,965.3,1139.85,485338
2015-11-17,1155.9,1349.9,1155,1267.45,1034552
2015-11-18,1270,1278.35,1170.1,1187.35,382411
2015-11-19,1200,1227,1157.8,1198.55,345815
2015-11-20,1182,1309,1182,1267.7,411109
2015-11-23,1275.75,1390,1252.2,1361.45,485520
2015-11-24,1368,1407,1354,1371,265018
2015-11-26,1380,1443.8,1380,1431.15,358968
2015-11-27,1440,1470,1301,1381.85,500158
2015-11-30,1409.5,1426,1361,1415.7,261038
2015-12-01,1418,1439.3,1383.85,1398.5,127115
2015-12-02,1410,1590,1370,1568.05,790163
2015-12-03,1545,1662.8,1542.4,1632.35,729601
2015-12-04,1625,1639,1547,1567.8,331678
2015-12-07,1575,1595.45,1466.6,1490.05,545951
2015-12-08,1490,1538,1482.4,1495.45,242885
2015-12-09,1505.2,1536,1405.85,1452.25,399758
2015-12-10,1470,1479,1380.1,1398,254512
2015-12-11,1410,1414.9,1375,1385.9,108461
2015-12-16,1403,1413.85,1351.55,1399.7,271358
2015-12-17,1395,1395,1315.3,1335.35,261461
2015-12-18,1332,1348.7,1201.85,1201.85,472234
2015-12-21,1150,1249.9,1091.6,1235,718166
2015-12-22,1235,1287,1177.85,1259.55,361018
2015-12-23,1255,1307.7,1245,1255.35,241509
2015-12-24,1261.7,1294,1246,1266.05,142851
2015-12-28,1260,1292,1246,1270.75,114936
2015-12-29,1266.6,1276.95,1250,1253.9,56606
2015-12-30,1255,1345,1255,1323.9,535148
2015-12-31,1330,1389,1324,1368.35,413971
2016-01-01,1374.9,1437.9,1355,1413.75,353133
2016-01-04,1415,1458,1335.15,1359.35,228164
2016-01-05,1379,1424,1325,1394.15,336679
2016-01-06,1427,1449.4,1362.1,1369.3,247533
2016-01-07,1343.9,1350,1285,1301.45,132229
2016-01-08,1323.65,1440,1309.3,1402.75,515929
2016-01-11,1390,1437.5,1350,1390.5,300112
2016-01-12,1408,1408,1326,1333.3,188486
2016-01-13,1359,1380,1232,1295.35,327410
2016-01-14,1275,1314.45,1240.55,1268.95,145303
2016-01-15,1280,1288,1200,1208.9,145945
2016-01-18,1199.8,1199.8,1045.05,1080.25,143067
2016-01-19,1080,1123.95,1050,1056.15,230767
2016-01-20,1025,1250,1005,1169,657255
2016-01-21,1198.9,1249.95,1191.5,1210.35,348426
2016-01-22,1234,1255,1206.1,1213.1,205595
2016-01-25,1227,1245,1171,1229.6,215399
2016-01-27,1231,1248,1204,1222.75,90472
2016-01-28,1225,1246,1203.8,1213.4,74560
2016-01-29,1215,1251,1205.05,1222.55,122103
2016-02-01,1255,1365,1255,1276.3,430784
2016-02-02,1285.4,1291.5,1226.05,1238.15,80841
2016-02-03,1202.5,1224.15,1188.1,1196.8,60067
2016-02-04,1225,1226,1126.35,1139.2,123528
2016-02-05,1146,1175,1131.1,1164.45,80369
2016-02-08,1159.9,1225,1131,1167.9,127320
2016-02-09,1148,1197.85,1115.05,1123.8,168277
2016-02-10,1114,1147.9,1046,1058.75,141289
2016-02-11,1051,1077,950,968.25,117552
2016-02-12,997,997,876.35,952.8,188489
2016-02-15,968,1056.85,968,1030.8,119598
2016-02-16,1040,1065,975,993.2,119295
2016-02-17,1003,1023,950,1015.45,120573
2016-02-18,1025,1042.9,983,999.2,111468
2016-02-19,999.2,1096.5,991.8,1059.95,236958
2016-02-22,1069,1145,1066,1124.5,360447
2016-02-23,1121,1148.65,1091,1136.1,210755
2016-02-24,1136,1143,1085.25,1093.35,96554
2016-02-25,1095,1114.65,1055,1062.3,103597
2016-02-26,1078,1092,1001.2,1022.6,143227
2016-02-29,1012,1120,961.1,1074.1,343363
2016-03-01,1080.15,1188.7,1078,1178.65,415796
2016-03-02,1194,1219,1140,1159.15,267031
2016-03-03,1165,1169,1134,1151.35,150161
2016-03-04,1146.2,1198.95,1131,1165.8,207871
2016-03-08,1160,1187.95,1142.7,1164.1,90163
2016-03-09,1150,1159.7,1126,1134.85,103748
2016-03-10,1146.1,1231.1,1145.95,1198.3,370547
2016-03-11,1208,1221,1190.4,1208,195098
2016-03-14,1217.9,1239.8,1193,1202.7,117348
2016-03-15,1202.7,1214,1172,1185.35,97199
2016-03-16,1183.8,1196.25,1158,1167.9,127687
2016-03-17,1179,1220,1166.65,1173.75,187157
2016-03-18,1183.9,1196,1176,1189.05,83813
2016-03-21,1200.05,1209,1180.1,1184,95655
2016-03-22,1194,1194,1167.5,1176.35,88633
2016-03-23,1176.35,1227.7,1160,1211.6,157772
2016-03-28,1200,1207,1160,1165.85,118263
2016-03-29,1174.7,1184.7,1146,1162.9,77459
2016-03-30,1177,1217.05,1171.7,1198.95,160148
2016-03-31,1199,1216.45,1181.05,1188.45,92134
2016-04-01,1189,1212,1181,1189.55,62150
2016-04-04,1172,1174,1127,1144.25,204081
2016-04-05,1139,1168.7,1125,1147.85,130956
2016-04-06,1158,1180,1134.95,1163.1,53251
2016-04-07,1175,1175,1147.2,1153.65,41605
2016-04-08,1154.05,1165,1142,1146.95,52119
2016-04-11,1145,1194.9,1145,1187.1,162041
2016-04-12,1176,1224,1175,1208.45,176747
2016-04-13,1218,1252,1206.15,1222.85,219984
2016-04-18,1230,1230,1180,1202.5,61397
2016-04-20,1210.7,1210.7,1168.1,1173.85,47214
2016-04-21,1184.9,1205,1145.1,1154.95,119326
2016-04-22,1156,1183,1141.5,1163.7,69023
2016-04-25,1174,1174.6,1123.05,1127.35,75342
2016-04-26,1039,1039,918,931.3,1799472
2016-04-27,940,972,936.1,943.15,587962
2016-04-28,949.95,957,879,909.45,703364
2016-04-29,915.4,927.8,891.8,905.2,243866
2016-05-02,895.55,914.5,889.5,896.4,130272
2016-05-03,903.9,906.7,875,881.3,95060
2016-05-04,870,911.5,870,880.15,249130
2016-05-05,881,890,820,843.6,141121
2016-05-06,818.3,839,800.1,807.85,395676
2016-05-09,826,877.95,819.25,863.5,456838
2016-05-10,867,874.1,840,850.8,176589
2016-05-11,840,858.9,820.1,844.7,79070
2016-05-12,854,856.65,835.1,838.75,56973
2016-05-13,839.95,850.1,822.65,829.7,75691
2016-05-16,828.5,844.6,828.5,831.65,47747
2016-05-17,834.95,917,831,897.35,459098
2016-05-18,885,916.8,874.8,890,208469
2016-05-19,885.05,924.9,875.6,881.95,176847
2016-05-20,888,893,867.1,872.05,62282
2016-05-23,879.9,890,866.95,871.4,38894
2016-05-24,866.5,874.4,856,859.75,41042
2016-05-25,869.35,902,855,885.2,120756
2016-05-26,886.3,893.3,866,873.7,68691
2016-05-27,872,901,872,888,113206
2016-05-30,896,917.95,868.1,895.75,231206
2016-05-31,896.75,899,832,886.2,65635
2016-06-01,892,914,884.05,903.55,92313
2016-06-02,890.75,899.85,880,882.95,43761
2016-06-03,882.95,896.1,860,861.5,60263
2016-06-06,863.65,881,863.6,868.9,29651
2016-06-07,875.85,888,868,878,40638
2016-06-08,878,893.85,873,877.35,40809
2016-06-09,879.95,885,867,870.75,26937
2016-06-10,872.6,895,860,868.4,77388
2016-06-13,864,883.4,862,879.15,51499
2016-06-14,879.95,892.5,868,871.3,49424
2016-06-15,875.05,887,872,875.9,30735
2016-06-16,875.1,877.85,862,867.55,22119
2016-06-17,872.95,877.45,862.1,865.35,22168
2016-06-20,860,876,826.65,862.55,19708
2016-06-21,867.8,871.1,858.8,860.35,28423
2016-06-22,860,867.2,850,851.9,16420
2016-06-23,859,859,844.2,848.25,17372
2016-06-24,824,838,804.25,816.55,39454
2016-06-27,821.95,844,816,830.35,31783
2016-06-28,837.7,909,830.55,899.85,347944
2016-06-29,905.95,910,866.95,870.75,136962
2016-06-30,877.8,885,868,871.1,38295
