Date,Open,High,Low,Close,Volume
2020-10-09,1.3775,1.3775,1.3775,1.3775,80000
2020-10-12,1.3775,1.3775,1.3775,1.3775,80000
2020-10-16,1.3775,1.44,1.3775,1.44,240000
2020-10-20,1.37,1.37,1.37,1.37,80000
2020-10-28,1.4325,1.4325,1.4325,1.4325,160000
2020-10-30,1.475,1.475,1.475,1.475,160000
2020-11-02,1.4025,1.495,1.4025,1.495,160000
2020-11-05,1.56,1.56,1.56,1.56,160000
2020-11-06,1.6,1.6,1.6,1.6,80000
2020-11-09,1.67,1.68,1.67,1.68,320000
2020-11-10,1.6,1.6,1.5975,1.5975,160000
2020-11-12,1.635,1.67,1.635,1.67,240000
2020-11-14,1.7475,1.7475,1.7475,1.7475,80000
2020-11-17,1.6625,1.6625,1.6625,1.6625,240000
2020-11-19,1.58,1.58,1.58,1.58,80000
2020-11-20,1.585,1.65,1.585,1.6175,160000
2020-11-25,1.665,1.665,1.665,1.665,80000
2020-11-26,1.6725,1.675,1.6725,1.675,160000
2020-12-03,1.65,1.7,1.65,1.7,240000
2020-12-04,1.675,1.68,1.675,1.68,240000
2020-12-07,1.7,1.705,1.7,1.705,240000
2020-12-08,1.695,1.725,1.695,1.725,320000
2020-12-09,1.7,1.7025,1.695,1.6975,320000
2020-12-10,1.7,1.7075,1.7,1.7075,320000
2020-12-15,1.7,1.7025,1.7,1.7025,320000
2020-12-21,1.725,1.75,1.62,1.75,800000
2020-12-22,1.6625,1.6625,1.6625,1.6625,80000
2020-12-23,1.725,1.73,1.7175,1.73,240000
2020-12-24,1.815,1.815,1.815,1.815,172500
2020-12-28,1.905,1.905,1.905,1.905,15780
2020-12-29,2,2,1.855,1.9325,210700
2020-12-30,2.0225,2.0275,1.9,2.0275,137360
2020-12-31,2.1275,2.1275,1.93,2.045,176240
2021-01-01,2.135,2.135,2.02,2.12,16680
2021-01-04,2.2125,2.2125,2.0325,2.035,17980
2021-01-05,2.035,2.1,2.0075,2.05,35400
2021-01-06,2.15,2.15,1.9975,2.01,75920
2021-01-07,1.96,2.0975,1.9125,2.0475,57920
2021-01-08,2,2.135,2,2.0275,176580
2021-01-11,2.0025,2.1,1.9875,2.035,8480
2021-01-12,1.94,2.12,1.935,1.9925,87340
2021-01-13,2.075,2.075,1.895,1.8975,116400
2021-01-14,1.8275,1.915,1.805,1.855,21060
2021-01-15,1.9,1.9,1.7625,1.7625,29000
2021-01-18,1.7625,1.825,1.675,1.675,6820
2021-01-19,1.71,1.725,1.675,1.685,10060
2021-01-20,1.72,1.7675,1.605,1.7675,86540
2021-01-21,1.855,1.855,1.855,1.855,29400
2021-01-22,1.9475,1.9475,1.945,1.945,61920
2021-01-25,2.01,2.0375,1.85,1.925,18060
2021-01-27,1.9825,1.9825,1.9825,1.9825,420
2021-01-28,1.905,1.9825,1.885,1.885,4580
2021-01-29,1.8475,1.85,1.7925,1.82,1080
2021-02-01,1.8175,1.85,1.8175,1.85,2780
2021-02-02,1.85,1.85,1.7675,1.7775,60
2021-02-04,1.7775,1.7775,1.69,1.7775,9820
2021-02-05,1.8325,1.8325,1.75,1.75,1020
2021-02-08,1.83,1.925,1.83,1.9225,22820
2021-02-09,2.1125,2.1125,1.75,1.9975,75940
2021-02-10,1.8375,2.1925,1.83,2.1025,46280
2021-02-11,2.1625,2.25,2.07,2.2075,77680
2021-02-12,2.005,2.275,2.005,2.0475,43480
2021-02-15,2.11,2.2325,2.055,2.1125,47600
2021-02-16,2.11,2.1775,2.015,2.02,27040
2021-02-17,2.015,2.06,2.005,2.0125,200360
2021-02-18,2.1725,2.21,1.9375,2.1925,396400
2021-02-19,2.1925,2.4,2.015,2.1325,97360
2021-02-22,2.15,2.15,2,2.0275,450760
2021-02-23,2.035,2.035,1.925,1.97,120
2021-02-24,2.0475,2.0475,1.855,2,2960
2021-02-25,2.075,2.08,2.075,2.08,1360
2021-02-26,2,2.0775,1.9075,2.02,59620
2021-03-01,2.0625,2.125,1.925,2.0925,12660
2021-03-02,2.135,2.2825,1.905,2.0225,33180
2021-03-03,1.95,2.165,1.9125,1.9425,11480
2021-03-04,2.055,2.1075,2.005,2.0675,12900
2021-03-05,2.22,2.2725,2.025,2.0525,46900
2021-03-08,2.1,2.15,2.005,2.15,18020
2021-03-09,2.0125,2.365,2.0025,2.365,423340
2021-03-10,2.595,2.6,2.35,2.53,637260
2021-03-12,2.655,2.655,2.4225,2.475,70840
2021-03-15,2.385,2.5975,2.355,2.5425,67940
2021-03-16,2.6675,2.6675,2.44,2.6325,59760
2021-03-17,2.67,2.7325,2.5075,2.5375,72500
2021-03-18,2.605,2.605,2.4375,2.44,25160
2021-03-19,2.3375,2.515,2.335,2.36,4040
2021-03-22,2.4575,2.4575,2.325,2.37,4620
2021-03-23,2.2775,2.425,2.2775,2.425,122020
2021-03-24,2.335,2.3975,2.335,2.3925,1460
2021-03-25,2.2925,2.2925,2.2875,2.2875,720
2021-03-26,2.2175,2.395,2.2175,2.3875,304240
2021-03-30,2.46,2.505,2.2825,2.4275,7220
2021-03-31,2.3275,2.4875,2.325,2.3275,5620
2021-04-01,2.3075,2.3075,2.2825,2.2825,200
2021-04-05,2.28,2.395,2.21,2.38,35040
2021-04-06,2.38,2.49,2.2625,2.2675,28880
2021-04-07,2.3075,2.37,2.18,2.18,11320
2021-04-08,2.2725,2.275,2.18,2.27,1940
2021-04-09,2.27,2.3825,2.1575,2.18,67180
2021-04-12,2.28,2.28,2.155,2.1675,16000
2021-04-13,2.06,2.265,2.06,2.135,1020
2021-04-15,2.0925,2.24,2.075,2.0775,18460
2021-04-16,2.1775,2.18,2.075,2.14,3040
2021-04-19,2.2425,2.245,2.0475,2.0475,1700
2021-04-20,1.985,2.1475,1.985,2.1375,14420
2021-04-22,2.1375,2.155,2.0425,2.105,273420
2021-04-26,2.21,2.21,2.04,2.11,10840
2021-04-27,2.01,2.2,2.01,2.1325,15160
2021-04-28,2.03,2.2,2.0275,2.0275,5380
2021-04-29,2,2.125,1.9275,2.125,2880
2021-04-30,2.225,2.225,2.02,2.155,3820
2021-05-03,2.0475,2.255,2.0475,2.225,3560
2021-05-04,2.1575,2.1575,2.115,2.115,2000
2021-05-05,2.01,2.21,2.01,2.1,4460
2021-05-06,2.2,2.2,2,2.1325,6060
2021-05-07,2.1325,2.1325,2.0275,2.0275,220
2021-05-10,2.0275,2.0775,2.0275,2.0275,13380
2021-05-12,2.07,2.07,2.035,2.07,2020
2021-05-17,1.9675,2.06,1.9675,1.975,960
2021-05-18,2,2.0725,1.975,1.975,820
2021-05-19,1.975,1.975,1.975,1.975,260
2021-05-20,1.8775,2.0725,1.8775,1.99,3940
2021-05-21,1.9,1.9575,1.9,1.9575,2820
2021-05-25,1.8625,2.055,1.8625,2.0525,3260
2021-05-26,2.0525,2.1,2.05,2.1,2700
2021-05-27,2.1,2.1,2.1,2.1,20
2021-05-28,1.995,1.995,1.995,1.995,1160
2021-05-31,1.995,1.995,1.995,1.995,400
2021-06-01,1.9,1.9575,1.9,1.9275,2260
2021-06-02,1.9,2.015,1.9,2.015,102220
2021-06-03,1.9175,2.1,1.9175,2.095,5900
2021-06-04,2.025,2.09,2.025,2.09,96580
2021-06-07,2.0275,2.0875,2.0275,2.0875,90200
2021-06-08,2.045,2.085,2.045,2.085,44120
2021-06-09,2.075,2.075,2.07,2.075,24800
2021-06-10,2.05,2.15,1.9725,1.9725,153260
2021-06-11,1.98,2.07,1.9725,2.0675,21600
2021-06-14,2.17,2.17,1.965,1.965,10140
2021-06-15,2.0625,2.0625,2.025,2.025,14120
2021-06-16,2.125,2.125,1.975,1.9775,107080
2021-06-17,2.0175,2.075,1.88,1.885,45580
2021-06-18,1.9425,1.9475,1.9425,1.9475,500040
2021-06-21,2.0425,2.0425,1.95,1.95,364480
2021-06-22,2.0125,2.0125,1.855,1.88,260880
2021-06-23,1.9375,1.95,1.9325,1.95,144880
2021-06-24,2.0475,2.0475,1.8525,1.86,2320
2021-06-25,1.86,1.86,1.8525,1.8525,2880
2021-06-28,1.91,1.91,1.8525,1.8525,1800
2021-06-29,1.925,1.925,1.925,1.925,380000
2021-06-30,1.925,1.925,1.925,1.925,720
2021-07-01,1.83,2.0175,1.83,2.015,3860
2021-07-02,2.02,2.115,2.02,2.05,53600
2021-07-05,2.025,2.15,2.005,2.15,146080
2021-07-06,2.195,2.255,2.0425,2.0525,21840
2021-07-07,2.095,2.155,1.95,2.1,26740
2021-07-08,2.205,2.205,1.995,2.1725,177180
2021-07-09,2.165,2.165,2.1025,2.14,39400
2021-07-12,2.135,2.1375,2.0375,2.135,10000
2021-07-13,2.065,2.175,2.03,2.1425,21680
2021-07-14,2.14,2.14,2.0375,2.045,22520
2021-07-15,2.045,2.145,2.045,2.1375,129140
2021-07-16,2.04,2.2375,2.04,2.1,8860
2021-07-19,2.05,2.195,2.0425,2.17,1820
2021-07-20,2.135,2.15,2.0625,2.15,22440
2021-07-22,2.05,2.15,2.05,2.1475,2420
2021-07-23,2.0625,2.14,2.0425,2.14,3500
2021-07-26,2.05,2.1225,2.035,2.035,30700
2021-07-27,1.9375,2.05,1.935,1.95,28680
2021-07-28,1.99,2.0475,1.8525,2.02,236780
2021-07-29,2,2,2,2,1600
2021-07-30,2.075,2.075,1.905,2.05,11900
2021-08-02,2.05,2.05,1.95,2.05,22460
2021-08-03,2.04,2.0475,1.95,1.96,540
2021-08-04,2.02,2.02,1.96,1.96,1180
2021-08-05,2.02,2.02,1.8625,1.93,57840
2021-08-06,1.8925,2.01,1.835,1.99,207420
2021-08-09,1.8925,1.985,1.8925,1.895,3880
2021-08-10,1.8025,1.9625,1.8025,1.9,4080
2021-08-11,1.805,1.9775,1.805,1.9625,1860
2021-08-12,1.9625,1.9625,1.865,1.865,740
2021-08-13,1.945,1.945,1.775,1.775,1880
2021-08-16,1.83,1.8475,1.78,1.8475,2300
2021-08-17,1.76,1.8475,1.76,1.8475,60
2021-08-20,1.8475,1.8475,1.7575,1.84,281340
2021-08-23,1.76,1.92,1.75,1.92,361260
2021-08-24,1.92,1.92,1.92,1.92,18420
2021-08-25,1.825,1.9175,1.825,1.9175,380
2021-08-26,1.86,1.86,1.86,1.86,20
