Date,Open,High,Low,Close,Volume
2015-09-07,416.317,416.317,382.3,389.817,1198256
2015-09-08,391.3,406.667,385,387.633,457910
2015-09-09,394.667,405.883,384.167,388.517,638462
2015-09-10,393.6,410,388.333,402.883,1687364
2015-09-11,408.333,415,400.333,407.683,899228
2015-09-14,406.733,420,401.333,416.433,352436
2015-09-15,423.3,429,418.383,423.5,411065
2015-09-16,426.667,429.167,408.333,411.217,337757
2015-09-18,420,420,390.333,396.117,919316
2015-09-21,396.133,404.6,389.533,393.367,538139
2015-09-22,393.667,399.267,388.333,391.867,511151
2015-09-23,396,396,385,389.883,372869
2015-09-24,387.333,395.333,386.717,391.5,656717
2015-09-28,392.767,397.2,383.5,390.033,315281
2015-09-29,388,397.5,387.6,392.167,407630
2015-09-30,396.333,408.333,388.833,406.617,1117469
2015-10-01,410.617,415.483,405,409.633,340535
2015-10-05,411.333,448.317,411.333,437.417,1078817
2015-10-06,437.383,447.167,437.383,440.717,371816
2015-10-07,441.2,441.483,425.667,429.217,403460
2015-10-08,430,432.567,420.7,422.5,223091
2015-10-09,422.417,429.633,416.3,418.683,423110
2015-10-12,419.667,419.667,414.05,416.633,158609
2015-10-13,419.6,421.317,405.383,412.383,340031
2015-10-14,411.833,423.417,410.367,415,235790
2015-10-15,415,415,406.933,408.283,374318
2015-10-16,408.333,413.333,400.033,402.9,415277
2015-10-19,402.667,427.333,400,403.117,1607081
2015-10-20,406.633,414.767,402.133,412.1,433316
2015-10-21,412,416.683,408.333,414.75,223679
2015-10-23,415.667,419.333,414.55,418.533,354269
2015-10-26,425,432.667,421.667,428.733,2072720
2015-10-27,427.333,435,421.667,430.833,583838
2015-10-28,433.267,434.483,417.55,428.9,711731
2015-10-29,431.8,433.333,420.517,431.083,565886
2015-10-30,433.267,440.667,418.017,420.667,451952
2015-11-02,426.567,426.567,416.667,424.85,141593
2015-11-03,426.633,432.667,426.367,428.667,315872
2015-11-04,432.65,432.65,421.4,427.883,719087
2015-11-05,429.533,435.083,410.667,415.867,690494
2015-11-06,416.633,441.183,413.35,434.3,756578
2015-11-09,427,456,423.333,450.55,812168
2015-11-10,449.667,452.5,434.433,440.183,265739
2015-11-11,442.667,446.667,438.333,441.033,29720
2015-11-13,440.6,453.3,416.667,418.6,1034633
2015-11-16,418.6,419.967,400.017,401.367,556733
2015-11-17,403.967,409.4,402.333,405.717,265511
2015-11-18,409.283,413.333,402,403.5,295010
2015-11-19,404.35,414.933,404.35,410.817,744899
2015-11-20,413.3,413.3,404.7,407.017,488504
2015-11-23,409.667,414.683,405.333,409.417,322238
2015-11-24,410,419.833,408.8,418.267,298547
2015-11-26,419.967,423.317,416.167,420.883,678128
2015-11-27,423.333,432.983,417.367,428,1252346
2015-11-30,430.517,432,405.4,409.183,1628555
2015-12-01,413.667,422.167,412.833,417.933,833825
2015-12-02,421.967,422.333,412.7,419.883,345629
2015-12-03,416.7,422.867,405.733,407.3,422300
2015-12-04,405.333,407.667,400.417,401.917,385616
2015-12-07,403.667,411.333,403.667,408.967,966083
2015-12-08,407.333,425,407.333,413.983,1056851
2015-12-09,417.933,419.3,408,413.15,680774
2015-12-10,412.933,419.967,412.933,413.983,224405
2015-12-11,416.167,427.333,414.25,420.483,1681010
2015-12-16,440.3,443,434.267,440.367,661508
2015-12-17,443.333,446.6,425.033,432.35,766712
2015-12-18,433.983,440,426.7,435.85,978944
2015-12-21,436,438.883,424.033,429.133,293630
2015-12-22,429.167,440.667,426,439.383,472658
2015-12-23,437.333,443.217,430.017,431.833,316565
2015-12-24,434,435.333,425.017,426.267,156071
2015-12-28,426,437,425.9,433.233,728546
2015-12-29,433.233,438.533,430,433.917,452243
2015-12-30,436.633,436.633,425.383,426.683,183938
2015-12-31,434.367,443,430.85,439.8,778067
2016-01-01,442.65,458.3,432.767,447.35,734732
2016-01-04,442.533,450,441.867,443.25,335384
2016-01-05,443.233,444.633,436.517,438.633,652553
2016-01-06,443.333,445.667,431.667,435.383,384596
2016-01-07,435,436,413.017,420.3,624458
2016-01-08,421.333,427.467,411,414.767,585599
2016-01-11,414.767,418,409.983,410.417,786866
2016-01-12,416,427.75,411.667,423.083,728393
2016-01-13,425,428,413.667,424.017,354731
2016-01-14,421.967,431,417.333,427.6,906524
2016-01-15,428,432.683,410.183,413.5,572180
2016-01-18,413.533,419.467,400,403.533,434951
2016-01-19,404.167,409.5,397.033,402.617,463343
2016-01-20,400,402,393.333,395.933,643856
2016-01-21,398.367,400.633,374.9,376.333,976271
2016-01-22,381.667,384.233,374.167,376.833,941477
2016-01-25,377.333,390.017,377.333,383.267,774347
2016-01-27,386.667,391.667,372.933,382.267,2006648
2016-01-28,384.633,394.033,380.717,390.483,1901966
2016-01-29,391.6,409.217,391.6,408.317,2613380
2016-02-01,411.667,425.6,407.417,420.933,1052534
2016-02-02,421.5,424.417,407.35,412.417,1761701
2016-02-03,410.1,417.933,404.283,411.267,932279
