Date,Open,High,Low,Close,Volume
2023-10-26,180,180,161,169.6,159000
2023-10-27,171,174.8,164.95,168.5,72000
2023-10-30,170,173.7,168.3,170.15,51000
2023-10-31,169.4,176,169.4,170.9,72000
2023-11-01,173,178.8,167.75,170.05,120000
2023-11-02,168,170,165,165.8,27000
2023-11-03,162,166.85,162,164.95,24000
2023-11-06,164.35,166.8,155.55,159.1,81000
2023-11-07,163,163,150,152.35,108000
2023-11-08,152,165,151,164.35,111000
2023-11-09,164,173,164,170.75,135000
2023-11-10,175,175,168,169.05,78000
2023-11-12,161,169.3,161,167.4,18000
2023-11-13,171,171,167.6,170.4,15000
2023-11-15,171,172.25,167,170,138000
2023-11-16,170,170.2,167,167.85,45000
2023-11-17,170,170,164,168.5,33000
2023-11-20,168.1,169.95,168,168,36000
2023-11-21,169.5,170,167.1,167.55,63000
2023-11-22,169.85,169.85,165,165,33000
2023-11-23,165.5,168.4,165,165.05,36000
2023-11-24,165,165,165,165,3000
2023-11-28,165,165,161.05,161.05,39000
2023-11-29,162,165,162,164.5,15000
2023-11-30,161,165,160,160,21000
2023-12-01,162,162,159,159,15000
2023-12-04,163,163,158,161.9,27000
2023-12-05,160,160,155,155,24000
2023-12-06,145,157,145,157,78000
2023-12-07,160,160,157.2,159.95,156000
2023-12-08,161,165.5,159,159.45,123000
2023-12-11,160.05,160.05,156.45,157,162000
2023-12-12,159,159,155,155.65,69000
2023-12-13,155,155,153.2,153.2,6000
2023-12-14,152.1,155,152.1,153.2,36000
2023-12-15,154.5,154.5,154.5,154.5,3000
2023-12-18,147.15,153,147.15,151,45000
2023-12-19,150,153,150,151.85,27000
2023-12-20,152.5,152.5,150,150.5,24000
2023-12-21,150,150,148,149,24000
2023-12-22,157.55,157.55,152,153,30000
2023-12-26,152.9,153,149,150,24000
2023-12-27,148.2,150.1,148.2,149.5,15000
2023-12-28,149.5,150,147.1,149.65,60000
2023-12-29,150.9,152.5,150.9,151.5,15000
2024-01-01,152.9,153,150.1,153,12000
2024-01-02,153.05,154.45,150,153,30000
2024-01-03,155.35,160,155.35,159.1,132000
2024-01-04,163.5,172.85,163.5,168.75,105000
2024-01-05,171,176,171,171.65,132000
2024-01-08,174,174,167,169.5,150000
2024-01-09,173,174,166.1,172.4,258000
2024-01-10,174.4,206.85,172.5,204.95,564000
2024-01-11,219,235,217.4,226.5,315000
2024-01-12,224,227,215,219.95,51000
2024-01-15,219.7,219.7,203.1,207,162000
2024-01-16,207.1,217.85,207,210.9,243000
2024-01-17,212.35,212.55,205,208.45,33000
2024-01-18,210,216.9,205.5,211.15,30000
2024-01-19,213.75,213.75,208,208,21000
2024-01-20,211.1,212,207,207,27000
2024-01-23,214.7,214.7,203,205.9,54000
2024-01-24,206,206,202,204.85,18000
2024-01-25,205,207.95,201.25,204.9,21000
2024-01-29,210,221,206.2,220.45,126000
2024-01-30,224.9,224.9,220,222.85,33000
2024-01-31,221,221,211.1,214.3,27000
2024-02-01,249,249,214,217.95,21000
2024-02-02,214.1,214.1,209,213,33000
2024-02-05,209,218.45,209,214.45,60000
2024-02-06,218,218,212,216,21000
2024-02-07,214,214,210,214,48000
2024-02-08,210,217,210,217,21000
2024-02-09,211,217,205.1,213.25,36000
2024-02-12,210,210,210,210,3000
2024-02-13,209.9,209.9,209.9,209.9,3000
2024-02-14,209.5,209.5,209.5,209.5,3000
2024-02-15,204.25,213,204.25,213,24000
2024-02-16,200.2,214.95,200.2,214.9,39000
2024-02-19,214,214,203.2,206.1,21000
2024-02-20,206.1,213.5,204,213.5,18000
2024-02-21,210,212,210,212,9000
2024-02-22,218,218,205.5,208.8,30000
2024-02-23,215,216,210,216,15000
2024-02-26,218,218,211,211.4,45000
2024-02-27,214,214,214,214,6000
2024-02-28,208.65,208.65,208.5,208.5,12000
2024-02-29,205.05,208,205,205,21000
2024-03-01,207.8,213,207.8,212.95,9000
2024-03-02,208.2,209.3,208.2,208.95,12000
2024-03-04,208.95,208.95,203,203,6000
2024-03-05,200,209,200,204.35,18000
2024-03-06,202,202,196,196,15000
