Date,Open,High,Low,Close,Volume
2023-09-25,80.15,82.15,76,79.75,109013
2023-09-26,82.75,83.7,77,83.6,75133
2023-09-27,83.75,86.5,80,82.9,10430
2023-09-28,82.9,87,82.9,87,41948
2023-09-29,91.35,91.35,89.9,91.35,26039
2023-10-03,95.5,95.9,92,95.9,20716
2023-10-04,100,100.65,96.95,100.55,37479
2023-10-26,101,101,101,101,3637
2023-10-27,101,101,99,99,16
2023-10-30,97.05,97.05,97.05,97.05,1
2023-10-31,95.1,95.1,95.1,95.1,2700
2023-11-01,93.25,93.25,93.2,93.2,4419
2023-11-02,91.35,91.35,91.35,91.35,5778
2023-11-03,93.15,93.15,93.15,93.15,366
2023-11-06,95,95,95,95,35
2023-11-07,95,95,93.1,93.1,1368
2023-11-08,91.25,93.1,91.25,93.1,600
2023-11-09,91.25,94.95,91.25,94.95,350
2023-11-10,94.95,96.8,93.05,96.8,596
2023-11-12,101.6,101.6,94.2,94.2,219
2023-11-13,96.1,98.9,94.5,98.9,1010
2023-11-15,100.9,103.8,93.95,97,1684
2023-11-16,94.4,96.25,92.25,96.05,5717
2023-11-17,94,95,91.5,91.5,436
2023-11-20,91.5,91.5,88.9,91.5,2429
2023-11-21,87.55,96.05,87.55,95.05,2011
2023-11-22,95.05,96.05,90.3,90.4,411
2023-11-23,88.1,90.4,88.1,89.2,470
2023-11-24,86.8,93.6,84.75,93.6,381
2023-11-28,93.6,95.5,91,95.5,1287
2023-11-29,97,97,96.9,96.9,167
2023-11-30,96.9,96.9,92.05,95.85,358
2023-12-01,95.85,95.85,91.05,95.85,1345
2023-12-04,93.25,100.55,91.05,96,1375
2023-12-05,96,100,93.4,98.75,151
2023-12-06,96.25,100,93.85,93.85,332
2023-12-07,93.85,98.5,92,98.4,380
2023-12-08,100.4,101,93.5,93.7,1872
2023-12-11,93.7,97,93.7,94.95,171
2023-12-12,97,97,92,94.25,737
2023-12-13,91.65,98,91.65,98,31
2023-12-14,99,99,93.1,97.95,549
2023-12-15,102,102,93.05,93.05,1731
2023-12-18,93.05,93.05,91,93.05,559
2023-12-19,93.05,97.7,90.45,96,576
2023-12-20,100.8,100.8,93.4,95,382
2023-12-21,95,95,90.25,90.35,231
2023-12-22,87.75,94,86,93.5,957
2023-12-26,97,112.2,96,112.2,52986
2023-12-27,113.3,134.6,113.3,134.6,144562
2023-12-28,136,140.65,127.9,127.9,24367
2023-12-29,122,122,121.5,121.5,6718
2024-01-01,119,119,115.45,115.45,1270
2024-01-02,109.7,112.2,109.7,109.7,16676
2024-01-03,104.25,105,104.25,104.25,4287
2024-01-04,102,103.3,99.05,101.1,11324
2024-01-05,99,106.15,99,106.15,4004
2024-01-08,101,104.05,100.85,103.3,2664
2024-01-09,100.7,104.95,98.45,102.15,1280
2024-01-10,102,102.15,101.95,102,951
2024-01-11,102,102,96.9,97.45,874
2024-01-12,94,97.6,92.6,94.2,5888
2024-01-15,94.2,94.2,89.5,89.5,2355
2024-01-16,93.9,93.95,85.3,93.95,18134
2024-01-17,90,97.25,90,92.25,1056
2024-01-18,87.65,87.65,87.65,87.65,5124
2024-01-19,92,92,92,92,1
2024-01-20,87.4,90,87.4,90,2089
2024-01-23,90,90,85.5,85.5,1790
2024-01-24,89.7,89.7,81.25,81.3,1872
2024-01-25,79.7,80,79.7,80,236
2024-01-29,76,78.4,76,78.4,2502
2024-01-30,76,76,74.5,74.5,17025
2024-01-31,71,71,70.8,70.8,15510
2024-02-01,70.8,73.95,70.8,73.95,1267
2024-02-02,76,77.6,76,77.6,1326
2024-02-05,81.45,81.45,79,79,721
2024-02-06,81.95,82.95,81.95,82.95,2800
2024-02-07,85,87.05,85,87.05,1833
2024-02-08,91,91,90,90,949
2024-02-09,94.5,94.5,85.5,85.5,141
2024-02-12,85.5,89.75,81.25,83.65,2514
2024-02-13,87.8,87.8,85.2,85.2,303
2024-02-14,85.25,88.9,85.25,88.9,707
2024-02-15,93.3,93.3,90,92.5,3557
2024-02-16,96.5,96.5,87.9,92.4,1295
2024-02-19,87.8,95.45,87.8,87.8,3395
2024-02-20,90.3,90.3,83.45,83.9,786
2024-02-21,83.6,88,79.7,86.05,1883
2024-02-22,85.45,85.5,81.75,81.75,1010
2024-02-23,77.7,85.7,77.7,85,3569
2024-02-26,86,89.1,85,87,488
2024-02-27,87,87,82.8,85.95,710
2024-02-28,85.95,85.95,81.65,82.05,1572
2024-02-29,80.35,86,80.35,82,1100
2024-03-01,82,85,82,82.5,446
2024-03-04,82.5,86.6,82.5,86.05,1213
2024-03-05,86.7,86.7,82.6,82.6,419
2024-03-06,82.8,86.35,78.7,86.05,12075
2024-03-07,85.85,85.9,83,85.9,360
2024-03-11,85.9,90.15,85.9,85.9,1815
2024-03-12,87.6,87.6,82,82.3,597
2024-03-13,82.3,82.35,78.6,78.6,8458
2024-03-14,78.6,78.6,75.2,75.2,1297
2024-03-15,75.2,78.95,72.15,72.3,365
2024-03-18,72.3,75.9,71.5,71.8,798
2024-03-19,71.8,75.3,71.8,72,201
2024-03-21,69.5,71.2,68.4,68.4,14374
2024-03-22,71.8,71.8,68.6,71.8,59
2024-03-26,75.35,75.35,73.2,75.35,5619
2024-03-27,75,76,75,76,585
2024-03-28,75,76.5,72.2,72.45,456
2024-04-01,72.45,76,72.45,76,891
2024-04-02,79.7,79.7,79,79,3223
2024-04-03,82.7,82.95,82.5,82.95,1520
2024-04-04,82.8,87.05,82.8,86.6,2556
2024-04-05,86.6,90.9,86.6,89.5,697
2024-04-08,89.9,93.95,85.05,87.2,6460
2024-04-09,87.2,87.2,87.2,87.2,9
2024-04-15,85.45,85.45,85.45,85.45,2335
2024-04-19,85.45,85.45,85.45,85.45,1
2024-04-22,85.45,85.45,85.45,85.45,100
2024-04-23,85,85,85,85,150
2024-04-24,85,85,84,84,2
2024-04-25,83.5,83.5,83.5,83.5,1
2024-04-26,83.45,83.45,83.45,83.45,7
2024-04-29,83.4,83.4,81.8,81.8,1034
2024-04-30,80.2,80.2,80.2,80.2,494
2024-05-02,79.95,79.95,79.95,79.95,5200
2024-05-03,80,80,78.35,78.35,3910
2024-05-06,78.35,78.35,78.35,78.35,61
2024-05-07,76.8,76.8,76.8,76.8,681
2024-05-08,76.8,76.8,75.3,75.3,142
2024-05-09,73.85,73.85,73.8,73.8,414
2024-05-10,73.8,73.8,73.8,73.8,320
2024-05-13,73.8,73.8,73.8,73.8,150
2024-05-14,72.35,73.8,72.35,73.8,415
