Date,Open,High,Low,Close,Volume
2025-07-02,835,851.4,827.15,840.95,80966441
2025-07-03,842,891.9,842,864,30604163
2025-07-04,869.7,878.9,836.25,845.45,10956631
2025-07-07,845.45,858.8,833.25,843.95,6359412
2025-07-08,843.9,852.45,839.05,849.45,4382939
2025-07-09,850.5,863.8,837.95,840.6,4697728
2025-07-10,842.5,848.9,839,846.2,2667081
2025-07-11,843.05,852.5,838.15,845.65,3018242
2025-07-14,846.85,848,831,843.65,3147513
2025-07-15,843.45,847.5,839.35,841.25,1676069
2025-07-16,820,831,809.05,814.85,8464656
2025-07-17,818.65,822.5,803,804.8,2409799
2025-07-18,804,807.4,794,798.8,2075210
2025-07-21,795,800.25,791.55,796.45,1368863
2025-07-22,797,809.7,796.85,800.15,2001387
2025-07-23,801.4,806.4,797,800.3,1167072
2025-07-24,801,802.5,778.65,784.2,1900860
2025-07-25,784,784.1,750,760.75,3214030
2025-07-28,760,762.3,746.1,750.6,2401070
2025-07-29,748,748.65,741.1,745,1690328
2025-07-30,746.5,797.9,741.65,768.35,6623128
2025-07-31,758.25,766.5,754,758.55,3012795
2025-08-01,758.55,761,745.3,748.35,923642
2025-08-04,748.35,753.6,738.25,741.7,2261444
2025-08-05,742,749.6,736.2,739.1,1805249
2025-08-06,739.5,742.85,733.45,737.95,1299370
2025-08-07,733.7,754.8,732.7,751.65,1170816
2025-08-08,750,765,747.5,751.35,1314363
2025-08-11,751.25,752.3,741,744.65,862810
2025-08-12,745,746.6,739.1,743,1399626
2025-08-13,743,752.7,740,749.1,2825545
2025-08-14,749.15,769.25,748.15,760.1,2421869
2025-08-18,767.65,786.7,758.45,779.65,2513108
2025-08-19,779.65,795.25,777.2,792.95,2109272
2025-08-20,790,793.75,780.85,788.25,1199751
2025-08-21,791,811.8,787,796.55,1674710
2025-08-22,799.8,808.85,793.15,795.3,1069712
2025-08-25,797,802.8,794.85,800.05,1460806
2025-08-26,796,801.5,784.2,790.05,2927236
2025-08-28,788.1,792,778.35,781.95,736746
2025-08-29,781.95,788.4,776.25,778.2,627824
2025-09-01,778.2,789.25,773.95,779.7,960517
2025-09-02,780.5,787.9,770.55,777.55,975477
2025-09-03,780,782.5,773,777.8,944146
2025-09-04,783,785.85,772,773.3,1210560
