Date,Open,High,Low,Close,Volume
2022-08-11,17.8,18.001,17.703,17.806,48630
2022-08-12,17.8,17.879,17.503,17.524,27940
2022-08-16,17.7,18.2,17.503,18.1,92280
2022-08-17,18.19,18.285,17.901,18.209,35030
2022-08-18,18.32,18.32,18,18.29,30210
2022-08-19,18.2,18.3,17.98,18.152,60510
2022-08-22,18.08,18.1,17.88,17.9,6660
2022-08-23,17.999,17.999,17.705,17.9,13630
2022-08-24,17.88,17.97,17.8,17.811,9330
2022-08-25,17.8,18.165,17.72,18,25800
2022-08-26,18.07,18.205,17.795,18.004,65680
2022-08-29,17.998,17.998,17.686,17.72,28810
2022-08-30,17.998,18.18,17.82,18.154,65480
2022-09-01,18.15,18.15,17.93,17.93,5090
2022-09-02,17.97,18.049,17.892,17.953,8840
2022-09-05,18.491,18.491,17.8,18.173,14270
2022-09-06,18.13,18.17,18.081,18.163,11920
2022-09-07,18.13,18.159,17.981,18.144,7750
2022-09-08,18.22,18.27,18.108,18.17,23870
2022-09-09,18.199,18.334,18.192,18.199,20350
2022-09-12,18.219,18.5,18.181,18.337,81780
2022-09-13,18.369,18.5,18.299,18.448,31660
2022-09-14,18.369,18.5,18.318,18.387,19420
2022-09-15,18.419,18.499,18.298,18.314,17860
2022-09-16,18.281,18.4,18.001,18.068,17120
2022-09-19,18.02,18.211,17.95,18.057,6490
2022-09-20,18.1,18.4,18.1,18.334,12150
2022-09-21,18.33,18.369,18.131,18.22,2800
2022-09-22,18.27,18.3,17.88,18.183,14690
2022-09-23,18.219,18.219,17.83,17.861,8460
2022-09-26,17.9,18,17.47,17.493,31430
2022-09-27,17.52,17.8,17.4,17.523,72940
2022-09-28,17.501,20,17.225,17.48,11610
2022-09-29,17.519,17.52,17.13,17.264,25080
2022-09-30,17.319,17.619,17.2,17.591,3280
2022-10-03,17.6,17.6,17.25,17.347,7440
2022-10-04,17.4,17.716,17.4,17.603,3780
2022-10-06,17.75,17.82,17.53,17.618,3350
2022-10-07,17.62,17.8,17.5,17.695,7090
2022-10-10,17.58,17.68,17.5,17.559,13470
2022-10-11,17.599,17.599,17.136,17.213,4010
2022-10-12,17.3,17.593,17.3,17.506,1640
2022-10-13,17.52,17.552,17.4,17.457,2050
2022-10-14,17.5,17.744,17.5,17.565,450
2022-10-17,17.5,17.732,17.33,17.701,105610
2022-10-18,17.5,17.849,17.5,17.76,9660
2022-10-19,17.8,18.02,17.8,17.906,3970
2022-10-20,17.9,18.1,17.757,17.884,4930
2022-10-21,17.757,18,17.757,17.826,1530
2022-10-24,18,21.496,17.83,18.816,1370
2022-10-25,18,18.25,17.73,18.124,9640
2022-10-27,18.03,18.4,17.83,18.131,5690
2022-10-28,18.08,18.195,17.88,18.055,7700
2022-10-31,18.1,18.295,18,18.059,63270
2022-11-01,18.15,18.445,18.15,18.441,42790
2022-11-02,18.45,18.465,18.322,18.344,8650
2022-11-03,18.28,18.5,18.23,18.445,6530
2022-11-04,18.38,18.409,18.18,18.403,27460
2022-11-07,18.42,18.5,18.38,18.488,22070
2022-11-09,18.48,18.75,18.48,18.552,7650
2022-11-10,18.53,18.53,18.25,18.3,7790
2022-11-11,17.903,18.65,17.903,18.638,13860
2022-11-14,18.624,18.699,18.587,18.601,4230
2022-11-15,18.601,18.7,18.556,18.644,24260
2022-11-16,18.67,18.7,18.634,18.634,4430
2022-11-17,18.67,18.7,18.58,18.61,2770
2022-11-18,18.58,18.6,18.432,18.493,6180
2022-11-21,18.52,18.529,18.4,18.4,1050
2022-11-22,18.496,18.553,18.28,18.553,6190
2022-11-23,18.52,18.65,18.454,18.625,6190
2022-11-24,19.183,19.183,18.38,18.631,3180
2022-11-25,18.67,18.715,18.628,18.715,3240
2022-11-28,18.68,18.9,18.68,18.8,1660
2022-11-29,18.82,18.934,18.744,18.925,10120
2022-11-30,18.924,19.142,18.73,18.972,15010
2022-12-01,18.523,19.408,18.523,18.998,49640
2022-12-02,18.999,19.37,18.881,18.95,227800
2022-12-05,19,19.2,18.73,18.882,27880
2022-12-06,18.88,18.9,18.831,18.852,930
2022-12-07,18.9,19.027,18.867,18.922,3520
2022-12-08,18.9,18.978,18.9,18.978,1090
2022-12-09,18.93,18.93,18.65,18.813,6730
2022-12-12,18.85,18.9,18.681,18.815,17030
2022-12-13,18.535,18.956,18.535,18.808,17140
2022-12-14,18.849,18.969,18.849,18.9,7780
2022-12-15,19.5,19.5,18.531,18.615,9190
2022-12-16,18.67,18.747,18.5,18.5,3150
2022-12-19,18.55,18.7,18.55,18.648,1840
2022-12-20,18.67,18.72,18.512,18.598,13950
2022-12-21,18.598,18.725,18.203,18.267,6640
2022-12-22,18.105,18.756,18.105,18.38,2050
2022-12-23,18.65,18.65,17.911,18.022,13910
2022-12-26,17.454,18.349,17.454,18.179,20480
2022-12-27,18.219,18.436,18.219,18.418,9470
2022-12-28,18.42,18.47,18.08,18.117,3380
2022-12-29,18.2,18.499,18.162,18.498,6180
2022-12-30,18.498,18.6,18.13,18.35,4430
2023-01-02,18.4,18.92,18.268,18.484,5580
2023-01-03,18.5,18.536,18.23,18.4,2280
2023-01-04,18.477,18.477,18.13,18.282,4590
2023-01-05,18.3,18.65,18.08,18.25,8190
2023-01-06,18.299,18.299,18.03,18.158,5720
2023-01-09,18.2,18.506,18.08,18.424,11850
2023-01-10,18.38,18.38,18.081,18.237,5040
2023-01-11,18.18,18.29,18.11,18.192,2480
2023-01-12,18.075,18.213,18.024,18.057,1650
2023-01-13,18.1,18.312,18.1,18.293,2550
2023-01-16,18.23,18.298,18.131,18.22,1440
2023-01-17,18.289,18.348,18.161,18.3,3180
2023-01-18,18.299,18.419,18.18,18.325,3000
2023-01-19,18.3,18.41,18.298,18.37,3760
2023-01-20,18.35,18.412,18.25,18.3,28440
2023-01-23,18.35,18.386,18.3,18.38,27750
2023-01-24,18.331,18.399,18.283,18.377,12430
2023-01-25,18.745,18.745,18.036,18.072,16170
2023-01-27,18.21,18.21,17.53,17.544,6930
2023-01-30,17.6,20.28,17.18,19.367,16340
2023-01-31,18.002,18.36,17.61,17.777,84550
2023-02-01,17.778,18.17,17.602,17.723,19570
2023-02-02,17.7,18,17.616,17.975,2970
2023-02-03,17.75,18,17.53,17.81,12010
2023-02-06,18.17,18.17,17.644,17.749,23320
2023-02-08,17.75,18,17.48,17.67,5560
2023-02-09,17.7,17.92,17.56,17.61,5130
2023-02-10,17.63,17.89,17.61,17.631,4990
2023-02-13,17.7,17.849,17.53,17.8,750
2023-02-14,17.63,17.8,17.537,17.8,1990
2023-02-15,17.63,17.95,17.545,17.81,7810
2023-02-16,17.849,17.919,17.8,17.899,2540
2023-02-17,17.899,18.2,17.65,17.981,15360
2023-02-20,18.2,18.2,17.581,17.61,9920
2023-02-21,17.9,17.9,17.575,17.68,5870
2023-02-22,17.79,17.985,17.575,17.595,9650
2023-02-23,17.46,17.805,17.46,17.5,15240
2023-02-24,17.619,17.619,17.23,17.306,13800
2023-02-27,17.281,17.479,17.141,17.199,11650
2023-02-28,17.18,17.28,17.176,17.18,4280
2023-03-01,17.18,17.585,17.18,17.45,6410
2023-03-02,17.43,17.655,17.28,17.287,22410
2023-03-03,17.349,17.55,17.299,17.549,16240
2023-03-06,17.549,18.07,17.549,17.849,40590
2023-03-08,17.681,17.9,17.33,17.526,211620
2023-03-09,17.61,17.75,17.38,17.431,5260
2023-03-10,17.43,17.49,17.299,17.302,5200
2023-03-13,17.35,17.49,17.012,17.18,22420
2023-03-14,17.18,17.199,16.8,16.961,27700
2023-03-15,17,17.199,16.881,16.986,38100
2023-03-16,16.96,17.27,16.951,17.114,8410
2023-03-17,17.05,17.221,16.979,17.16,10650
2023-03-20,17.16,17.365,16.83,17.116,20790
2023-03-21,17.01,17.289,16.915,16.989,7270
2023-03-22,17.39,17.39,16.79,17.188,20090
2023-03-23,17.183,17.19,16.893,17.01,3550
2023-03-24,17.183,17.186,16.9,17.045,22410
2023-03-27,17.39,17.39,16.87,16.956,74790
2023-03-28,17,17.074,16.831,16.963,5160
2023-03-29,17.1,17.23,16.92,17.063,4110
2023-03-31,17.25,17.3,17.138,17.238,14250
2023-04-03,17.238,17.423,17.204,17.331,15840
2023-04-05,17.35,17.864,17.35,17.771,8080
2023-04-06,18.13,18.13,17.4,17.472,3600
2023-04-10,17.825,17.875,17.4,17.487,4920
2023-04-11,17.6,17.682,17.543,17.577,9180
2023-04-12,17.6,17.708,17.6,17.665,1990
2023-04-13,17.75,17.772,17.61,17.77,2010
2023-04-17,17.77,17.77,17.405,17.64,8700
2023-04-18,17.995,17.995,17.53,17.552,1400
2023-04-19,17.6,17.608,17.51,17.51,2880
2023-04-20,17.53,17.609,17.5,17.59,600
2023-04-21,17.575,17.578,17.5,17.569,5220
2023-04-24,17.595,17.662,17.594,17.662,2080
2023-04-25,17.662,17.664,17.644,17.656,11250
2023-04-26,17.638,17.792,17.638,17.7,14600
2023-04-27,17.716,17.886,17.716,17.8,13870
2023-04-28,17.793,18.033,17.793,17.977,1350
2023-05-02,17.93,18.122,17.9,18.117,25060
2023-05-03,18.415,18.415,17.968,18.002,5970
2023-05-04,18.199,18.199,18.06,18.152,3120
2023-05-05,18.42,18.42,17.98,18.002,7740
2023-05-08,18.13,18.301,18.002,18.028,29410
2023-05-09,18.238,18.4,18.151,18.155,4880
2023-05-10,18.26,18.377,18.146,18.281,14510
2023-05-11,18.28,18.305,18.241,18.294,1850
2023-05-12,18.28,18.3,18.185,18.265,400
2023-05-15,18.32,18.554,18.32,18.502,2570
2023-05-16,18.351,18.48,18.236,18.33,11110
2023-05-17,18.33,18.349,18.131,18.145,4480
2023-05-18,18.179,18.2,18.065,18.069,2070
2023-05-19,18.16,18.234,18.01,18.227,19510
2023-05-22,18.099,18.3,18.099,18.289,18640
2023-05-23,18.311,18.4,18.311,18.395,4870
2023-05-24,18.336,18.338,18.331,18.331,1190
2023-05-25,18.331,18.331,18.28,18.329,1100
2023-05-26,18.35,18.486,18.338,18.486,8770
2023-05-29,18.5,18.683,18.5,18.563,19800
2023-05-30,18.6,18.669,18.582,18.601,8350
2023-05-31,18.601,18.7,18.508,18.541,4860
2023-06-01,18.638,18.638,18.524,18.592,11620
2023-06-02,18.61,18.648,18.3,18.504,15860
2023-06-05,18.645,18.879,18.64,18.684,61660
2023-06-06,18.641,19.9,18.641,19.12,790
2023-06-07,19.1,19.1,18.693,18.814,8580
2023-06-08,18.9,19.014,18.681,18.703,3240
2023-06-09,18.703,18.703,18.608,18.61,4450
2023-06-12,18.982,18.982,18.633,18.712,1620
2023-06-13,18.72,19,18.71,18.822,4080
2023-06-14,18.8,18.898,18.78,18.824,3520
2023-06-15,18.8,18.942,18.752,18.792,32360
2023-06-16,18.812,19.5,18.812,19.478,11610
2023-06-19,19.37,19.37,18.89,18.91,34740
2023-06-20,18.89,19.4,18.83,19.126,18340
2023-06-21,19.126,19.126,18.961,19.033,6320
2023-06-22,19.049,19.096,18.881,18.91,3750
2023-06-23,18.885,18.899,18.7,18.719,6230
2023-06-26,19.15,19.15,18.395,18.757,2480
2023-06-27,18.949,18.962,18.739,18.893,15440
2023-06-28,19.271,19.271,18.92,19.013,33120
2023-06-30,19.049,19.269,19.049,19.226,24810
2023-07-03,19.269,19.4,19.269,19.328,51970
2023-07-04,19.4,19.865,19.358,19.519,12420
2023-07-05,19.84,21,19.361,21,8880
2023-07-06,19.797,19.799,19.35,19.614,75630
2023-07-07,19.614,19.707,19.41,19.412,23320
2023-07-10,19.413,19.522,19.383,19.457,10480
