Date,Open,High,Low,Close,Volume
2022-11-22,29.93,29.93,29.15,29.63,13540
2022-11-23,29.53,30.97,29.205,29.863,36290
2022-11-24,29.939,29.939,29.531,29.6,9900
2022-11-25,29.607,30.6,29.5,30.197,9450
2022-11-28,30.159,30.499,30.016,30.3,46810
2022-11-29,30.201,30.499,29.73,30.232,53470
2022-11-30,30.201,36.157,29.977,30.487,11780
2022-12-01,30.559,31.244,30.516,31.169,10950
2022-12-02,31.131,31.29,30.53,31.248,12360
2022-12-05,31.13,31.359,30.605,30.696,10310
2022-12-06,30.631,30.699,30.124,30.268,5950
2022-12-07,30.23,30.845,29.949,30.362,3500
2022-12-08,30.3,30.848,29.751,30.198,8380
2022-12-09,30.131,30.131,28.961,29.264,16620
2022-12-12,29.359,29.895,28.83,28.922,24420
2022-12-13,28.96,32.56,28.96,30.866,8770
2022-12-14,29.559,33.5,29.559,30.11,20070
2022-12-15,30.031,31.5,29.13,29.988,26660
2022-12-16,29.231,29.45,28.9,29.001,22360
2022-12-19,29.001,29.001,28.6,28.611,16900
2022-12-20,28.631,28.839,28.28,28.639,18170
2022-12-21,28.76,29.975,28.13,28.661,8330
2022-12-22,28.76,29.608,28.662,29.354,3120
2022-12-23,28.67,28.67,28.2,28.207,11080
2022-12-26,28.359,28.598,28.05,28.311,5100
2022-12-27,28.3,28.74,28.3,28.726,2810
2022-12-28,28.63,28.698,28.434,28.68,1640
2022-12-29,28.41,28.695,28.03,28.605,7610
2022-12-30,28.61,28.979,28.61,28.781,6480
2023-01-02,28.86,29.981,28.423,28.674,6910
2023-01-03,28.7,29.874,28.674,28.77,13760
2023-01-04,28.771,28.848,28.562,28.83,6880
2023-01-05,28.73,28.85,28.431,28.5,4420
2023-01-06,28.5,29.672,27.88,28.256,63840
2023-01-09,28.399,28.699,28.399,28.593,18000
2023-01-10,28.531,29.88,28.3,28.653,38410
2023-01-11,28.699,29,28.532,28.699,4370
2023-01-12,28.7,28.7,28.7,28.7,210
2023-01-13,28.7,29.25,28.4,29.012,5870
2023-01-16,29,29.7,29,29.642,4680
2023-01-17,29.63,29.965,29.237,29.771,101470
2023-01-18,29.731,29.897,29.3,29.366,10920
2023-01-19,29.331,30.14,29.32,29.718,2200
2023-01-20,29.76,29.788,29.371,29.45,2110
2023-01-23,29.76,30.262,29.2,30.108,8810
2023-01-24,30.257,30.359,30.256,30.256,11230
2023-01-25,30.23,30.268,29.8,30.067,6760
2023-01-27,30.21,30.225,29.831,30.131,3930
2023-01-30,30.225,30.295,29.75,30,3840
2023-01-31,30,30,29.73,29.73,520
2023-02-01,29.96,30.45,29.73,30.198,4510
2023-02-02,30.175,30.684,30.175,30.506,7010
2023-02-03,30.451,30.648,30.23,30.233,6010
2023-02-06,30.32,31,30.206,31,8600
2023-02-07,30.559,30.7,30.311,30.4,24500
2023-02-08,30.56,31.159,30.56,30.661,6720
2023-02-09,30.599,31,30.599,30.999,11920
2023-02-10,30.951,31.1,30.701,31.1,11120
2023-02-13,31.1,31.545,29.85,30.271,25660
2023-02-14,30.454,31.406,30.454,31.203,3510
2023-02-15,30.83,31.06,30.542,30.959,2860
2023-02-16,31.079,32,31.079,31.891,11650
2023-02-17,31.83,32.005,31.004,31.402,12540
2023-02-20,31.402,31.589,30.946,31.58,7520
2023-02-21,31.351,31.759,31,31.05,9220
