Date,Open,High,Low,Close,Volume
2015-09-07,45.22,46.43,44.4,44.89,21090
2015-09-08,44.55,45.03,43.53,44.33,22093
2015-09-09,45.73,46.55,45.15,45.88,37170
2015-09-10,45.36,45.64,44.46,45.39,12468
2015-09-11,45.93,47.39,45.52,45.96,53689
2015-09-14,45.96,46.33,45.45,45.76,14361
2015-09-15,45.36,46.12,45.15,45.25,12689
2015-09-16,46.02,46.02,45.15,45.22,6725
2015-09-18,46.34,52.03,45.3,50.38,243195
2015-09-21,49.04,52.4,48.68,51.61,384360
2015-09-22,52.15,56.57,52.15,54.76,916989
2015-09-23,53.31,56.27,53.25,55.93,193466
2015-09-24,55.31,58.29,54.87,55.37,256165
2015-09-28,55.43,56.79,55.2,55.46,58197
2015-09-29,54.15,55.81,53.82,55.05,58241
2015-09-30,55.55,56.06,55.05,55.3,24053
2015-10-01,55.37,56.21,55.34,55.66,31575
2015-10-05,55.78,57.95,55.69,57.14,62234
2015-10-06,56.65,57.11,55.02,55.57,22481
2015-10-07,56.02,56.03,54.57,54.94,11454
2015-10-08,55.31,55.33,53.31,54.19,15441
2015-10-09,53.82,55.28,53.34,53.52,13959
2015-10-12,53.57,54.6,53.42,53.57,14066
2015-10-13,53.82,56.51,53.37,54.25,43986
2015-10-14,54.42,55.17,54.13,54.75,16388
2015-10-15,54.75,55.14,53.91,54.3,12776
2015-10-16,53.97,54.63,53.07,53.4,21424
2015-10-19,53.66,55.43,52.65,53.69,54742
2015-10-20,54.03,54.79,53.55,53.85,54726
2015-10-21,54.36,54.36,52.82,53.06,8628
2015-10-23,53.76,56.48,53.55,54.72,163395
2015-10-26,54.9,56.05,53.09,53.16,36187
2015-10-27,53.16,54.1,52.67,52.82,22812
2015-10-28,53.12,53.16,52.41,52.46,11187
2015-10-29,52.85,53.94,52.44,52.76,12672
2015-10-30,52.65,53.07,50.86,51.13,33685
2015-11-02,51.02,51.14,49.96,50.59,9618
2015-11-03,51.4,52.32,49.1,50.17,13949
2015-11-04,50.73,51.73,50.38,50.84,16752
2015-11-05,50.84,50.96,49.33,49.68,5361
2015-11-06,49.48,50.23,48.74,49.07,16277
2015-11-09,48.74,51.7,47.54,50.23,36040
2015-11-10,50.47,52.26,50.47,51.46,22337
2015-11-11,52.26,52.92,51.92,52.19,10582
2015-11-13,51.43,52,49.38,49.65,29779
2015-11-16,49.9,51.7,49.89,50.83,25374
2015-11-17,51.4,51.43,50.41,50.74,9351
2015-11-18,50.68,51.28,49.53,49.75,9485
2015-11-19,50.23,50.23,49.63,49.84,20026
2015-11-20,49.41,51.41,49.41,50.22,27097
2015-11-23,50.52,52.18,50.26,51.14,31281
2015-11-24,50.53,51.79,50.53,51.5,11515
2015-11-26,51.5,54.09,51.49,52.59,146077
2015-11-27,52.64,53.52,51.82,52.15,27217
2015-11-30,51.88,54.33,51.88,52.64,49411
2015-12-01,52.65,55.05,52.65,53.95,124572
2015-12-02,53.95,54.85,52.41,53.69,20033
2015-12-03,53.97,54.72,52.65,53.94,35685
2015-12-04,53.7,54.39,53.24,53.8,13969
2015-12-07,53.88,54.72,53.24,53.67,15016
2015-12-08,53.52,54.12,52.03,52.31,17444
2015-12-09,52.03,52.76,50.23,50.68,17608
2015-12-10,50.61,51.85,49.36,51.4,10344
2015-12-11,51.5,51.88,49.95,50.55,15769
2015-12-16,55.02,58.27,55,55.82,1327279
2015-12-17,54.42,55.02,53.61,54.25,146011
2015-12-18,54.33,54.51,52.98,53.31,32000
2015-12-21,53.4,54.06,52.37,53.33,22087
2015-12-22,53.54,55.3,52.97,53.06,72689
2015-12-23,53.66,54.12,52.65,53.1,33906
2015-12-24,53.07,55.97,52.65,54.28,95197
2015-12-28,53.91,55.61,53.7,54.4,49695
2015-12-29,54.76,54.76,53.03,53.49,21157
2015-12-30,53.52,55.02,53.52,54.19,28060
2015-12-31,54.42,54.99,52.32,53.88,24271
2016-01-01,53.52,54.87,53.22,54.61,13381
2016-01-04,54.12,54.97,53.25,54.22,39217
2016-01-05,54.69,59.02,54.55,56.93,818296
2016-01-06,55.67,57.23,55.31,55.37,52157
2016-01-07,55.02,55.02,52.06,52.32,58354
2016-01-08,52.47,53.73,51.13,53.1,34448
2016-01-11,52.62,53.01,51.74,52.32,21187
2016-01-12,52.86,52.95,50.83,51.53,32307
2016-01-13,52.03,52.61,47.84,49.92,31562
2016-01-14,49.33,50.41,48.59,49.23,15963
2016-01-15,50.11,50.52,45.27,46.81,20274
2016-01-18,46.05,46.3,43.65,44.39,27485
2016-01-19,44.43,46.42,44.37,46.08,38622
2016-01-20,45.45,45.72,44.25,44.91,22826
2016-01-21,45.75,46.05,43.55,44.36,19822
2016-01-22,44.89,46.17,44.85,45.39,27675
2016-01-25,45.48,46.7,45.42,45.69,22341
2016-01-27,45.42,46.28,45.42,45.87,5170
2016-01-28,47.81,47.81,45.75,45.9,7438
2016-01-29,45.75,47.84,45.75,47.39,14485
2016-02-01,47.87,49.01,47.59,47.71,9709
2016-02-02,47.85,48.12,46.06,46.66,13963
2016-02-03,46.05,46.64,44.88,45.55,10648
2016-02-04,46.05,47.26,45.9,46.23,13210
2016-02-05,46.63,47.27,44.25,46.08,22087
2016-02-08,46.64,46.76,44.88,45.33,10428
2016-02-09,45.36,45.88,44.85,45.39,14491
