Date,Open,High,Low,Close,Volume
2015-09-07,65.15,68,64,64.3,4743
2015-09-08,63.05,67.45,61.25,66.35,12024
2015-09-09,67.9,72,67.4,69.4,8373
2015-09-10,69.95,69.95,65.6,68.35,1048
2015-09-11,69.75,72.7,69.75,70.8,3113
2015-09-14,72.95,72.95,69.2,71.55,4476
2015-09-15,71.05,73.5,70,72.5,4458
2015-09-16,71.5,85,70.8,81,104869
2015-09-18,86.45,86.45,77.1,78.2,15143
2015-09-21,78.7,79,75.25,76.55,5533
2015-09-22,79.05,80.3,75.25,75.75,8388
2015-09-23,75,76.5,71.25,73.8,8878
2015-09-24,74.1,76.7,72.75,74.5,6280
2015-09-28,79.5,79.5,69.15,71.3,10557
2015-09-29,71.05,75,70.3,74.3,10896
2015-09-30,75.5,76.4,72.5,73.7,4858
2015-10-01,73.25,76.85,72.5,73.6,3923
2015-10-05,73.15,82,72.75,75.95,43879
2015-10-06,74.5,77.65,74.15,74.6,11561
2015-10-07,75.9,76.9,74.05,74.65,9645
2015-10-08,73.55,77,73.3,73.85,8425
2015-10-09,76,76.05,73,73.2,7295
2015-10-12,72.7,75.3,72.65,73.75,7779
2015-10-13,73.65,74.95,72.4,73.6,2012
2015-10-14,74.85,76.7,73.25,74.15,10347
2015-10-15,73.8,79.8,73.4,76.85,22641
2015-10-16,76.25,76.65,74.25,75.2,3037
2015-10-19,76.15,77.2,74.25,75.15,10390
2015-10-20,76.65,81,75.6,77.5,18024
2015-10-21,78.65,81.05,76.45,78.85,14585
2015-10-23,77,81,76.7,77.85,9413
2015-10-26,78.15,79.95,75.25,77.4,4784
2015-10-27,76.05,79.8,75.5,76.6,5751
2015-10-28,76.8,79.5,76.8,78.15,7247
2015-10-29,76.8,77.4,75.1,75.35,16345
2015-10-30,77.2,88.75,76.85,82.7,211517
2015-11-02,84.45,84.9,78.8,80,19910
2015-11-03,80.15,82,77.85,78.45,15353
2015-11-04,79.55,80,77.55,79.25,16204
2015-11-05,78.3,78.3,75.3,75.55,24528
2015-11-06,74,76.25,70.25,70.6,50412
2015-11-09,70.8,75,68,73.1,17981
2015-11-10,72.95,74.9,69,69.8,45671
2015-11-11,71.95,72.5,70.55,71.15,4049
2015-11-13,71.05,73.25,70.3,71.25,9116
2015-11-16,72.7,75.75,71,72.75,17210
2015-11-17,74.75,84.25,73.25,80.5,135278
2015-11-18,81.9,83.5,77.2,78.15,37042
2015-11-19,79.5,80.9,78.55,79.25,15565
2015-11-20,78.55,80.35,76.75,78.05,17710
2015-11-23,78,85.8,75,84.1,105852
2015-11-24,83.1,91.3,82,86.6,100276
2015-11-26,88.95,93.5,84.1,92.45,78626
2015-11-27,92.95,97.1,91.1,94.5,169133
2015-11-30,97.95,113.4,96.55,113.4,556988
2015-12-01,116,118.5,107.55,109.25,398957
2015-12-02,111.05,115,105,110.9,136522
2015-12-03,112.8,114.8,104,105.1,69491
2015-12-04,105,108.4,100,103.65,36596
2015-12-07,105.25,112,105,105.75,42777
