Date,Open,High,Low,Close,Volume
2025-08-12,115,120.75,115,120.75,5236750
2025-08-13,122.99,126.78,122,126.78,3127048
2025-08-14,131.4,131.4,120.44,120.44,2636454
2025-08-18,114.41,114.41,114.41,114.41,208614
2025-08-19,108.68,108.68,108.68,108.68,140426
2025-08-20,106,106.51,103.24,103.24,2686691
2025-08-21,98.07,107.18,98.07,104.37,3254196
2025-08-22,101.26,102.99,99.15,99.15,960058
2025-08-25,96.8,98.66,94.19,95.16,1615445
2025-08-26,94.9,94.98,91.1,91.95,574682
2025-08-28,91.99,96.8,88.01,94.1,1874584
2025-08-29,95.4,96.65,94.2,95.09,1005359
2025-09-01,96.5,97.5,93.01,95.82,1420485
2025-09-02,97,98.68,93.7,94.37,1307732
2025-09-03,95.11,96,93.06,93.99,779405
2025-09-04,96.05,97,92.21,93,640089
