Date,Open,High,Low,Close,Volume
2015-09-07,69,71.85,67.2,68.55,8140
2015-09-08,69.9,69.9,67.7,68.65,1091
2015-09-09,68.3,70.75,67.65,70,1614
2015-09-10,69.5,71,68,71,3537
2015-09-11,72,73.5,69.75,71.1,1714
2015-09-14,73,73,69.1,71.3,1829
2015-09-15,71.5,72.95,71,71,1245
2015-09-16,70.1,71.05,69,69.85,4081
2015-09-18,67.1,72.9,67.1,71.55,1545
2015-09-21,71.65,73.95,70.35,71.8,1706
2015-09-22,72,72.5,68.5,69.45,3766
2015-09-23,70.65,75,69.7,72.55,3508
2015-09-24,72.5,72.5,70.9,71.2,5101
2015-09-28,71.3,71.3,70.55,70.95,260
2015-09-29,70.3,72.8,67.35,70.35,1078
2015-09-30,69.5,72,69,71.4,1568
2015-10-01,74.2,74.2,71.25,72.3,434
2015-10-05,72,86.75,70.65,85.25,17255
2015-10-06,90.95,90.95,81.65,82.65,13294
2015-10-07,87,87.05,83.05,84.2,19386
2015-10-08,83.5,84,81.55,82.8,2565
2015-10-09,82.05,83.5,81.05,81.25,2069
2015-10-12,87.95,89.1,81.2,83,6670
2015-10-13,84,88.8,83.55,86.4,11971
2015-10-14,86.7,87.7,84,84.75,6800
2015-10-15,84.1,86.45,83.35,84.6,8663
2015-10-16,84.25,87,83.5,85,6077
2015-10-19,86.45,86.45,84.8,84.9,1474
2015-10-20,85.4,85.9,81.75,82.2,2110
2015-10-21,83.8,83.8,81.05,81.6,2735
2015-10-23,81.65,82.7,81.5,82.1,3482
2015-10-26,82.5,83.4,80,80,2588
2015-10-27,80.1,81,77.35,80,4934
2015-10-28,82.95,82.95,77.15,79.15,4851
2015-10-29,79,84.2,79,82.4,3268
2015-10-30,80.6,84,79.7,82.35,2965
2015-11-02,81,82,79.5,80.8,1570
2015-11-03,84,84,76.8,80.95,3297
2015-11-04,80,82,79.55,80.2,977
2015-11-05,81,84.5,78.05,79.95,16817
2015-11-06,79,81,76.6,78.3,7256
2015-11-09,77.5,79,73.95,77.2,4419
2015-11-10,77.3,77.9,76.65,77.25,1148
2015-11-11,84.5,84.5,78,79.4,1989
2015-11-13,80,80,76.35,78,1861
2015-11-16,78.5,80,78.5,78.5,2080
2015-11-17,78.05,80.65,76.2,77.25,3529
2015-11-18,77.45,79.9,76.05,77.1,1954
2015-11-19,77.6,83,77.2,81.1,9982
2015-11-20,81.3,82,79,79.65,3873
2015-11-23,81.7,84.45,81.05,81.8,7979
2015-11-24,83.95,83.95,81,82,3370
2015-11-26,83,84.5,82.3,84.05,6112
2015-11-27,84.25,85.8,82.3,83.65,2590
2015-11-30,84.4,90.75,84.4,88.8,27437
2015-12-01,90.75,91.25,86.3,87.35,29090
2015-12-02,89,89.8,86.55,88.55,7258
2015-12-03,87,87,85.3,85.55,7377
2015-12-04,84.15,86.9,83.15,83.2,6522
2015-12-07,88.2,89.7,81.65,82.6,5360
2015-12-08,84.75,84.8,81.6,82.65,4375
2015-12-09,82,82,78.25,79.5,4382
2015-12-10,80.25,82,79,81.5,11282
2015-12-11,81.75,86.45,80,84.5,11078
2015-12-16,85,86.45,82,83.15,2825
2015-12-17,82.3,84.3,82.2,83.65,5053
2015-12-18,85.95,86.3,84.1,84.9,6421
2015-12-21,86,86,84,84.4,2868
2015-12-22,83.5,89.1,76.8,86.7,18803
2015-12-23,87,92.8,86,91.6,44065
2015-12-24,92,92,88.45,90.9,21269
2015-12-28,90,91,88.2,89.4,4303
2015-12-29,89,91,86.25,87.45,7596
2015-12-30,86.7,89.8,86,89.25,11090
2015-12-31,89.25,89.8,87.4,87.95,2281
2016-01-01,87.7,92,87.05,91.55,9177
2016-01-04,90.3,97,90.3,93.8,52691
2016-01-05,93,100,93,96.05,41315
2016-01-06,99.85,99.85,89.35,90.9,55687
2016-01-07,91,91,86.6,86.7,12996
2016-01-08,88.5,91,86.75,89,8112
2016-01-11,92.4,92.4,88.3,88.7,10976
2016-01-12,91.55,91.55,87.55,89.05,5209
2016-01-13,89.6,89.6,79.2,85.5,13937
2016-01-14,84,87,82,84.25,3897
2016-01-15,87.5,87.5,80,84.2,14390
2016-01-18,81,84.8,74.1,78.15,8331
2016-01-19,77,78.2,75.15,77.5,10404
2016-01-20,76,76.5,74.1,75.7,4950
2016-01-21,77.95,77.95,73,75.05,4976
2016-01-22,79.45,79.45,73.25,77.35,9146
2016-01-25,78,81.1,75.75,76.55,5340
2016-01-27,76.25,78.4,76,77.95,1221
2016-01-28,78.15,78.35,75.25,76.15,1895
2016-01-29,78.65,78.7,76.3,78.05,4285
2016-02-01,78,84.3,78,82.1,10100
2016-02-02,81.95,83.2,78.15,79.05,8321
2016-02-03,79,80,75.6,76.7,3203
2016-02-04,76.3,79.8,74,75.55,13369
2016-02-05,76.8,76.8,73,74.6,6329
2016-02-08,77.5,77.5,74.6,75.4,4475
2016-02-09,74,74.05,70.4,72.45,4664
2016-02-10,73.35,74,68,71,15148
2016-02-11,70.05,75,69.1,71.5,35775
2016-02-12,72.4,72.4,65.15,67,7545
2016-02-15,71.9,71.9,68,68.6,6596
2016-02-16,71.4,71.4,65.65,66.05,3957
2016-02-17,65.05,70.4,65,69.65,13299
2016-02-18,71.9,71.9,67.35,68,5593
2016-02-19,70,72,67.1,70.8,9659
2016-02-22,72,74.4,65.65,68.45,19637
2016-02-23,69.6,69.6,65,66.1,8943
2016-02-24,66.2,69.45,66.2,67.8,10528
2016-02-25,71,71,61.55,63.35,46303
2016-02-26,63.2,63.2,58.25,61.45,13841
2016-02-29,60.05,61,58,58.85,4989
2016-03-01,58.65,64.95,58.65,64.05,5546
2016-03-02,63.7,65.75,62.55,63.3,5324
2016-03-03,61.6,64.95,61.6,64.35,5507
2016-03-04,65,66.5,63.55,63.9,3205
2016-03-08,65.95,65.95,64,64.7,4258
2016-03-09,64.3,65,63.5,64.15,2180
2016-03-10,66.9,66.9,64,64.15,1449
2016-03-11,64.45,65,63.9,63.9,3190
2016-03-14,63.35,66,61.85,62.6,2055
2016-03-15,63.9,63.9,61.5,62.25,10131
2016-03-16,62,63,59.25,62.95,12867
2016-03-17,63,63.9,61.65,62.05,931
2016-03-18,62.05,62.85,60.05,61.1,26026
2016-03-21,61.4,62.6,61.4,62.6,37603
2016-03-22,62.55,63.75,59,62.8,4436
2016-03-23,62,64.6,61,63.85,9482
2016-03-28,62.3,63.9,61.1,61.45,4838
2016-03-29,61,62,60.75,60.95,2995
2016-03-30,61.45,61.65,60.95,61.5,3047
2016-03-31,61.7,62.9,60.6,61,2762
2016-04-01,61.2,62.9,61.2,62.15,378
2016-04-04,61.75,62.8,61.5,61.6,2443
2016-04-05,62.95,63.4,62.9,63.15,2822
2016-04-06,62.75,64,62.2,62.95,1190
2016-04-07,62.5,63.9,61.05,61.75,9805
2016-04-08,62.9,64,62,62.65,3256
2016-04-11,63.2,65.5,63,64.5,4315
2016-04-12,64.5,65.85,64.5,65.45,2409
2016-04-13,66,69,65.2,68,4998
2016-04-18,74.95,74.95,67.1,70.25,26909
2016-04-20,73,73,69,70.05,3697
2016-04-21,67.5,70.5,66.05,67,3935
2016-04-22,67.5,69.35,67.2,68.05,2494
2016-04-25,67.7,67.95,66.4,67.25,1424
2016-04-26,66.45,67.75,66,67,4156
2016-04-27,68,69,66.15,66.4,1539
2016-04-28,65.75,68,65.4,66.4,3267
2016-04-29,67.7,67.7,66.1,66.2,3122
2016-05-02,68.85,68.95,66.6,66.95,1758
2016-05-03,66.25,67.85,66.25,66.85,1797
2016-05-04,65.2,66.9,65.2,66.35,2112
2016-05-05,66.4,67.6,66.4,66.6,1093
2016-05-06,66.4,69.5,66.4,67.3,2191
2016-05-09,69.8,69.8,67,67.5,2282
2016-05-10,69.3,69.3,65.55,66.45,3330
2016-05-11,66.45,68,66.35,66.95,1289
2016-05-12,67,67.1,65.8,65.85,6238
2016-05-13,66.95,68,65.55,66,2791
2016-05-16,66.1,67.45,65.8,66,4409
2016-05-17,66,66,62.7,63.15,5812
2016-05-18,63,66,62.5,65.75,3201
2016-05-19,66.05,66.05,64.1,65.55,2665
2016-05-20,65.7,65.7,62.1,62.85,5961
2016-05-23,65.15,65.15,61,62.8,3805
2016-05-24,64,64,61.15,61.75,2117
2016-05-25,63.25,65.3,61.25,62.85,2065
2016-05-26,62,64.9,62,64,2196
2016-05-27,65,71.2,63.65,69.5,21559
2016-05-30,72,73,67.3,68.35,20226
2016-05-31,68.5,69.5,67.45,67.7,8442
2016-06-01,69.8,69.8,67.1,67.65,1480
2016-06-02,69.8,69.8,66.15,67.05,674
2016-06-03,68.95,68.95,66.5,66.5,1133
2016-06-06,68.9,68.9,65.8,66.8,1215
2016-06-07,68.8,68.8,66,66.95,4152
2016-06-08,68.9,68.9,66.6,66.7,2397
2016-06-09,66.65,67.95,66.2,66.25,1952
2016-06-10,67.9,68.3,66.5,67.25,3411
2016-06-13,67.95,69.1,65.6,68.55,4290
2016-06-14,71.4,71.4,68.35,68.35,6836
2016-06-15,70.65,70.65,66.1,66.95,11212
2016-06-16,69.95,69.95,66.95,67,12365
2016-06-17,68.75,68.75,62.65,64.7,14012
2016-06-20,65.05,67.95,64.7,65.55,6951
2016-06-21,67.25,67.25,63.25,63.95,9777
2016-06-22,64.8,64.8,62.15,62.65,3419
2016-06-23,64.35,64.7,62.95,64.1,4693
2016-06-24,63,66,62,65.25,11956
2016-06-27,67.95,67.95,63.75,64.1,1204
2016-06-28,67.8,67.8,65.3,65.5,1407
2016-06-29,67.15,68.9,66.45,66.5,2928
2016-06-30,68.25,68.75,66.7,67.05,4518
2016-07-01,67.95,68.45,66.45,68,1895
2016-07-04,69.9,69.9,66.35,67.25,3220
2016-07-05,68.35,68.35,67,67.9,3890
2016-07-07,68.65,69.9,67.9,68.4,5057
2016-07-08,71.45,82.05,67.45,81.5,102459
2016-07-11,84.9,86.7,78.1,79.05,122084
2016-07-12,80,80.8,74.1,75.05,36040
2016-07-13,76.8,78.95,74.6,75.2,3111
2016-07-14,74.05,76.8,72.15,74.7,9052
2016-07-15,74.8,81.2,71.65,78.75,36877
2016-07-18,79.65,86.5,74.6,80.05,46118
2016-07-19,82,82,79,79.75,4684
2016-07-20,80,80,76.8,78.2,5372
2016-07-21,80,80.4,75.8,76.85,10014
2016-07-22,78.75,82.9,76.4,77.4,16329
2016-07-25,80.3,80.3,77,78.55,8441
2016-07-26,79.5,80,76,76.85,9569
2016-07-27,77,84.3,77,82.6,47174
2016-07-28,81.05,86.4,81.05,83.35,18126
2016-07-29,85,85,78.5,79.5,3878
2016-08-01,82,82,77.1,78.15,5167
2016-08-02,81.25,81.25,77.1,77.95,8385
2016-08-03,77.35,79,77.3,77.85,2153
2016-08-04,80,81,77,78.2,5695
2016-08-05,76,85,76,83,26674
2016-08-08,85,88,83.5,86.75,28591
2016-08-09,86,88.8,85,85.4,17608
2016-08-10,85,85.85,80.8,82.7,6476
2016-08-11,85.3,85.3,81.05,82.9,4003
2016-08-12,85.35,85.35,80.25,81.75,7855
2016-08-16,84.65,84.65,80,80.25,8056
2016-08-17,82.95,84,80,80.85,6738
2016-08-18,83.55,88.05,83.55,85.95,36531
2016-08-19,87.4,92,85.5,90.4,28547
2016-08-22,89,92.9,87.55,91.55,24135
2016-08-23,91.85,91.85,90,90.25,4763
2016-08-24,91.65,91.7,86.9,89.2,12334
2016-08-25,91,93,89,89.5,8424
2016-08-26,91,91,88,88.3,8191
2016-08-29,91,93.5,87.05,89,19442
2016-08-30,88.65,92.4,88.25,89.85,6808
2016-08-31,91.1,91.3,89.1,89.2,1566
2016-09-01,86.7,90.6,86.7,88,3392
2016-09-02,89.85,89.9,85.6,87,5133
2016-09-06,88.85,89.5,87,87.7,2219
2016-09-07,87,88,85.55,87.75,3314
2016-09-08,87.95,88.95,87.5,87.5,1260
2016-09-09,87.2,89.7,86.55,87.8,1962
2016-09-12,87.25,88.8,86.4,86.75,3842
2016-09-14,83.75,91.5,83.75,90.75,8539
2016-09-15,89.9,91,89,90.15,4440
2016-09-16,91.75,98.4,91.05,93.9,63114
2016-09-19,95.9,98,95.25,96.6,15263
2016-09-20,97,102.95,96.15,101.05,63230
2016-09-21,100.15,102,97,97.15,14526
2016-09-22,98.1,99.55,96.05,97.55,5248
2016-09-23,97.5,98,95.2,95.45,7000
2016-09-26,94.7,95.45,90.5,91.35,15213
2016-09-27,94.95,94.95,90.05,90.75,3595
2016-09-28,94,94,90.35,91.35,4340
2016-09-29,93.65,93.65,82.6,86.05,22419
2016-09-30,86,92.95,86,88.75,9071
2016-10-03,91.85,91.9,89.2,90.35,4784
2016-10-04,90.6,92.4,89.15,89.8,3970
2016-10-05,92.95,92.95,89.2,91.25,2031
2016-10-06,92.85,94.25,90.6,90.7,3000
2016-10-07,90.7,91.15,88.3,90.3,6617
2016-10-10,90.05,93.4,89.55,91.65,3609
2016-10-13,92.5,94.7,87.2,88.55,5041
2016-10-14,91,91,89,89,282
2016-10-17,90,90,87.2,88.1,3133
2016-10-18,89,90.8,88.25,89.5,2689
2016-10-19,93,93,89.5,90.15,3159
2016-10-20,90.1,92.5,89.6,91.45,3280
2016-10-21,90.05,93.95,90.05,92.8,5219
2016-10-24,93.8,94.9,91.05,92,1403
2016-10-25,93.9,94.05,92.25,92.55,2363
2016-10-26,94.75,94.75,91.1,93.55,4071
2016-10-27,93,93.85,90.45,91.1,1958
2016-10-28,91.65,92.4,91.65,92,1748
2016-10-30,94.9,96.6,92.5,95.25,5818
2016-11-01,94,114.3,94,104.7,335940
2016-11-02,103,108.55,97.3,102.9,78721
2016-11-03,104,105.2,99.05,99.65,21757
2016-11-04,98.55,102.85,91.65,94.7,43092
2016-11-07,98.5,102,94.25,95.45,15864
2016-11-08,95.3,98.95,94.65,95.3,4540
2016-11-09,90,93.8,80,90.5,44263
2016-11-10,95.95,98.95,93.05,93.85,9373
2016-11-11,91.05,94.4,91,92.3,6877
2016-11-15,91,91,75.7,83.25,27426
2016-11-16,85,90.45,80.1,86.05,15340
2016-11-17,85.25,87.5,85.05,85.55,4539
2016-11-18,85,87.9,85,86.7,10373
2016-11-21,86.7,86.75,82.2,84.85,9962
2016-11-22,89.95,89.95,81,81.75,5715
2016-11-23,80.6,87.25,80.6,86.6,8482
2016-11-24,85,87.85,85,85.5,2594
2016-11-25,85.55,89.75,85.5,88.3,2922
2016-11-28,87,89.7,85.5,88.15,2925
2016-11-29,90,93.9,88.8,89.75,5845
2016-11-30,90,92.85,89.5,90.15,1142
2016-12-01,90.5,93.7,89.55,90.25,2012
2016-12-02,89,92.75,89,89.4,2291
2016-12-05,92.95,92.95,87.35,87.95,3670
2016-12-06,87.05,89.8,86.3,89.5,1513
2016-12-07,89.5,91,88.5,90.15,4354
2016-12-08,91,92.7,89.75,91.2,1871
2016-12-09,92.95,92.95,88.1,90.35,1291
2016-12-12,93.4,95.85,90.9,92.85,35689
2016-12-13,91,93.95,90.2,91.5,1881
2016-12-14,91,91,86.2,86.45,14228
2016-12-15,88.65,88.85,87.05,87.95,4027
2016-12-16,89.45,91,88.05,88.65,20398
2016-12-19,88,90.35,86.1,88.8,1647
2016-12-20,89.55,89.55,86.1,87.5,3973
2016-12-21,88.8,88.8,86.4,88.15,1083
2016-12-22,87,87,83.65,86.2,6516
2016-12-23,85,87.8,84.2,84.95,2921
2016-12-26,85.2,85.2,82.35,83.2,2516
2016-12-27,83,86.4,82.2,85.85,2225
2016-12-28,85,87.4,83.5,84,656
2016-12-29,84.3,86.65,84.15,84.75,1270
2016-12-30,85.3,87.8,85,85.65,2909
2017-01-02,85.75,87.65,75.4,84.5,25701
2017-01-03,84.6,92,84.6,90,17902
2017-01-04,91.05,94.4,91,91.7,12089
