Date,Open,High,Low,Close,Volume
2020-10-15,46,46,46,46,3000
2020-10-27,46,46,46,46,3000
2020-10-29,46.05,46.05,46.05,46.05,3000
2020-11-02,46.05,46.05,46.05,46.05,3000
2020-11-06,46.05,46.05,46.05,46.05,3000
2020-12-04,46.05,46.05,46.05,46.05,3000
2021-01-12,47,47,47,47,3000
2021-02-04,47,47,47,47,3000
2021-02-08,47,47,47,47,6000
2021-02-09,47,47,47,47,3000
2021-02-10,47,47,47,47,3000
2021-02-11,47,47,47,47,3000
2021-03-01,47,47,47,47,30000
2021-03-02,47,47,47,47,30000
2021-03-03,47,47,47,47,9000
2021-03-04,47,47,47,47,21000
2021-03-05,47,47,47,47,15000
2021-03-15,47,47,47,47,3000
2021-03-26,47,47,47,47,3000
2021-03-30,47,47,47,47,3000
2021-05-14,47,47.25,47,47.25,6000
2021-05-17,47.25,47.25,47.25,47.25,3000
2021-05-18,47.25,47.25,47.25,47.25,3000
2021-05-19,47.25,47.5,47.25,47.45,24000
2021-05-20,47.45,47.45,47.45,47.45,3000
2021-05-21,47.5,47.5,47.5,47.5,12000
2021-05-24,47,47,46.9,46.9,6000
2021-05-25,48,48,48,48,18000
2021-05-26,48,48.1,48,48.1,51000
2021-05-28,48.1,48.1,48.1,48.1,15000
2021-06-01,48.1,48.1,48.1,48.1,24000
2021-06-04,48,48,48,48,3000
2021-06-09,48.15,48.15,48.15,48.15,15000
2021-06-10,48.15,48.15,48.15,48.15,9000
2021-06-21,45.5,45.5,45.4,45.4,6000
2021-06-22,48.5,52,48.5,52,15000
2021-06-30,52,52,52,52,3000
2021-08-02,52,52,52,52,3000
2021-09-07,52,52,52,52,3000
2021-09-27,52,52,52,52,15000
2021-09-28,52,52,52,52,15000
2021-09-30,51.4,51.4,51.4,51.4,3000
2021-10-06,52,55,52,55,12000
2021-10-07,45.5,45.5,45.5,45.5,3000
2021-10-08,51,54,51,54,12000
2021-10-11,64,64.8,64,64.8,12000
2021-10-12,77.75,77.75,77.75,77.75,9000
2021-10-13,70.1,85.5,70,85.45,42000
2021-10-14,85.45,93.9,81,82,18000
2021-10-18,77.4,82.95,77.2,82.95,39000
2021-10-19,89.2,89.25,77.55,77.55,15000
2021-10-21,77.9,77.9,77.9,77.9,3000
2021-10-22,79.15,79.15,79.15,79.15,3000
2021-10-25,78,78,78,78,6000
2021-10-26,72,72,72,72,3000
2021-10-27,65.2,65.2,65.1,65.1,6000
2021-10-29,58.65,58.65,58.6,58.6,9000
2021-11-01,61.35,61.35,61.35,61.35,3000
2021-11-02,62.95,62.95,62.95,62.95,3000
2021-11-09,59.85,59.85,59.85,59.85,18000
2021-11-12,62.75,62.75,62.75,62.75,6000
2021-11-15,60.25,60.25,60.25,60.25,3000
2021-11-16,63.2,63.2,63.2,63.2,3000
2021-11-18,60.15,60.15,60.15,60.15,3000
2021-11-22,57.2,57.25,57.2,57.25,6000
2021-11-26,55.2,55.2,55.2,55.2,6000
2021-11-29,54.3,54.4,54.3,54.4,21000
2021-11-30,54.5,54.5,54.5,54.5,21000
2021-12-01,52.6,55.6,52.6,52.85,57000
2021-12-02,52.6,52.65,52.5,52.5,27000
2021-12-03,52.5,52.5,52.5,52.5,21000
2021-12-06,52.25,53.35,52.25,53.35,36000
2021-12-07,56,56,53.4,53.45,51000
2021-12-08,51.25,52.1,51.25,52.1,30000
2021-12-14,50.5,54.7,50.5,54.7,9000
2021-12-16,52.2,52.2,52.2,52.2,3000
2021-12-17,51,51,51,51,3000
2021-12-20,50,53,48.45,53,18000
2021-12-22,51.8,55.65,51.8,55.65,6000
2021-12-24,55,58.4,55,58.4,6000
2021-12-30,55.6,61.3,55.6,61.3,60000
2022-01-03,64.35,64.35,64.35,64.35,12000
2022-01-04,67.5,67.55,62.2,64.1,30000
2022-01-05,63.3,63.3,63.3,63.3,18000
2022-01-07,64.2,64.2,64.2,64.2,45000
2022-01-11,67.4,67.4,67.4,67.4,3000
2022-01-12,70.75,70.75,70.75,70.75,3000
2022-01-13,67.55,67.55,67.55,67.55,18000
2022-01-19,65.55,65.55,65.55,65.55,15000
2022-01-21,68.8,68.8,62.55,68.8,45000
2022-01-24,72.2,72.2,66.55,70,33000
2022-01-25,66.65,66.65,66.6,66.6,39000
2022-01-27,69.85,69.85,69.85,69.85,3000
2022-01-28,73.3,73.3,73.3,73.3,3000
2022-01-31,73.1,73.1,73,73,12000
2022-02-01,73,75.35,72.8,72.8,12000
2022-02-04,70.6,73.05,70.6,73.05,6000
2022-02-07,71.1,76.6,71.1,76.6,57000
2022-02-10,72.8,77.95,72.8,77.95,30000
2022-02-11,74.3,74.6,74.3,74.55,21000
2022-02-14,75,75,71,71,54000
2022-02-15,67.65,71.95,67.45,68.75,36000
2022-02-16,65.4,67.05,65.4,67.05,21000
2022-02-21,63.9,63.9,63.9,63.9,12000
2022-02-22,60.8,61,60.8,61,66000
2022-02-23,64.05,64.05,64.05,64.05,6000
2022-02-24,67.25,67.25,67.25,67.25,6000
2022-02-25,70.6,70.6,70.6,70.6,6000
2022-02-28,71.7,71.85,71.7,71.85,12000
2022-03-03,73.4,73.5,73.4,73.5,6000
2022-03-11,69.9,69.9,69.9,69.9,3000
2022-03-14,67.7,73.3,67.7,68.1,9000
