Date,Open,High,Low,Close,Volume
2015-09-07,15.05,15.4,14.6,14.75,21916
2015-09-08,14.6,15.35,14.55,14.8,10522
2015-09-09,15.15,15.4,15,15.1,7705
2015-09-10,15.25,15.3,14.85,15.2,13170
2015-09-11,15.5,16.4,15.2,15.6,14197
2015-09-14,15.85,16.8,15,15.65,24668
2015-09-15,16,16.35,15.6,16,5571
2015-09-16,16.2,16.2,15.1,15.4,17631
2015-09-18,15.55,15.95,15.55,15.6,4655
2015-09-21,15.95,16.3,15.1,15.95,20971
2015-09-22,16,16.25,15.5,15.9,12310
2015-09-23,16,16,14.8,15.25,22197
2015-09-24,15.8,15.95,15.3,15.4,6938
2015-09-28,15.45,16,15.35,15.4,4394
2015-09-29,15.2,15.7,15.2,15.3,4050
2015-09-30,15.6,15.7,15.2,15.35,5764
2015-10-01,15.7,15.85,15.4,15.5,35747
2015-10-05,15.8,16.2,15.5,15.85,35993
2015-10-06,16.1,16.5,15.8,16.3,12653
2015-10-07,16.3,16.8,16,16.4,25383
2015-10-08,16.15,16.65,15.75,16,51498
2015-10-09,16.15,16.8,15.5,15.75,26228
2015-10-12,16,18.7,15.55,18.25,118588
2015-10-13,18.4,18.4,17.45,17.6,37593
2015-10-14,18,18.45,16.5,17.4,39827
2015-10-15,17.5,17.5,17.1,17.2,17328
2015-10-16,17.3,17.5,16.8,17.25,8495
2015-10-19,17,17.35,16.6,16.95,11019
2015-10-20,17.35,17.35,16.35,16.5,77339
2015-10-21,16.8,17,16.45,16.55,71639
2015-10-23,16.9,16.9,16,16.2,18296
2015-10-26,15.85,16.5,15.8,15.85,12002
2015-10-27,15.8,16.85,15.8,16.7,38374
2015-10-28,16.8,17.1,16.35,17,44650
2015-10-29,17.1,17.45,16.65,16.85,12430
2015-10-30,16.8,17,16.45,16.5,16001
2015-11-02,16.55,16.55,15.7,15.85,12325
2015-11-03,15.7,16.05,15.5,16,12838
2015-11-04,16.4,16.4,15.6,15.7,3919
2015-11-05,15.6,15.95,15.2,15.45,9858
2015-11-06,15.25,16,15.05,15.2,7523
2015-11-09,15,15.95,14.25,15.75,11387
2015-11-10,15.5,15.6,15,15.25,9298
2015-11-11,15.9,16,15.1,15.7,7023
2015-11-13,15.5,15.9,15.5,15.8,15983
2015-11-16,16.05,16.35,15.65,16.15,8529
2015-11-17,16.5,16.5,16,16,15148
2015-11-18,15.9,16.35,15.6,15.65,21768
2015-11-19,15.7,16.25,15.7,16,7026
2015-11-20,16,16.55,15.25,16.05,16384
2015-11-23,16.25,16.35,15.15,15.4,52948
2015-11-24,15.3,15.8,14.95,15.2,64835
2015-11-26,15.35,15.5,14.9,15,151415
2015-11-27,15.15,15.3,14.9,15.05,48531
2015-11-30,15.25,18.05,14.9,14.95,337397
2015-12-01,15,15.4,14.8,15,191718
2015-12-02,15,15.5,14.9,15,78136
2015-12-03,14.95,15.4,14.85,15,106402
2015-12-04,15.25,15.35,14.9,14.95,62883
2015-12-07,15,15.2,14.45,14.55,170600
2015-12-08,14.1,14.6,13.9,14.05,153643
2015-12-09,14.3,14.3,12.9,13.05,247412
2015-12-10,13.15,13.2,12.45,12.55,171334
2015-12-11,12.7,13.1,12.6,12.75,54214
2015-12-16,14.45,14.45,12.8,12.9,228993
2015-12-17,13.5,13.8,12.8,13.05,131979
2015-12-18,13,14.2,12.95,13,280003
2015-12-21,13.1,14.1,13,13.85,411266
2015-12-22,14.2,14.95,14.2,14.55,338889
2015-12-23,14.95,16.8,14.75,16,1605399
2015-12-24,16.45,17.65,16,16.3,2184411
2015-12-28,16.4,16.8,15.3,16,529353
2015-12-29,16.2,16.75,15.9,16.05,339551
2015-12-30,16.2,16.5,15.3,15.55,230214
2015-12-31,15.8,16.4,14.8,15.05,410374
2016-01-01,15,15.95,14.8,15,456242
2016-01-04,15.05,15.65,13.8,13.95,1110761
2016-01-05,14.35,14.4,13.75,13.95,456409
2016-01-06,14.2,16.7,13.9,15.9,2442797
2016-01-07,15.8,15.85,12.85,13.3,4792959
2016-01-08,13.5,14.45,13.1,13.95,1430538
2016-01-11,13.7,14.7,13.2,13.35,1467154
2016-01-12,13.85,13.85,13,13.35,1050551
2016-01-13,13.75,14.2,13,14,1474224
2016-01-14,13.65,14.55,13.15,14,594723
2016-01-15,14.25,14.6,13.65,13.75,732150
2016-01-18,14.2,14.2,13,13.1,949307
2016-01-19,13,13.9,13,13.45,203309
2016-01-20,13.5,13.8,13.05,13.6,1120693
2016-01-21,13.85,14.1,13.5,13.75,792446
2016-01-22,13.9,13.9,13.4,13.65,597591
2016-01-25,13.7,14.4,13.7,13.8,599298
2016-01-27,14,14.3,13.4,13.5,718486
2016-01-28,13.6,14.25,13,13.65,103778409
2016-01-29,13.9,14.6,13.35,14.3,10645833
2016-02-01,14.55,17.15,14.3,17,18837363
2016-02-02,17.25,18.25,15.85,16.4,14849899
2016-02-03,15.95,17.1,15.8,16.3,4274931
2016-02-04,16.85,17.6,16.3,16.75,4767335
2016-02-05,16.8,17.35,16.15,17.1,2275137
2016-02-08,17.25,17.45,16.75,16.9,2178838
2016-02-09,16.75,17.3,16.4,17.2,1691542
2016-02-10,16.9,17.8,16.5,16.95,2050283
2016-02-11,16.95,16.95,13.95,14.55,6328511
2016-02-12,14.55,16.3,14.45,15.55,3308452
2016-02-15,15.85,16.8,15.85,16.5,1812825
2016-02-16,16.4,16.45,15.3,15.5,1103567
2016-02-17,15.65,15.7,14.6,15.35,1219960
2016-02-18,15.6,15.95,15.2,15.45,771661
2016-02-19,15.55,16.6,15.25,16.2,1406571
2016-02-22,16.3,16.75,16.2,16.55,1007794
2016-02-23,16.7,16.7,15.7,16.1,982791
2016-02-24,16.25,16.25,15.15,15.35,640215
2016-02-25,15.4,15.85,15.2,15.4,651270
2016-02-26,15.65,15.7,14.7,14.9,396153
2016-02-29,14.9,15.25,14.6,14.75,600635
2016-03-01,14.9,15.4,14.85,15.1,885439
2016-03-02,15.35,16.6,15,16.1,2734901
2016-03-03,16.4,16.6,15.8,16.3,1131286
2016-03-04,16.45,16.45,15.65,15.95,657848
2016-03-08,15.85,16.2,15.35,15.55,686813
2016-03-09,15.5,15.95,15.3,15.6,345165
2016-03-10,15.75,16,15.3,15.35,629824
2016-03-11,15.4,15.65,15.2,15.4,435450
2016-03-14,15.5,15.65,15.05,15.25,1124458
2016-03-15,15.3,15.6,15.15,15.4,625682
2016-03-16,15.4,15.7,15.1,15.35,416362
2016-03-17,15.45,15.7,15.2,15.3,457456
2016-03-18,15.25,15.45,15.05,15.15,405151
2016-03-21,15.3,15.6,15.1,15.45,266439
2016-03-22,15.65,15.65,14.9,15.1,703157
2016-03-23,15.15,16.25,15,16.05,1262506
2016-03-28,16.5,16.7,15.6,15.75,2014274
2016-03-29,15.75,16,15.15,15.55,1314801
2016-03-30,15.75,16.25,15.7,16,811075
2016-03-31,16.05,16.25,15.6,15.75,339463
2016-04-01,15.55,15.95,15.5,15.75,285734
2016-04-04,15.75,16,15.45,15.7,464956
2016-04-05,15.85,15.85,15.25,15.35,351648
2016-04-06,15.5,16.5,15.4,16.05,1710473
2016-04-07,16.1,16.1,15.35,15.5,738835
2016-04-08,15.6,15.9,15.35,15.85,669153
2016-04-11,15.95,17.15,15.7,16.8,2958325
2016-04-12,16.8,17.8,16.65,17.45,3841765
2016-04-13,17.9,18.3,17.65,17.8,2001871
2016-04-18,18,18.6,17.45,18.3,1941113
2016-04-20,18.75,19.4,18.55,19.2,2161181
2016-04-21,19.5,19.5,18,18.15,1456759
2016-04-22,18.35,18.35,17.45,17.85,1246509
2016-04-25,17.8,18,17.55,17.7,621700
2016-04-26,17.75,18.1,17.5,18,574019
2016-04-27,18,18.9,17.9,18,1346640
2016-04-28,18.25,18.25,17.85,17.9,353302
2016-04-29,17.95,18.25,17.85,18.15,584049
2016-05-02,18,18.85,17.85,18.4,1025822
2016-05-03,18.55,18.6,17.95,18,641119
2016-05-04,18,18.1,17.85,17.95,722456
2016-05-05,17.95,18.4,17.9,18.2,325008
2016-05-06,18,18.3,17.95,18,206223
2016-05-09,18.2,18.45,18.15,18.3,406594
2016-05-10,18.3,18.4,18,18.1,261331
2016-05-11,18,18.25,17.6,18.15,344645
2016-05-12,18.3,18.5,17.95,18.05,471558
2016-05-13,18.1,18.15,17.95,18,506866
2016-05-16,18.2,18.25,17.85,18.05,396955
2016-05-17,18,19.2,18,18.35,1236893
2016-05-18,18.65,19.45,18.35,19.25,1346356
2016-05-19,19.45,20.2,19.3,19.6,2071358
2016-05-20,19.7,20.9,19,20.35,2007513
2016-05-23,20.8,21.35,20.5,20.8,2418116
2016-05-24,21,21.45,19.55,19.75,2378963
2016-05-25,19.65,20.3,19.4,19.75,1386635
2016-05-26,19.7,20.5,19.45,20.3,785034
2016-05-27,20.45,20.5,19.95,20.15,1115351
2016-05-30,20.4,20.4,19.7,19.85,488093
2016-05-31,19.75,19.75,19.3,19.45,308570
2016-06-01,19.8,20.35,19.2,19.75,666554
2016-06-02,19.7,20.4,19.5,20.25,796199
2016-06-03,20.35,20.9,19.65,19.7,967715
2016-06-06,19.95,20.05,19.6,19.75,208282
2016-06-07,19.75,20.7,19.65,20.65,664929
2016-06-08,20.65,23.9,20.25,23.25,5163791
2016-06-09,23,23.9,22.6,23.1,2394039
2016-06-10,22.9,23.8,22.85,23.3,1154570
2016-06-13,23.3,24.9,22.55,24.6,2368317
2016-06-14,24.8,27.25,24.15,26.55,5919752
2016-06-15,27.25,30.25,27,29.2,13341297
2016-06-16,29.3,30.5,28.5,29.45,6313518
2016-06-17,29.7,29.9,28.15,29.05,4160517
2016-06-20,28.85,29.4,28.3,28.5,1411667
2016-06-21,28.65,28.8,26.4,27.85,1732245
2016-06-22,27.3,29.7,26.75,29.3,2821565
2016-06-23,29.5,29.7,27.9,29,2311188
2016-06-24,27.5,29.5,26.65,29.1,2938158
2016-06-27,28.55,30.75,28.55,30.45,4896492
2016-06-28,31.15,34.4,30.95,33.5,10967701
2016-06-29,33.45,34.9,32.7,33.75,4666396
