Date,Open,High,Low,Close,Volume
2017-11-28,150,168.95,150,162.95,70288
2017-11-29,168.8,168.8,158.5,162.5,42674
2017-11-30,161.35,162.5,155,160,26500
2017-12-01,157.55,162.5,157.5,159.9,17802
2017-12-04,156.9,156.9,154.2,155,15520
2017-12-05,155,160,153,155.45,11690
2017-12-06,161.7,174.45,160,164,78676
2017-12-07,166.5,169.5,160.4,163.8,6840
2017-12-08,167.5,169,160.5,165.8,13020
2017-12-11,166,172.05,155.55,157.8,18404
2017-12-12,162.45,166.5,156,161.6,28488
2017-12-13,165,174,162.5,163.7,16916
2017-12-14,160.55,167.4,152.5,164.55,98680
2017-12-15,164.5,166.5,160,160.9,19118
2017-12-18,158,164.95,152,159.95,5474
2017-12-19,155.1,168.05,155.1,166.55,14424
2017-12-20,166.5,173.95,163.05,167.2,41928
2017-12-21,164,167.95,160.65,162.1,11644
2017-12-22,162,168.25,157.5,158.05,28872
2017-12-26,160,161.85,152.5,154,162342
2017-12-27,154,160,154,154.6,19678
2017-12-28,154.6,159.5,153,157.5,118926
2017-12-29,157.5,163.5,153.95,160.6,49580
2018-01-01,160.6,163.75,160.5,160.85,7350
2018-01-02,160.85,160.9,152.85,156.05,26440
2018-01-03,156.05,159.95,154.25,155.55,10042
2018-01-04,155.5,160,154.25,155,29286
2018-01-05,155,165,155,163,46380
2018-01-08,162.45,165,158.1,162.45,20632
2018-01-09,161,169.45,161,167.95,139628
2018-01-10,169.45,183,166.5,174.55,121504
2018-01-11,175,187.2,175,181.25,70288
2018-01-12,184.95,184.95,169.75,174.15,41924
2018-01-15,171,174.15,169.25,170,95342
2018-01-16,170,172.5,158.6,161.6,59152
2018-01-17,157.5,164,157.5,162.4,49214
2018-01-18,162.4,168.5,155.5,156.55,23630
2018-01-19,156.5,161.5,155.3,158.9,16160
2018-01-22,155.2,162.5,155.2,156.75,25220
2018-01-23,156.7,162.5,156.7,159.75,18458
2018-01-24,157.5,158.4,155.9,156.5,22352
2018-01-25,156.05,158.5,151.5,152.4,43268
2018-01-29,152.5,155.05,146,147.9,39046
2018-01-30,148,150.75,143,144.85,60874
2018-01-31,148.5,148.5,140,141.3,102858
2018-02-01,143,146.75,141.5,142.95,13354
2018-02-02,146.7,146.7,136.35,141.4,21986
2018-02-05,131.6,141.8,131.5,141.3,14906
2018-02-06,139.3,143,131.6,140.4,8324
2018-02-07,143.7,147,141.5,144.9,12884
2018-02-08,147.9,152.35,145.1,149.3,7110
2018-02-09,149.4,151.45,145,149.2,6124
2018-02-12,142.5,151.3,135.8,147.75,11212
2018-02-14,148,151,146.75,148.65,18806
2018-02-15,146.85,152.25,143,143.7,45310
2018-02-16,149.3,149.3,141.1,143.2,25328
2018-02-19,144,144,137.8,139.95,7436
2018-02-20,140,140,135.8,137.55,10002
2018-02-21,140,140,134,136.4,6338
2018-02-22,139.9,139.9,134.35,135.8,18596
2018-02-23,140,144,134.3,140.4,6152
2018-02-26,145,145.5,140,140.75,4544
2018-02-27,146.3,146.3,139.5,140,114522
2018-02-28,142.4,143,140,142,2390
2018-03-01,142.45,142.45,140,140.1,7056
2018-03-05,144.95,149.65,135.25,140,84102
2018-03-06,142.5,142.5,137,137.8,67704
2018-03-07,142.2,142.2,131.5,133.6,88666
2018-03-08,131.8,140,131.8,137.4,75776
2018-03-09,138.35,138.35,133,133,7902
2018-03-12,133.05,135.4,133,133.8,4906
2018-03-13,136.5,138.75,133,134.3,4640
2018-03-14,135,139.5,132.6,135.9,7618
2018-03-15,137.4,148.15,134,135.7,8204
2018-03-16,143.55,143.55,134,134.3,10700
2018-03-19,134.15,137.45,130.5,134.8,8670
2018-03-20,138.35,138.35,130.9,131.35,3934
2018-03-21,135.6,137.5,125.1,133.95,100334
2018-03-22,135,136,128.6,135.3,10882
2018-03-23,130,138.45,125.6,129.05,53820
2018-03-26,129.25,133.65,124.1,124.95,53910
2018-03-27,125.5,128,120.5,124.5,19714
2018-03-28,122.5,123.4,115.65,121.95,12362
2018-04-02,122,127.5,122,126.4,8922
2018-04-03,126,130,125.9,128.3,6866
2018-04-04,128.35,130.3,127,127.9,16652
2018-04-05,129.3,130,127.5,128.7,17756
2018-04-06,129.5,130.25,127.5,129.95,71074
2018-04-09,130,130,128,129.85,13716
2018-04-10,131,132,129.5,130.8,50692
2018-04-11,130,132.45,129.5,130.05,11660
2018-04-12,130,132,127.5,130,6530
2018-04-13,129.05,131.3,129.05,129.5,2228
2018-04-16,129.1,130.25,127.65,127.75,11620
2018-04-17,128.5,128.5,127.95,128,3200
2018-04-18,127.55,130.5,127.55,127.7,7072
2018-04-19,127.65,130.45,127.5,127.55,7932
2018-04-20,127.5,133.45,127.5,127.95,6916
2018-04-23,132.5,132.5,127.7,129.25,4494
2018-04-24,129.25,132.9,128.55,132.5,22394
2018-04-25,131,132.5,125.05,132.45,31920
2018-04-26,132.05,132.4,128.5,128.6,1350
2018-04-27,128.6,132,128.6,131.4,9322
2018-04-30,131.35,131.45,127.6,128.95,19444
2018-05-02,125.1,132,125.1,127.8,331334
2018-05-03,130,130,124.05,125,108020
2018-05-04,130.05,130.05,123.2,124,6176
2018-05-07,122.5,124.75,119,120.35,41372
2018-05-08,122,122.5,117.7,118.1,17998
2018-05-09,115.8,122.3,115.8,116.9,24012
2018-05-10,119.95,119.95,115.65,116.45,21652
2018-05-11,115.25,116.5,115.25,115.85,13416
2018-05-14,115.1,119.8,112.5,114.3,9028
2018-05-15,118.45,119.7,113.45,114.5,8668
2018-05-16,113.6,119.45,113.5,114.95,16384
2018-05-17,117.5,117.5,112.6,113.8,32192
2018-05-18,117.9,119.2,112.5,115,29402
2018-05-21,119.95,119.95,113.45,114.8,9094
2018-05-22,114,117.8,110,110.2,6782
2018-05-23,110,111,109,109.65,4736
2018-05-24,109.55,110.1,107.6,108.6,2128
2018-05-25,109.95,110,107.55,108,2022
2018-05-28,108,113.9,105.75,111.45,105928
2018-05-29,115.95,117.3,110.3,112.9,19170
