Date,Open,High,Low,Close,Volume
2015-09-07,109.2,111.1,99.05,101.8,51456
2015-09-08,101,108,99.05,106.45,25486
2015-09-09,106.45,112,106.45,109.95,16946
2015-09-10,108.85,109,104.05,106.85,18907
2015-09-11,107.25,121,106.15,117.1,92879
2015-09-14,118.9,120.9,117.1,118.4,19192
2015-09-15,118.4,119.5,115.3,116.15,16007
2015-09-16,116.55,118.45,115.1,116.3,11211
2015-09-18,116.3,121.5,116.3,118.75,23770
2015-09-21,117.45,123.45,117.45,121.85,25960
2015-09-22,122,128,121.05,122.75,56702
2015-09-23,122.8,126,118,123.8,18692
2015-09-24,124.9,128.8,124.25,125.1,23151
2015-09-28,128.3,128.3,121,121.65,20012
2015-09-29,121,124,120.25,121.25,14437
2015-09-30,122.25,125,121.5,121.8,14074
2015-10-01,123.75,125.4,118,119,19657
2015-10-05,119.1,123,119.1,121.2,26873
2015-10-06,122.5,132,122,129.95,116315
2015-10-07,130.8,134.9,124.1,133.3,58850
2015-10-08,134.95,135,129.9,130.5,14266
2015-10-09,131.85,152,131.85,141.55,257942
2015-10-12,144.9,145.95,135.6,137.3,54198
2015-10-13,138.75,144.9,136,137.8,53331
2015-10-14,138,141.6,137.5,138.35,12399
2015-10-15,138.05,141.95,135.4,136.7,21758
2015-10-16,139,153,137.95,146.4,146016
2015-10-19,147.4,153.4,144.7,150.9,88339
2015-10-20,151.9,155,144.5,146.65,60599
2015-10-21,148.4,149.45,140.1,146.95,81305
2015-10-23,147.95,154.5,130.1,133.45,918001
2015-10-26,133.6,135.6,124.1,126.2,192888
2015-10-27,123.55,129,120,125.35,47854
2015-10-28,126.05,130.8,123.25,126.5,55387
2015-10-29,123.05,128.25,119.9,120.65,71180
2015-10-30,121.35,122.4,116.7,117.15,33086
2015-11-02,117,118.95,112.2,113.15,36151
2015-11-03,113.9,114.85,109.2,110.75,37850
2015-11-04,111.85,114.4,111,111.65,35155
2015-11-05,111.85,112.8,109.05,110.1,17304
2015-11-06,109,110.45,105,105.8,28905
2015-11-09,97.05,113.8,97.05,112.5,29877
2015-11-10,112,116,106.95,109,29990
2015-11-11,109.95,113.15,109.95,112,10369
2015-11-13,110.95,112.15,110,110.65,6155
2015-11-16,110,113,108.75,109.65,11624
2015-11-17,110,118.1,110,115.45,21710
2015-11-18,114.8,118,110.5,113.2,22648
2015-11-19,114.4,117,113.85,114.8,22317
2015-11-20,114.4,116.65,112.95,114.4,14141
2015-11-23,114.85,124,114.85,122.45,84656
2015-11-24,122.5,136.35,122.45,130.6,110764
2015-11-26,136,138.6,121.6,124.8,94192
2015-11-27,124,127,121.5,122.95,23900
2015-11-30,122.55,124.35,121,121.65,34251
2015-12-01,121.1,124.85,121,121.8,17604
2015-12-02,122.2,124,119.5,120.3,17226
2015-12-03,120.45,122.5,114.6,115.5,29293
2015-12-04,114.7,118.9,114,116.65,19992
2015-12-07,116,133.65,115.05,130.85,306692
2015-12-08,129.6,129.6,121.3,123.85,74366
2015-12-09,123.95,124.5,114.4,115.15,36606
2015-12-10,117.2,120,115,117.75,17345
2015-12-11,118.05,120,115.05,116.35,15838
2015-12-16,116.45,121.95,116.45,117.9,40198
2015-12-17,118.4,120,117.1,119.95,23130
2015-12-18,119,120,117.15,118.05,13352
2015-12-21,118.1,120,115.6,118.05,27057
2015-12-22,117.1,121.9,115,116.05,55670
2015-12-23,117.2,124,117,122.6,71254
2015-12-24,124.6,130,124,128.05,159042
2015-12-28,133.35,135.9,129.25,130.3,335028
2015-12-29,131,131.25,124.1,125.05,72396
2015-12-30,125,127.45,125,125.65,26743
2015-12-31,125.65,130,123.55,128.05,60844
2016-01-01,128.2,130.8,127.05,127.95,36095
2016-01-04,126.6,131.7,125,127.1,49045
2016-01-05,127.8,132,127.1,131,64918
2016-01-06,130,133.95,129.2,129.95,56447
2016-01-07,128.7,128.7,123.1,124.45,29521
2016-01-08,125.75,127.75,125.75,126.5,18088
2016-01-11,125,127,120.8,126.1,26285
2016-01-12,126.45,128.4,122,123.85,22588
2016-01-13,125.25,130,115,119.5,101047
2016-01-14,116.75,118.9,113.1,115.25,22574
2016-01-15,116.3,118,108.05,110.35,18695
2016-01-18,109.4,109.4,96.35,99.2,63124
2016-01-19,100.2,104.6,100.2,103.35,21377
2016-01-20,102,103.9,98.5,101.75,17366
2016-01-21,104,106,97.5,100.15,28601
2016-01-22,104.4,105.3,101,104.2,16217
2016-01-25,106.95,108.85,102,103.3,29937
2016-01-27,103.9,106.9,103.9,105.4,9090
2016-01-28,104,107,104,106.45,7809
2016-01-29,105.4,115,105.3,114.4,30652
2016-02-01,116.1,117,112.7,114.6,20551
2016-02-02,120.5,120.5,114.3,117.3,94031
2016-02-03,115.65,115.65,109,110.95,22551
2016-02-04,111.8,113.7,101.5,103.75,23871
2016-02-05,103.05,109.55,103.05,109.25,14177
2016-02-08,111.85,113.45,102.65,108.1,30576
2016-02-09,107.05,110,102.9,104.4,75835
2016-02-10,103.5,105.5,95.15,98.7,32465
2016-02-11,99.5,102.85,85.15,89.55,84134
2016-02-12,87.1,90,81,85,31176
2016-02-15,84.55,94,84.5,91,17675
2016-02-16,93.85,93.9,83.35,85.65,11723
2016-02-17,85.65,88,81.45,86.85,20878
2016-02-18,88,92.3,88,90.6,37736
2016-02-19,92.2,93.05,90.25,91.95,12633
2016-02-22,92,93.8,92,93.15,7627
2016-02-23,92,92,88.1,89.35,12945
2016-02-24,88.25,88.25,85,85.3,16649
2016-02-25,85.1,85.35,82.5,83.15,8846
2016-02-26,83.5,84.45,75.2,79.6,20455
2016-02-29,79,82,77,80.8,13637
2016-03-01,82,86.8,82,85.35,14025
2016-03-02,88.85,89.5,85.85,86.75,21552
2016-03-03,88,91,87,89.85,18107
2016-03-04,90.1,94.9,89.6,93.45,13399
2016-03-08,92.35,101.5,92.3,99.25,29712
2016-03-09,98,100.45,96,99.2,5958
2016-03-10,98,99.6,98,98.95,4698
2016-03-11,98,101,96.5,99.05,21324
2016-03-14,102,105.85,99.1,105,27844
2016-03-15,105,106.85,102.15,105.2,7748
2016-03-16,105.05,106.55,103.85,104.2,10054
2016-03-17,109.85,109.85,103.6,106.15,8035
2016-03-18,105.6,108,105.6,107.25,9077
2016-03-21,106.7,109.05,106.7,107.1,8916
2016-03-22,107.2,107.9,104.15,105.85,9907
2016-03-23,105.7,109.25,104.45,106.2,21048
