Date,Open,High,Low,Close,Volume
2015-09-07,65.35,65.35,62.3,62.3,268
2015-09-08,63,63,59.65,62.9,1583
2015-09-09,61,63,61,63,115
2015-09-10,68,68,59,59,590
2015-09-11,59,62.75,59,62.5,1259
2015-09-14,65,65,65,65,1021
2015-09-16,66.9,66.9,65,65,545
2015-09-18,67,67,67,67,17
2015-09-28,65,65,64,64,92
2015-09-29,66.95,68,64,65,1301
2015-09-30,62.7,65,62.7,65,1811
2015-10-05,62.1,62.8,60.55,62.55,1422
2015-10-06,61,63,61,63,1400
2015-10-07,67,67,64.15,66.15,1008
2015-10-08,64.15,67.5,63.55,66,2352
2015-10-12,66,66.2,66,66.2,720
2015-10-13,66.2,67.65,66.2,67.65,708
2015-10-14,69.3,69.3,69.3,69.3,6
2015-10-15,72,72,67.55,67.55,400
2015-10-16,72.4,72.4,72.4,72.4,10
2015-10-19,71.8,71.8,69.5,69.5,35
2015-10-20,70,70,70,70,15
2015-10-21,68,68,67,67,203
2015-10-23,71.95,71.95,71.9,71.9,110
2015-10-28,71.4,71.4,71.4,71.4,10
2015-10-29,74,74.3,66.3,71.65,204
2015-10-30,68,68,66.1,67.1,8
2015-11-02,72.9,72.9,65.55,65.55,10
2015-11-04,74.5,74.5,66.6,66.6,1997
2015-11-05,67,67,67,67,200
2015-11-06,64.1,69.85,64.1,68,2400
2015-11-09,68.9,68.95,68.9,68.95,102
2015-11-10,67,67,67,67,650
2015-11-16,65.6,65.6,63.65,63.65,200
2015-11-17,63.65,63.65,62.25,62.25,908
2015-11-19,64.95,65.2,61.9,62.8,4958
2015-11-20,62.8,62.8,62.8,62.8,20
2015-11-23,63,63,63,63,18
2015-11-24,64.85,66.15,64.85,65.35,103
2015-11-26,62.35,64,62.35,63.3,600
2015-11-27,66.45,66.45,63.1,66.4,14100
2015-11-30,64.65,68.65,64.65,68.45,329
2015-12-01,68,68,65.75,65.75,170
2015-12-03,64.1,64.1,64.1,64.1,200
2015-12-04,67.25,67.3,65.2,67.3,40707
2015-12-07,67.35,69.8,65.1,68.55,5089
2015-12-08,69.75,70.2,68.1,68.1,286
2015-12-10,70,71.5,70,70.8,1846
2015-12-11,70.8,70.8,70.8,70.8,230
2015-12-16,64.55,68,64.55,66.05,451
2015-12-17,67,67,67,67,300
2015-12-18,68,68,68,68,20
2015-12-21,69,69,69,69,8
2015-12-22,72,72,66.45,66.45,250
2015-12-23,66,68.75,66,68.7,706
2015-12-24,70.75,70.75,69,69,320
2015-12-28,71.1,72.4,70.35,71.1,576
2015-12-29,72.95,72.95,72.45,72.65,681
2015-12-30,69.15,69.3,69.1,69.3,1005
2015-12-31,70.8,71.1,70.8,71.05,100
2016-01-01,70,72,70,71.95,1204
2016-01-04,69.7,69.7,69.7,69.7,100
2016-01-05,68.1,72,68.1,71.8,350
2016-01-06,72,72,71,71,371
2016-01-07,69.15,70.4,67.45,70.4,1861
2016-01-12,67.15,67.15,67.15,67.15,100
2016-01-14,64,69.9,64,69.9,26
2016-01-15,66.45,66.45,66.45,66.45,15
2016-01-18,65.45,67.95,65.45,67.95,120
2016-01-22,65.15,65.3,65.1,65.1,435
2016-01-25,63.4,68,63.4,68,13
2016-01-29,70,70,66,66,360
2016-02-01,64.55,64.55,64.5,64.5,50
2016-02-02,63.2,63.2,63.2,63.2,26
2016-02-03,63.15,64.5,60.05,62.65,2060
2016-02-05,61,64.7,59.55,60.3,2057
2016-02-08,63,63,63,63,1
2016-02-09,61.1,61.1,59.9,59.9,160
2016-02-11,56.95,56.95,56.95,56.95,100
2016-02-12,59.75,59.75,59,59,28
2016-02-15,60,60,56.2,60,421
2016-02-18,62.5,62.5,62.5,62.5,2
2016-02-22,64,64,64,64,1
2016-02-23,60.8,60.8,60.8,60.8,1
2016-02-24,61,61,57.8,57.8,28
2016-03-02,60,60,60,60,5
2016-03-03,60.65,62.9,60.65,62.15,104
2016-03-08,59.05,59.05,59.05,59.05,30
2016-03-09,62,62,62,62,5
2016-03-10,64,64,64,64,5
2016-03-14,64.65,64.65,64.3,64.3,1005
2016-03-15,63.95,63.95,63.95,63.95,200
2016-03-16,63.45,63.45,63.45,63.45,201
2016-03-17,62.95,62.95,62.95,62.95,1
2016-03-23,59.85,61.6,59.85,59.85,1248
2016-03-28,62.05,62.8,62,62.8,125
2016-03-29,65.9,65.9,63.05,65.9,1905
2016-03-30,69.1,69.15,67.5,68.35,2851
2016-03-31,67,67,64.95,64.95,5005
2016-04-01,68,68,68,68,10
2016-04-07,64.6,64.6,64.6,64.6,75
2016-04-12,66,66,66,66,12
2016-04-21,69.3,69.3,69,69,1002
2016-04-22,68,68,68,68,20
2016-04-25,64.6,64.6,64.6,64.6,2
2016-04-26,61.85,67.75,61.85,67.75,1010
2016-04-27,70.9,70.9,70.9,70.9,3
2016-05-02,67.4,67.4,67.4,67.4,50
2016-05-05,64.05,64.05,64.05,64.05,901
2016-05-06,61.1,62.05,61.1,62.05,52
2016-05-09,65,65,60.4,60.4,708
2016-05-12,63.4,63.4,63.4,63.4,1
2016-05-13,66.55,66.55,64.1,66.5,702
2016-05-17,63.6,66.5,63.6,63.6,101
2016-05-24,65,65,65,65,100
2016-05-26,64,64,62.1,62.1,102
2016-05-30,64.5,65,60.15,65,425
2016-05-31,63,63,63,63,100
2016-06-01,65.85,65.85,62.15,62.15,235
2016-06-03,63.95,65,63.95,65,250
2016-06-07,65,65,62.1,62.15,74
2016-06-09,64.95,64.95,60,60,120
2016-06-10,62.95,63,62.85,63,520
2016-06-13,60.15,60.15,60.15,60.15,400
2016-06-14,63,63,63,63,120
2016-06-15,63.5,64.8,63.5,64.8,684
2016-06-16,66.9,66.9,66.9,66.9,10
2016-06-17,67.75,67.75,67.75,67.75,200
2016-06-22,64.4,64.4,64.4,64.4,536
2016-06-23,61.3,61.3,61.3,61.3,110
2016-06-29,60.75,60.75,60.75,60.75,200
2016-06-30,63.75,63.75,63.75,63.75,25
2016-07-01,65.9,66.8,64.5,66.8,891
2016-07-04,68.9,68.9,68.5,68.75,451
2016-07-05,67,69.9,66,66.1,566
2016-07-07,68.85,68.85,68.85,68.85,300
2016-07-08,68,68.9,66,66,3141
2016-07-11,65.25,65.25,65.25,65.25,30
2016-07-13,66,68.5,66,66,2400
2016-07-14,64.75,64.75,64.75,64.75,100
2016-07-15,66.95,66.95,66.5,66.5,500
2016-07-18,67.85,67.85,67.85,67.85,75
2016-07-19,64.7,64.7,64.5,64.5,744
2016-07-20,65.45,65.45,65.45,65.45,18
2016-07-21,62.3,68,62.3,68,251
2016-07-25,69.4,69.4,64.6,67.8,1537
2016-07-26,69.85,69.85,64.7,67.15,2050
2016-07-27,67.95,67.95,67.95,67.95,300
2016-07-28,67.95,67.95,64.65,64.65,201
2016-07-29,66,67.3,62.6,67.3,339
2016-08-01,67.3,67.95,64.2,67.75,72
2016-08-02,65.55,65.55,64.4,64.4,240
2016-08-04,64.4,64.4,61.2,61.2,743
2016-08-05,63.75,63.75,61.4,61.5,220
2016-08-09,61.1,61.2,61.1,61.2,100
2016-08-10,60,60,59.95,59.95,431
2016-08-11,60,60,60,60,20
2016-08-12,60,60,60,60,29
2016-08-16,60,60,57,57,60
2016-08-17,57.6,59.85,57.6,59.85,280
2016-08-18,59,59,59,59,1
2016-08-19,59,61.75,57.55,61.75,530
2016-08-22,64.35,64.35,62,62,610
2016-08-24,60,65.1,60,65,2061
2016-08-25,68.15,68.25,66.05,68.25,12225
2016-08-26,66.1,71.65,65.45,71.2,1646
2016-08-29,67.65,70,67.65,67.75,30
2016-08-30,65.15,71,65.1,68.05,1415
2016-08-31,66.7,68,66.7,68,1052
2016-09-07,71.35,71.4,71.35,71.4,659
2016-09-08,70,74.95,70,74.95,2200
2016-09-09,78.6,78.6,74.25,75.05,1556
2016-09-12,75,77,75,75,525
2016-09-14,75,75,75,75,114
2016-09-15,78.7,78.75,77.9,78.75,1221
2016-09-16,82.65,82.65,76.4,82.65,3805
2016-09-19,86.6,86.6,78.6,79.45,1380
2016-09-20,79.45,79.45,77.2,77.2,350
2016-09-21,76.9,76.95,74,76.95,542
2016-09-22,77.4,77.4,77.4,77.4,100
2016-09-23,77,77,74.5,77,2261
2016-09-27,73.2,76.3,73.15,73.2,1205
2016-09-29,73,75.9,69.55,72,730
2016-09-30,71,73.95,70,73.95,121
2016-10-03,70.35,72.7,70.3,72.35,86
2016-10-04,74.6,74.6,70.75,71.05,225
2016-10-05,74.5,74.5,71.05,73.3,25
2016-10-06,72.65,74.9,72.05,74.65,5505
2016-10-07,72.95,73.15,72.55,72.55,655
2016-10-10,74.25,74.25,72,72,1040
2016-10-13,75,75.5,74.5,75.05,26584
2016-10-14,75,75,74.7,74.8,36850
2016-10-17,77.5,77.5,70.3,72.55,3592
