Date,Open,High,Low,Close,Volume
2015-09-07,27.35,28.8,27,27.75,206987
2015-09-08,28,28.95,26.75,28.35,153986
2015-09-09,28.55,30.5,28.55,29.45,116401
2015-09-10,29.2,29.2,28.15,28.3,93959
2015-09-11,29.35,29.35,27.45,27.55,116728
2015-09-14,27.55,28.75,27.3,27.45,87346
2015-09-15,27.55,27.7,26.85,27.2,103382
2015-09-16,27.75,28,26.8,27.1,158665
2015-09-18,27.45,28.15,27.25,27.65,123417
2015-09-21,27.8,28.2,27.1,27.25,170796
2015-09-22,27.35,27.55,27,27.2,90970
2015-09-23,27.1,27.35,26,27.25,93949
2015-09-24,27.25,27.6,26.5,26.7,105638
2015-09-28,27.55,27.85,25.75,26.45,107827
2015-09-29,26.35,26.8,26.05,26.6,90233
2015-09-30,26.85,26.9,26.1,26.35,111551
2015-10-01,26.65,27.5,26.1,26.6,145121
2015-10-05,27.15,27.2,26.3,26.4,134500
2015-10-06,26.85,27.35,26.2,26.8,160851
2015-10-07,27.45,27.45,26.6,27,154049
2015-10-08,27.35,31.65,26.9,31.25,590801
2015-10-09,32.15,32.4,30.1,30.95,302049
2015-10-12,32.8,37.1,32.7,36.65,798949
2015-10-13,38.4,38.9,35.85,37,617148
2015-10-14,36.9,37,35.1,35.95,142752
2015-10-15,35.95,37.25,35.2,35.55,238663
2015-10-16,35.6,36.4,34.9,35.4,145056
2015-10-19,35.35,36.8,35.1,35.5,135117
2015-10-20,35.55,37.4,35.1,36.2,188691
2015-10-21,36.45,37.2,35.5,35.8,236682
2015-10-23,35.8,36.8,33.55,34.5,198650
2015-10-26,34.9,34.9,33.3,33.75,272122
2015-10-27,33.25,34.5,33,33.15,111035
2015-10-28,33.15,33.5,32.25,32.55,115678
2015-10-29,32.95,33.65,32.3,32.5,114902
2015-10-30,32.7,33.15,30.7,31.3,138925
2015-11-02,31.25,31.55,29,30.1,149016
2015-11-03,30.75,31.75,30.65,30.95,132339
2015-11-04,31.1,31.65,29.55,30.35,174358
2015-11-05,30,30.25,29,29.2,105368
2015-11-06,29.5,29.75,26.9,27,240852
2015-11-09,27,28.7,26.25,27.65,169931
2015-11-10,27.45,28.25,27.15,27.75,98867
2015-11-11,28.4,29.15,28.2,28.6,17688
2015-11-13,28.4,30.85,27.35,30,116182
2015-11-16,30.05,31.45,30,30.25,122981
2015-11-17,30.5,30.65,29.7,29.85,83945
2015-11-18,30.35,30.6,29.2,29.45,40883
2015-11-19,29.25,30,29.25,29.4,62603
2015-11-20,29.45,29.9,28.7,29.1,73698
2015-11-23,29.1,32.5,28.95,31.05,334887
2015-11-24,31.85,35.25,31.25,33.7,415898
2015-11-26,34.45,35.85,32.5,33.2,208124
