Date,Open,High,Low,Close,Volume
2015-09-07,120.24,121.8,118,119.99,20780
2015-09-08,122.01,124.37,119,123.17,12510
2015-09-09,124.39,124.4,120.4,121.14,10790
2015-09-10,120.09,121.68,119,120.01,9570
2015-09-11,119,121.4,119,120.08,5765
2015-09-14,121.8,122.79,120.2,121.11,7495
2015-09-15,121.01,122.76,120,121.52,78140
2015-09-16,118.61,122.8,118.6,121.37,4875
2015-09-18,121.75,123.78,120.42,123,17795
2015-09-21,122.21,126.78,120.59,126.05,7815
2015-09-22,125.79,127.98,124.2,126.3,16685
2015-09-23,123.2,128,123.2,126.06,6015
2015-09-24,127.97,127.97,124.2,124.41,6715
2015-09-28,124.4,125.41,123.6,124.72,2955
2015-09-29,124.72,124.72,119.99,122.77,11955
2015-09-30,124.39,128.4,122.4,127.23,11425
2015-10-01,124.74,128.19,124.2,127.66,6005
2015-10-05,126.42,128.01,125.4,126.88,8630
2015-10-06,127.99,128,124.02,125.16,16375
2015-10-07,125.14,128,124.4,127.79,6360
2015-10-08,127.6,129.24,124,124.68,12500
2015-10-09,126.91,127.39,124.99,125.7,18655
2015-10-12,127.61,127.98,125.89,127.4,7790
2015-10-13,122.41,129.32,122.41,128.21,7500
2015-10-14,126.42,128,125.2,127.45,3620
2015-10-15,128.41,128.8,125.99,127.31,13665
2015-10-16,128.41,135,126.21,128.23,14320
2015-10-19,128.2,129,126.01,128.41,4960
2015-10-20,126.19,131.78,126.19,129.78,11270
2015-10-21,135,142.4,133.25,138,78430
2015-10-23,140,140,129,131.85,48240
2015-10-26,134.2,134.2,124,125.17,32760
2015-10-27,127.14,127.6,122.64,125.15,13445
2015-10-28,128.61,128.61,125,126.87,7740
2015-10-29,126,127.96,124.31,124.64,7980
2015-10-30,124.01,129,123.02,125.86,8985
2015-11-02,123.02,126.38,123.02,125.94,3165
2015-11-03,124,131.4,124,126.72,3875
2015-11-04,128.2,128.2,124.88,126.17,4075
2015-11-05,125,127.15,122.1,124.5,4800
2015-11-06,122.3,125.6,119.99,120,27190
2015-11-09,118.2,129,118,127.93,78100
2015-11-10,129,133.2,126.01,130.76,31825
2015-11-11,136,139.8,131.8,133.02,119465
2015-11-13,137,137,130.4,131.11,22960
2015-11-16,128,134,125.11,126.78,14295
2015-11-17,125.24,129.96,125.24,128.79,5340
2015-11-18,131.98,140,124.8,125.16,23805
2015-11-19,129.39,129.94,123.4,124.45,18405
2015-11-20,124.1,130.99,122.4,129.04,18000
2015-11-23,131.96,132,125.6,126.69,15455
2015-11-24,126,130,126,128.58,10215
2015-11-26,128,133.2,127,132.41,16230
2015-11-27,133.2,135,126,132.27,42130
2015-11-30,131,135.8,131,134.6,37425
2015-12-01,136,139.88,133.4,137.71,26935
2015-12-02,138,148.76,138,144.12,318495
2015-12-03,142.98,144.7,139,141.28,53030
2015-12-04,141,142,138.22,140.84,18945
2015-12-07,142.8,143.39,138,139.07,19430
2015-12-08,139.6,142.76,138.4,140.61,36055
2015-12-09,139.2,140.8,132.1,133.17,10205
2015-12-10,136,139.2,132.26,137.34,4425
2015-12-11,138.8,138.96,131.4,133.88,22200
2015-12-16,133.19,139.8,133.19,137.98,21720
2015-12-17,139.2,145.8,138,144.39,78420
2015-12-18,146.96,146.96,138.25,138.89,70705
2015-12-21,140,159.5,140,154.8,164225
2015-12-22,156,166.3,152.95,159.5,69216
2015-12-23,159,164,152.65,155.25,33001
2015-12-24,155,155,145,149.6,66240
2015-12-28,152,160,150,152.8,47614
2015-12-29,150.75,159.85,150.75,153.95,42051
2015-12-30,153.95,154.95,150.05,151.4,16586
2015-12-31,150.05,152.9,146,148.5,16581
2016-01-01,150.8,150.8,146,147.85,12447
2016-01-04,147.85,150.5,137.65,140.75,44011
2016-01-05,145.45,149.45,143.5,146.1,28360
2016-01-06,151.5,151.5,141.1,141.9,18486
2016-01-07,138.1,144,136.5,138.55,23031
2016-01-08,138.6,143.8,135,142.55,13676
2016-01-11,142,142,135.2,136,26437
2016-01-12,135,137.6,125.2,126.45,73310
2016-01-13,130.5,131,115.55,120.3,131271
2016-01-14,120,133.35,117.9,125.6,304418
2016-01-15,126,131.35,118.1,122.65,155046
2016-01-18,124,126,111,114.55,159784
2016-01-19,119.2,123.05,114.25,120.05,134064
2016-01-20,119,119,112.1,115,72240
2016-01-21,115.05,118.9,112.5,113.8,52592
2016-01-22,113.8,120,113.8,119.95,21559
2016-01-25,121.9,124.75,119.2,119.9,47278
2016-01-27,122,122,115.3,116.65,6640
2016-01-28,116.65,119.9,110.4,113.8,73665
2016-01-29,113,116.5,111.2,114.35,108221
2016-02-01,113,115.5,111.2,114.8,35945
2016-02-02,116.95,116.95,114.5,114.7,20527
2016-02-03,115,116.8,108.15,110.5,24521
2016-02-04,113,114.7,108.25,109.35,58686
2016-02-05,109.05,110.85,108.4,109.8,19704
2016-02-08,108,114.5,108,109.05,29917
2016-02-09,111,111,105.5,108.9,26508
2016-02-10,108.7,118.5,102,113.6,132386
2016-02-11,115,115,105.75,112,76415
2016-02-12,109.2,111,104.1,109.65,171238
2016-02-15,111,117.1,111,115.3,78824
2016-02-16,115.3,118.75,110.55,114.8,50839
2016-02-17,112.45,116.85,105.5,109.95,31658
2016-02-18,111,114,106.3,109.2,23894
2016-02-19,109,115,108.05,112.45,66091
2016-02-22,114.5,114.5,109.1,110.1,22334
2016-02-23,109,114.7,106.6,111,17408
2016-02-24,114.9,114.9,107.3,109.55,20125
2016-02-25,108,114.3,107.35,109.95,22664
2016-02-26,110,112.9,109.05,110.1,36313
2016-02-29,113,116.75,108.75,110.1,19445
2016-03-01,110,115.7,110,114.4,17284
2016-03-02,115,124.6,114,116.15,85285
2016-03-03,119,119.65,116.5,117.2,61670
2016-03-04,115.2,124.5,115.2,120.75,53238
2016-03-08,125,125,115,116.7,15453
2016-03-09,115.55,118,114,117.35,6617
2016-03-10,116,120.5,113.5,116.5,5905
2016-03-11,119.7,120,115.5,119.1,5499
2016-03-14,119,124,116,117.3,18795
2016-03-15,117.3,119,115,115.2,10075
2016-03-16,118.55,120,114.5,115.5,17427
2016-03-17,118,118,115.55,117.3,7736
2016-03-18,114.9,118,114.9,116.8,3533
2016-03-21,115.5,120,114.25,119.6,38341
