Date,Open,High,Low,Close,Volume
2023-06-22,202.9,215,193.2,196.7,288000
2023-06-23,194,196,183.5,185.5,94400
2023-06-26,186.8,190,180.6,184.1,75200
2023-06-27,184.5,185.5,180.5,181.35,46400
2023-06-28,183.7,183.7,175,176.2,40000
2023-06-30,176.3,183,175,181.25,48000
2023-07-03,184.8,185.9,180,184.3,27200
2023-07-04,187,206.8,187,203.15,254400
2023-07-05,200.5,206.7,189,193,224000
2023-07-06,191.1,200,182.05,183.85,206400
2023-07-07,187,187.75,182,186.15,22400
2023-07-10,186.15,186.15,179,179.65,24000
2023-07-11,179.5,179.5,169,170.8,137600
2023-07-12,172,175,168,168.3,54400
2023-07-13,170,172.85,165.15,169.55,30400
2023-07-14,165,180,165,177.5,41600
2023-07-17,179,179,170,170.5,40000
2023-07-18,170.5,171,165.65,165.8,19200
2023-07-19,169.95,184,165.85,170.95,177600
2023-07-20,175,175,169,170.25,11200
2023-07-21,167.1,170,167.05,169.1,60800
2023-07-24,172.8,191,172.8,176.05,57600
2023-07-25,180,182,179,179.95,41600
2023-07-26,182,182,174,175,27200
2023-07-27,176.95,179,173.5,173.5,19200
2023-07-28,174.1,178,172.05,172.9,22400
2023-07-31,175,179.65,175,179.65,14400
2023-08-01,180,186,180,183,112000
2023-08-02,183.5,191.9,183.5,189.15,182400
2023-08-03,185.2,193,185.2,187,35200
2023-08-04,187.05,187.5,181.75,183.4,28800
2023-08-07,182,186.5,181.2,186.5,20800
2023-08-08,186.8,186.8,182,183.95,24000
2023-08-09,185,185,182,182.05,22400
2023-08-10,187,187.85,185,185,20800
2023-08-11,182.05,184.8,182.05,182.25,20800
2023-08-14,181.4,181.4,181,181,3200
2023-08-16,175,182,162.2,175.25,35200
2023-08-17,175,179.7,175,177,12800
2023-08-18,176,176.95,175,176.9,11200
2023-08-21,176.5,176.55,176,176.55,9600
2023-08-22,180,192,177.5,189,123200
2023-08-23,191.9,206.8,190,200.35,153600
2023-08-24,205,211,202.6,203.55,185600
2023-08-25,203.55,203.55,194.1,194.1,30400
2023-08-28,192.75,208,192.75,205.15,128000
2023-08-29,206,216,205,211.5,251200
2023-08-30,213.45,220,209.7,213.05,120000
2023-08-31,215,218.7,210,213,72000
2023-09-01,215,217.5,205.5,206.55,56000
2023-09-04,210.9,210.95,203,204.5,36800
2023-09-05,208.85,210.25,205,205.5,64000
2023-09-06,206,206.9,190,193.3,96000
2023-09-07,194,195.8,190,193,28800
2023-09-08,195,205,195,200,76800
2023-09-11,203,205,197.05,197.95,40000
2023-09-12,195,195,175,182.5,267200
2023-09-13,184,186.5,183.7,184,16000
2023-09-14,187,187,186,186,4800
2023-09-15,185,185,179.5,180.85,20800
2023-09-18,182,182,180.1,182,9600
2023-09-20,181.5,181.5,180.1,180.1,4800
2023-09-21,183,183,178,178,16000
2023-09-22,178.05,183.5,178,180.55,20800
2023-09-25,183,183,181,181.35,8000
2023-09-26,181.5,181.5,173,176.15,19200
2023-09-28,178,178,175,175.75,8000
2023-09-29,179,180,179,180,8000
2023-10-03,180,182.9,180,180.35,9600
2023-10-04,178,178,175.55,175.55,8000
2023-10-05,173,210,173,190.3,156800
2023-10-06,193.85,202,188,188.5,92800
2023-10-09,188.5,188.5,183,184,8000
2023-10-10,184.1,190,181,184.7,17600
2023-10-11,186,189,186,189,14400
2023-10-12,193.8,193.8,187.1,189.6,62400
2023-10-13,190,190,190,190,1600
2023-10-16,190,190.9,188,188,9600
2023-10-17,191,193.95,187,187,12800
2023-10-18,188,188,185.1,185.1,3200
2023-10-19,181.1,186,181.1,183,6400
2023-10-20,183,183,181.2,181.2,9600
2023-10-23,182,186,170.05,173.55,27200
2023-10-25,173.1,186,173.1,180.05,38400
2023-10-26,180,182,172,180,16000
2023-10-27,185,194,181,188.25,176000
2023-10-30,185,187.5,180,182.9,19200
2023-10-31,182.9,183.9,174,175.8,32000
2023-11-01,175,181,174,175,28000
2023-11-02,175.6,181,175.6,179.8,10400
2023-11-03,178,183.35,178,180.65,5600
2023-11-06,185,194,183,184.75,52000
2023-11-07,189.8,192,185,188.85,36000
2023-11-08,194,226.6,188.5,225,987200
2023-11-09,246,260,235,247.25,490400
2023-11-10,246,261.5,240,241.65,151200
2023-11-12,250,250,237.1,240,12800
2023-11-13,246,275,244.7,253.95,256800
2023-11-15,259.95,275.5,258,263.2,267200
2023-11-16,270,275,263.25,265.4,95200
2023-11-17,271.95,280,262.25,268.65,128000
2023-11-20,270,270,232,252,32000
2023-11-21,252.05,269.95,248,257.9,57600
2023-11-22,266.9,280.5,264.1,276.45,292000
2023-11-23,280,291,266,270.4,268000
2023-11-24,274,280,270.05,273.15,32000
2023-11-28,270,271.9,265.1,269.5,11200
2023-11-29,272,285,270,272.8,93600
2023-11-30,272,276.5,260,264.45,47200
2023-12-01,268.7,282,268.7,272.4,138400
2023-12-04,270,281.9,263,264,65600
2023-12-05,265.8,265.8,256,258.25,19200
2023-12-06,250.1,256,250.1,254.7,31200
2023-12-07,254.15,260,248.05,250.7,33600
2023-12-08,249.6,250.15,240,243.25,24000
2023-12-11,247.85,255,247.85,251.05,38400
2023-12-12,253,253,239,241,35200
2023-12-13,243.95,246,241.2,246,11200
2023-12-14,250,250,236,239.15,43200
2023-12-15,239,242,239,239.35,8000
2023-12-18,249.8,252.8,243,245.25,27200
2023-12-19,248.95,248.95,240,241.05,29600
2023-12-20,239,239.25,221,226,16800
2023-12-21,228.9,236,225,229,15200
2023-12-22,225.25,238.8,225.25,237,5600
2023-12-26,236.45,239.4,236.45,239,7200
2023-12-27,231.05,231.5,222.5,224.7,13600
2023-12-28,229.2,229.85,220.1,223.75,14400
2023-12-29,222,225,222,223,6400
2024-01-01,220,223.5,215,218.45,27200
2024-01-02,215.1,219.7,210,213.9,33600
2024-01-03,212,224,212,214.75,120800
2024-01-04,218,240,210,231.4,282400
2024-01-05,232,239.95,220,221.35,86400
2024-01-08,225,225,213,215.1,128000
2024-01-09,219.9,220,214,218.25,64000
2024-01-10,220,238.5,220,231.65,72800
2024-01-11,238.8,239,233,236.45,45600
2024-01-12,237.8,263.95,237.7,257.4,100800
2024-01-15,262.95,262.95,248,254,52000
2024-01-16,259.7,259.7,245,249.85,20800
2024-01-17,248,252,238,248.8,28000
2024-01-18,252.9,252.9,236.5,245.8,21600
2024-01-19,247.7,250.7,245,246.5,35200
2024-01-20,246,257,246,252.8,23200
2024-01-23,245.25,245.25,236.1,240,20000
2024-01-24,239,239,238,238.65,4000
2024-01-25,238.65,239,235,235.05,8800
2024-01-29,227,236,227,233,16000
2024-01-30,239.7,240,228,234.4,20000
2024-01-31,236.5,237.85,229.5,234.15,8800
2024-02-01,225.15,233.9,225.15,232.3,48000
2024-02-02,226.2,230.95,222.2,224.5,24800
2024-02-05,226,229.7,226,227,28000
2024-02-06,227,235.85,225.1,225.1,12800
2024-02-07,229,229,221.1,221.7,36800
2024-02-08,219,223.4,215.3,222.95,17600
2024-02-09,220,227.65,215,218.75,36000
