Date,Open,High,Low,Close,Volume
2024-08-26,1299,1314.8,1179.05,1195.7,7050172
2024-08-27,1220,1230,1192,1196.45,923120
2024-08-28,1197,1206.85,1129,1134.7,536319
2024-08-29,1135.05,1198.75,1135.05,1166.55,656610
2024-08-30,1179.5,1185.25,1140,1172.5,353362
2024-09-02,1189,1197.9,1137,1151.55,441357
2024-09-03,1151.5,1158.65,1125,1141.45,404872
2024-09-04,1131,1148,1110.15,1133.8,473758
2024-09-05,1140.65,1218.95,1140.65,1186.55,688272
2024-09-06,1186,1233.95,1175.15,1214.4,786585
2024-09-09,1217.95,1237.8,1182,1208.6,385305
2024-09-10,1210,1319.95,1205,1280.35,1310729
2024-09-11,1290,1338.15,1265.3,1284.3,750083
2024-09-12,1294.4,1309.9,1189.1,1201.6,848916
2024-09-13,1195.05,1257.8,1188.1,1250,500369
2024-09-16,1250,1282.1,1226.75,1260.1,368062
2024-09-17,1255,1256.1,1220.15,1235.15,188234
2024-09-18,1235,1272.95,1214.6,1224.9,287384
2024-09-19,1229.95,1245.75,1167,1181.5,257351
2024-09-20,1256,1347.8,1236.6,1322.4,1773789
2024-09-23,1331.95,1350,1258,1264.9,632240
2024-09-24,1273,1279.4,1232.1,1269.4,329499
2024-09-25,1279,1393.7,1266,1368.3,1222626
2024-09-26,1355,1382.15,1331.5,1351.7,321349
2024-09-27,1349.8,1457.15,1332.5,1402.05,932889
2024-09-30,1400,1445.5,1366,1436.45,438256
2024-10-01,1434.05,1467.8,1422.25,1450.15,260332
2024-10-03,1412.05,1449.3,1370,1377.95,255128
2024-10-04,1379.9,1405.95,1325,1340.1,291058
2024-10-07,1353,1366.95,1254.6,1281,353137
2024-10-08,1289.55,1369.95,1270.1,1351.15,212603
2024-10-09,1364.5,1397.7,1352.85,1375.35,158600
2024-10-10,1389.1,1518.5,1382.05,1467,576116
2024-10-11,1469,1521,1450.05,1502.4,256057
2024-10-14,1517,1554,1490,1542.65,320221
2024-10-15,1565.8,1671,1556.65,1613,803352
2024-10-16,1608.4,1642.75,1592.05,1598.7,272524
2024-10-17,1604.9,1649,1585,1602.2,289168
2024-10-18,1595,1705,1570,1689.55,358380
2024-10-21,1704.95,1730,1562.5,1573.9,448642
2024-10-22,1572,1598.9,1404,1470.1,345675
2024-10-23,1470.1,1730,1470.1,1638.35,1056888
2024-10-24,1655,1659,1605.65,1615.95,208722
2024-10-25,1620.65,1637.95,1560,1613,270399
2024-10-28,1629,1659.55,1530,1546.1,276003
2024-10-29,1522,1568.9,1479,1545.25,292384
2024-10-30,1550.05,1629.95,1550.05,1606.35,230150
2024-10-31,1614.6,1770,1593.35,1756.75,617900
2024-11-01,1789.4,1815,1760,1777,118824
2024-11-04,1779,1784.85,1681.55,1690.35,324251
2024-11-05,1692,1738.8,1683.55,1702.45,170562
2024-11-06,1710,1746.5,1682.1,1735.5,184793
2024-11-07,1718.4,1742.25,1692.4,1700.65,96689
2024-11-08,1714.8,1714.8,1615.25,1634.05,140021
2024-11-11,1636,1694,1606.55,1656.7,134990
2024-11-12,1663.9,1681.3,1572.35,1581.3,111312
2024-11-13,1565,1578.9,1485.15,1502.2,180843
2024-11-14,1502.2,1589,1502.2,1547.6,151507
2024-11-18,1575,1596.55,1511,1547.1,123406
2024-11-19,1558.1,1610.7,1532,1545.25,103398
2024-11-21,1545,1545,1440,1453.7,274229
2024-11-22,1469.15,1474.9,1395,1434,462059
2024-11-25,1474.95,1493,1431,1434.95,215858
2024-11-26,1444,1496.45,1436.75,1466.35,207659
2024-11-27,1473,1502.9,1466,1479.7,183412
2024-11-28,1475,1500,1456.6,1465.6,100837
2024-11-29,1468,1557,1451.15,1529.4,277620
2024-12-02,1528.9,1586.9,1512,1536.15,186289
2024-12-03,1543.95,1565,1501,1506.5,162168
2024-12-04,1513.5,1564.7,1510.5,1534.1,246891
2024-12-05,1545.05,1620,1545.05,1599.9,346325
2024-12-06,1610.95,1650,1591.65,1632.1,211721
2024-12-09,1653,1699,1642.7,1658.5,203283
2024-12-10,1658.5,1658.5,1615.05,1649.9,112865
2024-12-11,1649.5,1668.2,1600,1611.2,105560
2024-12-12,1622.3,1689.25,1621.2,1632.8,199693
2024-12-13,1630,1755,1622.75,1745.8,630892
2024-12-16,1751,1765.95,1685.1,1698.85,187099
2024-12-17,1682,1781.9,1676.15,1691.9,371670
2024-12-18,1693,1740,1674.25,1689.35,186290
2024-12-19,1669.35,1757,1654.55,1703.75,289535
2024-12-20,1703.75,1726.1,1614.45,1641.75,203877
2024-12-23,1674,1715,1646,1689.05,157924
2024-12-24,1695.85,1884,1682.35,1865.05,1408915
2024-12-26,1874,1890,1800.05,1841.75,447807
2024-12-27,1854,1890,1810,1817.7,319901
2024-12-30,1820,1858,1740,1746.55,287413
2024-12-31,1754,1784.45,1741.6,1760.75,118519
2025-01-01,1764.5,1807.7,1740.55,1785.25,129378
2025-01-02,1785.95,1923.75,1783.05,1818.55,472499
2025-01-03,1823.3,1845,1780,1783.55,139427
2025-01-06,1790.95,1792.85,1684.9,1705.25,220781
2025-01-07,1705.25,1754.75,1705.25,1719.3,113646
2025-01-08,1729,1729.55,1675.35,1704.6,137792
2025-01-09,1709.5,1730,1678.4,1685.5,98798
2025-01-10,1684.5,1684.5,1516.05,1554.5,423219
2025-01-13,1598,1624.8,1503.05,1547.95,550773
2025-01-14,1558.5,1720,1539.4,1628.25,421992
2025-01-15,1646,1701,1619.95,1669.3,281002
2025-01-16,1694,1800.1,1682.35,1700.05,219719
2025-01-17,1696,1696,1632.15,1645.2,100434
2025-01-20,1650,1699,1613.65,1692,144343
2025-01-21,1700.8,1740,1639.95,1646.7,138157
2025-01-22,1659,1665.05,1556.2,1618.75,149756
2025-01-23,1621,1635.45,1588.1,1597.05,74302
2025-01-24,1606,1606,1535.5,1544.8,90826
2025-01-27,1515,1515,1350,1481.3,252281
2025-01-28,1480,1635,1415,1609.8,390353
2025-01-29,1600.05,1673.9,1592.5,1654.7,168113
2025-01-30,1631.5,1658.9,1580,1588.75,112181
2025-01-31,1585,1654.05,1584.95,1637.35,140475
2025-02-01,1656.15,1656.15,1540,1558.55,115835
2025-02-03,1558.55,1590,1504.85,1532.25,149900
2025-02-04,1563.35,1610,1552.15,1594.7,100784
2025-02-05,1675,1679.95,1599.6,1638.1,185638
2025-02-06,1638,1645.95,1582.55,1594.5,91252
2025-02-07,1594.5,1614,1553,1565.7,69399
2025-02-10,1565.7,1568.15,1472,1501.45,111738
2025-02-11,1497.35,1500.9,1447.1,1484.75,133967
2025-02-12,1494,1518,1425.2,1462.3,187956
2025-02-13,1469,1535.95,1437.95,1452.65,202138
2025-02-14,1459.95,1478.95,1359,1385.65,230378
2025-02-17,1385.65,1473.45,1351,1444.65,188301
2025-02-18,1450,1471.45,1369.9,1402.1,111123
2025-02-19,1402.2,1504,1399.65,1489,107300
2025-02-20,1489,1531.25,1465,1517.95,132882
2025-02-21,1525,1558,1489.6,1542.4,103074
2025-02-24,1508,1562.5,1480,1552.3,105743
2025-02-25,1559,1568.1,1520,1526.4,52289
2025-02-27,1545.1,1545.1,1503,1510.95,58118
2025-02-28,1496.1,1510.95,1452,1471.4,79399
2025-03-03,1499.95,1507.65,1361,1378.25,239807
2025-03-04,1352,1458.15,1352,1436.05,137644
2025-03-05,1459.05,1492.5,1440.85,1474.2,91265
2025-03-06,1507.65,1519.95,1479,1486.1,80293
2025-03-07,1500,1523.75,1480.1,1486.15,87866
2025-03-10,1461,1514.85,1426.3,1432.45,55257
2025-03-11,1435.9,1444.75,1394.55,1407.75,96032
2025-03-12,1418.55,1460.8,1418.2,1429.05,83778
2025-03-13,1436,1447.4,1390.05,1393.8,77324
2025-03-17,1417.8,1422,1375,1388.55,83463
2025-03-18,1396.8,1437.7,1396.8,1424.6,108278
2025-03-19,1424.6,1463.95,1421.7,1432.9,105125
2025-03-20,1479,1513.95,1445,1486.6,134105
2025-03-21,1500.6,1525,1490.55,1512.65,111170
2025-03-24,1525,1550,1505,1511.65,64033
2025-03-25,1537.9,1544.1,1500.8,1510.95,86940
2025-03-26,1523,1523,1466.35,1472.9,47532
2025-03-27,1461,1519.95,1455.75,1504.15,94548
2025-03-28,1514.9,1543.95,1482.2,1488.55,65109
2025-04-01,1482.95,1538.75,1475,1524.45,84664
2025-04-02,1528,1579.65,1495.55,1553.5,115377
2025-04-03,1561.9,1678,1525.25,1668.05,413666
2025-04-04,1670,1680,1565,1579.9,167867
2025-04-07,1264,1570.15,1264,1550.6,265484
2025-04-08,1630,1661.85,1577.05,1655.5,131566
2025-04-09,1632,1670,1623.75,1657.75,174718
2025-04-11,1697.5,1740,1653,1712.6,338595
2025-04-15,1750,1761,1660,1672.1,190323
2025-04-16,1677,1721.6,1669.8,1704.4,129096
2025-04-17,1706,1769.7,1704.9,1725.1,154383
2025-04-21,1749,1842,1712.8,1799.7,369429
2025-04-22,1798.1,1858.8,1752.1,1761.2,196912
2025-04-23,1744,1797,1698.9,1720.8,163516
2025-04-24,1729.9,1745.7,1659.3,1667.9,115401
2025-04-25,1670.9,1703.9,1610.1,1668,185393
2025-04-28,1668,1684.9,1630,1636.1,80340
2025-04-29,1640,1666,1612.5,1620.8,71962
2025-04-30,1628.9,1643.6,1576,1591.2,69152
2025-05-02,1591,1675,1577.5,1661,157586
2025-05-05,1661,1701,1640.1,1683.2,82776
2025-05-06,1693.2,1743.9,1612.1,1629.5,107565
2025-05-07,1629,1675,1615,1670.4,75512
2025-05-08,1690.7,1701,1575.3,1609.8,74092
2025-05-09,1590,1645,1580,1633,101808
2025-05-12,1662.9,1732.8,1662.9,1723.7,111510
2025-05-13,1729,1782.8,1700.1,1774.3,146377
2025-05-14,1783.9,1897,1766.6,1828.2,325363
2025-05-15,1830,1860,1795.2,1803.2,95529
2025-05-16,1803.2,1834.4,1781.3,1813.6,78098
2025-05-19,1818,1865,1809.5,1841.2,169636
2025-05-20,1889,1889,1799,1821.7,145478
2025-05-21,1825,1834,1740,1807.3,238229
2025-05-22,1849,2074.7,1818.1,2058.7,1654733
2025-05-23,2067,2221,2061,2151.9,1078784
2025-05-26,2147.1,2164,2090,2098.5,105235
2025-05-27,2100.2,2173.9,2076.3,2162.2,141587
2025-05-28,2180,2185,2112.2,2124.2,63549
2025-05-29,2129,2154.1,2118,2127.5,67123
2025-05-30,2140,2299,2101.9,2272.4,383266
2025-06-02,2272.4,2278,2154.4,2195.6,220464
2025-06-03,2195.6,2247,2147,2203.4,130317
2025-06-04,2215,2371,2193.6,2275.5,446458
2025-06-05,2293.7,2327,2275.3,2284.7,117711
2025-06-06,2295.2,2307.8,2225,2230.5,90697
2025-06-09,2249,2277.5,2222.5,2235.5,85014
2025-06-10,2250,2261.9,2197,2211.8,70326
2025-06-11,2248.9,2319.1,2153.3,2178.4,215530
2025-06-12,2197,2219.9,2134.1,2172.7,148893
2025-06-13,2125,2208,2118,2166.2,195217
2025-06-16,2171,2195.9,2120,2142.4,84669
2025-06-17,2142,2153.2,2040,2119.2,42974
2025-06-18,2150,2180,2055,2095.4,24020
2025-06-19,2090,2100,1990.7,2046.9,57705
2025-06-20,2029.9,2101,1970,2057,34689
2025-06-23,2079,2159.7,2061,2147.6,37174
2025-06-24,2180,2215,2120,2137.1,38747
2025-06-25,2137.1,2175.9,2100,2121.7,18592
