Date,Open,High,Low,Close,Volume
2022-09-22,82,86.1,77.9,82.8,977600
2022-09-23,83,85,78.7,78.7,168000
2022-09-26,75.1,75.1,74.8,74.8,27200
2022-09-27,71.35,78.5,71.1,75.3,270400
2022-09-28,72.5,72.5,71.55,71.55,12800
2022-09-29,68,75.1,68,73.2,94400
2022-09-30,73.2,73.2,69.55,72.25,33600
2022-10-03,73,73,68.65,68.65,32000
2022-10-04,68,72,65.25,70.4,48000
2022-10-06,71,72.45,66.9,66.9,51200
2022-10-07,64,69.5,64,66,30400
2022-10-10,63,63,56.05,58.05,43200
2022-10-11,59,59,56.05,56.05,16000
2022-10-12,56.45,67.25,49,61.15,121600
2022-10-13,62,63.8,53.5,54.9,124800
2022-10-14,54.5,60.85,54,54.6,52800
2022-10-17,53.15,54.5,53.15,53.9,16000
2022-10-18,52.6,52.6,49.1,49.35,43200
2022-10-19,50,53,49.5,50,118400
2022-10-20,56,56,47,47,64000
2022-10-21,48,56.4,48,56,68800
2022-10-24,58,58.4,58,58.4,6400
2022-10-25,58.5,58.5,53,54,36800
2022-10-27,52.05,52.05,49.35,49.35,19200
2022-10-28,48.5,51,48.5,51,9600
2022-10-31,50,50,49.5,49.5,8000
2022-11-01,49.5,49.5,49,49,9600
2022-11-02,49,58.5,48.5,53.05,49600
2022-11-03,55,59.5,54.1,58,25600
2022-11-04,57.1,58,57,57,4800
2022-11-07,56,56,54,54,8000
2022-11-09,56.5,56.5,55,56.5,27200
2022-11-10,57.25,57.65,56,56,8000
2022-11-11,57,57,54.5,56,8000
2022-11-14,55.1,55.1,55,55,8000
2022-11-15,54.5,54.5,54.5,54.5,3200
2022-11-16,53.5,53.5,53.5,53.5,3200
2022-11-17,53.5,53.5,53.5,53.5,1600
2022-11-18,53,53,51,51.5,8000
2022-11-22,50.25,60,50,53,150400
2022-11-23,52,54,50.5,50.5,32000
2022-11-24,50.6,51.1,49,49.25,35200
2022-11-25,48,48.95,48,48.95,9600
2022-11-28,48.95,50,47.5,47.5,35200
2022-11-29,48,48,44,45,158400
2022-11-30,44,44,40.15,43.3,131200
2022-12-01,41,44,41,41.5,204800
2022-12-02,41.1,41.6,40,41.55,46400
2022-12-05,41.85,44.55,41.85,43.9,12800
2022-12-06,44.4,44.5,44,44,11200
2022-12-07,44,44,44,44,3200
2022-12-08,42,42.15,41.8,42.15,4800
2022-12-09,42.15,42.5,42,42.5,4800
2022-12-12,42,42,40.35,41.75,12800
2022-12-13,41.15,42,41.15,41.6,6400
2022-12-14,41.9,42,35.05,38.5,158400
2022-12-15,37.5,37.5,34.5,35,24000
2022-12-16,35,36.95,34,34,38400
2022-12-19,34,34,30.2,30.7,70400
2022-12-20,32,33.9,31,31,100800
2022-12-21,32,36.4,32,32.55,128000
2022-12-22,31,32,26.05,28.1,187200
2022-12-23,27.5,27.5,26.25,26.75,22400
2022-12-26,27,30,27,27.45,32000
2022-12-27,27,27.5,26.2,26.55,14400
2022-12-28,27.1,27.1,26.5,26.55,9600
2022-12-29,26.95,27.5,26.95,27.1,33600
2022-12-30,27.5,28.5,27.5,28,9600
2023-01-02,28.5,28.5,26.15,27,35200
2023-01-03,26.8,27.5,26.4,27,36800
2023-01-04,27,27,26.3,26.65,20800
2023-01-05,26,27.5,25.65,27.5,12800
2023-01-06,27.5,28,27,27,16000
2023-01-09,27.5,28.2,27.5,28,8000
2023-01-10,28.45,30.8,28.45,30.75,140800
2023-01-11,30.75,30.9,29,29.05,24000
2023-01-12,29.45,31,29.45,30.6,9600
2023-01-13,30.6,30.6,29.5,29.75,11200
2023-01-16,30.5,31.5,30,30.5,9600
2023-01-17,30.5,30.5,30.5,30.5,3200
2023-01-18,31.85,33.55,31.85,33.55,41600
2023-01-19,36.9,36.9,36,36.9,57600
2023-01-20,40.55,40.55,37,39.5,80000
2023-01-23,40.45,40.45,37.55,37.55,20800
2023-01-24,35.7,36.05,35.7,35.7,14400
2023-01-25,33.95,34.15,33.95,33.95,14400
2023-01-27,33.95,33.95,32.25,32.25,22400
2023-01-30,32.25,32.25,31,32,6400
2023-01-31,33,33.6,31.5,33.6,12800
2023-02-01,35,35.25,33.5,33.5,25600
2023-02-02,33,33,33,33,1600
2023-02-03,32.25,32.25,32.25,32.25,1600
2023-02-06,31.2,31.55,31.2,31.5,6400
2023-02-07,31.4,31.4,30.6,30.8,14400
2023-02-08,31,31.5,30.5,30.5,4800
2023-02-10,30,30,29,29,12800
2023-02-13,29,29,29,29,3200
2023-02-14,27.45,28,26.1,27,59200
2023-02-15,27.5,28.5,27.5,28.45,4800
2023-02-16,29.5,29.5,29,29.5,6400
2023-02-17,28.55,28.55,28.55,28.55,1600
2023-02-20,28.55,28.55,28.55,28.55,1600
2023-02-21,28.5,28.5,28,28,4800
2023-02-22,27,27,27,27,4800
2023-02-23,27.5,27.5,27,27,6400
2023-02-27,27,27,25,25,4800
2023-02-28,25.5,27.45,25.5,27.4,16000
2023-03-01,27.5,27.5,26.5,27.45,6400
2023-03-02,27.25,27.35,27.25,27.35,4800
2023-03-03,27,27.05,25.7,27,28800
2023-03-06,26.75,27,26.55,27,6400
2023-03-08,27.45,27.55,27.45,27.55,6400
2023-03-09,27.95,28.5,27,27,9600
2023-03-10,27.85,27.9,27.5,27.5,9600
2023-03-13,26.7,27,26.5,27,6400
2023-03-14,26,26,24.3,25.25,48000
2023-03-15,24.9,25.5,22.75,23.5,78400
2023-03-16,24,24,21.15,21.65,68800
2023-03-17,21.25,22,20.55,22,27200
2023-03-20,21.2,21.9,20.5,20.5,41600
2023-03-21,20.05,20.5,19.8,20.25,64000
2023-03-22,20,20.4,19.8,20.25,25600
2023-03-23,19.7,20,19.7,19.8,16000
2023-03-24,20.75,20.75,20,20,30400
2023-03-27,19.5,21,19,19,59200
2023-03-28,19.2,19.2,18.1,18.1,16000
2023-03-29,18.25,18.25,17.2,17.3,35200
2023-03-31,17.5,18.1,17.5,18,14400
2023-04-03,18.7,18.9,18.7,18.9,4800
