Date,Open,High,Low,Close,Volume
2025-03-24,44,45,41.63,42.08,41395
2025-03-25,45,45,38.1,40.12,55071
2025-03-26,39.12,43.62,38.2,38.31,24748
2025-03-27,38.29,39.86,37.41,37.99,47800
2025-03-28,40,41.51,37,39.73,96168
2025-04-01,39.76,46.77,38.5,40.95,177794
2025-04-02,41.7,42.58,39.35,40.68,67192
2025-04-03,39.75,41.67,39.75,40.21,32613
2025-04-04,39.31,43.01,39.07,39.82,80689
2025-04-07,39.04,39.04,36.77,38.14,14346
2025-04-08,39.49,41.95,38.27,38.79,17505
2025-04-09,39.29,39.98,37.96,38.69,4728
2025-04-11,39.16,40.48,39.02,40.02,4171
2025-04-15,40.82,42,40.06,41.71,28626
2025-04-16,41.07,41.5,40.1,40.33,2484
2025-04-17,40.32,41,39.74,39.92,6070
2025-04-21,40.19,41.05,40,40.12,2319
2025-04-22,40.43,40.88,40.12,40.76,5118
2025-04-23,40.36,41.38,38.11,38.98,17420
2025-04-24,39.4,40.49,39,39.84,5408
2025-04-25,39.62,39.65,38.15,38.32,2090
2025-04-28,38.66,39.04,37.85,38.98,2309
2025-04-29,39.37,39.59,38.21,38.82,3496
2025-04-30,38.95,38.95,38.03,38.26,1241
2025-05-02,38.26,39.05,37,38.53,3489
2025-05-05,38.52,39,38,38.45,7102
2025-05-06,38.45,38.45,37,37.49,3800
2025-05-07,37.25,37.81,36,37.75,1881
2025-05-08,37.81,40.74,36.79,38.2,9006
2025-05-09,36.66,38.8,36.65,37.82,1130
2025-05-12,38.6,40.79,38.51,40.3,6606
2025-05-13,38.84,48.36,38.84,41.83,169411
2025-05-14,42.6,45.94,41,42.37,26498
2025-05-15,42.36,43.9,41.41,42.17,11751
2025-05-16,43,43.6,42.01,42.51,2245
2025-05-19,43.25,46,42.9,44.23,6742
2025-05-20,44.29,44.29,42.26,42.77,5948
2025-05-21,42.99,48.4,42,45,40354
2025-05-22,45.01,47.06,44.1,45.36,9635
2025-05-23,44.65,45,43.71,44.25,7431
2025-05-26,44.69,44.7,43.9,43.94,7280
2025-05-27,43.5,45,42.2,44.9,4975
2025-05-28,44.9,45.25,42.1,42.7,15793
2025-05-29,42.69,42.69,39.3,40.3,43050
2025-05-30,41.09,41.09,39.13,39.81,16025
2025-06-02,39.8,41.22,38.01,40.64,29180
2025-06-03,41.28,41.28,39.12,39.4,12540
2025-06-04,40.2,41.04,38.3,39.15,7272
2025-06-05,39.16,40.22,38.8,39.5,15030
2025-06-06,39.72,40.1,38.51,39.34,12347
2025-06-09,39.19,40.4,39,40.02,8263
2025-06-10,40.25,41.01,39.52,40.48,18039
2025-06-11,41.2,47.95,39,44.65,132522
2025-06-12,45.55,46,42.76,44.97,47150
2025-06-13,44.97,49.05,42.99,46.93,41591
2025-06-16,47.85,48.5,45.16,46.85,27507
2025-06-17,47.77,47.77,45.15,45.94,7162
2025-06-18,45.36,45.9,44.65,45.19,4437
2025-06-19,45.19,45.19,43.89,44.41,12868
2025-06-20,44.41,44.85,43.41,44.76,4505
2025-06-23,44.52,53.71,44.52,53.63,494784
2025-06-24,55,55,48.91,52.13,344287
2025-06-25,52.95,53.01,51,51.96,48072
2025-06-26,52,59.9,51.9,56.97,437064
2025-06-27,57.26,59.5,54.5,56.8,153431
2025-06-30,56.99,58.74,55.61,57.94,97271
2025-07-01,57.94,63,57.36,60.64,373378
2025-07-02,60.85,63.06,58.92,62.16,193818
2025-07-03,62.5,63.7,59.51,60.19,85855
2025-07-04,59.4,60.95,59.4,60.08,37708
2025-07-07,59,59.33,57.55,57.76,14859
2025-07-08,57.76,57.77,55.56,56.82,7565
2025-07-09,57.99,57.99,54,56.41,38305
2025-07-10,59.23,59.23,56.27,58.86,47858
2025-07-11,59,60.7,57.61,58.13,13868
2025-07-14,58.3,60.19,58.05,59.89,17189
2025-07-15,60,60,58.5,59.86,15966
2025-07-16,59.99,62,59.99,61.41,32326
2025-07-17,63.99,64,61.52,62,46899
2025-07-18,64.29,64.29,60.8,62.88,18837
2025-07-21,63.8,64.9,62,63.55,38195
2025-07-22,63.86,63.99,61.06,62.31,11629
2025-07-23,62,62.95,61.11,62.39,6656
2025-07-24,62.39,62.39,60.09,60.87,4878
2025-07-25,60.87,60.87,57.82,60.01,54405
2025-07-28,59.49,59.49,57,57,27645
2025-07-29,54.16,56.83,54.15,55.21,47746
2025-07-30,54.44,56.16,54,55.01,12655
2025-07-31,54.11,57.54,54.1,57.31,10043
2025-08-01,55.55,56.89,54.53,55.13,11210
2025-08-04,53.1,56.4,53.1,56.31,2917
2025-08-05,56.7,59.11,56,58.02,23339
2025-08-06,58.99,60,57,59.96,37191
2025-08-07,59.8,59.8,56.96,59.36,5470
2025-08-08,58.98,61.5,58.75,60.57,12278
2025-08-11,57.54,63.59,57.54,62.79,26851
2025-08-12,61.99,61.99,60.11,61.17,6673
2025-08-13,61,61,58.15,59.47,21371
2025-08-14,58.15,62.44,56.55,62.06,35967
2025-08-18,59.11,61.75,59.11,60.11,16232
2025-08-19,61.49,63.11,58.02,61.77,33775
2025-08-20,62.73,64.85,59,64.01,43037
2025-08-21,64.95,65,62.11,63.26,34904
2025-08-22,64.8,64.8,61.5,63.34,14211
2025-08-25,60.56,64.48,60.56,63.72,14486
2025-08-26,64.75,64.75,61,62.47,30260
2025-08-28,61.7,63.96,60.71,62.49,6511
2025-08-29,63.74,63.74,60.05,61.09,11288
2025-09-01,63.98,63.98,58.91,62.45,37713
