Date,Open,High,Low,Close,Volume
2022-05-27,189.9,189.9,175.5,175.5,6000
2022-05-31,172,172,172,172,2000
2022-06-01,173,173,167.2,167.2,6000
2022-06-03,170,171,170,171,4000
2022-06-07,173,173,171,171,6000
2022-06-08,169,169,169,169,2000
2022-06-10,165,165,161.1,161.1,6000
2022-06-14,153.05,153.05,153.05,153.05,2000
2022-06-16,146,146,146,146,2000
2022-06-17,138.8,139,138.7,138.7,8000
2022-06-20,132.05,132.05,131.8,131.8,8000
2022-06-21,131.85,131.85,125.25,125.25,26000
2022-06-22,125.25,125.25,125,125,6000
2022-06-27,123.3,123.3,118.75,118.75,28000
2022-06-28,118,118,115,115.65,10000
2022-06-29,115,115,115,115,2000
2022-07-04,110,110,110,110,2000
2022-07-05,115,115.5,115,115.5,24000
2022-07-06,120,121.25,120,120.6,28000
2022-07-07,125.9,125.9,125.85,125.85,4000
2022-07-08,124,124,124,124,2000
2022-07-12,117.8,117.9,117.8,117.9,6000
2022-07-18,118,118,118,118,2000
2022-07-21,117.9,117.9,117.9,117.9,2000
2022-07-22,115,115,115,115,2000
2022-07-25,109.25,114,109.25,114,4000
2022-07-27,111,111,111,111,2000
2022-07-29,112,112,112,112,2000
2022-08-01,117.6,117.6,117.6,117.6,2000
2022-08-02,123.45,123.45,123.45,123.45,4000
2022-08-03,125,125,125,125,2000
2022-08-10,120,122,120,121,8000
2022-08-11,117,126,117,126,4000
2022-08-16,126,126,126,126,2000
2022-08-17,126.2,132.3,126.2,132.3,10000
2022-08-18,138.9,138.9,138.9,138.9,8000
2022-08-19,145.8,145.8,145.8,145.8,6000
2022-08-23,145.8,145.8,145.8,145.8,2000
2022-08-24,140,140,138.55,138.55,4000
2022-08-26,138,138,138,138,2000
2022-08-30,131.1,131.4,131.1,131.35,12000
2022-09-06,136.35,136.35,133,133,6000
2022-09-07,133.05,133.05,133.05,133.05,2000
2022-09-08,139.45,139.45,139.45,139.45,2000
2022-09-09,146.4,146.4,146.4,146.4,2000
2022-09-12,153,153.7,153,153.7,8000
2022-09-13,161.35,161.35,161.35,161.35,6000
2022-09-14,161.35,169.4,161.35,169.4,26000
2022-09-15,177.85,177.85,177.85,177.85,10000
2022-09-16,169,169,169,169,10000
2022-09-20,167,177.45,167,177.45,20000
2022-09-21,175,175,173,173,4000
2022-09-22,180.5,181.65,180.5,181.3,24000
2022-09-23,180,180,175,175,4000
2022-09-26,166.25,166.25,166.25,166.25,8000
2022-09-27,173,173,172.95,172.95,6000
2022-09-28,165,179.9,165,178.9,10000
2022-09-30,170,170,170,170,4000
2022-10-03,161.5,165,161.5,165,6000
2022-10-04,157,157,156.75,156.75,4000
2022-10-06,164.2,164.2,164.2,164.2,2000
2022-10-10,156,156,156,156,4000
2022-10-11,163.7,163.7,150,155,6000
2022-10-12,152,152,152,152,2000
2022-10-14,155.5,155.5,155.5,155.5,4000
2022-10-17,152,158.5,152,158.5,8000
2022-10-18,159,161.5,159,161.5,4000
2022-10-19,161.9,162,161.9,162,4000
2022-10-21,154,154,154,154,2000
2022-10-24,154,159,154,156.5,4000
2022-10-25,148.7,148.7,148.7,148.7,4000
2022-10-27,155.5,155.9,155.5,155.9,4000
2022-10-31,158.5,158.5,158.5,158.5,2000
2022-11-01,156,156,150.6,150.6,6000
2022-11-07,156,156,156,156,2000
2022-11-09,162,163.8,162,163.8,10000
2022-11-10,162,164.9,162,164.9,6000
2022-11-11,156.7,157,156.7,156.7,32000
2022-11-14,164.5,164.5,164.5,164.5,10000
2022-11-15,172.7,172.7,172.7,172.7,34000
2022-11-16,180.8,181.3,178,181.3,24000
2022-11-17,190.35,190.35,178,189.9,22000
2022-11-18,197,198.5,180.5,180.75,16000
2022-11-21,179,179,179,179,2000
2022-11-22,178.95,179,178.95,179,4000
2022-11-23,172,172,172,172,2000
2022-11-24,172,172,172,172,2000
2022-11-25,176.5,176.5,172,175,6000
2022-11-28,168,174.4,166.25,174.4,14000
2022-11-29,174.7,174.7,174.3,174.5,8000
2022-11-30,174.5,174.5,174.5,174.5,2000
2022-12-01,175,180,175,180,6000
2022-12-02,173,173,173,173,4000
2022-12-06,176,176,176,176,2000
2022-12-07,174,174,173.95,173.95,6000
2022-12-08,176,177,176,177,4000
2022-12-09,174.5,174.5,174.5,174.5,2000
2022-12-13,170,170,170,170,2000
2022-12-16,177,177,177,177,2000
2022-12-19,171,171.05,170,171.05,6000
2022-12-20,165,175,165,175,4000
2022-12-21,175,175,166.25,166.25,16000
2022-12-22,157.95,157.95,157.95,157.95,4000
2022-12-26,150.1,165.8,150.1,163.85,12000
2022-12-27,166,172,166,172,16000
2022-12-28,165.5,177.5,165.3,177.5,6000
2022-12-29,171.15,181,171.15,181,6000
2022-12-30,188,188,187.45,187.45,4000
2023-01-02,187.05,187.05,178.1,178.1,20000
2023-01-03,171.6,172,171.6,172,4000
2023-01-04,172,172.5,167,167.15,14000
2023-01-06,172,172,172,172,2000
2023-01-09,175,175,175,175,2000
2023-01-11,176,176,173.9,175,12000
2023-01-12,166.25,167,166.25,167,4000
2023-01-16,166,166,166,166,1000
2023-01-17,166,174.3,166,174.3,13000
2023-01-18,181.95,183,180.1,182.5,22000
2023-01-19,182.4,191.6,182.4,191.6,13000
2023-01-20,192,192,184.55,185,8000
2023-01-23,185,185,185,185,1000
2023-01-24,188.75,188.85,178,178,7000
2023-01-27,173,178.85,171.55,178.85,3000
2023-01-30,174.25,174.25,171,171.35,8000
2023-01-31,171.2,171.2,171.2,171.2,1000
2023-02-02,165.15,165.15,165.15,165.15,1000
2023-02-03,158.05,161.05,158.05,161.05,2000
2023-02-06,167.4,169.1,167.4,169.1,5000
2023-02-07,173,173,173,173,1000
2023-02-10,165,165,164.35,164.4,16000
2023-02-14,168.8,168.8,168.8,168.8,1000
2023-02-16,160.45,162,160.4,160.45,5000
2023-02-20,166.2,168,166.2,168,3000
2023-02-21,163,163,159.65,160.9,3000
2023-02-22,155,159.9,152.85,159.9,7000
2023-02-24,152,152,151.9,151.9,4000
2023-02-27,144.35,145,144.35,144.65,2000
2023-03-02,143.95,143.95,137.45,137.75,11000
2023-03-03,142.4,142.4,142.35,142.35,2000
2023-03-06,140,140,140,140,2000
2023-03-08,134,142,134,142,22000
2023-03-10,136,138,136,138,7000
2023-03-13,137,137,131.1,131.1,9000
2023-03-14,128,137,128,136.75,6000
2023-03-15,129.95,130,129.95,130,5000
2023-03-16,128,128,123.5,124,8000
2023-03-17,117.8,128.5,117.8,128.5,6000
2023-03-20,123,123,122.1,123,5000
2023-03-21,125.75,128.75,125.75,128.75,5000
2023-03-22,134.75,135.15,131.65,135.15,10000
2023-03-23,141.9,141.9,141.85,141.9,7000
2023-03-24,148.95,148.95,148.95,148.95,20000
2023-03-27,156.25,156.3,156.25,156.3,12000
2023-03-28,148.5,148.5,148.5,148.5,10000
2023-03-29,141.1,147.9,141.1,145.15,16000
2023-03-31,137.9,138.1,137.9,138.1,8000
2023-04-03,143,143,141,141,5000
2023-04-06,139.2,142,139.2,142,2000
2023-04-10,142,142,142,142,3000
2023-04-11,142,142,142,142,2000
2023-04-13,142,148.75,142,148.6,5000
2023-04-20,151.9,151.9,151.9,151.9,2000
2023-04-21,152,152,152,152,2000
2023-04-24,152,152,152,152,2000
2023-04-26,147,151.5,147,151.5,2000
2023-04-28,155,155,144,144,3000
2023-05-02,138,138,138,138,1000
2023-05-08,138,138,138,138,1000
2023-05-11,140,140,140,140,1000
2023-05-12,134.05,135,134.05,135,4000
2023-05-15,140,140.5,137.5,137.5,6000
2023-05-16,131.25,131.25,131.25,131.25,1000
2023-05-17,137,137.5,137,137.35,4000
2023-05-22,140.1,142.5,138,138,4000
2023-05-23,134,141.5,131.1,140.95,7000
2023-05-24,140.95,140.95,133.95,133.95,3000
2023-05-25,139.9,139.9,139.9,139.9,1000
2023-05-30,132.9,132.9,132.9,132.9,4000
2023-05-31,126.25,126.25,126.25,126.25,2000
2023-06-01,120,123,119.95,123,12000
2023-06-02,124,128,124,128,2000
2023-06-05,122,124,121.85,124,7000
2023-06-06,124,124,122.5,124,3000
2023-06-07,130.2,130.2,129.85,130.2,4000
2023-06-08,124.05,124.05,124.05,124.05,1000
2023-06-09,124.05,129.9,124.05,129.9,2000
2023-06-12,135.25,135.25,128.9,128.9,2000
2023-06-13,128.95,128.95,128.95,128.95,1000
2023-06-14,123,127.5,122.5,125.05,10000
2023-06-15,124.2,124.2,124,124,2000
2023-06-16,125,125,125,125,1000
2023-06-19,127,127,121,121,5000
2023-06-21,115.1,126.45,115.05,126.45,7000
2023-06-22,127,132.75,127,132.55,11000
2023-06-23,127,127,125.95,126,4000
2023-06-27,126,126,126,126,2000
2023-06-28,126,126,126,126,2000
2023-06-30,126,126,126,126,2000
2023-07-03,123,124,121.1,122.7,6000
2023-07-04,122.05,122.05,116.6,116.6,17000
2023-07-05,118.9,118.9,116.6,116.6,4000
2023-07-06,116.6,116.6,110.8,110.8,22000
2023-07-07,110.75,110.75,105.3,105.3,30000
2023-07-10,107,107,105.95,105.95,6000
2023-07-12,101.15,105.95,100.65,105,27000
2023-07-13,105,105,102,102,9000
2023-07-14,106.95,107.1,106.95,107.1,5000
2023-07-17,112.05,112.45,112,112.45,8000
2023-07-18,118.05,118.05,118.05,118.05,9000
2023-07-19,123.95,123.95,118.05,123.95,27000
