Date,Open,High,Low,Close,Volume
2022-09-22,50,52.5,46.25,47.65,68000
2022-09-23,48,50.9,47,50.35,42000
2022-09-26,50.6,50.9,46.4,46.65,30000
2022-09-27,45,46,44,45.1,30000
2022-09-28,45,45,44.05,45,16000
2022-09-29,45.1,45.75,44,44,14000
2022-09-30,43.05,44.3,43,44.2,20000
2022-10-03,46,46.8,45,45,14000
2022-10-04,44.1,46,44,44,30000
2022-10-06,43,44.3,42.7,42.95,28000
2022-10-07,43,43.3,43,43.3,10000
2022-10-10,45.3,46.5,44.5,46.25,28000
2022-10-11,44.75,44.75,44,44,10000
2022-10-12,43,43.05,42.55,43.05,8000
2022-10-13,43.05,44.8,43.05,44.8,6000
2022-10-14,43.1,45.35,43.1,45.35,6000
2022-10-17,45,45,43.3,44,30000
2022-10-18,44.1,44.1,44.1,44.1,2000
2022-10-19,44.95,46.4,44.95,45.35,18000
2022-10-20,44.5,45,44.05,44.6,14000
2022-10-24,45.5,45.5,39.15,44.2,10000
2022-10-25,44.2,46.2,44.2,45.95,18000
2022-10-27,46.4,46.9,46.4,46.9,6000
2022-10-28,47,47,46,46.1,12000
2022-10-31,46,46,45,45.5,10000
2022-11-01,44.05,44.5,43.65,43.65,8000
2022-11-02,43.65,43.65,43.65,43.65,2000
2022-11-03,44,44,42.9,42.9,6000
2022-11-04,43,43,42.35,42.35,4000
2022-11-07,42.35,43,42.35,43,8000
2022-11-09,44,44,43.1,43.1,4000
2022-11-10,43,43.85,43,43.85,6000
2022-11-11,43.85,43.85,43.85,43.85,2000
2022-11-14,42.15,42.6,39,41.95,56000
2022-11-15,40,40.05,39.1,39.35,26000
2022-11-16,39.4,39.95,38.1,39.95,24000
2022-11-17,39.8,39.9,38.2,39,18000
2022-11-18,40,40,39.9,40,14000
2022-11-21,41,42,41,42,12000
2022-11-22,41,41,40,40,4000
2022-11-23,40,40,39,39,12000
2022-11-24,39.95,40,39.95,40,8000
2022-11-25,40.5,40.5,39.25,39.75,8000
2022-11-28,39.75,39.75,39.75,39.75,2000
2022-11-29,39.2,39.2,38,38.05,8000
2022-11-30,38.15,38.4,38.15,38.25,6000
2022-12-01,38,38.5,37.5,38,10000
2022-12-02,38,38,37,37.7,28000
2022-12-05,37,38,36.6,36.6,16000
2022-12-06,36.6,37.5,36.6,37.5,4000
2022-12-07,37.25,37.25,36.5,36.5,14000
2022-12-09,35.7,37.5,35.55,36,16000
2022-12-12,35.05,35.1,35.05,35.1,4000
2022-12-13,35.5,35.5,35.5,35.5,2000
2022-12-14,35,35,34.5,34.5,12000
2022-12-15,34.5,35,34.5,34.5,8000
2022-12-19,34.5,34.5,34.5,34.5,8000
2022-12-20,34.05,34.05,33.25,33.75,16000
2022-12-21,32.5,32.5,31.3,32.4,36000
2022-12-22,32.5,32.5,32.5,32.5,2000
2022-12-23,31,33.3,30.1,33.2,28000
2022-12-26,32.9,34.45,32,34.45,12000
2022-12-27,34,34,34,34,12000
2022-12-28,32.85,33,32.85,33,14000
2022-12-29,33,33,32,32,10000
2022-12-30,33,34,33,34,18000
2023-01-02,34.5,35.5,33.5,35.15,20000
2023-01-03,37,42.15,37,42.15,98000
2023-01-04,44.5,50.55,40.3,44.7,178000
2023-01-05,43,46,42,42.6,12000
2023-01-06,43.75,43.75,39,39,10000
2023-01-09,43.25,46.3,42.9,45.8,36000
2023-01-10,45,47.7,44.2,45.2,14000
2023-01-11,47,47,45.55,45.65,10000
2023-01-12,43,45.95,43,45.95,4000
2023-01-13,45.9,45.9,43,43.4,8000
2023-01-16,44.95,44.95,44.5,44.5,6000
2023-01-17,45.7,45.7,42.1,43.5,12000
2023-01-18,45.3,45.3,42.7,42.7,6000
2023-01-19,42.05,42.05,42,42,6000
2023-01-20,43.95,44.25,43.5,43.5,14000
2023-01-23,43.7,43.7,43,43.5,28000
2023-01-24,43.25,43.5,43.25,43.5,4000
2023-01-25,44.95,44.95,40.6,40.6,6000
2023-01-27,39.8,40,37,37,6000
2023-01-30,40,40,40,40,4000
2023-01-31,42,42,40,40,10000
2023-02-01,41.5,42.45,40,40,8000
2023-02-02,40.5,40.5,40.5,40.5,2000
2023-02-03,39.05,39.05,38.05,38.05,6000
2023-02-06,38.05,39.5,38.05,39.5,12000
2023-02-07,40,40,37.2,37.5,24000
2023-02-08,37.5,39.5,37,37.3,14000
2023-02-09,37.1,37.1,37.1,37.1,2000
2023-02-10,39.45,39.45,37.4,37.4,8000
2023-02-13,36.7,36.7,36.7,36.7,2000
2023-02-15,39,39,36,38,10000
2023-02-16,38,38,37.5,37.5,6000
2023-02-17,39,39,36.35,36.45,14000
2023-02-20,37,37,37,37,6000
2023-02-23,35,35,32.35,34,18000
2023-03-01,33.25,33.25,33.25,33.25,28000
2023-03-02,33,33.1,33,33.1,4000
2023-03-03,35,35,35,35,4000
2023-03-06,34.5,34.5,34.5,34.5,4000
2023-03-09,36,36,36,36,2000
2023-03-10,34,34.2,34,34.1,6000
2023-03-14,32.55,33.5,32.5,32.8,22000
2023-03-15,33,35.5,33,35,8000
2023-03-16,33.15,33.15,33.15,33.15,6000
2023-03-17,32.15,32.7,32.15,32.7,10000
2023-03-20,33.1,33.1,33,33,4000
2023-03-21,33.1,33.1,33.05,33.05,4000
2023-03-22,33.05,33.05,33,33,14000
2023-03-23,32.6,32.6,32.5,32.55,16000
2023-03-24,33,33.25,32.55,33,16000
2023-03-27,35,35,32.6,32.6,10000
2023-03-28,34.7,34.7,32.5,32.5,28000
2023-03-29,33.5,33.5,32.5,32.7,20000
2023-03-31,33,33,32.95,33,20000
2023-04-03,34.7,34.7,34.7,34.7,2000
2023-04-05,35,35.5,35,35.5,4000
2023-04-12,36.5,39.6,36.5,38.05,4000
2023-04-13,39.75,40.9,39.75,40.9,8000
2023-04-17,42.2,43.8,41.05,43.65,28000
2023-04-18,43.65,43.65,43.65,43.65,2000
2023-04-19,44,44.4,44,44.4,4000
2023-04-20,43.95,43.95,43.9,43.9,6000
2023-04-21,43,43,43,43,2000
2023-04-25,44,44,43,43,6000
2023-04-27,43.5,43.5,43.5,43.5,2000
2023-04-28,43.5,43.7,43.5,43.7,4000
2023-05-04,43.75,43.75,42,42,6000
2023-05-05,43,44.5,43,44,16000
