Date,Open,High,Low,Close,Volume
2015-09-07,378,382,355.125,359.6,13640
2015-09-08,354.025,362.975,340.5,346.8,57792
2015-09-09,347,352.675,335.025,341.5,35676
2015-09-10,337.975,366.5,337,357.975,48770
2015-09-11,369.5,375,362.5,372.475,21356
2015-09-14,384.5,384.5,361.1,370.125,62008
2015-09-15,379.5,389.95,356.925,368.275,15802
2015-09-16,374.3,377.5,360.5,373.025,23406
2015-09-18,366.5,389.975,366.5,380.65,58986
2015-09-21,387.475,401.575,366.275,394,8112
2015-09-22,395.475,407.5,382.5,385.475,29972
2015-09-23,389.5,390,379.775,386.7,147126
2015-09-24,381.275,390.025,380,381.8,6500
2015-09-28,381.275,389.95,378,386.675,8568
2015-09-29,387.5,387.5,375,380.05,8160
2015-09-30,380.025,400,376.025,395.65,167132
2015-10-01,397.5,402,386.05,397.8,54718
2015-10-05,399.975,430,392.55,419.325,191036
2015-10-06,434.85,448.5,390.275,396.85,354900
2015-10-07,394.5,402,389.975,393.775,29620
2015-10-08,396.975,399.5,387.5,391.775,8454
2015-10-09,395.125,397,375.75,380.75,17410
2015-10-12,376.525,384.75,362.975,367.625,41002
2015-10-13,366.825,372.8,357.5,368.45,76642
2015-10-14,368.025,377.4,365.5,369.425,14220
2015-10-15,368.25,384.425,365.6,378.4,27944
2015-10-16,372.75,390.075,370.8,382.35,116152
2015-10-19,380.525,392.5,375.05,381.25,71292
2015-10-20,380,388.25,375.525,379.275,18542
2015-10-21,382.025,384.875,370.525,373.225,11834
2015-10-23,377.075,390,375.35,384.525,46792
2015-10-26,380.5,397.425,376.5,389.95,60808
2015-10-27,385.025,392.975,378,380.925,27494
2015-10-28,380.375,381.925,370.6,373.025,16058
2015-10-29,375,378.95,368.075,373.725,22790
2015-10-30,375.025,384,373.8,380.525,28852
2015-11-02,380.675,383.375,372.5,378.55,13426
2015-11-03,377.475,385,373.6,378.85,20984
2015-11-04,379,380.125,373.35,379.125,15588
2015-11-05,375.025,380.025,372.5,374.225,34212
2015-11-06,372.5,374,367.1,368.325,9304
2015-11-09,367.5,367.5,344.475,361.625,28444
2015-11-10,369.975,376,357.85,362.025,51432
2015-11-11,369.5,376.5,369.475,371.425,5850
2015-11-13,375,375,360.325,362.125,21734
2015-11-16,365.475,367.25,356,358.2,33288
2015-11-17,360.375,368,355,363.975,36286
2015-11-18,372.5,375.025,368,370.025,24790
2015-11-19,370.25,373,367.3,369.975,55204
2015-11-20,370.9,371.025,366.5,370,41364
2015-11-23,370.275,389,363.525,373.65,39378
2015-11-24,372.5,384.4,370,371.1,12198
2015-11-26,365.025,374,357.25,370.8,14526
2015-11-27,376.025,376.025,370,371.125,45092
2015-11-30,365,376.975,365,373.375,139490
2015-12-01,378.5,378.5,370.175,373.525,55464
2015-12-02,370.05,377.975,370.025,372.325,19514
2015-12-03,371.5,376.25,371.025,373.725,88904
2015-12-04,375,379.45,365,375.5,51926
2015-12-07,379.975,380,373.125,378.875,22856
2015-12-08,375.875,380,375.025,378.975,72284
2015-12-09,376.35,377.25,357.8,368.275,29714
2015-12-10,365,375,356,369.4,4264
2015-12-11,377.85,377.85,350,357.85,111393
2015-12-16,356,364,355.1,358.75,24592
2015-12-17,359.05,375,357.05,360.05,24557
2015-12-18,362,365,342,347.15,14971
2015-12-21,347.15,371.75,347.15,361.85,257827
2015-12-22,363,368.85,352.9,359.9,36612
2015-12-23,368.5,368.5,345,353.65,35608
2015-12-24,358.7,400,352.4,391.05,119902
2015-12-28,394,396,375,378.9,20871
2015-12-29,376.05,383,371.65,374.85,7095
2015-12-30,372.65,382,366,373.45,18704
2015-12-31,367,380,367,372.2,10962
2016-01-01,375.9,380,370.1,374.8,11200
2016-01-04,382,386,362.8,368.55,21543
2016-01-05,362.5,378.9,362.5,371.35,10714
2016-01-06,366.05,398.9,365.2,374.75,30288
2016-01-07,373.5,382.65,361.1,371.65,15943
2016-01-08,372.05,380.4,363,374,13401
2016-01-11,368.05,380,362.25,374.4,17458
2016-01-12,379.9,379.9,360,365.4,35080
2016-01-13,369.95,374.55,311.1,349.75,90750
2016-01-14,345,352.3,326.25,348,42907
2016-01-15,355,365,342.05,348.75,12270
2016-01-18,348,348,320,334.8,30537
2016-01-19,327.95,347.45,320.05,341.6,11398
2016-01-20,336,345,325.3,335.85,27216
2016-01-21,326,342.95,326,334.05,9963
2016-01-22,335,360.45,335,348.4,5848
2016-01-25,343.05,354.9,340.05,343,15660
2016-01-27,353,353,340.2,345.35,5326
2016-01-28,345.85,356.25,335.95,353.15,8404
2016-01-29,353.55,368,352.65,362.6,17912
2016-02-01,358.05,360.7,351,359.55,7939
2016-02-02,363.15,371,356.1,368.65,16126
2016-02-03,361.5,368,348.8,358.8,32391
2016-02-04,364.95,365,354.2,359.15,18246
2016-02-05,363.05,376.9,351.5,359.55,21406
2016-02-08,355.05,360,350.1,354.5,30218
2016-02-09,351.05,353,332,335.5,10040
2016-02-10,345.55,345.55,312,315.8,78775
2016-02-11,335,335,252.7,301.05,98903
2016-02-12,306.9,313.9,260,285.65,123415
2016-02-15,302.7,302.7,282.2,289.7,36019
2016-02-16,290.25,298,278,294.95,24938
2016-02-17,288.75,305,280.2,299.7,12177
2016-02-18,303.5,317.6,291.2,299.9,11937
2016-02-19,303.45,310,295,302.7,7497
2016-02-22,309.8,309.8,295,297.4,7244
2016-02-23,298.05,298.05,278.05,282.3,16854
2016-02-24,282,289.95,272,275.7,22159
2016-02-25,272.15,278.85,260,261.85,18304
2016-02-26,265.8,277,265.8,273.15,11197
2016-02-29,277,279.05,260.7,263.75,14618
2016-03-01,265.05,273.9,263.8,269.15,87080
2016-03-02,275.5,287.9,271.6,283.35,8995
2016-03-03,288.3,299,285,294.95,14561
2016-03-04,293.7,303.8,287.1,295.85,45569
2016-03-08,309,312.05,291,292.6,9534
2016-03-09,291.05,299.7,286.6,295.8,42864
2016-03-10,291,319.95,286,310.3,45084
2016-03-11,309.5,334.9,301.1,317.1,38400
2016-03-14,315.05,320.05,309.1,314.65,28165
2016-03-15,310,316,305.8,313.25,23257
2016-03-16,309.05,309.7,293.5,297.8,20026
2016-03-17,302.85,303,291,298.25,32473
2016-03-18,300,300,287,292.05,29366
2016-03-21,300,300,283,289.25,45386
2016-03-22,286,292.45,283.1,287.1,23917
2016-03-23,287.05,287.75,273,276.1,65616
2016-03-28,291.2,328.4,278,281.9,714598
2016-03-29,286,288,276,282,119648
2016-03-30,287,289.4,271.55,273.4,138557
2016-03-31,283,283,270.2,274.75,352533
2016-04-01,272.4,281.2,267.5,269.15,85461
2016-04-04,273.6,275,261.8,263.4,141210
2016-04-05,262.1,264.5,250.3,252.95,89994
2016-04-06,254.9,254.9,250.75,251.55,79201
2016-04-07,252.25,252.9,239.55,240.9,85077
2016-04-08,244.9,244.95,233.65,236.15,89231
2016-04-11,236,242,234.2,238.1,168014
2016-04-12,239,241.45,236,239.75,690486
2016-04-13,245,278,242,274.2,1222336
2016-04-18,277.45,285,274.35,284.3,242878
2016-04-20,295,303,284,286.5,468033
2016-04-21,289.85,293.4,284,289.85,121403
2016-04-22,291.9,291.9,283.05,286.1,120604
2016-04-25,288,289.3,281.25,282.45,66452
2016-04-26,282.4,282.4,252.5,254.65,546829
2016-04-27,257.55,260,245.2,249.45,284361
2016-04-28,249,249,237,238.85,207587
2016-04-29,235.6,243.15,233.2,235.15,133465
2016-05-02,233.25,243.5,229.6,243.05,188152
2016-05-03,243.05,248.7,237.65,241.5,121475
2016-05-04,240.1,240.9,235,235.2,42081
2016-05-05,235.1,241.7,232,238.6,53041
2016-05-06,237.85,252,235.2,244.9,241034
2016-05-09,247.4,253,246.4,250.45,76113
2016-05-10,251,255.5,250,252.75,39054
2016-05-11,250,252.25,244,250.9,24621
2016-05-12,250.95,254.2,248.3,248.85,13019
2016-05-13,249.05,250,245,245.95,17126
