Date,Open,High,Low,Close,Volume
2015-09-07,64,68.4,63.3,64.35,4148
2015-09-08,63.6,65,63.6,64.4,1987
2015-09-09,65,69.75,65,68.65,14015
2015-09-10,65.1,68.3,65.1,68.25,281
2015-09-11,65.1,69.7,65.1,67.6,4382
2015-09-14,68,68.4,65.3,65.5,1103
2015-09-15,63,66.95,63,65.25,304
2015-09-16,65.1,66.2,63.15,65,2279
2015-09-18,63.3,66.85,63.3,65.85,3654
2015-09-21,63.25,76.95,63.25,68.35,3163
2015-09-22,66.65,67.8,65.25,66.95,4354
2015-09-23,65.3,68,65.3,67.85,1229
2015-09-24,65.8,72.4,65.25,69,9913
2015-09-28,66.6,69.95,65.15,66.6,4118
2015-09-29,65.6,72,65.55,71,9678
2015-09-30,68.15,73.95,68.15,72.65,1801
2015-10-01,69.4,74.7,69.35,72.9,1086
2015-10-05,69.15,75.95,68.65,75.4,4559
2015-10-06,74.05,76.95,70.3,75.45,3514
2015-10-07,72.6,79.7,72.6,77.15,4348
2015-10-08,74,79.2,72.3,76.85,1582
2015-10-09,73.8,78.5,73.8,78.25,2274
2015-10-12,74,79.6,74,76.7,1083
2015-10-13,75.1,79,75.1,76.6,1157
2015-10-14,75.35,77.55,75.35,76.1,239
2015-10-15,75.3,77.9,75.1,75.4,4797
2015-10-16,75.25,90.4,75.25,88.95,42071
2015-10-19,93,93,83.75,87.05,9046
2015-10-20,83.65,91.85,82.2,88.85,9556
2015-10-21,89.85,89.9,84.1,86.7,16902
2015-10-23,81.3,88,81.3,86,3649
2015-10-26,83.6,87.8,83.3,85.8,3442
2015-10-27,83.2,87.6,83.2,86.75,3882
2015-10-28,83.35,88.2,83.35,86.95,1237
2015-10-29,83.6,87,83.2,85.75,1033
2015-10-30,83.6,88,83.15,85.05,1976
2015-11-02,82.6,87,82.6,85.1,2646
2015-11-03,83.2,88.95,83.2,86.8,1173
2015-11-04,85,90,84.4,87.8,13060
2015-11-05,89.8,91,87.15,89,3286
2015-11-06,84.1,91,83.6,89.4,3660
2015-11-09,86.4,88.2,82.4,86.3,1271
2015-11-10,84.5,90,84.5,85.95,2207
2015-11-11,84.1,86,84.1,85.6,128
2015-11-13,85.25,88.45,85.15,85.35,432
2015-11-16,84.4,86.2,84.1,84.6,844
2015-11-17,84.15,87.9,84.1,84.45,2062
2015-11-18,83.15,86.25,83.1,84,2253
2015-11-19,83.15,88.9,83.15,87.2,6420
2015-11-20,83.6,93.9,83.25,91.8,16948
2015-11-23,92,92.9,85.8,91.1,2668
2015-11-24,87.55,92,87,89.35,4479
2015-11-26,88.2,90,88,89.15,2244
2015-11-27,85.15,90,85.1,86.7,2431
2015-11-30,82.3,90,82.2,89.35,5701
2015-12-01,84.55,89.6,84.55,86.55,1215
2015-12-02,84.55,89.5,83.2,85.95,2859
2015-12-03,84.05,87.4,84.05,85.45,1192
2015-12-04,82,86.6,81.2,83.95,2591
2015-12-07,83.7,88.75,83.7,84.45,1588
2015-12-08,78.55,86.75,78.55,84.1,5614
2015-12-09,79.2,85.75,79.2,81.9,1843
2015-12-10,81,83.85,77.7,82.8,1761
2015-12-11,81.2,83,78.3,82,2050
2015-12-16,81.7,89.8,79.6,82.1,5961
2015-12-17,78,84.05,77.8,84,6992
2015-12-18,83.1,83.7,81.75,82.6,479
2015-12-21,81.5,83.25,81.35,82.55,552
2015-12-22,80.45,84.5,80.45,83.05,1570
2015-12-23,80,85.7,79,84.85,5464
2015-12-24,82.25,85,82.25,84.25,523
2015-12-28,80.6,86,80.6,85.7,8545
2015-12-29,85.05,102.8,82.05,102.8,53086
2015-12-30,106.95,123,106,114.35,353776
2015-12-31,108.8,114.1,105.85,108.2,73651
2016-01-01,111.5,118.25,106.15,113.3,36126
2016-01-04,114.45,116.55,110,111.2,15477
2016-01-05,115,115,107.4,108.55,11122
2016-01-06,106.85,113.35,104.05,108.75,47993
2016-01-07,110,110,99.1,100.3,11715
2016-01-08,109.75,109.75,96.25,101.95,5046
2016-01-11,100,102.75,97.35,99.95,3966
2016-01-12,101.2,101.3,97.5,99.25,15315
2016-01-13,97.25,102,90,94.35,9100
2016-01-14,89.05,94.9,85.75,90.75,10069
2016-01-15,90,90.2,83.05,84.1,6010
2016-01-18,81.2,82.5,77.05,78.75,14252
2016-01-19,75.3,80.4,75.3,79.25,4748
2016-01-20,80,80,67,73.1,41838
2016-01-21,74.55,79.7,74.55,75.05,3524
2016-01-22,76,90,76,84.15,16685
2016-01-25,84.55,90,83.85,84.75,5540
2016-01-27,82.2,84.9,81.7,83.4,3782
2016-01-28,82.05,82.7,79.05,79.85,3933
2016-01-29,77.05,83.55,77.05,83.2,1685
2016-02-01,84.9,85,79.95,81.75,3858
2016-02-02,82.95,82.95,80.8,81.1,610
2016-02-03,78.05,82.65,76.25,77.05,4663
2016-02-04,84.9,87.8,75,77.45,877
2016-02-05,78,80,77.45,79.95,2169
2016-02-08,80,80.05,76.6,77.1,4460
2016-02-09,76.5,76.5,72.55,75.05,4197
2016-02-10,75.05,75.05,71.6,73.25,796
2016-02-11,70,77.8,70,72.3,5305
2016-02-12,70.6,70.8,65,69.9,9325
2016-02-15,67,73,67,71,875
2016-02-16,70.4,70.45,69.35,69.6,229
2016-02-17,69,72,69,70.3,474
2016-02-18,70.5,72,70.5,71.85,628
2016-02-19,72.05,72.05,67.5,69.4,4684
2016-02-22,70,75,70,72.2,2780
2016-02-23,72.05,72.05,69,70.9,706
2016-02-24,69.6,77,67.5,76.1,3740
2016-02-25,77.85,77.85,71.6,71.7,337
2016-02-26,75.95,75.95,70.15,70.9,330
2016-02-29,70.05,72.25,70,70,303
2016-03-01,74,74,74,74,25
2016-03-02,71.05,77.5,71,76,1322
2016-03-03,74.15,77.8,74,77.15,2004
2016-03-04,75.2,78.45,75.15,77.35,1475
2016-03-08,78,81,76.25,80.3,4479
2016-03-09,76,79.9,76,79.9,491
2016-03-10,78.35,81,77.2,79.15,1209
2016-03-11,77.05,82.8,77.05,82.1,5296
2016-03-14,81.85,81.85,79.6,79.9,1702
2016-03-15,88.7,88.7,77,77.55,863
2016-03-16,77.05,77.6,77,77,765
2016-03-17,81,81,77.5,80.25,925
2016-03-18,77.6,77.9,76,76.45,992
2016-03-21,76.3,80.95,76.25,79.35,662
2016-03-22,80.15,81.85,80.15,80.15,1344
2016-03-23,81,81.85,80.15,80.35,549
2016-03-28,78.5,80,78.2,78.35,1697
2016-03-29,76.4,82.75,76.3,82.65,3829
2016-03-30,81.2,82.35,80.95,81.15,630
2016-03-31,79.05,79.05,78.25,79,127
2016-04-01,78.95,82.95,78.8,78.85,36
2016-04-04,78.25,82,78.25,80.65,1549
2016-04-05,82,82.05,81,81,657
2016-04-06,80.1,83.05,80.1,80.3,841
2016-04-07,82.45,84.9,80.5,84.5,3782
2016-04-08,82.3,83.9,82.15,82.3,823
2016-04-11,82.5,85,82.15,82.2,743
2016-04-12,82.25,82.95,82.2,82.2,399
2016-04-13,82.25,83,82.15,82.15,728
2016-04-18,82.15,85.9,78.25,80.9,1740
2016-04-20,81.25,85.9,79.3,83.05,1626
2016-04-21,81.55,83,81.5,81.75,2755
2016-04-22,81,85.45,81,84.4,1747
2016-04-25,84.35,88,84.35,87.9,4697
2016-04-26,87,87.25,83.15,86,1991
2016-04-27,85.95,87,83.05,86.85,1423
2016-04-28,83.75,87.9,83.75,86.5,1964
