Date,Open,High,Low,Close,Volume
2022-05-04,101.3889,101.3889,94.5,95.3611,79200
2022-05-05,94.4444,97.75,91.7222,93.9167,304200
2022-05-06,97.1944,97.1944,90.0833,93.2778,30599
2022-05-09,91.7222,91.7222,86.8333,88.75,98999
2022-05-10,87.6111,89.4444,87.6111,88.5278,102599
2022-05-11,87.7778,87.7778,78.9444,82.6111,82799
2022-05-12,80.5556,83.2778,78.3333,82.3889,91799
2022-05-13,82.3889,84.8889,81.6667,81.8056,25199
2022-05-16,84.4444,84.4444,80.1389,83.2778,26999
2022-05-17,82.7778,83.8889,82.2222,82.9167,21599
2022-05-18,83.3333,84.9722,82.3889,84.0833,255599
2022-05-19,75.6111,84.4444,75.6111,83.4722,14399
2022-05-20,77.7778,87.75,77.7778,86.7778,88199
2022-05-23,86.1111,88.3333,83.3333,83.3611,30599
2022-05-24,82.9167,87.5,82.9167,85.5833,230399
2022-05-25,85.5833,85.5833,83.3333,83.3611,44999
2022-05-26,80.6389,85.2778,80.5556,84.1111,32399
2022-05-27,85,85,83.6111,83.6111,14399
2022-05-30,83.6111,85,81.9444,82.0833,30599
2022-05-31,81.9444,85,81.8611,84.5833,39600
2022-06-01,83.6111,84.3056,83.3333,83.3333,5399
2022-06-02,83.3333,84.4167,83.3333,83.8056,9000
2022-06-03,83.2778,83.2778,81.3889,81.3889,9000
2025-08-11,552.9,576.95,510.3,536.1,263596
2025-08-12,548.65,562.3,532.55,539.5,169581
2025-08-13,550,564,541.75,560.7,146418
2025-08-14,564,669.7,563.9,659.75,2023770
2025-08-18,677,720,661,706.45,1005561
2025-08-19,713,718,670.6,686.2,687612
2025-08-20,698.7,734.35,689.8,724.4,589031
2025-08-21,732,748,708.1,717.4,257321
2025-08-22,720,740,710.8,720.1,191665
2025-08-25,727,738,713.5,715.95,212889
2025-08-26,721.95,724.3,688.5,699.05,280540
2025-08-28,707,709,690,694.75,161393
2025-08-29,697,713.8,697,708.15,79498
2025-09-01,715.2,721.35,699.5,705.65,117971
2025-09-02,714.5,718.35,701,704.9,84450
2025-09-03,715,767,700.35,758.35,818551
2025-09-04,780,789.1,759.75,779.15,397130
