Date,Open,High,Low,Close,Volume
2023-10-03,143,157.3,142.2,157.3,122117170
2023-10-04,165.1,168.7,160.4,164.95,55015128
2023-10-05,166.5,167.85,159.3,163.8,14856340
2023-10-06,165.15,173.35,164,171.6,14529445
2023-10-09,168,169.05,161.2,162.85,8685101
2023-10-10,164,174.8,163.05,169.75,11096550
2023-10-11,171.75,175.8,170.2,172.7,6367753
2023-10-12,173.65,174.8,171.2,172.15,3980057
2023-10-13,170.55,174.65,169.35,170.25,3828930
2023-10-16,170.9,171,165.75,167.85,3230784
2023-10-17,169.7,177.75,168.3,177,11425814
2023-10-18,178.9,186.35,173.5,175.1,16767224
2023-10-19,175,181.55,174.3,178.9,6152869
2023-10-20,179.45,181.5,175.35,176.1,3401682
2023-10-23,177.2,178.45,166.5,167.35,5466657
2023-10-25,170,170.8,162.35,165.65,3701887
2023-10-26,166,173.45,162.05,172.2,5038029
2023-10-27,174,179.95,172.75,176.2,4251314
2023-10-30,177.4,177.4,168.5,169.75,5625385
2023-10-31,171.45,172.9,168,169.55,2413657
2023-11-01,170.85,173.5,167.65,168.15,2823188
2023-11-02,170.5,173,169.55,171.75,1766150
2023-11-03,172.05,174.7,170.2,171.45,2521359
2023-11-06,179,188.55,177.2,188.3,20256529
2023-11-07,194.4,207.1,187.35,205.9,23030252
2023-11-08,208.4,215.45,201.5,202.35,18757436
2023-11-09,202.5,206.5,198.2,199.4,5998279
2023-11-10,199.35,206.6,194.85,197,7928580
2023-11-12,200,203.8,199.5,203.1,2376223
2023-11-13,202.95,202.95,199.25,200.4,3623579
2023-11-15,202,202.25,197.15,197.85,2728869
2023-11-16,198.45,206.65,196.5,202.8,6737642
2023-11-17,213.45,220,207.75,209.3,16087741
2023-11-20,211,212.45,205.5,206.55,3768056
2023-11-21,207.95,209.8,204.05,207.25,3695871
2023-11-22,207.5,211.95,205.2,208.2,3523114
2023-11-23,209.4,210.3,204.4,205.9,2434510
2023-11-24,205.8,207.9,202.55,206,3374870
2023-11-28,206.75,209.4,202.6,208.4,3513501
2023-11-29,208.9,217.15,207.55,210.75,6690057
2023-11-30,215,215.4,207.8,210.5,3401542
2023-12-01,211.85,224.5,211.1,219.85,10488871
2023-12-04,227.6,227.6,216.55,217.6,5283493
2023-12-05,222.8,234.8,222,227.05,11620466
2023-12-06,229.5,244.9,229,238.95,10704712
2023-12-07,241,247.5,235,236.2,9396753
2023-12-08,237.85,240,224.8,228.4,7482839
2023-12-11,230,235.5,229.65,231.15,4621566
2023-12-12,232,241.25,229.45,237.95,6968428
2023-12-13,239,242,236,238.85,3906056
2023-12-14,241.4,242.4,235.25,236.2,3414212
2023-12-15,237.7,238.8,230.8,231.6,3399180
2023-12-18,220,235.85,220,232,7612490
2023-12-19,232.9,233.5,223.55,224.8,4194862
2023-12-20,225.5,229.6,210,210.85,6646370
2023-12-21,208,218,205.65,214.3,5087234
2023-12-22,216.9,221.65,214,220.5,4041864
2023-12-26,221.3,222.9,219.1,220.9,2093766
2023-12-27,222,223,211.25,212.2,4343792
2023-12-28,214,215.1,210.2,210.85,4210099
2023-12-29,211.25,214.2,208,208.3,4144780
2024-01-01,208.3,212.4,208.3,210.65,4134909
2024-01-02,210.65,213.45,207.5,210.25,3179497
2024-01-03,210.25,216.8,209.5,213.65,4654889
2024-01-04,214.2,216.25,213.4,214.3,2952871
2024-01-05,215.5,223.6,215.05,218.9,6384087
2024-01-08,219.7,219.75,215.15,216.3,2256603
2024-01-09,217.6,219.4,215.6,217.5,4749897
2024-01-10,217.45,218.4,211.7,215.2,3367638
2024-01-11,216,216.3,211.55,212.25,3436557
2024-01-12,213.1,214.8,210.5,211,3362976
2024-01-15,212,213.35,210.35,210.8,2736148
2024-01-16,211,213.55,208.1,212.35,3478621
2024-01-17,211,212.35,207.5,207.95,2893194
2024-01-18,208,210.55,202,209.9,3320307
2024-01-19,211.75,212.9,210.05,211.75,2176755
