Date,Open,High,Low,Close,Volume
2025-02-14,1589.9,1589.9,1510.4,1510.4,458
2025-02-17,1434.9,1434.9,1434.9,1434.9,701
2025-02-18,1363.15,1363.15,1363.15,1363.15,754
2025-02-19,1295,1295,1295,1295,2175
2025-02-20,1231,1359.75,1230.25,1352.7,30545
2025-02-21,1399.8,1399.8,1305,1320.6,3159
2025-02-24,1310,1350,1254.6,1274.65,3663
2025-02-25,1278,1336.5,1274.9,1276.25,6701
2025-02-27,1279,1314.9,1255,1275.85,6308
2025-02-28,1270.7,1313,1240,1246.75,11674
2025-03-03,1299,1299,1199.4,1203,5939
2025-03-04,1240,1240,1151.05,1190.9,6870
2025-03-05,1163,1226.5,1163,1191.8,8204
2025-03-06,1220,1220,1171.1,1178.05,11712
2025-03-07,1183.1,1385,1182,1356.95,16299
2025-03-10,1365,1394.95,1308.25,1348.1,5756
2025-03-11,1327.95,1343.25,1232.05,1256.55,8537
2025-03-12,1244.4,1350,1240.05,1317.1,17682
2025-03-13,1308.7,1324.5,1271,1283.7,15687
2025-03-17,1290.15,1330,1260.05,1298.2,10270
2025-03-18,1298,1307.9,1262.75,1274.6,7374
2025-03-19,1296.75,1341.9,1260.05,1301.5,9167
2025-03-20,1302.3,1321.95,1265,1274.75,7289
2025-03-21,1284.55,1310,1281.15,1301.75,6211
2025-03-24,1310,1369.95,1276,1350.25,15255
2025-03-25,1351.4,1392.5,1272,1299.45,21208
2025-03-26,1291,1375,1249.9,1263.1,5149
2025-03-27,1251,1284.9,1251,1268.1,3139
2025-03-28,1280.05,1343.35,1251.1,1255.25,3547
2025-04-01,1255.9,1274.85,1216.5,1239.9,11761
2025-04-02,1249.5,1251.1,1194.95,1200.25,6913
2025-04-03,1200.4,1223,1183,1189.3,8344
2025-04-04,1178,1184,1135,1139.55,10729
2025-04-07,1076,1115.1,1020,1097.95,15890
2025-04-08,1093.45,1128.7,1084.05,1100,4064
2025-04-09,1083.5,1120.15,1067.55,1086.35,12388
2025-04-11,1090,1110.95,1086,1089.7,7330
2025-04-15,1089.7,1300,1089.7,1275.7,27057
2025-04-16,1300,1309,1250,1276,11039
2025-04-17,1275,1324.9,1245,1279,9728
2025-04-21,1261,1330,1261,1287.4,9682
2025-04-22,1289.4,1374,1281,1337.8,8462
2025-04-23,1337.8,1400,1308.5,1332.8,9140
2025-04-24,1341.4,1370,1321,1347.6,7244
2025-04-25,1355.1,1480,1345,1444.6,29647
2025-04-28,1390.5,1495,1390.5,1447.8,10432
2025-04-29,1438.9,1549,1438.9,1483.1,13478
2025-04-30,1495,1539,1461.5,1486.7,7429
2025-05-02,1465,1491.9,1439.1,1455.4,4447
2025-05-05,1440,1465.1,1428.5,1457.5,2577
2025-05-06,1450,1467.8,1427,1439.5,7105
2025-05-07,1432.9,1456.1,1381,1389,8463
2025-05-08,1392,1442.9,1342.3,1372.1,7893
2025-05-09,1350,1435,1350,1410.9,4761
2025-05-12,1500,1523.9,1426.2,1484.4,8097
2025-05-13,1479.6,1565,1479.1,1546.2,7822
2025-05-14,1555,1610,1540.2,1564.6,4632
2025-05-15,1570,1583,1526.1,1541.1,3094
2025-05-16,1515,1559.8,1501,1523,3270
2025-05-19,1522.8,1565,1453.1,1472.9,9699
2025-05-20,1455,1492,1455,1457.2,2355
2025-05-21,1457.2,1503.8,1420,1485.8,2579
2025-05-22,1471.4,1499.9,1460.2,1494.5,1658
2025-05-23,1458.3,1536.4,1458.3,1519.9,2705
2025-05-26,1500,1567.8,1500,1557.8,3589
2025-05-27,1528.9,1577.8,1523.8,1563.3,1926
2025-05-28,1554.5,1585.7,1536,1581.8,3924
2025-05-29,1590,1689.7,1577.2,1618,13331
2025-05-30,1620,1620,1538.2,1561.7,9977
2025-06-02,1561.7,1561.7,1509.9,1535,4648
2025-06-03,1530,1569.1,1528.2,1538.7,2157
2025-06-04,1540,1543,1515.3,1527.9,1717
2025-06-05,1527.9,1575,1516.8,1529.1,4281
2025-06-06,1539.6,1645,1539.6,1620.1,7383
2025-06-09,1620.1,1682.5,1620.1,1644,5662
2025-06-10,1649.8,1718.8,1637,1696.4,5534
2025-06-11,1705,1784,1672,1726.8,13236
