Date,Open,High,Low,Close,Volume
2015-09-07,157,158.94,151.265,151.97,1806080
2015-09-08,152.14,153.55,147.8,152.38,1679270
2015-09-09,154.05,160.3,153.7,158.805,2590170
2015-09-10,157.4,164.4,153.025,162.09,2505220
2015-09-11,162,165.4,161.7,163.24,1595620
2015-09-14,161.11,167,161.11,166.585,1443360
2015-09-15,166.505,168.47,164,165.05,1337600
2015-09-16,166.06,167.335,162.41,163.2,954470
2015-09-18,164.05,165.2,156.2,156.95,2723890
2015-09-21,156.2,161.015,154.01,159.545,2279150
2015-09-22,160.11,160.94,155.5,156.865,1809900
2015-09-23,154,159.55,153.2,158.28,2914570
2015-09-24,157.2,163.49,156.21,161.32,2611530
2015-09-28,162.5,165.64,160,162.475,1793660
2015-09-29,160.1,162.95,158.5,159.125,1933700
2015-09-30,159.955,162.36,158.67,160.135,2109740
2015-10-01,161.9,167.5,161.2,163.965,2909450
2015-10-05,165.2,168.5,164.905,166.17,6082970
2015-10-06,167.135,168.96,166.055,166.965,4353630
2015-10-07,164.5,164.5,156.8,158.175,5396710
2015-10-08,155.5,157.49,154.4,155.895,3975930
2015-10-09,157.6,158.8,154.24,155.855,3362120
2015-10-12,156.05,158.495,152.315,155.235,2371950
2015-10-13,155.88,157.385,154.475,154.885,1416290
2015-10-14,155.9,157.39,155,156.195,1700800
2015-10-15,155,157.19,154.765,155.475,1558170
2015-10-16,156.9,157.61,155.3,156.33,1380230
2015-10-19,156.9,156.9,153.025,154.45,1909970
2015-10-20,154.98,155.4,152.345,152.655,2430480
2015-10-21,152.485,152.725,149.91,150.845,2680650
2015-10-23,152.21,153.9,151.395,151.9,2558100
2015-10-26,152.49,152.49,149.915,150.57,1774360
2015-10-27,150.29,150.8,148.555,150.315,3671290
2015-10-28,150.29,152.58,150.15,151.31,1880700
2015-10-29,151.22,151.22,147.56,148.17,2697490
2015-10-30,148.6,150.3,146,146.46,3119630
2015-11-02,146.2,151.7,145,149.66,2988750
2015-11-03,150.9,151.35,145.6,146.395,3452320
2015-11-04,147.44,147.55,144.4,145.625,5260300
2015-11-05,145.5,149,132.555,138.2,28994630
2015-11-06,137.055,143.74,135.225,142.56,11667810
2015-11-09,141,144.115,138.225,142.79,2687180
2015-11-10,141.9,142,139.3,140.34,1779900
2015-11-11,141.64,142.14,141,141.56,196970
2015-11-13,140.5,140.5,134,135.555,5190570
2015-11-16,135.5,138.18,134.9,137.015,2201630
2015-11-17,137.5,143.995,137.15,141.245,2876720
2015-11-18,141.7,141.86,136.675,137.775,1627280
2015-11-19,139,144,137.15,141.025,1358200
2015-11-20,143.3,147.7,142.68,143.26,5188170
2015-11-23,143.2,148,143.2,145.895,2033220
2015-11-24,146.5,153.99,145.655,152.495,4811110
2015-11-26,153,155.4,151.315,154.37,4805510
2015-11-27,153.21,153.91,150.8,151.735,1209300
2015-11-30,151.985,155.89,151.2,154.345,1331410
2015-12-01,154.51,157.295,151.35,152.07,2314330
2015-12-02,152.995,155,150.64,151.72,3000470
2015-12-03,150.5,152.925,149.92,150.76,1403530
2015-12-04,149.01,150.805,145.62,147.595,2131170
2015-12-07,147.62,150.6,145.205,146.38,1383540
2015-12-08,145.79,146.7,144,144.91,2537610
2015-12-09,144.75,146.25,142.5,144.775,2016640
2015-12-10,145.19,146.2,143.5,145.19,1170730
2015-12-11,145.46,147.39,139.735,140.855,2208780
2015-12-16,143.5,145.915,141.845,143.13,2219570
2015-12-17,143,147.6,140.325,146.015,2423790
2015-12-18,146.975,146.975,142.5,142.795,1437030
2015-12-21,142.7,145.99,142.265,145.355,1537070
2015-12-22,145.6,146,142.89,143.415,1104210
2015-12-23,144.2,146.8,143.79,145.61,1368090
2015-12-24,146.495,153.335,145.5,152.43,4143360
2015-12-28,152.99,153.16,151.05,152.01,1247560
2015-12-29,152.2,153.45,149.765,150.205,1725170
2015-12-30,151.4,151.45,148.71,149.4,1137080
2015-12-31,150,150.48,147.305,148.385,2501860
2016-01-01,148.68,151.29,148,148.47,1546010
2016-01-04,148.875,150.15,145,146.1,1843490
2016-01-05,146.5,147.845,144.21,145.185,2003700
2016-01-06,145,145.75,142.66,143.725,2055340
2016-01-07,142.5,142.5,138.985,139.535,2263760
2016-01-08,140.45,142.2,135.56,136.23,2490690
2016-01-11,133.215,136.95,131.2,135.315,3334150
2016-01-12,135.6,137.92,132.9,133.36,1506970
2016-01-13,134,135.845,129.105,132.88,2222080
2016-01-14,130.4,131.59,128.7,129.38,1923740
2016-01-15,129.98,130.3,123.33,124.23,2675640
2016-01-18,124.9,124.99,115.565,120.435,5527600
2016-01-19,120.315,121.8,115.4,119.945,4716410
2016-01-20,118.9,120.05,114.745,117.42,2014050
2016-01-21,117.995,118.5,114.8,115.87,3023290
2016-01-22,116.3,121.68,114.355,120.61,3216290
2016-01-25,121.07,127.8,120.4,125.3,6047790
2016-01-27,125,127.49,123.3,124.68,2110850
2016-01-28,123.7,125.2,122.17,122.845,3371520
2016-01-29,123.995,128.2,122.425,127.215,2337980
2016-02-01,128.3,129.47,113.86,122.42,8320000
2016-02-02,123.4,124.74,120.625,121.93,3578930
2016-02-03,120.7,123.1,119.005,120.375,2289220
2016-02-04,121.3,121.3,114.245,118.015,5111940
2016-02-05,117,120.4,115.835,117.175,2783630
2016-02-08,117.47,121.2,117.26,120.345,2644800
2016-02-09,116.51,122,116.51,119.105,1980040
2016-02-10,118.85,120,116.46,118.625,2261000
2016-02-11,118.99,119.2,102.185,106.23,12534930
2016-02-12,107.24,107.33,88.735,96.38,16177350
2016-02-15,98.5,104.9,95.815,102.63,11155980
2016-02-16,103.4,104.755,100.55,103.605,6259280
2016-02-17,102.72,106.5,93.655,104.895,12070110
2016-02-18,106.5,107.07,100.3,101.665,5596800
2016-02-19,102.49,103.2,99.12,102.38,4072640
2016-02-22,103.06,103.06,100.15,100.77,2155930
2016-02-23,102.8,103.19,95.98,97.245,5662810
2016-02-24,96.7,100.92,95.045,98.55,6414580
2016-02-25,99.2,99.405,94.65,96.585,5797730
2016-02-26,97.6,98.5,96,96.82,2931480
2016-02-29,96.82,101.2,96.1,99.485,4552250
2016-03-01,99,106.82,98.625,106.1,4291520
2016-03-02,106.405,111.8,106.405,109.73,3701610
2016-03-03,110.06,119.1,110.06,115.855,5812250
2016-03-04,116,116.695,112.115,113.365,5124170
2016-03-08,113.365,119.9,111.96,118.075,4102430
2016-03-09,116.035,118.95,112.32,114.795,3320380
2016-03-10,115.365,115.8,109.85,110.79,3898630
2016-03-11,109.4,113.905,109.39,112.82,3095110
2016-03-14,113.5,118.06,113.05,117.31,5046960
2016-03-15,117.295,117.295,113.005,113.82,2926280
2016-03-16,114.05,115.9,112.3,114.18,3501240
2016-03-17,115.495,117.645,113,114.24,4628910
2016-03-18,113.8,120.19,113.645,119.665,5270970
