Date,Open,High,Low,Close,Volume
2015-09-07,11.85,11.9,10.75,11,326382
2015-09-08,11.4,11.4,10.85,11.15,240371
2015-09-09,11.75,12.25,11.35,12.25,312219
2015-09-10,12,13.45,11.35,13.4,752114
2015-09-11,13.7,14.7,13.7,14.7,848226
2015-09-14,15.15,15.4,15.15,15.4,256562
2015-09-15,16.15,16.15,14.7,15,1279489
2015-09-16,15.05,15.4,14.6,14.7,217555
2015-09-18,14.7,15.2,14.55,14.7,165036
2015-09-21,14.8,15,14.7,14.8,99843
2015-09-22,14.9,15.15,14.15,14.3,165560
2015-09-23,14.3,14.65,14.1,14.5,133946
2015-09-24,14.85,14.85,14.1,14.35,130304
2015-09-28,14.35,14.45,13.95,14.05,95914
2015-09-29,13.8,14.2,13.75,14,89332
2015-09-30,14,14.55,13.5,13.7,150471
2015-10-01,13.55,13.9,13.15,13.2,200813
2015-10-05,13.6,13.65,13.2,13.4,185430
2015-10-06,13.85,14,13.3,13.95,201604
2015-10-07,14.1,15.3,13.9,15.05,566745
2015-10-08,15.7,15.7,15.05,15.4,277042
2015-10-09,15.7,16.35,15.4,15.6,479626
2015-10-12,15.6,15.95,15.2,15.6,167450
2015-10-13,15.6,15.95,15.25,15.7,148426
2015-10-14,15.4,15.9,15.35,15.55,154350
2015-10-15,15.55,17.1,15.55,17.1,1144808
2015-10-16,17.8,18.8,17.45,18.15,2125967
2015-10-19,18,18,16.45,17.65,591596
2015-10-20,17.9,18.4,16.85,17.25,525624
2015-10-21,17.25,17.75,16.8,17.35,268094
2015-10-23,17.35,17.75,17.15,17.25,235167
2015-10-26,17.3,17.5,16.45,16.65,195678
2015-10-27,16.55,16.7,16.05,16.15,143362
2015-10-28,16.5,16.5,15.85,16,125166
2015-10-29,15.8,16.55,15.5,16.2,244263
2015-10-30,16.6,16.8,16,16.1,186995
2015-11-02,16.1,16.35,15.1,15.3,259350
2015-11-03,15.4,15.85,15.2,15.25,196488
2015-11-04,15.25,15.6,14.9,15.05,128530
2015-11-05,14.9,15.2,14.35,14.45,210214
2015-11-06,14.5,14.65,13.2,13.5,359847
2015-11-09,13,14,11.6,13.1,607898
2015-11-10,13.1,13.45,13,13.15,169688
2015-11-11,13.5,13.9,13.4,13.8,58332
2015-11-13,13.45,13.8,13,13.1,262532
2015-11-16,13.1,13.6,13,13.15,302115
2015-11-17,13.2,13.6,12.8,13.25,535014
2015-11-18,13.2,13.95,13,13.2,444837
2015-11-19,13.4,13.65,13.15,13.3,293472
2015-11-20,13.3,13.55,13.2,13.3,258990
2015-11-23,13.5,13.7,12.95,13.1,387017
