Date,Open,High,Low,Close,Volume
2024-10-11,47,49.45,45.05,45.95,262000
2024-10-14,46.1,46.1,43.2,44.7,160000
2024-10-15,44.6,45.3,42.9,43.2,60000
2024-10-16,43.45,44.05,43.1,43.35,92000
2024-10-17,43.5,43.5,41.4,41.8,52000
2024-10-18,42,42.3,40.85,42.1,74000
2024-10-21,43,43,41.65,42.25,36000
2024-10-22,42,42.75,39.55,40.15,68000
2024-10-23,40.15,40.7,39.2,39.2,40000
2024-10-24,39.2,40.35,38.7,39.7,32000
2024-10-25,40.35,40.35,38.5,39.45,42000
2024-10-28,39.2,39.2,37.05,37.25,96000
2024-10-29,37.45,37.75,37.3,37.55,16000
2024-10-30,37.75,38.15,37.7,38.05,56000
2024-10-31,38.05,38.9,38.05,38.5,26000
2024-11-01,38.3,40.2,38.3,39.45,22000
2024-11-04,39.2,39.2,38,38.75,34000
2024-11-05,38.6,38.6,38.05,38.05,26000
2024-11-06,38.05,38.45,38.05,38.25,34000
2024-11-07,38.3,38.95,38.15,38.6,50000
2024-11-08,38.3,38.65,38.3,38.65,18000
2024-11-11,38.75,38.75,37.95,38.15,24000
2024-11-12,38.15,38.15,36.25,36.5,52000
2024-11-13,37,37,35.6,36,28000
2024-11-14,35.6,36.2,35.5,36.2,30000
2024-11-18,36,36.5,35.9,35.9,32000
2024-11-19,36,36.4,34,35.1,36000
2024-11-21,34.5,34.5,32.75,33.55,66000
2024-11-22,34,34.8,33.45,34.5,58000
2024-11-25,34.65,34.85,33.35,34.4,74000
2024-11-26,34.4,34.95,34.4,34.5,8000
2024-11-27,34.25,34.25,33.6,33.75,30000
2024-11-28,34,34,33,33.3,76000
2024-11-29,33.5,33.55,32.6,33.45,26000
2024-12-02,33.25,40.1,33.25,40.1,584000
2024-12-03,43.4,46.4,42.9,44.05,434000
2024-12-04,45,45.85,43,45,262000
2024-12-05,45.7,46.1,43.25,44.3,128000
2024-12-06,44.5,44.85,44,44.2,26000
2024-12-09,44,44.75,41.9,44.25,86000
2024-12-10,43.8,44.5,43,43.85,50000
2024-12-11,43.7,44.15,43.05,43.55,34000
2024-12-12,43.25,43.55,42.8,43,22000
2024-12-13,43.1,43.4,41.6,43.4,24000
2024-12-16,43,43,41.75,41.8,24000
2024-12-17,42,42.5,39.6,40.1,44000
2024-12-18,40.5,40.5,38.75,39.15,60000
2024-12-19,39,40,39,40,18000
2024-12-20,40.35,44.45,40.35,42.95,348000
2024-12-23,43.1,47.75,43.1,46,362000
2024-12-24,46.6,46.9,45.5,45.5,50000
2024-12-26,45.5,46.7,43.8,44.5,40000
2024-12-27,44.9,45.25,43,44.35,46000
2024-12-30,44.5,47.5,43.05,46.35,380000
2024-12-31,46.35,47.5,44,44.4,92000
2025-01-01,44.5,44.75,42.1,43.55,104000
2025-01-02,44.5,44.5,43.8,44.1,26000
2025-01-03,44.1,44.7,42.85,44.45,116000
2025-01-06,43.5,43.5,41.6,43.25,12000
2025-01-07,43.05,44.25,42.45,44.25,92000
2025-01-08,44,44.35,43.3,43.3,82000
2025-01-09,43.35,44,41.05,43.45,152000
2025-01-10,44.4,45,43.3,43.65,210000
2025-01-13,43.65,44.5,42.6,43.25,60000
2025-01-14,43.3,43.3,40.1,40.9,34000
2025-01-15,41,41.35,39.2,39.9,86000
2025-01-16,40.25,42.7,38.25,40,82000
2025-01-17,39.6,40.15,39,39.7,34000
2025-01-20,39.65,40.9,39.5,40.4,58000
2025-01-21,40.25,40.25,40.25,40.25,6000
2025-01-22,39.25,40.9,39,40.5,20000
2025-01-23,40,41.5,39.9,39.9,12000
2025-01-24,39.9,40.3,39.5,40.1,16000
2025-01-27,39.5,39.5,39.5,39.5,2000
2025-01-28,39,43.4,35.85,41.75,114000
2025-01-29,41.75,43,40,41.75,22000
2025-01-30,40.3,40.45,40,40.45,12000
2025-01-31,40.1,41.45,39.5,40.65,16000
2025-02-01,42,42,40.05,40.65,16000
2025-02-03,43,43,40.45,41.05,12000
2025-02-04,40.75,40.75,39.25,39.5,34000
2025-02-05,39.5,40,38.5,40,58000
2025-02-06,40.5,40.5,40,40.2,16000
2025-02-07,40.15,40.15,40,40.15,8000
2025-02-11,39.9,39.9,38,38,10000
2025-02-12,38,39,36.3,38.3,12000
2025-02-13,38.95,38.95,38.95,38.95,2000
2025-02-14,39,39.7,36.1,38.2,8000
2025-02-17,37,37.2,36,36.05,12000
2025-02-18,36.1,36.1,34,34.05,10000
2025-02-19,33.25,37,33.25,36.5,10000
2025-02-20,36,38.2,36,38.05,24000
2025-02-21,38.2,38.2,38.2,38.2,4000
