Date,Open,High,Low,Close,Volume
2015-09-07,4.05,4.05,4.05,4.05,20
2015-09-08,3.85,3.85,3.85,3.85,700
2015-09-09,3.675,3.95,3.675,3.8,4280
2015-09-10,3.7,3.7,3.625,3.625,1814
2015-09-11,3.8,3.8,3.6,3.675,22140
2015-09-15,3.5,3.5,3.5,3.5,9000
2015-09-16,3.325,3.325,3.325,3.325,400
2015-09-18,3.175,3.175,3.175,3.175,288
2015-09-21,3.175,3.325,3.025,3.325,166466
2015-09-22,3.475,3.475,3.425,3.45,34220
2015-09-23,3.4,3.525,3.3,3.45,17876
2015-09-24,3.575,3.6,3.575,3.6,8314
2015-09-28,3.675,3.675,3.425,3.425,7246
2015-09-29,3.425,3.425,3.4,3.4,2202
2015-09-30,3.375,3.55,3.3,3.425,6136
2015-10-01,3.575,3.575,3.55,3.55,7600
2015-10-05,3.725,3.725,3.7,3.7,16142
2015-10-06,3.875,3.875,3.875,3.875,15000
2015-10-07,3.925,4.05,3.925,4.05,15246
2015-10-08,4.25,4.25,3.85,3.85,5700
2015-10-09,3.675,4,3.675,3.675,12088
2015-10-12,3.65,3.75,3.5,3.5,9988
2015-10-13,3.5,3.55,3.5,3.55,160
2015-10-14,3.725,3.725,3.55,3.55,2802
2015-10-15,3.65,3.725,3.65,3.725,10796
2015-10-16,3.9,3.9,3.575,3.75,19062
2015-10-19,3.75,3.75,3.7,3.7,850
2015-10-20,3.75,3.75,3.75,3.75,100
2015-10-21,3.8,3.8,3.8,3.8,240
2015-10-23,3.8,3.8,3.675,3.675,1034
2015-10-26,3.7,3.7,3.7,3.7,140
2015-10-27,3.775,3.775,3.625,3.625,2958
2015-10-28,3.625,3.625,3.625,3.625,412
2015-10-29,3.675,3.75,3.475,3.5,64590
2015-10-30,3.675,3.675,3.5,3.625,1640
2015-11-02,3.65,3.775,3.65,3.775,2000
2015-11-03,3.775,3.775,3.6,3.65,1872
2015-11-04,3.575,3.575,3.475,3.475,2208
2015-11-05,3.5,3.5,3.475,3.475,80
2015-11-06,3.15,3.8,3.15,3.725,47672
2015-11-09,3.625,3.725,3.625,3.675,32026
2015-11-10,3.675,3.95,3.35,3.5,24288
2015-11-11,3.75,3.75,3.75,3.75,302
2015-11-13,3.5,3.725,3.375,3.5,476
2015-11-16,3.5,3.7,3.5,3.7,3322
2015-11-17,3.7,3.7,3.7,3.7,2034
2015-11-18,3.7,4,3.35,3.55,12648
2015-11-19,3.5,3.5,3.225,3.45,5094
2015-11-20,3.5,3.5,3.125,3.375,9734
2015-11-23,3.375,3.625,3.075,3.4,5024
2015-11-24,3.4,3.4,3.35,3.35,60
2015-11-26,3.5,3.5,3.35,3.35,2152
2015-11-27,3.35,3.475,3.25,3.275,2676
2015-11-30,3.475,3.475,3.25,3.325,4438
2015-12-01,3.5,3.5,3.25,3.25,7158
2015-12-02,3.425,3.45,3.2,3.375,7122
2015-12-03,3.475,3.675,3.475,3.675,16940
2015-12-04,3.975,3.975,3.25,3.75,3074
2015-12-07,3.775,3.775,3.5,3.75,2530
2015-12-08,3.75,3.75,3.75,3.75,2150
2015-12-09,3.75,4,3.5,3.925,540
2015-12-10,3.925,4.5,3.925,4,17276
2015-12-11,4.475,4.475,4,4,7508
2015-12-16,4.675,4.675,3.7,4.025,6536
2015-12-17,4.125,4.25,3.875,4.2,13360
2015-12-18,4.25,4.475,3.75,3.9,15322
2015-12-21,4.125,4.45,3.95,4.3,23676
2015-12-22,5,5,4.25,4.45,60604
2015-12-23,4.5,4.85,4.45,4.725,38102
2015-12-24,5.05,5.05,4.2,4.45,16318
2015-12-28,5,5,4.35,4.475,16122
2015-12-29,4.8,4.8,4.45,4.475,26072
2015-12-30,5.35,5.35,4.45,5.075,127348
2015-12-31,5.025,5.25,4.9,4.925,84766
2016-01-01,5.475,5.5,5.025,5.025,37734
2016-01-04,5,5.5,4.975,5.05,46992
2016-01-05,5.35,6.05,5,6.05,253138
2016-01-06,6.475,7.25,6.375,6.625,440852
2016-01-07,6.375,6.875,6,6.6,157866
2016-01-08,7.25,7.25,6.525,6.85,188926
2016-01-11,6.975,6.975,6.375,6.725,130478
2016-01-12,7.075,7.075,6.725,6.775,127434
2016-01-13,6.775,7.45,6.55,7.45,298354
2016-01-14,7.875,8.175,7.125,8.1,324188
2016-01-15,8.125,8.525,7.875,7.9,186658
2016-01-18,7.625,8.65,7.15,7.725,109496
2016-01-19,8,8.475,7.7,8.275,235004
2016-01-20,8.15,8.2,7.725,7.8,114832
2016-01-21,8.025,8.45,7.775,8,118782
2016-01-22,8.65,8.8,8.025,8.8,247094
2016-01-25,9.3,9.6,8.8,9.3,329734
2016-01-27,9.75,9.75,9.025,9.75,224658
2016-01-28,10.15,10.15,9.725,9.9,211056
2016-01-29,10.05,10.125,9.6,9.775,325746
2016-02-01,10,10.075,9.3,9.3,155202
2016-02-02,9.5,9.75,8.85,9.75,209964
2016-02-03,10.225,10.225,9.275,9.275,164818
2016-02-04,9.725,9.725,9,9.2,93308
2016-02-05,9.3,9.65,8.75,8.85,165472
2016-02-08,9,9.175,8.425,8.425,43426
2016-02-09,8.025,8.025,8.025,8.025,19604
2016-02-10,8,8,7.625,7.625,7040
2016-02-11,7.25,7.5,7.25,7.25,52878
2016-02-12,6.9,7,6.9,6.9,2796
2016-02-15,6.75,7.225,6.6,7.225,107818
2016-02-16,7.525,7.575,7.1,7.25,66602
2016-02-17,7.25,7.6,6.9,7.6,94486
2016-02-18,7.975,7.975,7.3,7.65,83780
2016-02-19,7.6,8,7.275,7.275,55914
2016-02-22,7.5,7.6,6.925,6.925,72406
2016-02-23,6.975,7.175,6.6,6.6,49984
2016-02-24,6.525,6.775,6.4,6.5,22454
2016-02-25,6.35,6.7,6.225,6.375,78144
2016-02-26,6.5,6.675,6.075,6.5,54890
2016-02-29,6.8,6.8,6.4,6.425,33270
2016-03-01,6.625,6.725,6.5,6.725,48316
2016-03-02,7.05,7.05,6.95,7.05,38696
2016-03-03,7.4,7.4,7.275,7.4,74778
2016-03-04,7.95,7.95,7.05,7.1,119612
2016-03-08,7.45,7.75,7.075,7.1,36732
2016-03-09,7.8,7.8,7.125,7.8,139390
2016-03-10,8.15,8.3,7.575,8.1,172982
2016-03-11,8.45,8.45,7.55,7.625,76900
2016-03-14,8,8.35,7.75,8,83548
2016-03-15,8.4,8.4,7.5,7.625,66044
2016-03-16,7.95,7.95,6.875,7.2,39218
2016-03-17,7.2,7.7,7.2,7.475,74114
2016-03-18,7.95,7.95,6.75,6.775,53390
2016-03-21,7.375,7.375,6.475,6.8,64616
2016-03-22,7.3,7.3,6.65,6.775,42972
2016-03-23,6.85,6.925,6.35,6.4,135726
2016-03-28,5.825,6.875,5.775,5.8,72458
2016-03-29,5.775,6.05,5.625,5.9,36576
2016-03-30,6.05,6.175,5.9,6.15,61222
2016-03-31,6.05,6.45,6.05,6.2,66536
2016-04-01,5.9,6.5,5.9,6.3,70256
2016-04-04,6.35,6.575,6,6,102650
2016-04-05,6,6.25,5.825,6.05,264766
2016-04-06,6.25,6.35,6.05,6.35,133530
2016-04-07,6.325,6.425,6.2,6.225,83350
2016-04-08,6.3,6.425,6.125,6.25,179364
2016-04-11,6.4,6.55,6.375,6.55,74570
2016-04-12,6.875,6.875,6.275,6.875,94900
2016-04-13,6.95,7.125,6.925,7.025,86074
2016-04-18,7.375,7.375,6.8,7.375,98206
2016-04-20,7.6,7.6,7.175,7.275,69482
2016-04-21,7.3,7.4,6.925,7.05,57268
2016-04-22,7,7.3,6.7,6.7,89350
2016-04-25,6.7,6.825,6.375,6.375,63226
2016-04-26,6.5,6.5,6.1,6.3,118902
2016-04-27,6.25,6.375,6,6,39330
2016-04-28,6,6.175,5.7,5.7,62522
2016-04-29,5.7,5.9,5.65,5.65,62082
2016-05-02,5.5,5.675,5.5,5.5,69798
2016-05-03,5.5,5.675,5.225,5.25,97962
2016-05-04,5.25,5.3,5.15,5.225,69278
2016-05-05,5.3,5.4,5.175,5.275,90348
2016-05-06,5.3,5.525,5.25,5.5,141408
2016-05-09,5.7,5.775,5.625,5.775,103086
2016-05-10,6.05,6.05,6.05,6.05,1072
2016-05-11,6.3,6.35,6.05,6.35,102118
2016-05-12,6.65,6.65,6.5,6.65,82280
2016-05-13,6.975,6.975,6.9,6.975,174024
2016-05-16,6.775,7.3,6.675,7.3,159738
2016-05-17,7.65,7.65,7.5,7.65,80316
2016-05-18,8.025,8.025,7.7,7.75,109766
2016-05-19,7.8,7.9,7.375,7.55,101792
2016-05-20,7.5,7.7,7.4,7.425,101820
2016-05-23,7.5,7.7,7.2,7.3,121650
2016-05-24,7.375,7.65,7.125,7.65,117828
2016-05-25,7.85,8.025,7.85,8.025,98010
2016-05-26,8,8.425,7.95,8.425,124490
2016-05-27,8.725,8.825,8.525,8.825,93082
2016-05-30,9.15,9.25,8.4,9.25,134526
2016-05-31,9.7,9.7,8.8,9.1,121680
2016-06-01,9.475,9.525,8.8,9.275,137944
2016-06-02,9.45,9.725,8.925,9.725,183532
2016-06-03,9.75,10.175,9.25,9.45,224414
2016-06-06,9.825,9.825,9.225,9.325,115850
2016-07-05,10.65,11.125,10.65,11.125,86292
2016-07-07,11.65,11.675,11.15,11.475,271580
2016-07-08,11.5,11.8,11.125,11.375,126612
2016-07-11,11.9,11.925,11.7,11.875,162508
2016-07-12,12.025,12.45,11.375,12.375,403602
2016-07-13,12.875,12.9,12.25,12.675,269422
2016-07-14,13.125,13.275,12.05,12.15,339144
2016-07-15,12.325,12.65,11.925,12.5,156110
2016-07-18,12.95,12.95,12.25,12.375,113962
2016-07-19,12.5,12.975,12.15,12.25,384810
2016-07-20,12.35,12.35,11.65,11.65,57424
2016-07-21,11.95,11.95,11.075,11.075,119268
2016-07-22,11.625,11.625,10.525,11.275,153066
2016-07-25,11.7,11.825,11.25,11.7,156380
2016-07-26,11.95,11.95,11.25,11.45,80430
2016-07-27,11.725,11.725,11.375,11.525,117258
2016-07-28,11.975,12.1,11.025,11.75,211970
2016-07-29,12.175,12.2,11.3,11.5,227928
2016-08-01,11.5,11.75,10.95,11.4,141896
2016-08-02,11.65,11.95,10.85,10.85,412022
2016-08-03,10.9,10.9,10.4,10.75,81424
2016-08-04,10.75,11.275,10.4,11.2,141786
2016-08-05,11.5,12.275,10.25,11.75,482454
2016-08-08,12,12.75,10.675,12.2,315534
2016-08-09,12.75,12.875,11.55,12.425,136912
2016-08-10,12.725,13.25,11.8,12.875,246984
2016-08-11,13.25,13.25,11.6,11.6,266720
2016-08-12,10.975,12.225,10.975,11.45,223302
2016-08-16,11.9,12.5,11.45,12.225,216628
2016-08-17,12.35,13.2,11.025,11.15,1570284
2016-08-18,11.2,11.95,10.925,11.725,142254
2016-08-19,11.825,11.875,10.8,11.575,294382
2016-08-22,11.75,12.225,11.125,11.5,268840
2016-08-23,11.95,12.65,11.175,12.65,533438
2016-08-24,13.025,13.9,12.5,13.025,558346
2016-08-25,13.025,13.45,12,12.6,165622
2016-08-26,12.6,12.825,11.5,11.55,183746
2016-08-29,11.55,12.675,11.475,12.225,560684
2016-08-30,12.5,13.2,12.05,13.025,178234
2016-08-31,13.375,14,12.375,12.4,138636
2016-09-01,12.5,12.95,12.25,12.375,107182
2016-09-02,12.5,13.5,11.925,13.075,160478
2016-09-06,14.9,15.625,13,14.6,585948
2016-09-07,15,15,12.825,13.45,409504
2016-09-08,13.5,15.65,13.2,15,295930
2016-09-09,15,15.5,14.275,14.475,130766
2016-09-12,14.475,15.475,14,14.85,142948
2016-09-14,14.525,15.95,13.575,14.15,284166
2016-09-15,14.85,14.85,13.45,13.75,239594
2016-09-16,14.475,15,13.75,13.9,282108
2016-09-19,14.075,14.25,13.775,14.15,74760
2016-09-20,14.65,14.65,13.425,13.675,187196
2016-09-21,14,14.1,13.5,13.575,124684
2016-09-22,13.75,14,13.45,13.525,109610
2016-09-23,13.5,13.75,13.15,13.3,117892
