Date,Open,High,Low,Close,Volume
2020-05-27,47.5,49.5,47.5,48.625,4926
2020-05-28,49.975,50,47.525,47.675,616
2020-05-29,40.525,49.4,40.525,48.35,4552
2020-06-01,48.35,49.45,44.225,48.1,7678
2020-06-02,56.45,56.6,40.6,46.8,12688
2020-06-03,46.8,48.475,45.25,48.05,1790
2020-06-04,48.05,48.05,45,46.775,4652
2020-06-05,45.25,47.325,45.25,46.925,1222
2020-06-08,45.35,46.9,45.275,45.4,1076
2020-06-09,46.475,46.475,45.275,46.45,334
2020-06-10,45.05,46.45,44.15,45.5,1050
2020-06-11,43.225,46,43.225,44.95,592
2020-06-12,42.725,45.75,42.725,45.75,684
2020-06-15,43.525,45.725,43.525,45.725,260
2020-06-16,47.5,47.5,43.85,45.475,222
2020-06-17,43.275,45,43.225,43.225,3546
2020-06-18,44.8,44.8,44.775,44.8,80
2020-06-19,44.8,47,42.675,44.575,1670
2020-06-22,46.8,46.8,44.575,46.725,3034
2020-06-23,48.975,48.975,46.725,48,272
2020-06-24,46.075,47.95,45.6,47.475,78
2020-06-25,48.5,48.5,45.15,48,254
2020-06-26,47.95,47.95,47.95,47.95,60
2020-06-29,50,50,45.625,46.25,1338
2020-06-30,47.95,47.95,43.95,44.05,3106
2020-07-01,44.05,45.5,42.75,42.925,1502
2020-07-02,44.875,45.05,44.85,45.05,704
2020-07-03,47.3,47.3,42.85,44.725,706
2020-07-06,46.95,46.95,45.5,45.725,764
2020-07-07,45.7,45.7,43.475,45.675,4572
2020-07-08,46.95,46.95,43.425,44.5,1756
2020-07-09,46.7,46.7,42.425,45.85,710
2020-07-10,46.475,46.475,44,44.325,868
2020-07-13,45.875,45.875,44.5,44.5,822
2020-07-14,44.5,45.75,44.5,45,402
2020-07-15,44.5,45,43.75,44.25,20950
2020-07-16,45.7,45.7,42.575,44.975,96
2020-07-17,42.85,44.925,42.85,44.925,424
2020-07-20,44.925,45,44.925,45,14822
2020-07-21,43.05,45,43.05,45,24
2020-07-22,44.475,44.5,42.75,44.5,178
2020-07-23,42.775,44.975,42.775,44.5,1242
2020-07-24,42.45,44.45,42.45,44.35,560
2020-07-27,44.35,44.35,42.4,42.425,1876
2020-07-28,42.375,44.3,42.375,44.275,194
2020-07-29,43.5,44.675,43.5,44.65,72
2020-07-30,44.475,44.65,42.5,44.575,1194
2020-07-31,43.5,46.75,43.5,44.5,218
2020-08-03,46.725,46.725,42.275,44.475,1322
2020-08-04,45.975,45.975,42.275,45.95,2050
2020-08-05,46.925,46.925,43.675,45.3,386
2020-08-06,43.075,45.125,43.05,44.375,64
2020-08-07,45.175,45.175,45.175,45.175,2
2020-08-10,45.975,45.975,44.875,44.875,72
2020-08-11,40.425,44.675,40.425,41.95,6982
2020-08-12,41.875,42.7,38.025,39.875,7320
2020-08-13,41.325,42.175,36.575,38.275,2330
2020-08-14,38.35,42.1,38.35,42,2262
2020-08-17,46.2,46.2,43.125,44.275,10068
2020-08-18,47.45,47.45,43.525,44.3,2798
2020-08-19,44.3,47.5,42.125,44.15,6388
2020-08-20,44.5,44.975,40.625,44.95,1094
2020-08-21,44.95,44.95,42.675,44.8,1806
2020-08-24,44,44.6,42.6,43.575,5886
2020-08-25,45,45,41.55,43.825,6292
2020-08-26,47.35,47.35,41.625,43.55,3816
2020-08-27,44.6,44.6,43.05,43.85,4002
2020-08-28,44.5,44.5,43.05,43.125,854
2020-08-31,43.5,43.5,39.525,42.775,2092
2020-09-01,46.95,46.95,40.525,43.1,2360
2020-09-02,40.525,44.8,40.525,43.2,8090
2020-09-03,43.45,44.5,42.15,43.55,504
2020-09-04,41.8,43.5,41.8,43.5,230
2020-09-07,41.75,44.8,41.75,44.5,2142
2020-09-08,44,44.875,42.625,42.8,1524
2020-09-09,45.5,45.5,41.5,42.875,246
2020-09-10,44.9,44.9,40.075,42.85,914
2020-09-11,42.85,44.25,41.375,43.4,764
2020-09-14,42.35,43.225,39.775,41.6,9958
