Date,Open,High,Low,Close,Volume
2024-07-24,182.4,191.5,182.4,191.5,1191600
2024-07-25,201.05,201.05,201.05,201.05,459600
2024-07-26,211.1,211.1,191,211.1,2590800
2024-07-29,210.05,221.65,202,221.65,594000
2024-07-30,232.7,232.7,232.7,232.7,68400
2024-07-31,244.3,244.3,226,243.4,942000
2024-08-01,244.3,247,231.25,231.25,357600
2024-08-02,219.7,234,219.7,219.7,314400
2024-08-05,208.75,208.75,208.75,208.75,37200
2024-08-06,198.35,217.9,198.35,206.75,528000
2024-08-07,208,218,186,190.95,358800
2024-08-08,196.9,211.5,187,199.45,388800
2024-08-09,198.25,207,198,205.6,127200
2024-08-12,201.05,213.8,198,206.55,165600
2024-08-13,205,205,199.5,199.8,103200
2024-08-14,202,203.85,198.05,198.55,60000
2024-08-16,200,203.45,197,197.2,28800
2024-08-19,189,201,189,196.25,72000
2024-08-20,196.05,196.05,191,192.15,87600
2024-08-21,192.25,194.8,185.5,188,102000
2024-08-22,189.1,193.85,183,186.7,182400
2024-08-23,190,193.5,186,189.4,135600
2024-08-26,189.3,189.3,186.35,186.85,37200
2024-08-27,184.6,187.8,183,184.2,54000
2024-08-28,184.2,184.6,176.1,177.95,96000
2024-08-29,176.8,176.8,168,171.7,115200
2024-08-30,167.65,174.8,167.65,174.25,69600
2024-09-02,179.75,202.7,178.15,192.7,435600
2024-09-03,192.7,192.7,185.1,185.95,61200
2024-09-04,182.1,183,179.5,180.7,58800
2024-09-05,180.7,186.75,180.7,183.45,25200
2024-09-06,184.5,193.1,181,188.8,82800
2024-09-09,182.05,195.5,182.05,192.95,97200
2024-09-10,195.95,195.95,188.1,189.05,50400
2024-09-11,188.25,190.85,185.4,186.55,31200
2024-09-12,185,202.95,185,198.55,166800
2024-09-13,198.55,218.8,198.55,213.05,500400
2024-09-16,219.4,222.85,211.55,213.35,142800
2024-09-17,213,213.05,202,204,50400
2024-09-18,204,204,197.15,199.4,44400
2024-09-19,200,208.5,192.3,199,39600
2024-09-20,201,216,201,207.2,79200
2024-09-23,212.7,223,211.05,218.15,637200
2024-09-24,219.95,223.95,217,221.45,92400
2024-09-25,221.45,223,218,219,136800
2024-09-26,218.1,218.1,212,215,31200
2024-09-27,216,216,208,209.5,73200
2024-09-30,209.5,212.45,205.1,206.3,31200
2024-10-01,204.55,212.25,204.25,209,28800
2024-10-03,207.75,209,202.05,205,43200
2024-10-04,202.5,203,197,197.85,78000
2024-10-07,199,199,180.05,188.7,37200
2024-10-08,195,199,193.05,197.65,10800
2024-10-09,196.75,202.95,190.05,198.25,64800
2024-10-10,202.95,202.95,196.05,196.05,26400
2024-10-11,195.1,195.9,192.1,193.6,33600
2024-10-14,193.65,198.9,193,196.3,24000
2024-10-15,195.05,195.1,192.65,194.5,26400
2024-10-16,195,195,192,192.15,30000
2024-10-17,193.45,196.6,193,195.45,22800
2024-10-18,194.5,209,193.5,208.35,158400
2024-10-21,210.2,219,209.6,217.9,175200
2024-10-22,219.4,220,209,211,100800
2024-10-23,203.1,212.4,203.1,207.2,33600
2024-10-24,207.2,207.2,201.6,202.2,8400
2024-10-25,202.5,202.5,191.5,197,44400
2024-10-28,199.9,205,199,203.7,26400
2024-10-29,203.05,203.05,201,201,13200
2024-10-30,204,204.95,202.8,204.95,8400
2024-10-31,204.95,206,203.05,203.8,19800
2024-11-01,206,207,203.05,204.35,10200
2024-11-04,200.05,202.25,195.05,195.35,116400
2024-11-05,199,200.9,197.75,199.7,10800
2024-11-06,207.25,207.25,197.05,200.05,25200
2024-11-07,200,202.45,197.45,198.35,19200
2024-11-08,200.4,201.95,198.5,201.25,5400
2024-11-11,199,199,192,196.8,13800
2024-11-12,196.2,196.3,194.5,194.5,12000
2024-11-13,190.4,193.8,188,188.5,9000
2024-11-14,189,190.25,185,188.85,14400
2024-11-18,185.55,185.55,177,178.15,57600
2024-11-19,186.95,186.95,180,181,10200
2024-11-21,181,185,178.25,181.05,10200
2024-11-22,181.95,184.7,181.95,183,4800
2024-11-25,182,182,177.1,179.9,13200
2024-11-26,182.85,182.85,180.3,180.35,3600
2024-11-27,176.55,180.95,176.55,180.95,4800
2024-11-28,183,184.5,179.05,180.2,6600
2024-11-29,181.95,182.2,174.25,179.95,15000
2024-12-02,176.25,180,173.15,177.8,40200
2024-12-03,178.1,182.45,178.1,179.6,9000
2024-12-04,181.95,182,177.15,178,10200
2024-12-05,178.2,178.95,176.3,177.45,15000
2024-12-06,175.15,175.15,170.1,172.95,88800
2024-12-09,174.5,174.95,169.05,170.2,19800
2024-12-10,170.2,172.5,170,171.25,22200
2024-12-11,171.25,173,168.1,171.55,12000
2024-12-12,172.5,174.95,163.95,168.1,36000
2024-12-13,165.05,171.8,165,168.45,29400
2024-12-16,174.85,174.85,166.1,167.7,28800
2024-12-17,170.45,171.95,165.5,168.15,13800
2024-12-18,167.05,169.85,162,164.85,22200
2024-12-19,163,167.75,163,163.65,35400
2024-12-20,164.15,166.5,159,159.3,33600
2024-12-23,159.3,160,159.3,159.8,7800
2024-12-24,159.3,162.9,158,160.9,12000
2024-12-26,160.45,160.5,156.25,157.45,7200
2024-12-27,157.45,160,157,157.4,7200
2024-12-30,160,160.4,156.4,157.25,6600
2024-12-31,156.05,157.95,155.05,157.95,5400
2025-01-01,157.5,157.5,152.5,155.35,18000
2025-01-02,154,154,149.3,150.2,40200
2025-01-03,154.65,154.7,150,150.6,24600
2025-01-06,148.15,149.95,144.9,149.9,6600
2025-01-07,148.95,150,148.95,149.55,7200
2025-01-08,148,149,145.05,146.65,10800
2025-01-09,141.05,146.15,141.05,142.45,30000
2025-01-10,143,143,139,140,12000
2025-01-13,139,139,118,128,51600
2025-01-14,130,130,121.05,126,33000
2025-01-15,127,142.3,127,140.8,22200
2025-01-16,145.45,145.75,141.05,143.55,8400
2025-01-17,144.95,150.7,144.95,145.25,22200
2025-01-20,145.25,145.25,138,138.35,18600
2025-01-21,138.35,138.35,135,137.95,3600
2025-01-22,132.95,135.95,131.05,135.45,10800
2025-01-23,131.05,133.95,131.05,133.95,1200
2025-01-24,131.05,131.05,130,131,3000
2025-01-27,129.95,130,124.45,125.4,7200
2025-01-28,125,128,120.75,125.25,24600
2025-01-29,125.5,131.5,125.5,131.5,9000
2025-01-30,131.5,131.75,127.1,127.5,18000
2025-01-31,127.65,131.1,127.6,130.35,21600
2025-02-01,126.55,128,124.05,124.05,6000
2025-02-03,124.05,124.05,123.95,124.05,4200
2025-02-04,124.1,127.75,124.05,127.75,2400
2025-02-05,131.4,131.4,128.8,128.8,1800
2025-02-06,122.65,128.15,122.65,128.05,10800
2025-02-07,123.15,126,123.15,125.8,4800
2025-02-10,125.5,125.5,123.55,125.1,73200
2025-02-11,120.55,123.9,120,121.2,109200
2025-02-12,120,122.25,116.55,121.85,134400
2025-02-13,123,123,121.05,121.5,2400
2025-02-14,121.05,122.2,121.05,122,15000
2025-02-17,122,122,120.15,120.25,2400
2025-02-18,120.25,120.25,115,115,18000
2025-02-19,115,115.45,109.25,114.25,38400
2025-02-20,109.15,117.9,109.15,116.9,16800
2025-02-21,118.8,118.8,111.55,112.3,11400
2025-02-24,107.05,112.95,107.05,112.95,13200
2025-02-25,117.55,117.55,109.7,110,13200
2025-02-27,105,109.7,104.85,109.7,4200
2025-02-28,112.8,112.8,105.15,110.95,17400
2025-03-03,113,115.45,105.45,109,11400
2025-03-04,109,109,106.2,107.5,3600
2025-03-05,107.1,111,103,108.75,16200
2025-03-06,111.5,113.65,110.95,113.45,10800
2025-03-07,112,114.8,112,112.05,38400
2025-03-10,112,112,107.05,107.1,7200
2025-03-11,106.45,106.45,102,106,13200
2025-03-12,106,106,100.7,105.2,22200
2025-03-13,103,105.85,102,102.05,12000
2025-03-17,103.05,103.05,98,101.5,13800
2025-03-18,100.25,101.5,97.05,101.5,43800
2025-03-19,99,101.5,98,101,25200
2025-03-20,101,101.45,98.75,100.3,46800
2025-03-21,100.3,103.7,100.25,102.65,35400
2025-03-24,103.5,104.45,100.2,101.45,54000
2025-03-25,103.4,103.4,98.55,100.05,66000
2025-03-26,101.5,101.75,95.05,95.35,82200
2025-03-27,96.75,97.5,90.9,91.95,128400
2025-03-28,90.75,93.9,90.65,91.2,51000
2025-04-01,91,95.75,90.5,95.75,9000
2025-04-02,99.95,100.5,97.5,100.5,14400
2025-04-03,100.95,105.5,100.6,105.5,13800
2025-04-04,106.2,110.75,105,105.05,33600
2025-04-07,99.8,105.95,99.8,101.5,11400
2025-04-08,106,106.55,102.5,106.55,6600
2025-04-09,106.55,106.55,101.25,101.25,6600
2025-04-11,104.95,105.75,103.25,105.75,3000
2025-04-15,109.95,111,109,110.95,106800
2025-04-16,114.95,116.45,114.15,116.45,100200
2025-04-17,116.45,119.4,113.55,118.9,94800
2025-04-21,125,125,121.6,123.85,114600
2025-04-22,123.85,127.45,118,123.2,105600
2025-04-23,123.4,123.45,120.4,123.45,9600
2025-04-24,120.4,123,120.4,123,66000
2025-04-25,123,123,113.55,113.55,126600
2025-04-28,113.55,113.55,111,112.95,7800
2025-04-29,113,113,113,113,600
2025-04-30,113,113.45,113,113.45,1200
2025-05-02,109.05,110.45,109,110.45,3000
2025-05-05,109.95,109.95,108,108,3600
2025-05-06,108,108,102.5,102.75,6600
2025-05-07,102.75,107.5,102,105.85,12000
2025-05-08,104.15,105.9,102.05,105.9,8400
2025-05-09,100.65,105.95,100.65,105.75,2400
2025-05-12,110.45,111.55,109.3,110.95,6600
2025-05-13,109.25,109.25,109.25,109.25,1200
2025-05-14,109.25,109.25,108.55,108.55,1800
2025-05-15,107.6,110.75,107.6,109.85,5400
2025-05-16,110,113.9,110,113.35,15000
2025-05-19,114,116.95,114,116.9,6600
2025-05-20,116.9,116.9,111.25,112.2,8400
2025-05-21,112.2,113.95,110.05,111.35,8400
2025-05-22,112,112.9,112,112.9,1800
2025-05-23,112.05,112.05,112.05,112.05,600
2025-05-26,112.6,116.05,112.6,115.5,9600
2025-05-27,115.45,116.75,113.15,116.7,24600
2025-05-28,117,119.1,115,117.4,16200
2025-05-29,117.4,117.4,114.2,114.6,16800
2025-05-30,113.05,113.9,112.7,113.85,8400
2025-06-02,114.05,114.45,111.6,111.6,12600
2025-06-03,111.6,113.8,110.5,111.85,5400
2025-06-04,110.5,110.5,106.9,106.9,3600
2025-06-05,110.4,124,110.4,120.6,33600
2025-06-06,120,129,120,123.45,42600
2025-06-09,125,125,120,120.5,12000
