Date,Open,High,Low,Close,Volume
2015-09-07,1069,1113,1069,1076.5,26751
2015-09-08,1075,1109.9,1060,1078.7,23541
2015-09-09,1090,1134,1084,1093,22331
2015-09-10,1097,1097,1062.05,1075.25,11640
2015-09-11,1065.1,1130,1065.1,1085.35,25313
2015-09-14,1085,1195,1075,1172.8,58126
2015-09-15,1176,1240,1150,1207.95,73173
2015-09-16,1220,1220,1145.3,1150.8,17499
2015-09-18,1150.5,1195,1064.15,1093.5,43680
2015-09-21,1080,1080.95,1037.65,1061.55,26533
2015-09-22,1078,1082,1025.5,1034.75,16076
2015-09-23,1011,1096.4,1010.05,1064.7,28228
2015-09-24,1060,1111.1,1015,1049.7,34116
2015-09-28,1068,1084.5,1024,1029.55,22826
2015-09-29,1035,1039.75,997.3,1028.6,29732
2015-09-30,1040,1055.95,1006,1021.1,15398
2015-10-01,1030,1075,1011,1045.8,66561
2015-10-05,1051,1073,1035.55,1047.3,24093
2015-10-06,1050.5,1109.4,1037.1,1074.65,83315
2015-10-07,1055,1117,1050,1067.7,53991
2015-10-08,1070,1083,1040,1047.3,23573
2015-10-09,1064.95,1066.15,1017.6,1027.2,37982
2015-10-12,1040.95,1058.65,1016,1044.35,17290
2015-10-13,1040.05,1065,1035.3,1054.65,27808
2015-10-14,1052.05,1100,1052.05,1084.05,57218
2015-10-15,1110,1164,1076.25,1081.9,99277
2015-10-16,1094,1119,1065,1078,27429
2015-10-19,1082.4,1125,1070,1108.6,32815
2015-10-20,1087.05,1120.75,1076.25,1091.85,17686
2015-10-21,1090.5,1144,1089.9,1115.85,37761
2015-10-23,1124,1169,1119,1125.8,39787
2015-10-26,1132,1149,1119,1120.45,11548
2015-10-27,1119,1140,1101.6,1119.3,37931
2015-10-28,1115,1127.75,1080,1091.9,11779
2015-10-29,1098.95,1103.3,1075,1081.5,9790
2015-10-30,1089.5,1104,1065.25,1075.8,13764
2015-11-02,1078,1083,1040,1051.6,15969
2015-11-03,1057.65,1075.95,1015,1026.4,20052
2015-11-04,1030,1154,1030,1118.85,122156
2015-11-05,1111.15,1150,1047,1054.75,60266
2015-11-06,987,987,875,933.15,163554
2015-11-09,920,932,890,923.95,34845
2015-11-10,931.8,975,930,935.65,35337
2015-11-11,943.7,951,936.25,945.75,3378
2015-11-13,931,933,903.4,910.3,10791
2015-11-16,911,919.3,875,899.85,51664
2015-11-17,910.95,911,885,893.3,51769
2015-11-18,899,916,880,903.3,25316
2015-11-19,910,959,903.5,951.75,36246
2015-11-20,958,977,935.2,942.3,18357
2015-11-23,951,965,915.5,919,12139
2015-11-24,928,952.8,924.45,930.05,33956
2015-11-26,931,952.45,931,944.35,20654
2015-11-27,934.95,970,934.95,951,27831
2015-11-30,933.4,980,933.4,962.05,25361
2015-12-01,951,1005,951,971.25,59225
2015-12-02,976,996.4,952.4,956.8,15067
