Date,Open,High,Low,Close,Volume
2025-08-05,144,151.2,136.8,150.6,1167200
2025-08-06,146,156.9,143.1,151.85,253600
2025-08-07,145.5,148.5,144.25,144.25,50400
2025-08-08,144.15,144.15,137.05,139.55,124000
2025-08-11,140.9,140.9,132.6,132.6,44000
2025-08-12,126,130.9,126,127.2,112000
2025-08-13,122,123.85,120.85,121,142400
2025-08-14,117.05,119.7,114.95,114.95,44800
2025-08-18,114.9,116,109.2,109.2,48000
2025-08-19,103.8,114.65,103.75,114.65,165600
2025-08-20,115.9,128.7,113.05,123.35,164000
2025-08-21,123.5,123.5,118,121.25,26400
2025-08-22,122.25,123,116,119.1,28000
2025-08-25,121,124.4,119,122.85,24000
2025-08-26,122.9,122.9,118,119,11200
2025-08-28,123,123,116.9,116.9,9600
2025-08-29,120.3,120.3,120.3,120.3,800
2025-09-01,120,126.4,118,123.85,73600
2025-09-02,129.95,130,116.2,120.05,37600
2025-09-03,120,120,116.1,118,15200
2025-09-04,115.6,115.6,114.9,114.9,6400
