Date,Open,High,Low,Close,Volume
2023-06-14,201,210,190.95,190.95,547200
2023-06-15,181.4,181.4,181.4,181.4,33600
2023-06-16,172.35,172.35,172.35,172.35,20000
2023-06-19,163.75,178,163.75,167.7,323200
2023-06-20,159.35,165,159.35,159.7,107200
2023-06-21,156.6,156.6,151.75,151.8,112000
2023-06-22,150,159.35,150,159.35,84800
2023-06-23,161,161.8,151.4,151.7,53600
2023-06-26,149,149,144.15,146.7,32000
2023-06-27,143.6,147,140,146.2,26400
2023-06-28,146.5,146.5,123.25,132.75,118400
2023-06-30,132.6,152.55,130,149.85,52000
2023-07-03,162,179.8,161.2,179.8,240000
2023-07-04,188.6,210,184,200.1,266400
2023-07-05,206.5,237,186.1,233.5,276800
2023-07-06,249,254.5,234,244.85,140000
2023-07-07,248,248,226.35,234.6,79200
2023-07-10,220,220.05,211.15,211.15,151200
2023-07-11,213.7,225.95,206.15,221.7,55200
2023-07-12,226.5,226.5,212.5,214.4,45600
2023-07-13,214,214.5,204,205,14400
2023-07-14,210,210,200,201.95,44000
2023-07-17,205,222.1,200,222.1,37600
2023-07-18,229.9,244.25,229.9,241.55,62400
2023-07-19,241.55,242,223.35,235.15,53600
2023-07-20,236.2,248.3,229,244.75,51200
2023-07-21,247,261.95,238,259.1,87200
2023-07-24,248,248,246.15,246.15,50400
2023-07-25,233.85,233.85,233.85,233.85,16000
2023-07-26,228,235,222.15,222.15,44000
2023-07-27,214.3,214.3,211.05,211.05,15200
2023-07-28,204,221.6,204,221.6,52000
2023-07-31,228.9,229,210.55,219.85,56800
2023-08-01,220,230.8,213,230.8,53600
2023-08-02,242.3,242.3,242.3,242.3,24000
2023-08-03,244.9,251,238,245.5,44000
2023-08-04,240,245.5,233.25,233.25,31200
2023-08-07,235,256.55,228,229.75,44800
2023-08-08,230,239.9,228,235.1,29600
2023-08-09,237,242,230,233.15,26400
2023-08-10,231.2,232,225.55,226.2,17600
2023-08-11,222,231.95,220.2,227.5,12800
2023-08-14,224,229.9,211,229.15,19200
2023-08-16,228,236,213.1,231.45,33600
2023-08-17,233,233,224.1,224.1,9600
2023-08-18,216.2,226.65,216.2,226.3,14400
2023-08-21,228,248,225.15,246.4,49600
2023-08-22,248.8,259,248.8,250,36800
2023-08-23,250,262,245.1,248.3,38400
2023-08-24,250,273.1,250,273.1,64800
2023-08-25,289,300.4,273.1,300.4,96800
2023-08-28,315.4,315.4,315.4,315.4,24800
2023-08-29,325,331.15,299.65,310.2,88000
2023-08-30,301.95,305,294.7,294.7,35200
2023-08-31,295,309.4,295,307,14400
2023-09-01,295,297.95,291.65,295.45,12800
2023-09-04,295.45,310.2,295.45,310,12800
2023-09-05,325.5,325.5,301,303.9,27200
2023-09-06,303.9,303.9,288.7,288.7,14400
2023-09-07,289.8,300,277,285,10400
2023-09-08,292,299.25,292,298.3,26400
2023-09-11,305,311,298,298,7200
2023-09-12,290,290,283.1,283.1,13600
2023-09-13,283,283,268.95,268.95,40800
2023-09-14,269,282.35,269,282.35,16000
2023-09-15,296.45,296.45,296.45,296.45,1600
2023-09-18,311.25,311.25,311.25,311.25,4800
2023-09-20,326.8,326.8,320.1,326.8,59200
2023-09-21,339.8,343.1,313.6,329.85,52000
2023-09-22,330,330,320,325.25,14400
2023-09-25,311.6,321.8,309,314,20000
2023-09-26,311,311,298.3,298.3,13600
2023-09-27,287.15,300,287.15,298.35,12800
2023-09-28,285,310,284,305.2,13600
2023-09-29,305.2,305.2,304.9,305.1,4800
2023-10-03,314,314,305,307.75,4800
2023-10-04,307.75,307.75,307.75,307.75,1600
2023-10-05,307.5,307.5,297,304.4,8000
2023-10-06,298.05,306.5,298,306.5,3200
2023-10-09,300,306.5,300,304.75,7200
2023-10-10,301,314.95,301,314,8000
2023-10-11,311,311,298,302.4,15200
2023-10-12,330,330,310,312,5600
2023-10-13,312,319,305.15,312,15200
2023-10-16,312.3,338,312.3,336.5,15200
2023-10-17,344,344,330,335.1,8000
2023-10-18,339.7,339.7,327,332.9,10400
2023-10-19,330,334.9,323,332,8000
2023-10-20,320,354,320,350.25,16000
2023-10-23,350,372,340,363.2,45600
2023-10-25,350,350,326.9,326.9,33600
2023-10-26,294.25,294.25,294.25,294.25,14400
2023-10-27,291,308,281,293.35,83200
2023-10-30,285.05,306,282,296.3,13200
2023-10-31,308.9,308.9,299,300,8400
2023-11-01,310,310,293,294,8400
2023-11-02,303.9,323.4,300.1,323.4,38400
2023-11-03,343.9,345,326,327.6,30400
2023-11-06,335,335,307,310,28400
2023-11-07,315,328.4,315,327.3,13200
2023-11-08,330,340.95,323,336.75,18000
2023-11-09,336.75,337,318.75,322,8400
2023-11-10,323,325,311.05,319,3200
2023-11-12,324.95,324.95,320,320,4400
2023-11-13,312,315,311.3,313.15,2800
2023-11-15,316,316,309.95,310,29200
2023-11-16,312,330,311.4,327.7,15600
2023-11-17,330,339,329,330.3,10800
2023-11-20,337.5,348.95,334.4,343,41600
2023-11-21,348,377.3,333.05,369.95,72400
2023-11-22,378,405,378,393.15,38800
2023-11-23,412,412,396,398,10800
2023-11-24,400,400,384.5,385,5600
2023-11-28,385,395,365.75,386.85,26400
2023-11-29,387,396,370,372.1,14400
2023-11-30,379.95,379.95,371,372,4400
2023-12-01,371,377,371,372.65,6400
2023-12-04,375.1,390,375.1,388,7600
2023-12-05,402,407,386,390.75,10400
2023-12-06,390.75,390.75,381,381,5600
2023-12-07,378,378,368,369,5600
2023-12-08,369,378,364,375,7600
2023-12-11,375,393.75,375,393.45,14000
2023-12-12,406.9,413.1,392,400.95,12000
2023-12-13,408,420.95,408,420.95,21600
2023-12-14,434.9,441.95,431,441.95,13200
2023-12-15,463,464,445,463.35,21600
2023-12-18,470,475,456,456,8800
2023-12-19,455.5,478.8,455.5,474.5,16000
2023-12-20,470,473.5,450.8,450.8,7200
2023-12-21,429,444,428.3,444,14000
2023-12-22,460,466.2,455,466.2,4800
2023-12-26,485,489.5,483.9,489.5,9200
2023-12-27,508.95,513.95,491,513.95,26800
2023-12-28,533.9,539.6,533.9,539.6,6000
2023-12-29,566.55,566.55,555,566.55,15200
2024-01-01,594.85,594.85,594.85,594.85,2400
2024-01-02,624.55,624.55,624.55,624.55,6400
2024-01-03,655.75,655.75,655.75,655.75,4800
2024-01-04,688.5,688.5,688.5,688.5,1600
2024-01-05,722.9,722.9,654.1,681.8,38400
2024-01-08,682,682,647.75,649.1,26000
2024-01-09,674,681.55,634,681.55,11600
2024-01-10,715.6,715.6,715.6,715.6,3200
2024-01-11,751.35,751.35,741,751.35,16000
