Date,Open,High,Low,Close,Volume
2022-05-31,41.7,41.7,41.7,41.7,3100
2022-06-06,41.45,41.45,41.45,41.45,3100
2022-06-15,39.4,40.95,39.4,40.8,15500
2022-07-11,38.8,38.8,38.8,38.8,3100
2022-07-22,38.1,38.1,38.1,38.1,6200
2022-08-16,38,38,38,38,3100
2022-08-19,38,38.1,38,38.1,9300
2022-08-30,36.2,36.2,36.2,36.2,3100
2022-09-01,36.2,38,36.2,38,6200
2022-09-02,36.1,39,36.1,39,6200
2022-09-07,40.5,40.9,40.5,40.9,6200
2022-09-08,38.9,42.5,38.9,42.3,12400
2022-09-09,40.2,44.4,40.2,44.4,6200
2022-09-12,46.6,46.6,46,46.5,15500
2022-09-27,44.2,47.75,44.2,46,18600
2022-09-28,46,46,43.7,43.7,12400
2022-09-29,43.7,43.7,43.7,43.7,3100
2022-09-30,45.4,45.5,42,43,21700
2022-10-03,43,43,40.85,40.85,6200
2022-10-06,42.35,42.4,42.35,42.4,6200
2022-10-07,43.4,43.45,43.4,43.45,6200
2022-10-13,42.5,42.5,42.5,42.5,6200
2022-10-14,41.4,41.4,41.4,41.4,3100
2022-11-01,40.25,40.25,40.25,40.25,3100
2022-11-04,40,40,40,40,6200
2022-11-09,42,42,41.85,41.95,15500
2022-11-10,43.95,44,43,44,18600
2022-11-11,45.9,46.05,45.9,46.05,9300
2022-11-14,48.35,48.35,48.3,48.3,6200
2022-11-16,50.25,50.25,50.2,50.25,12400
2022-11-21,50,50,50,50,15500
2022-11-22,47.5,50,47.5,50,9300
2022-11-23,50,50,50,50,9300
2022-11-24,47.5,47.5,47.5,47.5,3100
2022-11-25,49.15,49.15,49.15,49.15,3100
2022-11-28,46.7,49.5,46.7,49.5,6200
2022-11-29,50.5,50.8,50,50,31000
2022-11-30,50,50,50,50,6200
2022-12-02,50.7,50.9,50.7,50.9,9300
2022-12-05,50.7,50.7,50,50,37200
2022-12-06,50.1,50.1,50,50,6200
2022-12-07,50,50,47.5,49.85,55800
2022-12-08,50,50,47.4,49.85,18600
2022-12-09,49.95,50,49.95,49.95,24800
2022-12-12,50,50,47.55,49.85,49600
2022-12-13,49.95,49.95,48,48,74400
2022-12-14,50,50,46,47.9,46500
2022-12-15,45.6,45.6,45.6,45.6,3100
2022-12-16,47.25,47.25,46.95,46.95,12400
2022-12-19,44.7,47.7,44.7,47.65,9300
2022-12-20,48.4,48.4,48.4,48.4,12400
2022-12-21,48.5,48.5,46,47.65,46500
2022-12-23,48.45,48.45,47.45,47.45,6200
2022-12-26,46.5,48.4,46.5,47.55,71300
2022-12-27,47,48,47,47.95,93000
2022-12-28,47,48.5,46.9,48.05,65100
2022-12-29,47.85,47.85,47.75,47.85,49600
2022-12-30,47.95,47.95,47.6,47.8,37200
2023-01-02,49.9,49.95,49.5,49.5,9300
2023-01-03,51.85,51.95,50,51.95,114700
2023-01-04,54.5,54.5,54.5,54.5,58900
2023-01-05,57.2,57.2,51.8,53.3,120900
2023-01-06,55,55,54.9,54.9,9300
2023-01-09,52.25,52.25,52.2,52.2,9300
2023-01-10,54.65,54.65,54.65,54.65,3100
2023-01-12,52,52.5,51.95,51.95,12400
2023-01-13,54.5,54.5,54.5,54.5,6200
2023-01-16,52,52,52,52,21700
2023-01-18,50,50,50,50,6200
2023-01-20,48,48,47.5,47.5,15500
2023-01-23,45.2,47.55,45.15,45.15,24800
2023-01-27,43.5,44,42.9,44,15500
2023-01-31,42.05,45.5,42,44,21700
2023-02-01,42.1,42.1,42.1,42.1,3100
2023-02-03,44.1,44.1,40.1,40.2,12400
2023-02-06,42.2,42.2,42.2,42.2,9300
2023-02-08,44.3,44.3,44.3,44.3,3100
2023-02-09,46.5,46.5,46.5,46.5,3100
2023-02-10,37,37,36.9,37,55800
2023-02-14,36.9,36.9,36.9,36.9,3100
2023-02-15,35.05,35.2,35.05,35.15,12400
2023-02-16,33.4,35,33.4,35,12400
2023-02-20,36.75,36.75,36.75,36.75,3100
2023-02-22,34.95,38.55,34.95,38.55,6200
2023-02-28,36.65,36.65,36.65,36.65,6200
2023-03-10,35.65,37,35.65,36.3,68200
2023-03-13,34.5,34.5,34.5,34.5,46500
2023-03-14,34.5,35,34.5,34.85,40300
2023-03-15,33.25,33.25,33.25,33.25,12400
2023-03-16,34.8,34.9,34.8,34.85,6200
2023-03-20,33.1,36.55,33.1,34.3,40300
2023-03-21,33.2,35,32.6,32.6,31000
2023-03-22,32,32,32,32,6200
2023-03-23,33.2,33.4,33.2,33.4,9300
2023-03-24,33,33,31.75,32.95,24800
2023-03-27,32.05,32.7,31.5,31.85,18600
2023-03-29,30.25,30.25,30.25,30.25,12400
2023-03-31,28.75,28.75,28.75,28.75,49600
2023-04-03,27.35,30.15,27.35,30,145700
2023-04-05,31.5,31.5,31,31.5,83700
2023-04-06,33.05,33.05,33.05,33.05,3100
2023-04-10,34.7,34.7,34.7,34.7,3100
2023-04-11,36.4,36.4,36.4,36.4,6200
2023-04-12,38.2,38.2,38.2,38.2,6200
2023-04-13,40.1,40.1,36.3,38.35,368900
2023-04-17,39.4,40.25,39.4,40.25,77500
2023-04-18,42,42.25,40.1,42.2,46500
2023-04-19,40.1,40.1,40.1,40.1,18600
2023-04-20,38.9,40.5,38.9,40,15500
