Date,Open,High,Low,Close,Volume
2015-09-07,31.3,31.5,29.55,30.2,11059
2015-09-08,29.85,32.35,29.45,31.65,3504
2015-09-09,31.4,32.9,31.05,31.25,8494
2015-09-10,32.6,32.6,29.35,31.1,5139
2015-09-11,31.3,31.9,30.85,31,1333
2015-09-14,30.75,32.8,30.75,31.55,4187
2015-09-15,31.65,32.45,31.45,31.7,1870
2015-09-16,31.3,34,30.85,33.05,8837
2015-09-18,33.85,36.1,33.3,33.5,2306
2015-09-21,33.1,33.1,31.85,32.5,2289
2015-09-22,33.45,33.65,31.4,32.2,5442
2015-09-23,31.8,32.7,30.8,32.35,4862
2015-09-24,32.05,34.8,31.4,34.15,11524
2015-09-28,34.25,35.25,33.25,33.4,22203
2015-09-29,33.25,34.1,32.8,34,434
2015-09-30,33.75,34.6,32.85,33.6,5460
2015-10-01,33.3,34.6,33.3,33.95,2930
2015-10-05,35.25,36.1,33.35,35.2,2766
2015-10-06,35.25,35.25,33.85,34.35,6089
2015-10-07,34.3,35.35,32.4,33.6,47252
2015-10-08,33.65,33.85,30.95,31.45,68106
2015-10-09,31.8,33.6,30.95,31.55,47066
2015-10-12,31.3,32.25,31.2,31.35,23649
2015-10-13,31.35,32.1,31.25,31.3,9313
2015-10-14,32,32.1,31.2,31.65,20495
2015-10-15,32.15,32.3,31.15,31.35,12303
2015-10-16,31.85,31.9,30.6,31,22754
2015-10-19,30.8,37.2,30.8,37.2,170660
2015-10-20,38.1,44.6,38.05,44.6,619866
2015-10-21,46.95,49.1,45.6,49.1,118530
2015-10-23,53.55,53.95,44.2,44.2,535924
2015-10-26,44.2,44.2,40.6,41.25,96904
2015-10-27,43.45,43.45,39.15,41.1,32429
2015-10-28,41.6,42.55,39.4,39.95,25270
2015-10-29,40.05,41,38.1,39.15,36475
2015-10-30,39.15,41.1,38.2,41.1,51300
2015-11-02,41.7,42.5,39.05,39.15,24028
2015-11-03,39.35,39.5,37.45,37.75,13730
2015-11-04,38,38.55,36.5,37,16977
2015-11-05,36.3,37.65,35.85,36.55,6311
2015-11-06,38.05,38.05,35.4,36.1,11231
2015-11-09,37.1,37.85,36.2,37.5,13652
2015-11-10,38.95,38.95,37.1,38.1,6899
2015-11-11,38.65,39.45,37.85,38.85,6452
2015-11-13,37.45,38.4,36.95,37.05,6945
2015-11-16,35.75,38,35.7,37.1,5186
2015-11-17,36.7,37.65,36.2,36.5,3920
2015-11-18,35.7,37.75,35.7,36.85,5237
2015-11-19,36.2,37.5,35.35,37.15,14578
2015-11-20,37.05,38.15,36.75,37.7,6727
2015-11-23,37.2,39.55,37.2,39.55,14443
2015-11-24,41.45,41.5,40.85,41.5,10593
2015-11-26,43.55,43.55,39.45,39.7,25763
2015-11-27,40.9,40.9,39.5,40.35,5834
2015-11-30,38.6,41.1,38.6,40.9,13683
2015-12-01,41,41.9,40.1,40.8,16160
2015-12-02,42.1,42.8,42.1,42.8,23798
2015-12-03,44.5,44.9,44,44.9,15723
2015-12-04,46.95,48.45,42.55,45.6,55810
2015-12-07,44.15,46.3,41.05,42.1,27892
2015-12-08,45,46.3,39.45,43.1,40736
2015-12-09,42.1,44.55,40.1,41.15,16870
2015-12-10,43.05,43.05,40.8,41.25,8350
2015-12-11,40.9,43.55,40.9,40.95,12509
2015-12-16,44,44.8,43.6,43.75,9522
2015-12-17,44.7,44.8,41.25,43.45,8309
2015-12-18,43.55,45,43.55,44.05,9320
2015-12-21,43.55,47.8,43.25,46.75,42200
2015-12-22,47.45,47.45,46.1,46.6,12648
2015-12-23,47.45,47.45,44.6,45.75,26962
2015-12-24,46.85,46.85,44.25,45,17651
2015-12-28,44.6,46.05,44.3,44.6,8130
2015-12-29,44.3,46,44.3,45.8,12257
2015-12-30,43.95,45.7,42.1,43.5,28691
2015-12-31,42.25,44.9,42.25,44.35,5130
2016-01-01,44.1,45.8,44.1,45.15,21007
2016-01-04,45.4,54.15,44.6,53.65,408539
2016-01-05,55.7,57.15,51.1,53.7,378021
2016-01-06,55,59.9,52.25,53.5,267783
2016-01-07,51.85,53.65,47.95,49.85,73095
2016-01-08,50.85,52.2,49.5,50.95,24876
2016-01-11,47.15,51.9,47.15,50.75,25692
2016-01-12,51.6,52.75,45.5,47.4,37796
2016-01-13,48.7,49.35,42.6,44.55,54849
2016-01-14,43.05,47,41.85,45.15,26779
2016-01-15,45.15,45.15,41.4,41.7,29923
2016-01-18,40,42.1,37.55,38.8,23573
2016-01-19,38.15,43.85,37.3,43.15,29179
2016-01-20,42.25,42.95,40.1,40.25,15004
2016-01-21,40.15,41.85,40,40.2,8298
2016-01-22,40.4,42.1,40.25,40.6,11953
2016-01-25,40.15,42.15,40.15,41.15,6143
2016-01-27,41,42.1,40.8,41.3,3566
2016-01-28,41,42.1,40.3,41.65,6013
2016-01-29,41.15,41.6,39.55,40.35,12567
2016-02-01,41.75,42.05,40.8,41.8,5984
2016-02-02,41.1,42.45,40.1,40.65,3998
2016-02-03,39.3,43.95,39.3,40.05,5090
2016-02-04,40.1,42.5,40.1,40.8,5191
2016-02-05,40.3,42.9,39.5,41.3,9744
2016-02-08,40.9,42.55,40.6,40.7,5698
2016-02-09,40.1,40.4,38.5,39.15,8301
2016-02-10,39.25,39.55,37.7,37.95,7292
2016-02-11,37.4,41.3,34,34.3,16050
2016-02-12,35.05,36.5,32.8,33.25,5225
2016-02-15,39.65,39.65,34.25,37.3,11863
2016-02-16,37.6,38.05,35,35.15,5487
2016-02-17,33.8,36,32.3,34.05,5741
2016-02-18,35.05,35.4,34.05,34.25,5541
2016-02-19,33.45,35.65,32.95,35.15,10437
2016-02-22,35.15,35.9,34.25,35.45,1714
2016-02-23,35.4,35.4,34.25,34.75,3852
2016-02-24,34.25,34.7,33.05,33.45,2233
2016-02-25,32.6,33.4,31.8,32.35,8293
2016-02-26,31.5,34.25,31.5,33.1,4510
2016-02-29,32.3,33.55,30.45,32.4,3116
2016-03-01,31.85,37.9,31.85,35.05,8808
2016-03-02,36.2,38.05,36.2,37.2,7698
2016-03-03,37.2,37.2,35.7,36.3,7010
2016-03-04,35.45,37.75,34.65,36.35,4452
2016-03-08,36.35,36.95,35.8,36.45,3393
2016-03-09,36.2,39,35.7,38.1,11061
2016-03-10,38.15,41.25,37.35,39.85,23936
2016-03-11,40.9,41.1,38.95,39.2,10966
2016-03-14,38.35,39.15,37.2,37.6,6668
2016-03-15,36.85,38.65,36.75,37.1,4829
2016-03-16,37.85,37.85,35.8,36.85,1834
2016-03-17,36.7,37.2,35.9,35.95,3447
2016-03-18,35.4,36.8,35.3,36.15,1692
2016-03-21,36.7,36.8,35.7,35.8,44194
2016-03-22,36.2,36.9,35.55,35.9,5840
2016-03-23,35.7,38.15,35.7,35.75,24024
2016-03-28,36.1,36.1,34.25,34.5,2029
2016-03-29,33.9,35.9,33.8,33.85,7574
2016-03-30,34.35,35.25,34.25,34.85,2560
2016-03-31,34.25,35.9,33.55,34.35,2676
2016-04-01,35.55,37.7,34.85,35.85,3414
2016-04-04,37,37,34.95,35.4,1557
2016-04-05,35.3,36.15,35.25,35.35,1760
2016-04-06,34.75,35.9,33.3,35.75,2631
2016-04-07,34.45,36,34.25,35.7,4218
2016-04-08,36.6,36.65,35.5,35.55,1897
2016-04-11,35.7,36.7,35.4,35.75,4384
2016-04-12,36.1,36.6,35.3,35.7,905
2016-04-13,35.35,37.45,35.35,36.7,5875
2016-04-18,36.2,37.35,35.45,36.3,4279
2016-04-20,36.3,37.15,35.5,36.9,8323
2016-04-21,36.25,36.75,36.2,36.45,619
2016-04-22,37.4,37.7,36.6,36.65,1802
2016-04-25,36.7,36.7,36.25,36.3,1583
2016-04-26,37,37.2,36.4,36.9,710
2016-04-27,39.05,39.05,35.6,36.25,968
2016-04-28,36.3,38,36.2,37,4986
2016-04-29,36.2,37.2,36.2,36.8,4187
2016-05-02,36.5,37.55,36.2,36.3,3256
2016-05-03,35.95,36.9,35.95,36.25,2352
2016-05-04,35.9,36.85,35.4,36.6,1887
2016-05-05,35.9,36.35,35.7,35.8,1765
2016-05-06,37,37,35.7,36.05,1252
2016-05-09,35.35,35.9,35.25,35.85,2653
2016-05-10,37.05,37.05,35.5,35.65,899
2016-05-11,35.4,36.15,35.4,35.4,571
2016-05-12,36,36.2,35.45,35.6,4494
2016-05-13,35.55,36.2,35.45,35.7,3935
2016-05-16,35.7,36.15,34.4,36.1,1826
2016-05-17,35.7,37,35.7,35.95,476
2016-05-18,35.7,36.5,35.7,36.25,413
2016-05-19,35.9,36.95,35.45,36.3,24677
2016-05-20,36.8,38.5,36.5,37.6,17584
2016-05-23,38.9,38.9,35.9,36.3,7271
2016-05-24,37.65,37.65,35.5,36.2,1302
2016-05-25,35.7,36.15,35,35.65,4489
2016-05-26,35.25,35.8,35.15,35.2,1114
2016-05-27,37.1,37.1,35.4,35.7,2116
2016-05-30,36.2,36.2,35.35,35.35,4116
2016-05-31,35.25,35.25,33.45,33.7,12120
2016-06-01,33.15,34.15,32.4,33.25,15678
2016-06-02,33.7,33.7,32.1,32.8,17896
2016-06-03,33.2,33.25,32.85,32.9,4581
2016-06-06,32.5,36.2,32.5,35.55,9344
2016-06-07,35.55,35.55,33.6,34.2,5079
2016-06-08,34.25,35.95,33.8,34.25,11648
2016-06-09,33.75,35.4,33.35,33.95,9127
2016-06-10,33.75,34.65,33.75,34.35,2908
2016-06-13,33.45,35.5,33.45,34.25,1355
2016-06-14,33.75,34.2,33.15,33.25,9216
2016-06-15,34.55,34.55,32.3,32.75,10622
2016-06-16,33,33.2,31.8,32.75,1780
2016-06-17,33.25,33.25,32.3,32.55,1754
2016-06-20,32.55,33.25,31.8,32.35,10561
2016-06-21,33,33.05,32.3,32.35,6802
2016-06-22,32.35,33.25,32.35,32.5,9581
2016-06-23,32.55,33.6,32.5,32.65,894
2016-06-24,31.8,32.1,30,31.5,11109
2016-06-27,32.8,33.75,32.8,33.55,2177
2016-06-28,33.6,34.3,33.6,33.6,6377
2016-06-29,33.25,34.05,33.25,33.5,1661
2016-06-30,34.2,34.25,33.4,33.45,3674
2016-07-01,33.55,34.2,33.35,33.65,4309
2016-07-04,34.05,34.75,33.75,34.3,9399
2016-07-05,33.85,34.15,33.25,33.85,16939
2016-07-07,33.25,35,32.7,34.75,9976
2016-07-08,34.75,34.75,33.55,34.65,6734
2016-07-11,34.25,34.75,33.5,34.7,5701
2016-07-12,34.75,35.05,33.9,34.2,6268
2016-07-13,34.2,34.7,33.8,34.3,2891
2016-07-14,35,35.25,34.35,35.2,7590
2016-07-15,36.15,36.15,34.4,34.6,6511
2016-07-18,32.6,35.15,32.6,33.65,11319
2016-07-19,33.65,34,32.85,33.15,2648
2016-07-20,33.75,34.25,33.15,33.75,2684
2016-07-21,34.25,35.5,34.25,34.9,9667
2016-07-22,34.65,35.45,34.65,35.1,4348
2016-07-25,34.75,35.7,34.75,35.05,1252
2016-07-26,34.65,36.2,34.45,35.5,1495
2016-07-27,35.25,35.25,34.65,34.65,1316
2016-07-28,34.25,35.2,33.6,34.3,2510
2016-07-29,34.25,34.75,34.25,34.35,3920
2016-08-01,35.7,36.2,35.4,35.7,5108
2016-08-02,36.1,36.1,34.8,34.85,2252
2016-08-03,34.25,34.55,33.85,34.05,5887
2016-08-04,34.4,34.75,33.55,33.65,3283
2016-08-05,32.95,34.65,32.85,33.35,6293
2016-08-08,33.15,34,33.15,33.6,3706
2016-08-09,34.45,34.45,33.2,33.35,4476
2016-08-10,34.1,35,32.45,33.1,5156
2016-08-11,33.25,35.6,33.15,34.25,4679
2016-08-12,35.15,35.15,33.35,34.4,1707
2016-08-16,36.15,36.15,32.6,33.25,4693
2016-08-17,33.25,33.25,30.95,31.9,12312
2016-08-18,32.35,32.8,31.7,32,9141
2016-08-19,32.3,32.8,30.85,31.95,9025
2016-08-22,33.15,34.15,32.35,32.9,8944
