Date,Open,High,Low,Close,Volume
2015-09-07,560,566,545,546.8,328
2015-09-08,526.55,540,526.5,533.1,749
2015-09-09,530.35,554.5,530.35,551.5,434
2015-09-10,570,575,538.6,563.85,494
2015-09-11,551.65,566.8,548.35,552.4,150
2015-09-14,550.05,576.5,540,545.35,789
2015-09-15,545,549.5,541.05,544.6,25
2015-09-16,535.5,550,529,534.25,410
2015-09-18,529,575,529,553.15,1600
2015-09-21,565,572,553.65,562.75,59
2015-09-22,560,580,555,563.95,1378
2015-09-23,564,564,547,550.1,300
2015-09-24,544.6,571.05,542,560.85,481
2015-09-28,565.05,589.95,565.05,571.45,63
2015-09-29,584.95,588.45,571.65,575.7,540
2015-09-30,564,590,554,580.15,1186
2015-10-01,556,589.95,556,585,78
2015-10-05,568.35,609,568.35,601,972
2015-10-06,583.3,615,583,615,996
2015-10-07,664.95,664.95,590,606.65,283
2015-10-08,629.8,630,602.05,607.5,1085
2015-10-09,614.95,630,588.7,597.1,2804
2015-10-12,610,626.9,596.3,598.85,174
2015-10-13,621,630,594,608.6,1257
2015-10-14,611,620.55,595.25,596.6,1028
2015-10-15,584.65,612.7,584.65,600.45,341
2015-10-16,600,616.5,591.95,598.85,166
2015-10-19,600,607,592.4,599.05,204
2015-10-20,598.5,613.95,598,599.5,105
2015-10-21,609.05,610,601.75,610,68
2015-10-23,619.95,620,596,596.65,1102
2015-10-26,600.15,637,600.15,624.35,4975
2015-10-27,621,649.5,611.55,639.9,1737
2015-10-28,634.95,634.95,604.6,605.7,390
2015-10-29,606,615,600.15,605.6,841
2015-10-30,600,612.8,597.6,598.25,2255
2015-11-02,600,610,599.5,600.55,252
2015-11-03,599.5,620,599.5,617.9,312
2015-11-04,627.45,627.45,601.1,621.55,489
2015-11-05,610,620,598,599.1,226
2015-11-06,601.65,620,597.6,606.3,458
2015-11-09,615,615,603,603.25,200
2015-11-10,616,625,611,622.75,140
2015-11-11,622.75,650,605.05,626.4,49
2015-11-13,625,647.95,613,644.35,468
2015-11-16,640,640,625,634.3,179
2015-11-17,610.75,636,610.75,621,318
2015-11-18,623.95,623.95,605.6,606.1,210
2015-11-19,624,624,621,621,24
2015-11-20,650,650,625,625,121
2015-11-23,610,610.6,605.25,610,69
2015-11-24,603.95,640,603.95,634.35,526
2015-11-26,620,634.3,520.2,602.5,2257
2015-11-27,624.95,628,605.05,618.3,594
2015-11-30,603.6,625,603.6,617.75,456
2015-12-01,634.3,634.35,615,620.4,115
2015-12-02,607,623.95,607,621.8,575
2015-12-03,616,629.6,615,621.1,170
2015-12-04,620,623,616.2,620.6,116
2015-12-07,622,624,604.05,608.35,359
2015-12-08,619.9,630,607,608,222
2015-12-09,610,623.95,609,615,78
2015-12-10,596.8,639,596.8,617.2,966
2015-12-11,618,628.95,618,622.5,7
2015-12-16,586.65,621.75,586.65,598.1,247
2015-12-17,604,604,588,595.05,834
2015-12-18,587.45,612,587.45,600.25,482
2015-12-21,617,628.7,605.6,616.55,706
2015-12-22,584.6,620,584.6,619.25,254
2015-12-23,617,632.75,617,628.5,52
2015-12-24,605.3,637,605.3,629,212
2015-12-28,620.1,628.85,609.1,611.3,210
2015-12-29,612,624.95,610,615.15,119
2015-12-30,624.95,635,624.95,630,577
2015-12-31,630.05,658.8,630,648.3,1424
2016-01-01,650,675,650,656.6,918
2016-01-04,650,660,645,659.6,717
2016-01-05,659.95,664.45,656.05,664.4,303
2016-01-06,665,672,657,659.45,420
2016-01-07,625.05,650.65,620.5,638.45,260
