Date,Open,High,Low,Close,Volume
2023-04-26,612.95,619.95,601.55,613.2,112049
2023-04-27,619,623,542.5,585.25,380622
2023-04-28,580.55,603.05,554.5,592.65,216752
2023-05-02,589.9,598.85,579.6,588.75,64792
2023-05-03,587.15,597.6,585,590.55,50711
2023-05-04,597,597,580,586.7,46339
2023-05-05,586.7,590,566,584.5,40353
2023-05-08,578,589.95,578,586.7,25259
2023-05-09,587.45,587.45,575,578.95,35107
2023-05-10,581.45,582.25,570,578.15,22544
2023-05-11,583.85,603,572.75,580.2,72513
2023-05-12,584,594.2,573.5,589.55,31063
2023-05-15,586.15,589.3,578.35,582.5,46042
2023-05-16,589.4,589.4,577.1,580.9,47585
2023-05-17,580.9,587.4,578.05,582.1,18190
2023-05-18,583.1,588.8,572.8,579.95,22692
2023-05-19,582.55,584.9,572,581.75,43983
2023-05-22,581.9,585,575.25,580.3,20815
2023-05-23,586.1,594.5,578.5,589.35,29923
2023-05-24,594.95,594.95,583.3,593.3,27396
2023-05-25,588,592.3,581,588.2,20595
2023-05-26,586.8,594.05,574.3,582.3,31159
2023-05-29,582.3,590,573.95,584,30480
2023-05-30,581.3,587,570.2,574.35,27727
2023-05-31,576.9,576.9,561.2,564.4,49136
2023-06-01,567,573.45,560.1,564.2,20603
2023-06-02,563.15,593.55,561.7,590.05,87696
2023-06-05,603,624.4,595.2,614.95,173247
2023-06-06,615.45,635,615.45,632.5,155116
2023-06-07,649,649,634,639.05,88230
2023-06-08,645.45,645.45,620.95,626.15,94010
2023-06-09,625.25,640.35,620.75,637.45,58858
2023-06-12,645,654,631.25,644.8,112059
2023-06-13,647.9,660.9,641.1,657.45,147586
2023-06-14,657,670,656,665.25,186509
2023-06-15,670,671.6,663,668.4,37884
2023-06-16,670,674,656,664.55,49993
2023-06-19,669,670.25,650.5,656.45,41310
2023-06-20,650.5,660,646.55,652.45,18124
2023-06-21,653,658,631.05,633.85,27797
2023-06-22,640,649,632,635.5,31439
2023-06-23,636.35,647,627.75,639.35,23274
2023-06-26,647.7,649,630.05,646.5,12840
2023-06-27,649.9,655.7,639.25,642.05,22625
2023-06-28,648.55,670.95,643.9,659.4,77464
2023-06-30,668,668,642.8,652.5,24625
2023-07-03,652.5,671.2,651.55,668.75,45826
2023-07-04,659.7,681.1,658.2,676.05,87298
2023-07-05,676.05,685.3,661.05,666.55,69277
2023-07-06,672.15,690.85,661.25,667.6,61104
2023-07-07,667.5,680,666.05,673.1,29514
2023-07-10,676,684,662.55,674,29768
