Date,Open,High,Low,Close,Volume
2015-09-07,179.15,182.05,168.1,168.95,478803
2015-09-08,169.75,171.9,162.85,168.85,476211
2015-09-09,172.15,178.05,171.65,172.3,548409
2015-09-10,168.75,171.15,164.3,167.1,402417
2015-09-11,169.5,171.65,168.2,169.05,232065
2015-09-14,169.75,170.75,166.95,169.05,131016
2015-09-15,168.8,180.7,168.1,175.4,1090428
2015-09-16,177.4,184.3,176.7,178.7,1266549
2015-09-18,182.15,186.9,182.15,183.6,697530
2015-09-21,182.35,189.3,181.7,188.05,426639
2015-09-22,190.95,195.75,184.75,188.75,780336
2015-09-23,185.8,191.9,185.3,190.85,324495
2015-09-24,190.85,197.55,189.05,193.2,375126
2015-09-28,193.35,206.4,193.2,200.95,1676562
2015-09-29,199.05,204.75,197.65,199.5,747363
2015-09-30,201.2,205.5,200.05,201.65,611559
2015-10-01,201.9,204.75,198.25,200.25,279753
2015-10-05,203.05,204.7,197.6,201.8,317598
2015-10-06,202.9,203.35,197.75,198.45,288348
2015-10-07,199.7,202.4,196.45,198.5,271872
2015-10-08,199.7,199.7,190.5,193.55,269811
2015-10-09,194.75,198.35,193.15,194.15,203136
2015-10-12,194.05,197.4,194.05,194.5,144351
2015-10-13,195.2,196.45,192.6,195.4,156099
2015-10-14,194.5,195.5,191.7,192.5,167550
2015-10-15,194,199.75,192.6,195.45,430158
2015-10-16,196.9,199.3,194.5,194.9,275475
2015-10-19,195.25,205.7,192.85,195.65,2939649
2015-10-20,195.25,196.2,190.5,190.7,646014
2015-10-21,191.2,192,182.45,183.45,674784
2015-10-23,185.95,186.45,177.1,177.85,467052
2015-10-26,177.85,179.75,170.25,171.45,418626
2015-10-27,169.05,179.5,166.7,176.9,857772
2015-10-28,176.1,178,172.65,174.8,292563
2015-10-29,173.1,177.6,172.15,172.95,254007
2015-10-30,173.1,177.15,170,170.75,270402
2015-11-02,171.35,171.35,164.55,166.85,310605
2015-11-03,168.25,171.35,166.45,167.25,262596
2015-11-04,168.35,170.6,164.4,165.55,303666
2015-11-05,164.4,166.65,164.05,164.6,202374
2015-11-06,166.1,166.4,161.15,162.2,143751
2015-11-09,160.25,166.9,157.15,165.25,226710
2015-11-10,167.1,172.85,165.55,170.1,344601
2015-11-11,172.05,172.6,170.5,171.25,52629
2015-11-13,171.25,172.6,167.9,168.7,132042
2015-11-16,169.05,169.05,164.3,165.15,154857
2015-11-17,166.2,167.6,164.3,164.95,145281
2015-11-18,165.25,170.25,165,165.65,382302
2015-11-19,166.7,171.05,165.15,168.55,346296
2015-11-20,169.25,169.25,165.25,166.35,313326
2015-11-23,166.35,169.3,166.35,166.8,192933
2015-11-24,166.1,168.8,165.1,165.55,113124
2015-11-26,167,167.15,165.6,166.3,97488
2015-11-27,166.3,167.4,165.5,165.85,99084
2015-11-30,166.95,167.85,165.65,166.15,152970
2015-12-01,166.45,167.15,165,165.3,148923
2015-12-02,166.65,166.65,163.55,164.25,117384
2015-12-03,164.3,170.2,162.15,166.5,378549
2015-12-04,166.2,169.05,163.7,164.35,210495
2015-12-07,166.35,167.05,163.7,164.05,136203
2015-12-08,164.25,165.95,161.2,161.95,168348
2015-12-09,160.75,163.35,158.35,159.2,141852
2015-12-10,159.5,161.5,155.95,159.6,112311
2015-12-11,160.4,160.5,150.95,154.85,275433
2015-12-16,155,167.75,155,162.2,629796
2015-12-17,163.75,169.25,163.1,168.5,453036
2015-12-18,168.35,171.15,165.85,166.75,378642
2015-12-21,167.05,168.8,166.2,167.45,156411
2015-12-22,168.55,173.8,165.9,169.95,578943
2015-12-23,171.2,173.55,170.95,172.15,279546
2015-12-24,171.45,177.25,171.45,173.8,413694
2015-12-28,174.75,176.15,172.15,172.75,233148
2015-12-29,173.85,174.3,170.5,170.9,192531
2015-12-30,171.45,172.65,167.85,168.6,226428
2015-12-31,169.95,171.65,168.7,170.3,130035
2016-01-01,171.4,173.75,169.7,171.65,200820
2016-01-04,171.15,171.9,168.4,168.7,123261
2016-01-05,169.3,170.8,168.35,169.55,137358
2016-01-06,170,174.75,161.9,166.2,459423
2016-01-07,160.7,163.8,158.9,160.45,280866
2016-01-08,163.7,163.8,159.2,160.8,172416
2016-01-11,159.3,159.3,156.05,158.5,161928
2016-01-12,159.75,161.9,156,156.6,124548
2016-01-13,158.2,158.7,142.9,151.5,303405
2016-01-14,149.95,150.25,145.25,146.45,215592
2016-01-15,148.35,149.4,135.7,138.45,268563
2016-01-18,134.65,138.1,128.8,131.05,302280
2016-01-19,132.15,133,129.8,131,376629
2016-01-20,129.75,130.45,125.25,128.05,202194
2016-01-21,133.1,133.1,126.2,127.05,156069
2016-01-22,129.7,130.95,128.35,128.95,259341
2016-01-25,130.95,139.15,107.45,112.65,4022409
2016-01-27,109.75,114,96.9,100.6,4788867
2016-01-28,98.75,100.75,91.65,94.85,3619725
2016-01-29,94.75,104.3,94.2,104.3,3214362
2016-02-01,107.15,114.75,105.8,114.6,3293253
2016-02-02,115.9,120.65,113.35,115.25,3501999
2016-02-03,112.5,113.05,108.8,110.05,726141
2016-02-04,111.9,115.5,105.3,106.3,666447
2016-02-05,107.1,107.85,95.7,104.25,944667
2016-02-08,105.5,108.05,101.25,103.05,647748
2016-02-09,101.65,103.1,100,102.1,373059
2016-02-10,101.9,101.9,98.55,99.05,253671
2016-02-11,99.05,99.05,92.8,93.5,430869
2016-02-12,95.25,96.9,86.2,95.35,659499
2016-02-15,98.7,100.1,96.2,96.8,376794
2016-02-16,98.55,98.55,92.9,93.45,248415
2016-02-17,93.3,93.55,89.4,92.95,256122
2016-02-18,94.75,96.9,92.15,94.15,282162
2016-02-19,94.3,95.25,91.65,92.5,240990
2016-02-22,94.15,94.15,91.65,91.95,151602
2016-02-23,93.55,93.55,90.5,90.9,153810
2016-02-24,90.5,90.5,86.9,87.3,214392
2016-02-25,87.65,88.15,84.5,84.8,298257
2016-02-26,86.4,86.65,84.3,84.45,194514
2016-02-29,85.25,85.25,81,81.7,223389
2016-03-01,83.55,89.85,80.95,88.7,766716
2016-03-02,89.95,93.7,89.9,91.25,586737
2016-03-03,92.8,95,91.75,93.25,484782
2016-03-04,94.6,101.6,92.15,98.4,1312056
2016-03-08,98.1,101.05,97,97.65,421152
2016-03-09,98.5,98.7,95.85,97.2,247479
2016-03-10,98.35,102.25,97.4,99.9,478671
2016-03-11,100.1,101.2,97.25,97.5,312891
2016-03-14,98.8,100.7,97.35,97.75,266508
2016-03-15,97.75,99.25,95.7,96.3,190089
2016-03-16,96.6,97.85,94.5,95.45,164445
2016-03-17,96.9,99.75,95,95.3,463314
2016-03-18,96.2,98.1,95.5,95.85,175074
2016-03-21,96.9,97.6,95.95,96.6,263532
2016-03-22,96.05,99.1,96.05,97.1,390114
2016-03-23,97.1,97.75,96.2,96.8,150987
2016-03-28,97.55,97.6,95.25,95.7,298404
