Date,Open,High,Low,Close,Volume
2015-09-07,53.665,54.795,51.5,52.105,134180
2015-09-08,51.6,51.9,50.265,51.06,413420
2015-09-09,51.5,53.77,51.5,52.51,159570
2015-09-10,50,52,50,50.83,372240
2015-09-11,51.615,52.015,50.87,51.38,173220
2015-09-14,50.5,52.9,50.5,52.455,100080
2015-09-15,52.6,52.995,50.905,51.475,74050
2015-09-16,52.2,53.37,51.3,51.585,142770
2015-09-18,52,54.37,51.995,53.015,189960
2015-09-21,53.01,53.6,52.415,53.265,139640
2015-09-22,54.5,54.87,53.135,54.705,187030
2015-09-23,54.795,57,53.01,56.275,152830
2015-09-24,56.305,56.8,54.325,54.76,42810
2015-09-28,55.16,55.16,53.5,54.175,36150
2015-09-29,54.015,55.6,53.115,55.345,53110
2015-09-30,54.805,56.5,54.805,56.09,45570
2015-10-01,56.085,56.9,55.75,56.25,97100
2015-10-05,56.995,58.9,56.225,58.275,96240
2015-10-06,58.415,60.4,58.41,59.845,114850
2015-10-07,59.7,61,59.5,60.385,586440
2015-10-08,59.65,61.48,58.26,58.955,51710
2015-10-09,59.495,59.885,57.5,58.09,33960
2015-10-12,57.5,58.255,56.145,57.105,48150
2015-10-13,57,58.005,56.1,57.19,248900
2015-10-14,57.635,57.8,56.235,57.215,97570
2015-10-15,57.44,59.8,57.03,59.22,90450
2015-10-16,59.805,61.1,59.805,60.425,245500
2015-10-19,60.2,61.5,60.005,61.11,71510
2015-10-20,61.495,62.1,60.5,61.135,126770
2015-10-21,60.61,61.6,58.67,59.205,304940
2015-10-23,59.6,61.45,58.505,59.08,108280
2015-10-26,58.5,60.15,56.305,60.015,208880
2015-10-27,59.555,59.555,58,58.61,20520
2015-10-28,59,59.9,58,58.67,90910
2015-10-29,59.5,60.9,57.825,58.525,133330
2015-10-30,59.185,59.675,58.205,58.435,39780
2015-11-02,58.255,58.5,57.07,57.75,23510
2015-11-03,57.995,59.84,57.505,59.495,50800
2015-11-04,58.995,59.895,58.115,58.5,14620
2015-11-05,58.115,58.49,56.605,57.42,13830
2015-11-06,57.6,58.59,55.6,56.36,44310
2015-11-09,55,57,52.9,55.19,108000
2015-11-10,55.495,57.2,55.16,55.7,27650
2015-11-11,55.22,57.495,55.22,56.8,8780
2015-11-13,56.105,58.34,55.205,58.15,22760
2015-11-16,58.6,62.995,58.6,60.33,590560
2015-11-17,61,61.24,58.75,59.315,137810
2015-11-18,60.895,60.895,59.3,59.775,577370
2015-11-19,60.42,65.295,59.5,61.57,1042720
