Date,Open,High,Low,Close,Volume
2023-05-26,118.8,118.8,112.9,112.9,1004000
2023-05-29,107.25,107.25,107.25,107.25,66000
2023-05-30,101.9,101.9,101.9,101.9,16000
2023-05-31,96.8,96.8,96.8,96.8,86000
2023-06-01,96,101.6,96,101.6,890000
2023-06-02,100.6,106.6,97.1,105.15,360000
2023-06-05,102,110.4,100.15,110.4,214000
2023-06-06,115.7,115.9,111.35,115.45,316000
2023-06-07,111.1,115.85,109.7,109.7,152000
2023-06-08,110,115.15,106.05,115.15,228000
2023-06-09,120,138.15,119,136.55,1108000
2023-06-12,136,136,126,128.75,226000
2023-06-13,132,141.35,130,133.7,340000
2023-06-14,134,136.5,130,134.05,186000
2023-06-15,131.65,143.9,131.65,136.15,132000
2023-06-16,137.8,140,132.1,134.9,138000
2023-06-19,137,144,135.5,141.35,216000
2023-06-20,148.25,168.5,148.1,166.9,628000
2023-06-21,174.3,174.4,154,158.55,292000
2023-06-22,159.05,161.5,148,156.3,144000
2023-06-23,158,158,145,153.85,82000
2023-06-26,151,174,151,165.9,166000
2023-06-27,170.95,177.85,167,170.65,146000
2023-06-28,170.65,173.5,165,170.3,100000
2023-06-30,170,175.85,170,173.2,76000
2023-07-03,178,183,174.05,178.9,98000
2023-07-04,183,187.5,172,174.4,98000
2023-07-05,174,174.15,170,170,62000
2023-07-06,166,170.5,164,165.75,82000
2023-07-07,162.25,162.25,159,159.9,66000
2023-07-10,165.5,167,163,165.05,206000
2023-07-11,165.25,167,160,160,42000
2023-07-12,157.25,158,148,154.45,94000
2023-07-13,159,159,148.9,151.95,58000
2023-07-14,152,152,149,150.8,62000
2023-07-17,152,165.1,151.55,160.7,132000
2023-07-18,160.5,162,155,156.7,32000
2023-07-19,156.8,161.95,155,156.15,40000
2023-07-20,156,163,155,159.75,52000
2023-07-21,160,169.9,159,167.45,108000
2023-07-24,166.05,181,166.05,178.05,96000
2023-07-25,180,182.75,173.1,174.8,44000
2023-07-26,179.95,195,178.05,194,184000
2023-07-27,199.95,200,187.15,187.8,84000
2023-07-28,191.8,194,188.1,193.9,32000
2023-07-31,196.95,196.95,187,190.65,44000
2023-08-01,187.4,191,186.8,187.75,42000
2023-08-02,185.2,188.95,181.6,182.2,40000
2023-08-03,185,187.5,181.55,184.1,18000
2023-08-04,183.5,189,183,188.15,46000
2023-08-07,190,200,185,197.45,92000
2023-08-08,206,225,206,219.9,188000
2023-08-09,220,224,192,195.4,104000
2023-08-10,200.9,205,194,195.05,78000
2023-08-11,193.5,205,189,201.3,64000
2023-08-14,204,228.5,202,219.4,104000
2023-08-16,228.1,256,228.1,253.45,246000
2023-08-17,266.9,268,242,244.9,136000
2023-08-18,242,277,240,272.6,114000
2023-08-21,272.6,275,268.5,273,100000
2023-08-22,280,290,274.25,281.55,102000
2023-08-23,285,299,285,293.8,70000
2023-08-24,293.9,299,289.05,291.45,56000
2023-08-25,283.35,283.35,275,280.5,40000
2023-08-28,280,281.5,266,280.25,48000
2023-08-29,277,280,265,269.5,76000
2023-08-30,265,288,265,272,40000
2023-08-31,274.3,282,273.75,281,18000
2023-09-01,285,285,276.75,278.5,14000
2023-09-04,274.5,280,270,272,34000
2023-09-05,265,270.55,260,260,28000
2023-09-06,258,258,233.1,251.65,78000
2023-09-07,252,254,252,254,4000
2023-09-08,254,262,254,260,8000
2023-09-11,272,272,256,256,34000
2023-09-12,250,250,237,244.1,34000
2023-09-13,240,250,217.7,247,68000
2023-09-14,245,249,242,248.5,8000
2023-09-15,248.5,259.4,244,254.35,16000
2023-09-18,250,250,235,236.2,64000
2023-09-20,238,241.9,223,241.9,20000
2023-09-22,232,232,224.15,228.9,22000
2023-09-25,228.9,232.05,225,227.4,22000
2023-09-26,225,225,202,208.8,160000
2023-09-27,210,230,209,222.7,96000
2023-09-28,223.2,239,220.05,227.1,36000
2023-09-29,227.1,236,225.5,235,48000
2023-10-03,235,235,225.25,227,46000
2023-10-04,197.1,221,196.3,220,16000
2023-10-05,220,220,220,220,4000
2023-10-06,220.6,227,220.5,221.8,14000
2023-10-09,222,222,213,213,4000
2023-10-10,221,225,219,225,10000
2023-10-11,225,230,225,227,32000
2023-10-12,227,227,221.85,223,10000
2023-10-13,219.5,223.55,217,223.55,24000
2023-10-16,229,229,220,220,12000
2023-10-17,225,225,215.05,218,38000
2023-10-18,220,220,208,211.9,66000
2023-10-19,210,219,209,219,24000
2023-10-20,219,220,216,216,10000
2023-10-23,215,215,203,203.85,42000
2023-10-25,206.35,207,197.75,199,24000
2023-10-26,199,216.9,199,215,24000
2023-10-27,216,228,215,225.5,64000
2023-10-30,241,241,229.95,235.55,100000
2023-10-31,244.9,249,235,239.75,32000
2023-11-01,242.55,248,237,240.35,24500
2023-11-02,241.5,246.8,238,240.4,58000
2023-11-03,243,265,220,234.15,278500
2023-11-06,242.9,243,220.2,222.8,217000
2023-11-07,222,227.85,218,220.9,73000
