Date,Open,High,Low,Close,Volume
2016-08-03,280.25,280.25,280.25,280.25,19
2016-08-08,282.7,282.7,282.7,282.7,19
2016-08-31,285.6,286,269,285,801
2016-09-07,284,284,284,284,1
2016-09-21,289,289,289,289,1
2016-09-30,280,280,280,280,1
2016-10-06,279,279,279,279,1
2016-11-08,277.85,277.85,277.85,277.85,2
2016-11-21,274.05,274.05,274.05,274.05,1
2017-01-17,274.05,274.05,274.05,274.05,1
2017-02-09,234.5,343.4,234.5,291.74,15
2017-02-10,343.4,344.44,332,344.44,44
2017-02-14,244.44,344.93,244.44,265,66
2017-02-15,341.2,341.2,341.2,341.2,1
2017-02-20,285,344.3,285,322.32,134
2017-02-21,248,346.73,248,288,70
2017-02-23,287,349.7,260.6,301.21,208
2017-02-27,268.81,351.14,268.81,292.5,152
2017-03-02,285,285,285,285,19
2017-03-03,250.07,339.35,250,298,525
2017-03-06,272,334.94,272,285,223
2017-03-21,285,285,285,285,1
2017-03-24,285,285,285,285,2
2017-03-27,270.5,283.55,255,269.47,215
2017-03-30,283.05,298.94,283.05,298.94,67
2017-03-31,280,298,280,298,17
2017-04-10,300,335,261.49,300,190
2017-04-11,300,300,300,300,1
2017-04-28,269.35,299.55,269.35,299.55,2400
2017-05-04,295,295,295,295,9
2017-05-16,295,295,295,295,40
2017-05-23,295,295,295,295,5
2017-06-01,309,309,309,309,5
2017-06-02,300,300,275,275,51
2017-06-07,275.5,275.5,275,275.5,83
2017-06-09,310,310,280,280,14
2017-07-03,316.4,316.4,285.5,315.5,105
2017-07-04,315.5,315.5,280.5,280.5,2
2017-07-06,292,292,292,292,1
2017-07-24,317,317,261.5,310,23
2017-07-27,272.5,317,272.5,316.99,194
2017-08-01,396.5,396.5,284,347.67,252
2017-08-02,306,340,306,320,144
2017-08-08,340,340,306.5,306.5,15
2017-09-01,370,370,289.04,359,108
2017-09-04,301,360,301,360,2
2017-09-06,350,350,350,350,40
2017-09-13,340,352,340,352,14
2017-10-03,354,354,354,354,5
2017-10-06,356,356,356,356,5
2017-10-30,356,356,356,356,2
2017-11-01,358.75,358.75,358.75,358.75,5
2017-11-10,306.1,359,306.1,358.9,11
2017-11-14,359,359,359,359,1
2017-11-21,358,360.5,302,360.5,40
2017-11-22,360.5,399,280,345,298
2017-11-27,320.05,413,320.05,413,45
2017-11-28,330,413,325.1,376.63,986
2017-11-29,404,404,336,357.2,643
2017-11-30,372,372,372,372,1
2017-12-01,375,375,368,368,6
2017-12-04,333,333,333,333,1
2017-12-05,379,383.9,333.2,379,48
2017-12-06,335,360,334,343.99,1938
2017-12-07,343.99,368,322,340,3074
2017-12-08,342,355,342,346,1012
2017-12-11,340.1,348.85,330,331.3,52
2017-12-12,345,345,343.9,343.95,7
2017-12-13,326,349,326,349,800
2017-12-14,342,342,341.9,341.9,4
2017-12-19,336,341,336,341,4
2017-12-20,336.1,358,328,328,209
2017-12-21,334,350,328.5,335.84,2417
2017-12-26,336,356,331,335.05,835
2017-12-27,337,349,332.5,342.19,618
2017-12-28,340,348,325,325,1026
2017-12-29,336,357,321,339.5,4781
2018-01-01,359.9,359.9,339.5,351.57,68
2018-01-02,350,350,350,350,12
2018-01-03,340,340,325,329.73,916
2018-01-04,344.9,351,325,330.5,171
2018-01-05,416,416,326,331.7,1611
2018-01-08,326,348,326,334.1,555
2018-01-09,336,336,326.5,329.16,36
2018-01-10,359,359,325.5,337,103
2018-01-11,337,337,332,332,18
2018-01-12,326,339.5,326,334.95,3615
2018-01-15,334.95,334.95,328.5,328.5,13
2018-01-16,329,345.35,329,345.35,121
2018-01-17,359,359,331.1,351,1246
2018-01-18,300,361,300,347.09,79
2018-01-19,361,370,341.2,351.85,656
2018-01-23,351.85,380,333,379,9093
2018-01-24,362.5,378.9,362.5,378.9,6
2018-01-25,355,379,351,374,101
2018-02-01,379,379,351,351,15
2018-02-02,379,379,335,358.04,22
2018-02-06,350,350,350,350,20
2018-02-08,352,352,352,352,3
2018-02-16,379.5,379.5,325.1,342.4,296
2018-02-19,378.9,378.9,345,345.15,105
2018-02-20,336.5,336.5,336.5,336.5,3
2018-02-26,345,377,345,371.05,294
2018-02-28,341,371.45,336.5,371.45,19
2018-03-05,335.05,335.05,335.05,335.05,10
2018-03-19,400,400,300.56,325.01,531
2018-03-23,325,325,325,325,40
2018-03-26,324,324,324,324,5
2018-04-02,325,325,325,325,7
2018-04-03,380,380.9,331.05,345.86,118
2018-04-10,345,345,345,345,8
2018-04-13,310,349.95,284.49,345.75,105
2018-04-17,347,347,347,347,7
2018-04-18,348.5,348.5,348.5,348.5,18
2018-04-25,340,340,340,340,12
2018-05-02,350,350,350,350,35
2018-05-04,355,355,340,344.75,12
2018-05-07,340,340,340,340,3
2018-05-08,374,374.5,342.5,360,401
2018-05-09,379,379,349,354,360
2018-05-15,360.1,360.1,360.1,360.1,1
2018-05-16,380,380,380,380,3
2018-05-17,380.99,380.99,355.01,355.01,10
2018-05-18,359,365.2,359,365.2,2
2018-05-23,398,398,398,398,1
2018-05-25,385,395,359.99,360,140
2018-05-28,355.01,355.01,355.01,355.01,1
2018-05-29,400,403,357.05,358,90
2018-05-30,358,358,353,354,4
2018-05-31,353,353,347.05,352.88,68
2018-06-05,353,364.85,353,353,17
2018-06-06,356.25,364.9,356.25,360.75,7025
2018-06-07,369.75,369.75,369.75,369.75,1
2018-06-08,340,374.99,340,374.99,55
2018-06-11,374,374,345,345,12
2018-06-12,379.9,379.9,322.5,358.77,58
2018-06-13,364,379.9,364,379.9,3
2018-06-14,423.99,423.99,345,361,70
2018-06-15,345.5,373,345.5,373,2
2018-06-18,348.5,370,348,367.99,17
2018-06-20,350,440,350,359,299
2018-06-21,355,380,355,380,15
2018-06-26,351,379.99,351,379.99,2
2018-06-27,358,358,358,358,2
2018-06-29,358,358,338.5,338.5,2
2018-07-02,385,394.95,340,374.9,90
2018-07-03,370,439,366,376.59,1498
2018-07-05,373,386,346,385.99,40
2018-07-06,358.01,379.99,358.01,358.1,44
2018-07-09,358.5,389.9,358.1,360.1,462
2018-07-10,360.25,377,360.25,374.95,40
2018-07-11,358.01,358.01,353,356.6,15
2018-07-12,374.7,374.75,358.1,358.1,18
2018-07-13,373.99,375.9,359.5,368.9,233
2018-07-16,351,395,351,379.99,36
2018-07-18,370,385.95,360.5,363.52,35
2018-07-19,370,385.5,364,370.5,1514
2018-07-20,365.1,365.1,365.1,365.1,1
2018-07-27,369.1,369.1,369.05,369.05,20
2018-07-30,386,389,365,374.66,3216
2018-08-07,381.6,381.6,381.6,381.6,10
2018-08-09,386,386,386,386,2
2018-08-20,386,407.5,386,396.5,3511
2018-08-21,396.5,396.5,396.5,396.5,21
2018-08-23,396.51,396.51,396.51,396.51,5
2018-08-24,403.8,403.8,396.5,400,3002
2018-08-27,400,400,400,400,3
2018-08-28,415.95,421,373,397.5,273
2018-08-29,393.01,393.01,393.01,393.01,1
2018-08-31,393.1,393.1,393,393,12
2018-09-03,395.2,414.5,395.2,395.2,1004
2018-09-05,393,395,360.5,375.84,54
2018-09-06,393,393,388.05,388.05,2
2018-09-07,472,472,394,425,13
2018-09-10,425,425.95,390.01,425.95,112
2018-09-11,393.1,415,393.1,415,219
2018-09-12,400,415.5,380,403.5,26
2018-09-17,393.5,413.5,393.5,400,2002
2018-09-18,398,404.95,392.6,401.9,2004
2018-09-21,393.5,415,392.5,393.01,677
2018-09-24,405.95,405.95,390.05,390.05,4
2018-09-25,393,393,373.01,375.4,26
2018-09-26,393,393,366.5,366.5,5
2018-09-27,389,441,367.1,367.1,100
2018-09-28,380,380,368,368.01,7
2018-10-03,364,420,364,418,1410
2018-10-05,370,384,370,384,4
2018-10-08,368.01,368.01,356.1,356.1,206
2018-10-09,355.1,383.9,355.1,368.01,3006
2018-10-12,368,389.5,354,374,1481
2018-10-16,368.01,390,348.8,387.41,1467
2018-10-19,363.05,379.9,363.05,370,502
2018-10-22,368,369.9,363.15,369.9,2000
2018-10-24,358,369.8,353.02,360,1601
2018-10-26,358,378.9,355.05,359,1021
2018-10-30,358,364.8,348,348.1,2021
2018-11-01,380,390,338.8,361.28,236
2018-11-12,360.1,379.9,355.55,360.1,213
2018-11-13,360,379.5,353.1,368.95,2931
2018-11-14,358.5,372,358.2,371.9,1030
2018-11-15,360.5,372,360.5,372,21
2018-11-16,360.15,379.8,360.1,360.1,210
2018-11-19,361.05,361.05,361.05,361.05,1
2018-11-20,361.05,373.9,358.6,373.9,1400
2018-11-21,370,372,358.6,372,1009
2018-11-22,372.9,379.9,358.55,377,2010
2018-11-26,362.1,374.8,362.1,363.1,1203
2018-11-27,370,376.85,358.02,360.1,1622
2018-11-29,370,379.9,358.6,361,2024
2018-11-30,372,378,360,360,1401
2018-12-04,369,369,363.1,363.1,6
2018-12-05,361.05,367,360.1,360.1,19
2018-12-13,360.5,370,360.5,362.01,17
2018-12-14,374.9,374.9,358.1,361.2,600
2018-12-18,369.99,373.99,362.5,363.48,528
2018-12-21,362.5,362.5,359.1,359.1,24
2018-12-27,370.99,370.99,361.05,361.05,14
2019-01-03,379,379,379,379,7
2019-01-04,358.1,359.99,345.1,348.89,30
2019-01-08,375,380.99,360.1,360.1,4
2019-01-09,360.1,360.1,358.51,360,101
2019-01-10,360,360,360,360,13
2019-01-15,379,379,358.1,358.1,6
2019-01-16,377.99,377.99,377.99,377.99,5
2019-01-17,373.8,375,373.8,375,180
2019-01-18,360.5,360.5,360.5,360.5,1
2019-01-21,375,375,375,375,5
2019-01-22,449,449,361,380,25
2019-01-23,361,365,361,363,2
2019-01-24,362.01,362.01,362.01,362.01,6
2019-01-25,368.01,396.9,367.5,395,2023
2019-01-28,368,399.95,363.1,385,2649
2019-01-29,380.99,380.99,370.01,370.01,9
2019-01-30,370.01,376.9,362.15,376.9,2000
2019-01-31,374,381,374,380,48
2019-02-01,379.99,379.99,362.6,377.9,4510
2019-02-05,379,390,373.1,373.1,58
2019-02-06,381,385.95,374,385.95,3
2019-02-07,381,381,371,381,5
