Date,Open,High,Low,Close,Volume
2022-08-11,1034,1095,960,984.3,1810
2022-08-12,1088,1088,811.55,1005.7,1759
2022-08-16,1047.5,1061.95,977.85,1011.75,948
2022-08-17,996,1013,986.15,994.75,1591
2022-08-18,985.5,997.3,969.95,992.25,580
2022-08-19,986.95,1002.65,985.95,999,780
2022-08-22,1024.55,1039.95,973.2,980.7,662
2022-08-23,991,1000.05,972.45,982.7,471
2022-08-24,996.05,1003.55,975.45,989.2,1037
2022-08-25,963.05,1002.1,954.55,957.75,1875
2022-08-26,977.1,1000,960,968.75,1044
2022-08-29,960.15,960.15,932,936,1594
2022-08-30,967,979.95,931.55,949.6,660
2022-09-01,964.05,965.5,890.05,901,4033
2022-09-02,881,921.25,849,853.65,6483
2022-09-05,886.65,902.75,858.5,862.65,2135
2022-09-06,882.05,887.9,846,851.35,1993
2022-09-07,849,884.9,846.1,874.55,3752
2022-09-08,860,886.4,860,873.2,4407
2022-09-09,882.8,892,869.35,880.9,1745
2022-09-12,890,890,858,860.5,2997
2022-09-13,874.95,874.95,854.05,858.8,3331
2022-09-14,854,875,849.55,867.5,1525
2022-09-15,870.5,875,860.75,864.35,1121
2022-09-16,862.9,870.25,848.15,857.1,1347
2022-09-19,896,896,840,859,1218
2022-09-20,857.5,861,834,843.5,1039
2022-09-21,868.35,868.35,836.05,846.35,555
2022-09-22,866.25,867.65,821,833.7,2775
2022-09-23,835.95,850,826.45,835.5,670
2022-09-26,821,845.05,781,797.15,1495
2022-09-27,822.9,822.9,787,794.1,376
2022-09-28,794.7,827.35,794.1,799.8,415
2022-09-29,807.65,822.85,796,810,500
2022-09-30,784.3,847,784.3,836.1,346
2022-10-03,840.7,840.75,799,802.9,295
2022-10-04,840.05,848.05,816.95,821.2,524
2022-10-06,791.8,832.05,790,827.75,785
2022-10-07,852.35,852.75,813.95,830.2,211
2022-10-10,824.05,824.45,804.95,814.7,191
2022-10-11,801.4,838.05,782,798.25,348
2022-10-12,838.05,840.05,786.4,803.2,413
2022-10-13,832.05,832.05,781,787.4,305
2022-10-14,804.95,833.05,781,789.15,1203
2022-10-17,790.15,917,782.1,835.65,806
2022-10-18,849,849,791.1,825.5,179
2022-10-19,826.05,826.05,800,804.55,197
2022-10-20,813.9,813.95,793.5,798.9,111
2022-10-21,814.05,814.05,795,798.2,142
2022-10-24,800.95,801,800.95,801,37
2022-10-25,799.75,814.45,799.75,802.9,437
2022-10-27,809.9,814,802.7,806.2,597
2022-10-28,806.25,806.25,757.2,792.4,806
2022-10-31,806.05,807.05,765.9,778.25,831
2022-11-01,804.35,805.05,769.85,782.25,1805
2022-11-02,795.05,809.55,773.95,804.45,1853
2022-11-03,801.95,810,794.55,801.7,701
2022-11-04,791.9,824,777.95,815.65,1083
2022-11-07,787.95,815.65,781,799.1,663
2022-11-09,798.95,805.5,783.95,801.3,247
