Date,Open,High,Low,Close,Volume
2015-09-07,1876,1877,1798.55,1804.9,718432
2015-09-08,1810.1,1839.4,1755.75,1820.7,905108
2015-09-09,1845.05,1875,1817,1836.1,744403
2015-09-10,1817.2,1829.9,1785.1,1818.2,712219
2015-09-11,1825,1839.85,1800.6,1810,514651
2015-09-14,1820,1845.9,1785,1840.25,552865
2015-09-15,1840,1857.65,1824.3,1832.35,490311
2015-09-16,1846,1863.4,1833.15,1845.75,465186
2015-09-18,1875,1910,1866,1898.85,1522927
2015-09-21,1876.5,1903,1870.35,1880.4,637352
2015-09-22,1891,1899,1862.85,1871.6,650048
2015-09-23,1856.1,1933.3,1827.35,1922.05,1124486
2015-09-24,1945,2002.8,1941.15,1990.35,2633607
2015-09-28,2000,2067.75,1986.65,2034.15,1832418
2015-09-29,2000.7,2038.3,1963.3,2015.25,1770861
2015-09-30,2046.95,2055,2020,2034,1267574
2015-10-01,2059.95,2128,2034,2108.85,2749646
2015-10-05,2113.5,2123.8,2077.3,2082.65,897220
2015-10-06,2092,2129,2063.55,2073.4,887118
2015-10-07,2078,2102,2056.8,2065.65,734381
2015-10-08,2080,2080.65,2027.1,2044.4,891794
2015-10-09,2050.9,2070,2050.9,2055.6,783715
2015-10-12,2064.65,2072,2001.7,2009.8,670625
2015-10-13,2006,2042,2005,2028.25,974159
2015-10-14,2028.25,2077.9,2025.85,2066.85,968369
2015-10-15,2070,2112,2068.65,2099.1,1115230
2015-10-16,2095,2097.65,2035.2,2055.3,850628
2015-10-19,2060,2099,2056.1,2073,669471
2015-10-20,2100,2104,2058,2075.6,1709316
2015-10-21,2079.95,2084.45,2060,2063.4,495424
2015-10-23,2086,2097.45,2071.6,2079.3,700151
2015-10-26,2082.3,2096.85,2031.8,2051.6,1418942
2015-10-27,1990,2025,1932,1945.65,3070580
2015-10-28,1933.75,1948,1885,1910.4,2460613
2015-10-29,1919.3,1935.75,1906.4,1920.25,1290089
2015-10-30,1924,1944.45,1911.1,1928.9,692739
2015-11-02,1928.9,1935.2,1868,1899.6,777056
2015-11-03,1910,1910.95,1865,1874.55,1430773
2015-11-04,1894,1894,1851,1857.15,1364087
2015-11-05,1856.4,1856.4,1833.5,1838.25,660862
2015-11-06,1834,1870,1812.05,1857.85,815336
2015-11-09,1829,1883.7,1811.1,1868.7,732452
2015-11-10,1860,1870.9,1774.95,1790.4,782457
2015-11-11,1814,1817.2,1792.6,1801.85,85572
2015-11-13,1774.85,1796.4,1760,1777.8,1358843
2015-11-16,1788,1826.9,1761,1809.1,765419
2015-11-17,1825,1833.75,1790.85,1799.5,712453
2015-11-18,1793,1815.25,1772.5,1783.05,647838
2015-11-19,1790.1,1820,1759.6,1807.55,633380
2015-11-20,1807,1827.5,1790.5,1814.5,430279
2015-11-23,1817,1845,1810.1,1842.6,477851
2015-11-24,1842.6,1868,1828.35,1860.9,834864
2015-11-26,1863.1,1864.4,1831.8,1836.15,858019
2015-11-27,1850.15,1852.9,1805.3,1812.7,699849
2015-11-30,1807,1819.95,1783,1786.95,1461767
2015-12-01,1800,1817.9,1792.8,1811.55,477542
2015-12-02,1819.95,1879,1812.85,1870.8,878243
2015-12-03,1870,1870,1817.25,1821.65,860554
2015-12-04,1815,1836,1796.5,1804.75,953977
2015-12-07,1822,1836,1808,1831.65,511541
2015-12-08,1825,1827.9,1800,1804.35,584132
2015-12-09,1804.35,1815,1747.75,1759.95,916636
2015-12-10,1763.5,1763.5,1688.5,1733.8,1715942
2015-12-11,1727,1770,1726.05,1740.15,1067350
2015-12-16,1801,1835,1794,1828.8,987172
2015-12-17,1835,1846.6,1796,1822.5,1319749
2015-12-18,1805.6,1835,1780,1784.4,1127533
2015-12-21,1784,1813,1782.1,1801.7,423456
2015-12-22,1800,1807.95,1781,1785.2,393457
2015-12-23,1801.1,1813,1792,1804.8,472162
2015-12-24,1822.05,1822.05,1800.2,1803.9,295092
2015-12-28,1805,1848,1805,1840.95,680000
2015-12-29,1860,1865,1835.55,1846.75,636219
2015-12-30,1848.6,1850,1831,1836.5,335431
2015-12-31,1837,1845.2,1818,1837.25,446622
2016-01-01,1836.1,1859,1832.2,1845.25,238463
2016-01-04,1830,1837.85,1786.4,1795.15,649115
2016-01-05,1813.3,1813.3,1773,1783.05,873308
2016-01-06,1775,1786.55,1741.5,1753.2,628135
2016-01-07,1749.95,1769.9,1708.4,1717.5,780329
2016-01-08,1722.4,1746.35,1702.75,1712.85,752161
2016-01-11,1707.8,1715,1690.05,1700.95,597256
2016-01-12,1704,1718.5,1692,1700.1,1323629
2016-01-13,1715,1721.05,1646.2,1666.15,979010
2016-01-14,1650,1725,1636,1717.5,1433275
2016-01-15,1718,1725,1695,1701.1,732532
2016-01-18,1695.05,1734.6,1680,1702.55,955512
2016-01-19,1706,1724.9,1695,1699.75,505883
2016-01-20,1687,1720,1680,1691.05,783776
2016-01-21,1703,1705,1679,1685.9,960734
2016-01-22,1695,1728,1691.45,1721.25,420067
2016-01-25,1731,1737.4,1697,1699.05,473393
2016-01-27,1714.95,1725,1660,1689.15,845275
2016-01-28,1681.05,1720,1680,1706.35,1004150
2016-01-29,1696.25,1721.15,1691.4,1710.75,1027807
2016-02-01,1750,1756.45,1698,1702.55,1223746
2016-02-02,1703,1734.6,1700,1705.8,958341
2016-02-03,1700,1713.75,1682.15,1698.85,557219
2016-02-04,1700,1719.9,1617.1,1652.8,1417537
2016-02-05,1652,1817,1603,1802.85,4292391
2016-02-08,1815,1849,1781.05,1820.9,1698987
2016-02-09,1791,1911.9,1791,1905.65,2477694
2016-02-10,1886.3,1905,1842.5,1852.95,1958089
2016-02-11,1845,1874.8,1784,1791.15,1234514
2016-02-12,1810,1810,1725.15,1756.3,970447
2016-02-15,1780,1837.3,1775.75,1798.45,1038639
2016-02-16,1795.1,1813,1746.4,1750.45,1086368
2016-02-17,1762,1767.1,1693.2,1730.4,1581559
2016-02-18,1745,1784.7,1732,1776.75,827772
2016-02-19,1773.5,1803,1741.6,1788.95,869657
2016-02-22,1785,1817.55,1781,1810.55,699778
2016-02-23,1820,1820.1,1764,1778.2,589204
2016-02-24,1773.7,1780,1737.9,1761.4,622081
2016-02-25,1766,1798.2,1741.5,1760.1,963494
2016-02-26,1775.1,1786,1718.05,1726.75,858284
2016-02-29,1742.8,1775,1695,1754.55,837151
2016-03-01,1760,1782,1735.1,1761.5,728941
2016-03-02,1776,1819,1760,1781.9,947824
2016-03-03,1796,1812,1765.55,1784,781299
2016-03-04,1793.75,1795,1770,1780.2,563192
2016-03-08,1782.1,1835,1760.5,1824.7,1428776
2016-03-09,1828.95,1845,1816.5,1823.5,1022875
2016-03-10,1830,1832,1797.5,1820.95,787040
2016-03-11,1830,1863,1812,1856.15,1157688
2016-03-14,1860,1874.6,1851.15,1869.2,516821
2016-03-15,1799,1799,1716,1722.9,3200644
2016-03-16,1732,1753.9,1696.3,1750.2,2061285
2016-03-17,1762.7,1766.3,1665.1,1674.3,3308895
2016-03-18,1668,1668.8,1535,1554.4,7863541
2016-03-21,1572,1572,1501.1,1535.2,6606156
2016-03-22,1540.8,1564.8,1536,1549.05,3118852
2016-03-23,1558.95,1558.95,1518,1524.15,1764210
2016-03-28,1548,1548,1490,1495.1,3046721
2016-03-29,1490,1491.95,1280,1401.55,18885690
2016-03-30,1445,1490,1418.75,1475.3,6901864
2016-03-31,1492,1502.45,1471,1479.25,3507744
2016-04-01,1475.9,1484,1451.25,1464.85,2301141
2016-04-04,1475,1475,1435,1461.15,1786402
2016-04-05,1465,1478.95,1446.15,1463.7,2776014
2016-04-06,1466.6,1493,1464,1485.1,1248298
2016-04-07,1496,1522.3,1487.35,1509.75,3338512
2016-04-08,1500,1554.8,1500,1540.1,2848397
2016-04-11,1548.25,1549,1501,1518.75,977906
2016-04-12,1523,1544.4,1523,1535.95,937807
2016-04-13,1541.05,1568.7,1536.85,1548.9,1661309
