Date,Open,High,Low,Close,Volume
2024-12-27,600,630,600,630,2646195
2024-12-30,628,630,598.5,598.5,489354
2024-12-31,568.57,568.57,568.57,568.57,33507
2025-01-01,540.2,557.2,540.2,540.2,782669
2025-01-02,513.2,567.2,513.2,567.2,1048139
2025-01-03,552.5,563.3,541.2,547.9,471969
2025-01-06,534,538.85,520.5,520.5,164745
2025-01-07,494.5,535,494.5,522.6,664338
2025-01-08,515,520,496.5,496.5,269409
2025-01-09,490,490,471.7,473.05,441508
2025-01-10,474.9,492,437.05,447.8,881281
2025-01-13,435.5,463.45,412.8,424.05,675413
2025-01-14,424.05,437.45,416.8,425.45,477131
2025-01-15,431,510.5,426.15,510.5,4428743
2025-01-16,512,552.95,492.5,524.45,5403305
2025-01-17,515,539.1,488,520.2,1710325
2025-01-20,471.55,491.6,471.55,479.25,1238776
2025-01-21,483,484.1,444.1,453.9,686038
2025-01-22,453.9,456.25,427.05,432.9,518710
2025-01-23,435,435,402.35,406.2,1393503
2025-01-24,408,439.15,406.1,421.3,1425995
2025-01-27,418,418,388,395.75,509502
2025-01-28,400,409.7,373.5,400.7,823044
2025-01-29,407,421.3,403,415.75,499641
2025-01-30,418.75,424,402.1,406.65,302471
2025-01-31,408.05,420,405.05,411.9,239321
2025-02-01,415.5,427,409,421.95,321672
2025-02-03,418,418,396.6,405.7,223177
2025-02-04,412.7,416.8,408.05,411.65,171054
2025-02-05,412.5,428,412.5,421.9,286721
2025-02-06,422.5,473,413.45,466.4,1922837
2025-02-07,453.05,459.05,442.1,448.4,531162
2025-02-10,448.4,448.4,419.3,427.1,326122
2025-02-11,421.5,423.25,402.25,410.65,402308
2025-02-12,408,424.9,392.4,411.95,692305
2025-02-13,418.7,422.45,403,406.3,331220
2025-02-14,410.05,413,381.7,387.1,358979
2025-02-17,387.15,388.9,367.3,381.45,322418
2025-02-18,385.1,385.85,364.3,373.75,269343
2025-02-19,372.95,390.7,367,387.75,201611
2025-02-20,385,398.35,379,396.8,187371
2025-02-21,396.8,408.7,384.85,388,179604
2025-02-24,380,384.15,370.8,380.9,154472
2025-02-25,377,391.95,377,385.85,175619
2025-02-27,388.9,388.95,371,374.35,106502
2025-02-28,368.75,371,358.25,364,155398
2025-03-03,369,375,340.1,351.1,232173
2025-03-04,345.5,356.9,335.1,338.35,303512
2025-03-05,340,352.8,340,342.9,244000
2025-03-06,355,365,343,359.55,328387
2025-03-07,357.8,387.5,355.1,377.9,596709
2025-03-10,377.9,379.8,345.65,350.2,303841
2025-03-11,349.95,360,342,353.4,292064
2025-03-12,352.6,356.4,346,347.55,175282
2025-03-13,350.2,352.85,343,346.05,200525
2025-03-17,348.6,349,339.1,340,119198
2025-03-18,352.95,355,340.35,350.3,443574
2025-03-19,352,374.2,350.35,366.1,398600
2025-03-20,369,376,359.3,365.85,210799
2025-03-21,365.85,422.8,362.55,393.7,2871757
2025-03-24,389.05,406,387,396.4,647745
2025-03-25,399.9,402.35,360.3,363.65,860195
2025-03-26,367.5,376.9,350.1,351.65,595466
2025-03-27,354.45,372,347,369.3,613300
2025-03-28,374.6,381.15,358.3,361.8,340131
2025-04-01,362.95,369.35,358.05,362.15,202454
2025-04-02,362.1,367,352.85,364.9,175524
2025-04-03,356.6,376.7,356.6,367.25,329673
2025-04-04,366.95,366.95,347.9,351.5,375589
2025-04-07,321,336,311.55,333.2,268859
2025-04-08,342.95,348,334,345.75,199249
2025-04-09,347,347,335.4,338.85,103854
2025-04-11,349.75,349.75,341.2,343.65,94845
2025-04-15,348.8,357,346.85,354.25,180224
2025-04-16,356.9,379.8,353.65,376.2,637133
2025-04-17,375.1,383.95,368.15,376.65,414277
2025-04-21,378.15,394,373.65,391.3,448176
2025-04-22,391.5,395.05,378.1,386.55,223204
2025-04-23,389.4,392,381.15,390.25,195693
2025-04-24,390.25,394.85,382,384.25,139111
2025-04-25,383,389,362.25,377.95,247962
2025-04-28,375.2,383.7,370.35,380.6,109143
2025-04-29,381,387.95,380.1,385.1,154549
2025-04-30,385.15,386.8,366.25,372.55,97277
2025-05-02,370,375.35,357,358.55,121806
2025-05-05,361.75,368.5,356.5,365.4,105360
2025-05-06,369.95,369.95,338.6,344.3,188993
2025-05-07,343,347,335.65,342.4,187187
2025-05-08,343.4,354.15,343,345.5,160519
2025-05-09,340,342.55,332,338.85,149730
2025-05-12,349.05,372.9,349.05,367.15,367638
2025-05-13,367.15,372.65,365,368.85,88216
2025-05-14,370.5,376.7,368,370,101043
2025-05-15,371,376.5,369.15,370.8,91293
2025-05-16,371.5,381.9,369.75,377.25,200034
2025-05-19,377.25,385,373.9,378,107595
2025-05-20,380,380.2,366.4,368.2,127433
2025-05-21,368.5,373.95,365.1,367.7,64593
2025-05-22,367,369.8,362.6,364.55,54460
2025-05-23,366.3,387,363,384.25,527317
2025-05-26,385.05,401.95,381.55,391.55,636466
2025-05-27,388.2,404.4,385.9,401,464118
2025-05-28,407.95,421.5,407,413.65,820864
2025-05-29,433,474.15,428.55,457.05,5076256
2025-05-30,451.9,458.4,436.2,441,598915
2025-06-02,440,454,432.05,442.6,614728
2025-06-03,444.5,462,440,442.45,892813
2025-06-04,444.5,468,441.95,459.85,835704
2025-06-05,462,472.55,458,459.45,430974
2025-06-06,459.55,463.75,448.1,450.05,264660
2025-06-09,453.25,484.2,453.25,459.3,1279249
2025-06-10,462.85,464.9,456.35,458.7,234605
2025-06-11,461,472.5,435.95,441,575770
2025-06-12,444.25,446.45,429,433.7,268142
2025-06-13,416.1,432.2,416.1,426.5,208086
2025-06-16,426.5,435,414.15,427.65,215492
2025-06-17,430,435.85,421.95,426.1,190748
2025-06-18,428.95,430.4,420,423.8,129267
2025-06-19,423.8,426.9,404,405.9,152448
2025-06-20,407.9,419.15,403,417.3,195461
2025-06-23,417.8,417.8,410.25,413.8,102880
2025-06-24,418,424,416.7,423.05,149484
2025-06-25,424.8,428.9,416.2,417.6,192317
2025-06-26,415,419.3,404.05,410.15,286662
2025-06-27,415,416.65,392.5,395.15,429021
2025-06-30,395.05,400,386.55,394.4,422678
2025-07-01,396.35,403.85,391.15,395.25,269756
2025-07-02,397.2,417,389.65,414.7,836578
2025-07-03,416.95,424,408.3,417.9,316121
2025-07-04,419,420.4,407.3,411,197814
2025-07-07,418,428.3,412.6,419.8,335930
2025-07-08,424.4,424.4,412,415.65,130337
2025-07-09,416.4,417.6,411.1,412.95,75377
2025-07-10,424.8,495.5,421,483.75,15381486
2025-07-11,490,524.8,451.9,490.5,25173748
2025-07-14,475.7,483.35,460,462,3208908
2025-07-15,465,473.2,458,460.25,1141494
2025-07-16,462.8,496,458.2,485.35,3332170
2025-07-17,487.85,513.9,478.25,499.4,4236178
2025-07-18,500.4,502.95,485,488.1,1107274
2025-07-21,488.2,528.8,484.15,503.35,4982305
2025-07-22,507,516.95,492,496.55,1304185
2025-07-23,500,501.45,481.85,486.6,698218
2025-07-24,488.5,513,485.6,506.05,2014874
2025-07-25,512,521,497.2,516.6,3094089
2025-07-28,516.65,534.45,499,504.75,2775547
2025-07-29,505.95,519.9,481.55,517.1,1663228
2025-07-30,521,541,519.25,525.75,2817637
2025-07-31,512.95,532.5,503.5,523.5,1311508
2025-08-01,524,525.75,475.5,485.8,1245879
2025-08-04,488,491,464.7,469.65,1232725
2025-08-05,470.5,478.8,456.45,459.65,714357
2025-08-06,461.95,473,455.05,465.2,1039559
2025-08-07,463.45,479,452.2,470.75,652785
2025-08-08,475.15,479.8,452,460,638405
2025-08-11,429.95,445.2,411.25,415.85,1206573
2025-08-12,416,426.95,416,421.4,544958
2025-08-13,424.7,427.5,404,409.45,484867
2025-08-14,411.4,417.75,402.25,406.5,332568
2025-08-18,410.7,417.1,405.75,413.5,385020
2025-08-19,415.95,419.9,411.25,417.75,227353
2025-08-20,418,423.85,412.05,421.05,231588
2025-08-21,421.6,423.9,416.15,418.5,205564
2025-08-22,419.95,421.65,411.6,414.25,242693
2025-08-25,414.3,417.95,408.65,410.1,171793
2025-08-26,409.7,410.95,400.95,402.25,117789
2025-08-28,400,402.45,393,394.6,157540
2025-08-29,394,422.35,391.05,411.55,766591
2025-09-01,415.5,419.2,410.1,412.65,177104
2025-09-02,413.8,419.75,403.55,405.8,353041
2025-09-03,407.75,413.9,407.75,412,134410
2025-09-04,414,417.15,403.35,404.85,134513
