Date,Open,High,Low,Close,Volume
2024-05-21,62.25,65.35,59.15,65.35,1244000
2024-05-22,62.1,64.4,62.1,62.1,294000
2024-05-23,60.9,60.9,59,59.6,232000
2024-05-24,57,58.95,56.7,56.95,192000
2024-05-27,58.6,59,57.3,58,60000
2024-05-28,57,57.45,55.1,55.25,76000
2024-05-29,53.3,53.3,52.5,52.7,86000
2024-05-30,52.65,52.65,50.1,50.55,120000
2024-05-31,52.8,53.05,50.3,53.05,68000
2024-06-03,55.3,55.3,53.35,54.65,38000
2024-06-04,50.25,52.9,49.25,49.8,64000
2024-06-05,49.8,51.85,49.5,50.65,30000
2024-06-06,50.65,51.5,50.05,51.35,40000
2024-06-07,51.5,51.85,50.3,50.5,42000
2024-06-10,51.5,53.2,51.5,52.9,36000
2024-06-11,52.9,54.8,52.9,53.6,34000
2024-06-12,54,54,52.2,53.05,42000
2024-06-13,53,55.4,53,55,50000
2024-06-14,56,60,55,59.15,192000
2024-06-18,62.5,67.15,62,64.1,288000
2024-06-19,65.4,65.5,56.55,61.95,198000
2024-06-20,61.8,61.8,58.55,59.8,88000
2024-06-21,59.85,61.1,58.9,60.35,70000
2024-06-24,60.35,60.35,58.6,59.9,56000
2024-06-25,59.9,59.9,58.25,58.5,52000
2024-06-26,60,60,58.5,59.65,48000
2024-06-27,59.9,59.9,57,57.25,26000
2024-06-28,57.25,58.95,57.25,58.95,28000
2024-07-01,59.9,67,57.85,63,82000
2024-07-02,65.9,65.9,61.05,62.3,106000
2024-07-03,63,63,61.7,62.25,34000
2024-07-04,62.25,64.4,62.25,63.35,114000
2024-07-05,62,72.9,62,71.45,750000
2024-07-08,73.9,74.4,65,67.55,372000
2024-07-09,67.5,70,67,68.3,170000
2024-07-10,69,69,63.5,66.7,86000
2024-07-11,65.8,66.25,65.15,65.15,30000
2024-07-12,66.3,66.3,64,64.4,38000
2024-07-15,65.45,65.8,64,65.3,46000
2024-07-16,68,68,62.05,62.05,64000
2024-07-18,62.3,62.9,61.45,62.3,30000
2024-07-19,62,62,59.9,61,18000
2024-07-22,58.1,61.1,58.1,61.1,10000
2024-07-23,58.35,60,58.05,59.15,34000
2024-07-24,60,60,57.1,58.15,12000
2024-07-25,59.7,59.7,58.45,59,14000
2024-07-26,59,60,59,60,8000
2024-07-29,60,60,59.95,59.95,6000
2024-07-30,59.95,60.5,59.15,59.25,20000
2024-07-31,59.25,59.25,57.3,57.7,26000
2024-08-01,57.75,59,57.75,59,44000
2024-08-02,58.9,58.9,57,58,16000
2024-08-05,56.4,56.4,55.1,55.1,28000
2024-08-06,55.3,55.3,53.7,53.7,14000
2024-08-07,54.9,54.9,53,54,10000
2024-08-08,53.5,53.55,53.5,53.55,6000
2024-08-09,53.65,54,53.5,53.9,38000
2024-08-12,52,53.5,52,53.45,20000
2024-08-13,53.95,53.95,53.95,53.95,2000
2024-08-14,53.95,53.95,52.7,53.55,20000
2024-08-16,52.6,53.95,52.6,53.2,42000
2024-08-19,51.2,52.5,51.2,52.1,6000
2024-08-20,52.15,54.7,52.15,54.7,36000
2024-08-21,55.95,56.9,55.95,56.15,12000
2024-08-22,58.65,58.65,55.05,58.2,14000
2024-08-23,57,58,56.05,56.05,24000
2024-08-26,57.75,58,57.55,57.55,14000
2024-08-27,58.2,58.2,55.85,56.8,16000
2024-08-28,56.1,56.9,54.75,56.1,20000
2024-08-29,57.45,57.45,54,54,8000
2024-08-30,55,55,51.3,51.3,124000
2024-09-02,51,51.75,50,51.5,40000
2024-09-03,51.5,51.5,50.9,50.9,14000
2024-09-04,52.45,52.45,52.35,52.35,12000
2024-09-05,52.35,52.4,50.65,51.15,38000
2024-09-06,51.05,51.05,50.15,50.5,14000
2024-09-09,50.55,51.6,50.55,50.6,16000
2024-09-10,50.7,51.15,50.7,51,12000
2024-09-11,51,51,51,51,6000
2024-09-12,51.1,51.1,50.25,50.55,14000
2024-09-13,50.05,51.1,50.05,51.05,12000
2024-09-16,50.15,50.15,49.7,50,22000
2024-09-17,49.05,50,49.05,50,12000
2024-09-18,49.1,49.95,48.75,49.05,32000
2024-09-19,49.05,49.05,48.1,48.35,22000
2024-09-20,48.35,48.35,46,47.15,28000
2024-09-23,45.5,46.85,45.05,46.85,36000
2024-09-24,45.25,45.8,45.25,45.8,10000
2024-09-25,46,47.25,46,47.1,16000
2024-09-26,46.6,47.3,46.15,46.5,14000
2024-09-27,46.6,46.6,46.15,46.15,10000
2024-09-30,46.5,47.95,46.5,47.95,12000
2024-10-01,47.95,47.95,47.95,47.95,6000
2024-10-03,45.6,47.3,45.6,46.25,16000
2024-10-04,45.3,45.6,45.3,45.6,6000
2024-10-07,43.5,44.3,43.4,44.3,60000
2024-10-08,42.35,46.3,42.35,44.5,6000
2024-10-09,44.6,46.2,44.2,45.95,26000
2024-10-10,47.85,47.85,46,46,4000
2024-10-11,46.5,47.55,46.5,47.55,4000
2024-10-14,46.75,47.4,45.85,46,16000
