Date,Open,High,Low,Close,Volume
2015-09-07,207,212.9,201,201.9,37179
2015-09-08,201.25,214.45,199,205.8,63411
2015-09-09,214.95,220,210.05,213.65,24288
2015-09-10,212,212.9,207,209.95,9623
2015-09-11,214,215.05,211.4,212.55,10956
2015-09-14,212.05,218.75,212.05,217.1,11462
2015-09-15,215,218.7,212.1,213.05,15675
2015-09-16,219.9,255.65,210.6,236.65,180399
2015-09-18,237,237,228.1,231.7,36790
2015-09-21,232.7,234.9,228,228.9,13924
2015-09-22,229,233,229,231.6,11381
2015-09-23,229,234,225,233.05,7510
2015-09-24,233.25,235.5,229,232.75,14999
2015-09-28,234.75,234.75,219,220.6,26351
2015-09-29,219.9,224.8,215,219.3,17549
2015-09-30,221.15,222.45,215.55,219,11945
2015-10-01,223.9,224.85,220.1,222.7,12758
2015-10-05,223,234.5,223,228.9,13288
2015-10-06,229.2,235,229,231.4,10297
2015-10-07,235.5,235.5,227.1,227.85,21817
2015-10-08,228,229,223.5,224.65,13356
2015-10-09,229,229,222,223.5,19837
2015-10-12,223.9,227.8,221.5,223.5,17395
2015-10-13,222,227.35,222,225,15383
2015-10-14,227,227,221.65,224.3,16453
2015-10-15,226.45,230,221.25,222.5,33003
2015-10-16,226.85,227.85,221.7,223.15,24839
2015-10-19,225,229.9,220.05,228.55,39514
2015-10-20,229.55,238.9,227.2,230.35,31959
2015-10-21,232,242.85,230.1,233.45,45883
2015-10-23,235,237.95,231.8,236.1,47982
2015-10-26,235,239,233.35,235.7,12417
2015-10-27,234,237,230.1,230.6,8024
2015-10-28,230.75,231.05,226.5,227.4,8318
2015-10-29,229.2,240.4,227.85,230.8,41901
2015-10-30,231.05,234.55,226,227.05,14735
2015-11-02,226.05,229.05,222,223.3,9371
2015-11-03,223,226.9,214.7,216.6,37733
2015-11-04,214.15,222,214.15,218.45,17362
2015-11-05,221.6,221.85,215.2,216.65,13015
2015-11-06,218.85,218.95,205.05,208.45,49635
2015-11-09,204.85,208,201.15,205.95,20513
2015-11-10,206.45,212.55,200,200.4,33401
2015-11-11,211.75,211.75,200,206.4,5663
2015-11-13,205.35,205.35,200.1,202.1,9203
2015-11-16,201,204.9,198.1,203.85,13848
2015-11-17,201.05,204.8,197.45,199,23068
2015-11-18,198,199.85,191.3,192.05,118465
2015-11-19,192,195.55,191.65,192.55,36044
2015-11-20,192,198.85,192,193.95,30565
2015-11-23,192,198,190.05,191.2,13051
2015-11-24,190.35,195,188.95,190.7,59416
2015-11-26,193.8,200,191,196,58624
2015-11-27,198.8,204.85,190.55,193.8,38507
2015-11-30,197.4,207.45,192.6,202.45,83534
2015-12-01,207,211.5,202.2,203.75,66898
2015-12-02,204.45,205.75,199.2,200.05,135074
2015-12-03,200.1,203.8,194.6,196.8,29805
2015-12-04,199.9,213,197.5,209.1,496517
2015-12-07,212,212.6,206.05,210.55,50170
2015-12-08,212,217.7,205.8,208.1,52657
2015-12-09,208.5,209.45,198.2,199.05,26438
2015-12-10,199.2,205,198,203.75,20496
2015-12-11,205,209.85,200.2,203.7,35018
2015-12-16,216,216,208.15,209.9,21676
2015-12-17,211.95,215,211.05,213.95,14862
2015-12-18,213.95,213.95,208.55,210.75,12162
2015-12-21,214,214,204.6,206.85,26668
2015-12-22,210,212.9,206,207.05,19300
2015-12-23,210,210,204.65,205.05,7429
2015-12-24,206,208.8,191.5,193.1,135568
2015-12-28,195.75,199,192.8,195.15,103232
2015-12-29,196,198.5,195,196.45,21049
2015-12-30,196.45,198.5,194.25,195.05,17289
2015-12-31,195.5,196.9,192.1,194.8,20361
2016-01-01,193.55,198.85,193.55,197.15,26295
2016-01-04,199,201.9,193,194.95,43716
2016-01-05,197.95,198,193.5,196.55,19717
2016-01-06,198.8,205.3,196.55,198.8,65552
2016-01-07,198,198.5,191,191.55,16878
2016-01-08,192.15,196.2,192.1,193.75,26163
2016-01-11,193.75,195,192.05,194.15,14372
2016-01-12,197,199.75,193,194.8,15962
2016-01-13,192.5,196.75,187,191.45,37077
2016-01-14,190.05,192,185.05,187.55,19279
2016-01-15,192.95,192.95,180.55,181.5,23177
2016-01-18,188,188,168.15,170.85,28661
2016-01-19,170.8,183.6,165.5,181.4,25258
2016-01-20,180,180,173,174,15121
2016-01-21,178,178,171.9,173.25,22940
2016-01-22,174.05,180,171.05,177.8,17222
2016-01-25,179.05,184.9,175,177.65,16239
2016-01-27,180,184.8,175,177.5,14695
2016-01-28,176.3,178.85,173,175,13004
2016-01-29,178.55,179.7,173.5,178,6527
2016-02-01,182.9,183,177.1,181.15,8554
2016-02-02,182,182,173,174.95,7632
2016-02-03,173,187.4,169.05,185.75,56573
2016-02-04,184,184.55,175,178.7,11227
2016-02-05,180,180.85,175.2,177.8,9903
2016-02-08,175.5,179.85,173.1,174.65,7522
2016-02-09,175,175.5,172,172.2,4579
2016-02-10,176.8,176.8,166,170.35,8295
2016-02-11,168,168,155,157.3,28140
2016-02-12,158,180,147.5,157.5,20912
2016-02-15,158,170,158,167.45,12692
2016-02-16,167,169.45,158.75,159.2,4650
2016-02-17,167.95,167.95,155.3,162.2,9434
2016-02-18,162,166.9,157.5,162.05,9785
2016-02-19,161,182,156.65,177.8,78129
2016-02-22,179.4,180.85,170.25,171,19468
2016-02-23,170,170,164,166,11821
2016-02-24,168.85,168.85,158.75,160.35,17735
2016-02-25,156.5,166,156,162.25,13267
2016-02-26,162,165,160,161,7221
2016-02-29,164.9,173.75,152,171.45,32369
2016-03-01,165.65,174,165.65,170,20790
2016-03-02,170.2,191.95,170.2,187.9,72314
2016-03-03,183.05,189.5,180.45,186.3,21402
2016-03-04,184,187.5,181.7,185.4,11889
2016-03-08,181.05,185,181.05,181.75,9241
2016-03-09,185.35,185.4,179.45,183,3736
2016-03-10,186.45,186.45,182.5,184.15,5855
2016-03-11,185,185,180.2,181.45,110290
2016-03-14,181.45,185,180.6,182.2,14692
2016-03-15,184,194,182.5,189.7,35395
2016-03-16,189.25,197.25,189.25,191.85,22093
2016-03-17,194.9,199.4,192.1,195.4,32033
2016-03-18,195.55,215.05,195.55,210.75,359431
2016-03-21,210.15,228,209.85,225.85,137913
2016-03-22,224,242.8,223.5,239.3,525968
2016-03-23,237,238.65,224.65,226.3,105467
2016-03-28,226.3,229.8,211.6,212.65,72450
2016-03-29,221,224,210.45,219.55,45065
2016-03-30,223.25,227.5,217,223.45,28514
2016-03-31,221.05,228.8,218.1,219.6,23526
2016-04-01,219,230.8,218.6,227.6,47648
2016-04-04,228,232,223.8,226.3,22652
2016-04-05,223,229.95,219,225.35,41153
2016-04-06,222.7,242.9,222.25,238.25,94386
2016-04-07,242.4,243.7,231,232.8,98097
2016-04-08,233.15,251.8,232.05,244.35,272663
2016-04-11,244.5,247.2,238,240.4,57016
2016-04-12,242,242.75,239,241.25,25857
2016-04-13,242,248.7,236.6,240.3,61723
2016-04-18,240,244.85,237.1,242.45,38549
2016-04-20,244.4,284.5,242.4,277.5,678487
2016-04-21,277,279,261.5,265.35,124281
2016-04-22,265,276,257,268.7,129000
2016-04-25,266,268.65,260,266.9,47049
2016-04-26,265,285,262,273.5,165392
2016-04-27,269.5,279.95,269,274.45,71593
2016-04-28,275,275,264.15,266.45,41625
2016-04-29,261.2,287.9,261.2,267.3,240833
2016-05-02,266,267.8,262,263,87749
2016-05-03,262,277,262,265.5,118398
2016-05-04,265.8,284,262.2,274.3,665119
2016-05-05,272.2,274,264,268.6,106998
2016-05-06,264.1,273.9,261,263.5,70521
2016-05-09,263,271.7,260.1,265.95,80708
2016-05-10,267.7,269.7,264.9,266.95,38499
2016-05-11,265.85,269.35,263.1,265.5,46228
2016-05-12,267.05,270.3,262.1,264.3,109866
2016-05-13,262.6,265.2,255.5,258.1,21818
2016-05-16,261.5,263.95,253,255.85,18361
2016-05-17,257.65,270.6,257,259,83062
2016-05-18,265.5,265.5,258,260.6,14661
2016-05-19,259.85,261,250,252.85,42754
2016-05-20,253.9,255.05,241.65,245.4,17181
2016-05-23,243.05,243.05,236.1,238.25,37625
2016-05-24,238,239.1,229.95,234.85,30260
2016-05-25,231,249,231,245.95,65883
2016-05-26,248.4,259.8,248,253.5,80546
2016-05-27,251.05,258.1,246.4,247.55,30361
2016-05-30,249.05,256.45,243.45,249.65,36513
2016-05-31,248,255.2,247,252.6,38255
2016-06-01,253.55,262,252,255.1,37166
2016-06-02,254.3,273,252.8,271.35,106227
2016-06-03,273,277.6,267,268.1,73547
2016-06-06,266,273.75,265.3,268.1,23722
2016-06-07,267,279.05,265.1,273.35,29359
2016-06-08,273.05,299.9,273.05,295.1,313950
2016-06-09,295,295,285.1,286.85,41491
2016-06-10,283,302,282.35,293.1,150180
2016-06-13,288,291.85,280,288.8,40783
2016-06-14,288.8,294,283.5,285.6,18332
2016-06-15,283.6,296.9,283,287.75,102204
2016-06-16,289.7,290.9,280,281.85,30121
2016-06-17,282.05,294,282.05,287.65,76678
2016-06-20,285,296.8,283,288.2,40303
2016-06-21,289,299,284,285.35,45977
2016-06-22,285.35,290.7,283.2,286.25,37803
2016-06-23,288,294.45,284.2,287.95,51805
2016-06-24,275,284.8,260.1,282.75,88857
2016-06-27,281,302.5,281,294.8,126657
2016-06-28,297,310.25,296,304.8,337040
2016-06-29,305,310,302.6,303.7,91222
2016-06-30,307.8,310,304.95,309.55,106705
2016-07-01,311.05,312,302,309.55,46896
2016-07-04,314,316.35,307.1,311.25,184279
2016-07-05,314.45,314.75,296.45,301.8,67381
2016-07-07,296.05,307.55,296,302.9,47962
2016-07-08,305,305,297,299.05,48507
2016-07-11,301.95,312,301.05,309.3,82254
2016-07-12,308.95,310,300,304.55,43442
2016-07-13,303.05,307.8,297.3,299.3,30508
2016-07-14,300,308,296,302.75,32684
2016-07-15,301.3,307.5,301.05,306.2,39394
2016-07-18,306.05,307.8,298,300.7,74371
2016-07-19,304.15,305.5,298,300.25,20287
2016-07-20,299.95,304.55,298.2,300.35,18343
2016-07-21,300.1,307.7,300.1,301.15,35321
2016-07-22,304.8,304.8,298,298.8,67414
2016-07-25,306,306,298.95,304.1,20813
2016-07-26,306.85,306.85,298,298.85,14084
2016-07-27,300.05,304.45,295,295.75,77720
2016-07-28,300.6,304,296.1,298.2,48088
2016-07-29,300.85,305.9,297,298.35,50772
2016-08-01,298.05,304.85,294,295,22135
2016-08-02,293.25,299.9,291.25,293.1,17423
2016-08-03,293,293.9,286,286.95,43786
2016-08-04,286,292.75,275.1,280.25,34991
2016-08-05,284.95,296,280.1,292.65,208081
2016-08-08,323,330.9,310.8,317.7,884777
2016-08-09,318.7,318.7,309.55,312.95,90721
2016-08-10,316,320.4,308.9,318.15,127724
2016-08-11,320,321,307,312,57967
2016-08-12,315.95,318.85,312,315.3,42781
2016-08-16,319.9,347.3,315.05,342.4,326192
2016-08-17,342,376,335,363.05,189209
2016-08-18,364.4,369.7,355,356.2,82483
2016-08-19,356,368.5,352,355.05,75842
2016-08-22,355,365.7,353.5,359.6,75996
2016-08-23,358,374.9,351.3,357.4,216313
2016-08-24,360,364,354.45,358.7,52930
2016-08-25,359.9,368,354.7,356.75,43996
2016-08-26,360,362.9,353.1,354.2,40952
2016-08-29,354.3,357.5,349.2,350.75,27335
2016-08-30,349.95,362,349.2,360,94692
2016-08-31,364.5,364.55,354.2,354.95,50772
2016-09-01,353.2,356.45,351.55,352.8,34162
2016-09-02,352.8,365.95,349,364.15,61930
2016-09-06,370.95,374.9,360.3,363.15,59420
2016-09-07,366.7,366.95,354,357.05,37345
2016-09-08,355.1,358.2,352,352.8,27153
2016-09-09,355.7,355.7,343.25,344.65,34671
2016-09-12,341,343,328.05,330.85,27941
2016-09-14,334.75,344.9,334,340.4,26452
2016-09-15,341,345,335.25,338.1,18814
2016-09-16,337.5,351.7,332,333.7,53251
2016-09-19,336.95,337,331.35,333.7,27164
2016-09-20,348.9,352,340.3,345.45,160869
2016-09-21,344.1,344.1,336.1,339.2,22632
2016-09-22,344.95,346.5,338.2,339.8,18158
2016-09-23,338.95,347.7,338,339.55,29058
2016-09-26,342,342,331,334.05,19370
2016-09-27,336.95,347.05,332.75,338.55,51705
2016-09-28,344.9,352,339.55,349.1,84931
2016-09-29,351.95,355,316,329.35,57963
2016-09-30,326,345.5,325.95,344.25,41385
2016-10-03,344.25,352,340.25,350.15,40568
2016-10-04,350,356.5,348.1,353.95,40124
2016-10-05,354,358.9,351.1,356.25,22696
2016-10-06,359.5,366.2,354.1,356.95,65315
2016-10-07,360.05,363.2,351,355.9,18049
2016-10-10,361.35,362,355.1,360.2,18131
2016-10-13,364,364,345,347.2,28111
2016-10-14,344,362,344,356.25,31152
2016-10-17,363.5,363.5,349.2,352.2,22766
2016-10-18,352.2,356,350.5,351.8,15805
2016-10-19,352,355,345.7,347.4,15376
2016-10-20,353.85,363.45,343.5,357.8,56145
2016-10-21,355,370,355,361.1,85579
