Date,Open,High,Low,Close,Volume
2015-09-07,22.4667,22.4667,20.2333,20.5667,307275
2015-09-08,21.1,21.1,19.2667,20.5,767362
2015-09-09,21.2333,22.2,20.7333,21.3333,404092
2015-09-10,20.4,21.2,20.3333,20.9667,126336
2015-09-11,21.2,22.2,20.9,21.7667,261235
2015-09-14,23.2667,23.8,22.2,23.1667,662530
2015-09-15,23.2667,23.6667,22.6,22.8,181830
2015-09-16,23,23.5333,22.0333,22.3667,147036
2015-09-18,22.5333,23.6667,22.5333,23.4333,308218
2015-09-21,24.6667,24.7,23.4,23.9333,773482
2015-09-22,24,24.3,22.3667,22.5667,253792
2015-09-23,22.3333,23.1667,22.3333,22.9333,175741
2015-09-24,22.8,23.6667,22.8,23.1667,276730
2015-09-28,23.6333,27.5333,21.3667,24.8333,1688917
2015-09-29,24.5667,25.1333,23.4,24.3333,650178
2015-09-30,23.8,25.3,23.7333,24.0667,268837
2015-10-01,24.2333,24.5667,23.2333,23.5667,142378
2015-10-05,24.3333,24.6,23.8,24.3333,214539
2015-10-06,24.4667,25.1333,24.2667,24.6,261210
2015-10-07,24.4,25.6667,24.1333,24.6,443257
2015-10-08,24.9333,25.2333,24.2,24.3667,334513
2015-10-09,24.6,24.8667,23.8,24,245758
2015-10-12,24.1333,24.2667,23.2667,23.3667,279429
2015-10-13,23.4,23.6,23.1,23.4,163395
2015-10-14,23.3,23.9,23.0333,23.4333,351925
2015-10-15,23.5667,23.9333,23.4,23.4667,280087
2015-10-16,23.6333,24.8,23.3333,24.3333,526771
2015-10-19,24.4333,25.3,24.0667,25.0667,1098025
2015-10-20,25,25.7333,24.1333,24.5333,565981
2015-10-21,24.5,25.0333,24.3667,24.7667,283197
2015-10-23,24.8667,25.5667,24.1,25.2333,908344
2015-10-26,25.7667,25.9333,24.3333,24.4667,388033
2015-10-27,23.3667,23.9,22.6667,22.9,509305
2015-10-28,22.8333,23.6667,22.2667,22.4,394899
2015-10-29,22.4667,23.6333,22.4667,23.2333,588349
2015-10-30,23.3333,24.6,23,23.4333,543183
2015-11-02,23.5,23.7333,23,23.1,145414
2015-11-03,23.2667,23.7333,23,23.4,381061
2015-11-04,23.7667,23.7667,22.9667,23.1,98377
2015-11-05,22.8333,23.4333,22.7,23.0667,152476
2015-11-06,22.8333,23.6,22.5333,22.7,128845
2015-11-09,21.6667,23.4333,21.6667,23.2,697090
2015-11-10,23,23.6,22.6333,22.6667,141052
2015-11-11,22.9667,23.3333,22.7667,23.1667,89112
2015-11-13,22.9667,23.1667,22.8333,23.0667,125623
2015-11-16,22.7,23.2,22.5333,23.0667,270559
2015-11-17,23.1,25.3,23.0667,25.0333,1416579
2015-11-18,25.0667,25.4667,24.2667,24.6667,631476
2015-11-19,25.2,26.1333,24.8667,25.8333,750943
2015-11-20,25.7667,27.5333,25.7667,26.6,2288275
2015-11-23,26.6667,27.6667,26,27.3667,1009224
2015-11-24,27.6333,28.9,27.1333,28.6333,3651021
2015-11-26,28.7333,29.6,27.6667,28.1,1336995
2015-11-27,28.1333,29.2,27.8333,28.8333,1173246
2015-11-30,28.4333,29.4,28.1333,28.9,1506693
2015-12-01,29.1667,29.4667,28,29.1,923673
2015-12-02,29.3,29.6333,28.4667,28.7,844365
2015-12-03,28.6,31.8,28.5333,30.5,5154298
2015-12-04,31,33.4333,30.3333,31.6333,51930136
2015-12-07,32.2667,32.4667,30.3667,30.7,8951637
2015-12-08,30.2333,30.6667,28.6,28.9,3384931
2015-12-09,28.8,29.1333,26.4,27.1333,3394840
2015-12-10,27.2,28.8,26.7667,28.5333,2581768
2015-12-11,28.3333,29,27.5667,27.8,1544455
2015-12-16,28.8,29.3,28.3333,28.5,1065393
2015-12-17,28.6,29.5667,28.3333,29.4333,1656162
2015-12-18,29.1333,29.5,28.2,28.5667,1425156
2015-12-21,28.7,29.6,28.4667,29.3667,1273941
2015-12-22,29.6,30.1333,29.0667,29.3333,1645660
2015-12-23,29.7667,30.5,29.3333,30.2,2226904
2015-12-24,30.3333,30.9667,29.8,30.5333,3536763
2015-12-28,30.7667,31.5333,30.4667,30.9,3129405
2015-12-29,31.1667,32.2333,30,31.8667,5382928
2015-12-30,32,32.2333,30.8333,31.0333,2678484
2015-12-31,31.2333,31.7667,30.7333,31.3333,1736235
2016-01-01,31.5,31.7333,30.7667,31,1147465
2016-01-04,30.7333,31.5333,29.0667,29.9667,2321821
2016-01-05,30.4,31.1333,29.7667,30.6667,1876399
2016-01-06,30.8667,31.2667,29.8667,30.1333,1675491
2016-01-07,29.4333,29.6,27.3667,28.2333,1474134
2016-01-08,28.5333,29.5,28.5,29.1333,821769
2016-01-11,28.6667,29.6667,28.6667,29.3,901903
2016-01-12,29.1333,29.8,27.8667,28.2667,1105188
2016-01-13,28.7333,28.8667,25.1333,27.6333,2364112
2016-01-14,26.1667,27.2,25.7667,26.7,1673478
2016-01-15,26.9,26.9667,25.7,25.8333,889953
2016-01-18,25.8333,26,22.8333,23.2667,1819318
2016-01-19,23.6667,24.5,22.7,23.0333,1143000
2016-01-20,22.9333,23,21.7333,22.1667,839890
2016-01-21,22.8333,23.1333,21.8667,22.3,644350
2016-01-22,22.7,25.1333,22.5333,24.7333,1552593
2016-01-25,25.2,25.9333,24.2,24.4667,945979
2016-01-27,24.9667,25.0667,23.4,23.9667,469453
2016-01-28,24.4,24.4,23.4667,23.7,250579
2016-01-29,23.4667,24.0667,23.4667,23.7333,504895
2016-02-01,24,24.9,23.8333,24.5667,668341
2016-02-02,24.6667,26.0667,23.8667,24.2667,1398354
2016-02-03,23.9333,24.2333,23.1333,23.6667,372508
2016-02-04,24,24.3667,23.1667,23.6,517926
2016-02-05,23.9,25.2667,23.3667,24.4667,1492666
2016-02-08,24.0667,25,23.7333,24,831034
2016-02-09,24,24,23.0333,23.4667,283576
2016-02-10,23.3333,23.3333,21.6667,22.7333,602251
2016-02-11,22.6333,22.6333,20.1333,20.4333,919744
2016-02-12,20,20.9667,19.2667,19.8667,780703
2016-02-15,20.3,21.8667,20.3,21.2667,776772
2016-02-16,21.6,21.9,19.9667,20.1333,407544
2016-02-17,20.1333,20.6,19.2333,20.3667,468916
2016-02-18,20.9,21.4,19.4,20.3333,365343
2016-02-19,20.6,20.6,19.8667,20.2667,152898
2016-02-22,20.5,20.9333,20.3333,20.6667,151708
2016-02-23,21.1,21.2667,20.1,20.3,761430
2016-02-24,20.1333,20.5333,19.7333,20.0333,397015
2016-02-25,20.3,20.6,19.7,19.9667,278040
2016-02-26,20.3,20.4,19.4667,20.1,376662
2016-02-29,20.0333,20.5333,19.4,19.5333,325882
2016-03-01,19.6667,22,19.6,21.6,903405
2016-03-02,22.3,22.4667,20.4667,20.8667,1190517
2016-03-03,21,21.9333,20.6,21.6333,842832
