Date,Open,High,Low,Close,Volume
2025-06-27,58,60.9,58,60.9,3123000
2025-06-30,60.9,63.9,59.1,63.8,882000
2025-07-01,63.7,63.7,60.65,60.65,813000
2025-07-02,60.65,60.65,57.75,59.65,252000
2025-07-03,56.9,59,56.7,56.95,144000
2025-07-04,56.95,59.7,54.2,59.1,129000
2025-07-07,56.9,58,56.35,58,63000
2025-07-08,56.35,58,56,57.5,54000
2025-07-09,55,58,55,56.25,120000
2025-07-10,58,59.05,56.1,59.05,120000
2025-07-11,61,61.8,58,60.55,144000
2025-07-14,60.4,60.45,58.3,58.45,57000
2025-07-15,57.55,58.2,56,57.1,66000
2025-07-16,56.75,57.9,56.7,57.7,21000
2025-07-17,60,60,59.95,60,9000
2025-07-18,62,62,59.5,60.05,33000
2025-07-21,60.5,60.5,58.55,58.65,36000
2025-07-22,58.3,58.5,56.4,58.5,15000
2025-07-23,59.5,59.5,57.2,57.2,9000
2025-07-24,57,57.1,57,57.1,6000
2025-07-25,53.1,57.45,46,57.1,21000
2025-07-28,56,56.95,52.35,54.8,69000
2025-07-29,58.3,58.3,54.35,54.35,48000
2025-07-30,56,56,53.1,53.1,78000
2025-07-31,53.1,54.95,53.1,54.15,39000
2025-08-01,54.45,54.5,50.5,54.35,126000
2025-08-04,54.35,55.5,52,53.95,18000
2025-08-05,53.05,53.05,53.05,53.05,3000
2025-08-06,53.05,54,52.75,53.8,39000
2025-08-07,56.85,56.85,52.55,53.75,15000
2025-08-08,53.75,54.4,53.75,53.8,15000
2025-08-12,53.5,53.8,53.5,53.55,39000
2025-08-13,53.5,59.9,53.5,58.4,84000
2025-08-14,58.7,58.7,55.05,56,60000
2025-08-18,54.5,56.35,54.5,55.5,177000
2025-08-19,55.25,57,55.2,57,120000
2025-08-20,57.5,59.65,57.5,59.15,51000
2025-08-21,59.85,66,59.25,62,207000
2025-08-22,62.5,62.5,59,60.35,210000
2025-08-25,60,60,60,60,6000
2025-08-26,58.25,58.5,58.25,58.5,15000
2025-08-28,58.15,58.15,58,58,12000
2025-08-29,57.6,57.6,56.25,57.05,18000
2025-09-01,57.15,62.4,57.15,61.8,237000
2025-09-02,62,62,59.5,59.8,129000
2025-09-03,60.5,60.5,59,59.5,105000
