Date,Open,High,Low,Close,Volume
2025-08-06,385,418.8,373.5,408.65,15361082
2025-08-07,402,424.9,400.1,417.6,3922205
2025-08-08,416.4,488.9,413.05,431.75,22851935
2025-08-11,432.5,458.6,421.05,425.25,5308308
2025-08-12,426.8,447.7,416.95,441.85,4240701
2025-08-13,444.75,454.45,432.2,435.55,1659061
2025-08-14,437.75,439.4,420,425.4,1023028
2025-08-18,430,439,425.4,435.4,831432
2025-08-19,438.05,468.8,438.05,459.6,2192414
2025-08-20,462,472.5,452.35,463.8,1247852
2025-08-21,463.9,467.05,446.8,451.1,723073
2025-08-22,453.2,494,453.2,465.2,4418881
2025-08-25,470,493,456,467.55,4045668
2025-08-26,473.45,485,447,456.5,1590397
2025-08-28,458,459.25,425,429,1032003
2025-08-29,431.5,442.95,426.2,432.8,615683
2025-09-01,437.1,439.8,426.6,434.6,377731
2025-09-02,435.8,448.4,431,435.3,434212
2025-09-03,434,438.65,412.95,415.95,1080736
2025-09-04,422.7,422.95,403.9,410.85,573633
