Date,Open,High,Low,Close,Volume
2020-10-01,3.8,4.18,3.8,4.18,60000
2020-10-05,4.2,4.2,4.2,4.2,30000
2020-10-06,4.2,4.2,4.2,4.2,30000
2020-10-07,4.2,4.2,4.2,4.2,30000
2020-10-08,4.2,4.2,4.2,4.2,30000
2020-10-09,4.18,4.18,4.18,4.18,30000
2020-10-12,4.2,4.2,4.2,4.2,30000
2020-10-13,4.18,4.18,4.18,4.18,30000
2020-10-14,4.15,4.15,4.15,4.15,30000
2020-10-16,4.19,4.2,4.19,4.19,60000
2020-10-19,4.18,4.18,4.18,4.18,30000
2020-10-21,3.91,4,3.91,4,60000
2020-10-22,4.05,4.05,4.02,4.04,60000
2020-10-23,4.1,4.1,4.1,4.1,30000
2020-10-26,4.15,4.15,4.15,4.15,30000
2020-10-27,4,4,4,4,30000
2020-10-28,3.98,3.98,3.98,3.98,30000
2020-10-30,4.05,4.05,4.05,4.05,30000
2020-11-02,3.93,3.93,3.93,3.93,30000
2020-11-03,4,4,4,4,30000
2020-11-04,4.05,4.05,4.05,4.05,90000
2020-11-05,4.1,4.1,4.1,4.1,90000
2020-11-06,4.1,4.1,4.08,4.08,60000
2020-11-09,3.95,4,3.9,3.95,120000
2020-11-10,4.05,4.05,4.05,4.05,30000
2020-11-11,4.1,4.1,4.1,4.1,60000
2020-11-12,4.08,4.08,4.08,4.08,30000
2020-11-13,4,4,4,4,30000
2020-11-17,3.9,4,3.9,3.95,60000
2020-11-18,3.98,3.98,3.98,3.98,60000
2020-11-19,3.97,3.97,3.97,3.97,30000
2020-11-20,4.1,4.1,4.1,4.1,60000
2020-11-23,4.15,4.15,4.15,4.15,30000
2020-11-24,4.15,4.15,4.15,4.15,30000
2020-11-25,4.08,4.08,4.08,4.08,30000
2020-11-26,4.05,4.08,4.05,4.08,60000
2020-11-27,4,4.05,4,4.05,60000
2020-12-01,4,4,4,4,30000
2020-12-02,4,4,3.98,4,90000
2020-12-03,4.1,4.1,4.1,4.1,60000
2020-12-04,4.1,4.1,4.1,4.1,90000
2020-12-07,4.15,4.15,4.15,4.15,30000
2020-12-08,4.15,4.15,4.15,4.15,60000
2020-12-10,4.15,4.15,4.15,4.15,30000
2020-12-11,4.18,4.18,4.17,4.17,60000
2020-12-14,4.18,4.18,4.18,4.18,90000
2020-12-15,4.05,4.05,4.05,4.05,30000
2020-12-16,4.1,4.1,4.1,4.1,60000
2020-12-17,4.15,4.15,4.15,4.15,30000
2020-12-18,4.1,4.1,4.1,4.1,60000
2020-12-21,4.05,4.05,4.05,4.05,30000
2020-12-22,4.08,4.2,4.08,4.2,150000
2020-12-23,5,5.04,3.52,4.79,334960
2020-12-24,4.84,5.7,4.65,4.86,344010
2020-12-28,5.6,5.6,4.65,4.77,126560
2020-12-29,4.99,4.99,4.67,4.82,21110
2020-12-30,4.8,5.15,4.46,4.74,244590
2020-12-31,5.09,5.09,4.63,4.64,23390
2021-01-01,5,5,4.58,4.71,90000
2021-01-04,4.95,4.95,4.33,4.64,42850
2021-01-05,4.7,4.8,4.56,4.76,14640
2021-01-06,4.94,4.94,4.54,4.57,48430
2021-01-07,4.7,5.16,4.56,4.81,139010
2021-01-08,5,5.38,4.69,4.71,228670
2021-01-11,4.78,4.95,4.5,4.6,48440
2021-01-12,4.79,4.85,4.55,4.7,29690
2021-01-13,4.75,4.76,4.57,4.63,20560
2021-01-14,4.76,5.56,4.51,5.48,672730
2021-01-15,5.48,5.48,4.75,4.85,556910
2021-01-18,4.85,5.17,4.56,4.7,147740
2021-01-19,4.85,4.89,4.63,4.71,74830
2021-01-20,4.65,4.94,4.6,4.67,200070
2021-01-21,4.8,4.8,4.5,4.53,90200
2021-01-22,4.52,4.66,4.48,4.53,24250
2021-01-25,4.63,4.69,4.51,4.53,79180
2021-01-27,4.57,4.66,4.53,4.57,24330
2021-01-28,4.54,4.62,4.54,4.59,45440
2021-01-29,4.49,4.69,4.49,4.61,33380
2021-02-01,4.72,4.79,4.6,4.62,54450
2021-02-02,4.7,4.7,4.58,4.6,55120
2021-02-03,4.62,4.63,4.55,4.62,144900
2021-02-04,4.72,4.72,4.6,4.63,31160
2021-02-05,4.41,4.84,4.41,4.65,52070
2021-02-08,4.93,4.93,3.81,4.6,184780
2021-02-09,4.61,4.61,4.6,4.61,40870
2021-02-10,4.75,4.75,4.53,4.65,56650
2021-02-11,4.55,4.7,4.54,4.65,34260
2021-02-12,4.57,5,4.53,4.73,255200
2021-02-15,4.54,4.67,4.54,4.63,44490
2021-02-16,4.7,4.7,4.57,4.61,15790
2021-02-17,4.61,4.7,4.56,4.64,322680
2021-02-18,4.6,4.7,4.56,4.59,321680
2021-02-19,4.59,4.67,4.5,4.64,334940
2021-02-22,4.53,4.65,4.53,4.63,220470
2021-02-23,4.7,4.7,4.61,4.61,305740
2021-02-24,4.8,4.8,4.56,4.61,308040
2021-02-25,4.62,4.74,4.6,4.63,22290
2021-02-26,4.52,4.67,4.52,4.6,34970
2021-03-01,4.61,4.78,4.48,4.53,37520
2021-03-02,4.53,5,4.53,4.83,730170
2021-03-03,5,5,4.5,4.56,510930
2021-03-04,4.4,4.9,4.38,4.64,439970
2021-03-05,4.55,4.79,4.5,4.6,32230
2021-03-08,4.7,4.7,4.48,4.65,65120
2021-03-09,4.56,4.68,4.49,4.62,36850
2021-03-10,4.53,4.65,4.5,4.64,46070
2021-03-12,4.65,4.65,4.43,4.57,42250
2021-03-15,4.54,4.56,4.4,4.55,47970
2021-03-16,4.63,4.63,4.44,4.45,33130
2021-03-17,4.41,4.6,4.41,4.43,28540
2021-03-18,4.57,4.87,4.46,4.63,80640
2021-03-19,4.61,4.72,4.59,4.68,31680
2021-03-22,4.87,4.87,3.83,4.61,55210
2021-03-23,4.6,4.7,4.53,4.69,42730
2021-03-24,4.51,4.58,4.5,4.51,29820
2021-03-25,4.5,4.59,4.5,4.51,5000
2021-03-26,4.68,4.68,4.4,4.57,23900
2021-03-30,4.6,4.65,4.45,4.61,68200
2021-03-31,4.59,4.6,4.58,4.58,27440
2021-04-01,4.62,4.65,4.62,4.63,32500
2021-04-05,4.7,4.7,4.52,4.6,24430
2021-04-06,4.46,4.63,3.86,4.54,46550
2021-04-07,4.64,4.64,4.5,4.55,41510
2021-04-08,4.67,4.85,4.5,4.74,29070
2021-04-09,4.6,4.8,4.6,4.61,21920
2021-04-12,4.7,4.7,4.49,4.49,113450
2021-04-13,4.9,4.98,4.31,4.55,160830
2021-04-15,4.66,4.66,4.48,4.5,73500
2021-04-16,4.69,4.72,4.51,4.6,18750
2021-04-19,4.6,4.7,4.6,4.6,14940
2021-04-20,4.8,4.8,4.6,4.6,27080
2021-04-22,4.61,4.82,4.6,4.65,33790
2021-04-23,4.66,4.72,4.65,4.65,28140
2021-04-26,4.7,4.82,4.65,4.7,21110
2021-04-27,4.68,4.71,4.41,4.66,44860
2021-04-28,4.67,4.8,4.65,4.67,23010
2021-04-29,4.61,4.79,4.58,4.61,19180
2021-04-30,4.87,4.87,4.6,4.6,18480
2021-05-03,4.88,5.05,4.6,4.65,59080
2021-05-04,4.99,4.99,4.65,4.65,20970
2021-05-05,4.75,4.89,4.66,4.67,12510
2021-05-06,4.76,4.76,4.68,4.69,16080
2021-05-07,4.6,4.7,4.6,4.7,23910
2021-05-10,4.69,4.7,4.69,4.7,32350
2021-05-11,4.68,4.86,4.63,4.71,901420
2021-05-12,4.65,4.99,4.63,4.68,819510
2021-05-14,4.77,4.9,4.61,4.66,561720
