Date,Open,High,Low,Close,Volume
2015-09-07,127.1333,132.8887,126.778,127.422,84925
2015-09-08,125.422,131.2887,125.422,128.4667,88066
2015-09-09,132.2887,132.778,128.8887,129.5333,77128
2015-09-10,128.9333,131.0667,128.6667,129.2,42243
2015-09-11,130.5333,131.8,129.3333,130.778,36286
2015-09-14,130.6667,133.6887,129.1113,131.6667,52095
2015-09-15,134.2,134.2,129.0447,129.4667,32883
2015-09-16,130.6667,131.2887,128.8887,129,30603
2015-09-18,130.5553,136.0887,129.4667,132.0447,812028
2015-09-21,132.178,137.1553,131.178,134.822,549100
2015-09-22,135.9113,138.6667,132.222,133.2447,319384
2015-09-23,132.9113,134.178,131.222,133.1553,25653
2015-09-24,133.3553,137.022,133.3333,136.2667,68335
2015-09-28,136.4447,138.222,132.578,133.3333,53202
2015-09-29,131.2,133.022,129.378,130.5113,41614
2015-09-30,131.8887,135.7113,130.778,133.4447,168132
2015-10-01,133.4447,136.2887,132.8887,133.178,36685
2015-10-05,134.6447,142.6667,134.6447,142.0887,201103
2015-10-06,142.0887,144.4447,139.6447,143.6447,99777
2015-10-07,142.7113,144.8,140.0447,142.1553,69414
2015-10-08,142.2667,144.4447,140.0447,140.7333,48889
2015-10-09,143.5333,148.4,141.3333,147.022,246283
2015-10-12,147.022,156,147.022,150.2,408628
2015-10-13,151.5333,158.0887,148.8887,156.6667,252960
2015-10-14,156.4,178.222,155.5553,175.3333,1356279
2015-10-15,177.0887,188.4447,171.1113,186.5333,1247326
2015-10-16,187.2887,187.2887,174.0887,175.978,390441
2015-10-19,176,180.222,173.8887,176.3553,235092
2015-10-20,177.6667,181.2,173.822,174.622,187194
2015-10-21,173.9333,186.6667,173.9113,182.578,415123
2015-10-23,180.022,185.6667,175.5553,176.8447,246804
2015-10-26,175.8,180.3553,175.0887,175.7553,159334
2015-10-27,174.6887,184.8,174.5553,181.6,628239
2015-10-28,180,180.8887,174.2887,175.3113,298968
2015-10-29,175.5553,178.622,168.8887,171.1113,168379
2015-10-30,172.7553,174.9553,169.778,173.5553,155559
2015-11-02,171.2667,174.5553,162.6667,164.4887,159024
2015-11-03,165.5553,167.778,158.3113,160.178,261883
2015-11-04,161.7553,164.0887,160,161,104892
2015-11-05,161.978,163.3333,157.4887,159.222,59239
2015-11-06,157.3333,161.7333,157.3333,160.1333,68001
2015-11-09,156.5333,161.7553,155.6,159.3553,41586
2015-11-10,158.022,165.8447,155.7113,160.3553,111021
2015-11-11,163.5553,169.3333,162.222,167.8887,87751
2015-11-13,167.2,171.2447,166,168.7553,110391
2015-11-16,169.1113,177.778,168,172.822,204501
2015-11-17,172.8887,179.2887,170.222,175.778,182662
2015-11-18,174.1113,179.1113,174,177.778,145302
2015-11-19,179.778,182.9333,177.3333,178.4447,200554
2015-11-20,179.978,185.3333,176.2447,184.2667,255099
2015-11-23,184.4447,188.8887,180.9553,184.3113,134868
2015-11-24,184,187.0667,182.222,183.3113,141370
2015-11-26,182.6667,186.6,182.6667,183.4,75480
2015-11-27,183.578,186.5553,181.4,183.4447,86221
2015-11-30,183.5333,197.3333,181.8667,191.822,623773
2015-12-01,190.2887,192.3553,186.7113,187.6667,216942
2015-12-02,187.9553,190.1553,184.6,185.8667,128518
2015-12-03,186.6667,191.8887,185.778,188.178,207984
2015-12-04,186.6447,187.778,184,184.4887,38485
2015-12-07,184.4887,184.4887,178.2667,179.222,66846
2015-12-08,178.6667,181.778,176.4667,179.178,87798
2015-12-09,177.3553,179.0667,169.778,176.6667,72379
2015-12-10,179.978,180.5113,174,175.6447,33082
2015-12-11,173.9333,178.6447,172.6667,175.978,83608
2015-12-16,183.6887,188.6667,183.6887,186.022,215817
2015-12-17,185.3553,192.4447,185.3333,189.422,81483
