Date,Open,High,Low,Close,Volume
2015-09-07,13.5,13.75,12.32,12.51,5144825
2015-09-08,12.67,13.04,11.5,12.58,13199899
2015-09-09,12.76,13.27,12.75,12.88,7544587
2015-09-10,12.63,13.39,12.28,13.16,5691808
2015-09-11,13.66,14,13.41,13.68,8190906
2015-09-14,13.93,13.93,13.59,13.81,3067897
2015-09-15,13.7,14.02,13.3,13.41,2867502
2015-09-16,13.69,13.77,13.26,13.35,1782003
2015-09-18,13.52,14.02,13.52,13.85,3801838
2015-09-21,13.39,15.2,13.39,15.12,12076077
2015-09-22,15.27,15.4,14.09,14.29,5292253
2015-09-23,13.97,14.62,13.68,14.53,4564281
2015-09-24,14.4,14.83,14.29,14.5,2544520
2015-09-28,14.6,14.71,14.14,14.2,2340849
2015-09-29,13.85,14.28,13.65,14.07,2804064
2015-09-30,14.2,14.85,14.15,14.7,4610236
2015-10-01,14.86,16.19,14.76,16,13603876
2015-10-05,16.32,16.9,16.29,16.77,9464546
2015-10-06,16.9,16.97,16.37,16.52,4228201
2015-10-07,16.56,17.64,16.45,17.47,9966579
2015-10-08,17.46,17.69,16.54,17.35,6593833
2015-10-09,17.54,17.84,16.78,16.95,5842387
2015-10-12,17.07,17.08,16.5,16.71,2969205
2015-10-13,16.55,17.31,16.55,17.18,5232846
2015-10-14,17.22,17.52,17.08,17.21,4064961
2015-10-15,17.27,18.52,17.27,18.38,13880881
2015-10-16,18.44,19.54,18.07,18.4,15823788
2015-10-19,18.41,18.59,17.96,18.12,4353148
2015-10-20,18.21,18.34,17.61,17.84,3385569
2015-10-21,17.91,18.17,17.36,17.75,3128614
2015-10-23,17.92,18.08,17.51,17.59,2166501
2015-10-26,17.71,17.74,17,17.08,1983182
2015-10-27,17.01,17.54,16.73,17.32,3330022
2015-10-28,17.43,18.51,17.38,18.21,9321303
2015-10-29,18.32,18.57,17.71,17.9,3233600
2015-10-30,18.09,18.09,16.83,17.17,2909856
2015-11-02,17.23,17.85,16.78,17.69,3225827
2015-11-03,17.82,17.94,17.18,17.29,2562787
2015-11-04,17.42,17.52,16.86,16.98,2421511
2015-11-05,17.02,17.06,16.19,16.34,2463695
2015-11-06,16.23,16.7,15.97,16.35,2538234
2015-11-09,15.55,16.86,15.16,16.67,3633007
2015-11-10,16.75,17.13,16.16,16.23,3309936
2015-11-11,16.44,16.75,16.42,16.55,1028805
2015-11-13,16.33,17.04,16.12,16.54,3594321
2015-11-16,16.5,16.75,16.31,16.54,1872014
2015-11-17,16.7,16.82,16.37,16.44,1718077
2015-11-18,16.39,16.77,16.1,16.2,2627409
2015-11-19,16.44,17.17,16.36,17.09,6209609
2015-11-20,17.23,18.44,17.21,18.11,12733400
2015-11-23,18.19,18.8,18.19,18.58,6454880
2015-11-24,18.54,18.54,17.86,18.11,2732224
2015-11-26,18.16,18.66,18.04,18.55,3497677
2015-11-27,18.64,18.64,17.94,18.21,3245292
2015-11-30,18.25,19.61,18.07,19.35,10416719
2015-12-01,19.31,19.4,18.8,19.02,4477680
